Thursday, January 14, 2021	11:21:23 AM	Game1.txt	129050980
Cued	Now	129064822
9	BlinkStart	129064824
9	BlinkEnd	129336460
6	BlinkStart	129336557
6	BlinkEnd	129336828
6	0DropFeed	129336908
8	BlinkStart	129337009
8	BlinkEnd	129344767
8	0DropFeed	129344847
6	BlinkStart	129344949
6	BlinkEnd	129350716
6	0DropFeed	129350796
8	BlinkStart	129350894
8	BlinkEnd	129356062
8	0DropFeed	129356142
6,47	BlinkStart	129356253
6,47	BlinkEnd	129361344
6	Feed	129361425
47	Feed	129361505
8,52	BlinkStart	129361607
8,52	BlinkEnd	129370032
8	Feed	129370112
52	Feed	129370192
4,43	BlinkStart	129370285
4,43	BlinkEnd	129377987
4	Feed	129378067
43	Feed	129378148
2,37	BlinkStart	129378240
2,37	BlinkEnd	129386073
2	Feed	129386154
37	Feed	129386235
4,42	BlinkStart	129386335
4,42	BlinkEnd	129392156
4	Feed	129392236
42	Feed	129392317
2	BlinkStart	129392419
2	BlinkEnd	129399375
2	0DropFeed	129399455
6,48	BlinkStart	129399556
6,48	BlinkEnd	129403989
6	Feed	129404069
48	Feed	129404150
8,53	BlinkStart	129404252
8,53	BlinkEnd	129412810
8	Feed	129412890
53	Feed	129412970
6,47	BlinkStart	129413072
6,47	BlinkEnd	129420431
6	Feed	129420511
47	Feed	129420592
4,42	BlinkStart	129420692
4,42	BlinkEnd	129428597
4	Feed	129428677
42	Feed	129428757
8,53	BlinkStart	129428847
8,53	BlinkEnd	129438009
8	Feed	129438091
53	Feed	129438171
2,37	BlinkStart	129438268
2,37	BlinkEnd	129447235
2	Feed	129447315
37	Feed	129447395
6,48	BlinkStart	129447483
6,48	BlinkEnd	129454521
6	Feed	129454601
48	Feed	129454681
8,52	BlinkStart	129454772
8,52	BlinkEnd	129461739
8	Feed	129461819
52	Feed	129461899
6,47	BlinkStart	129461988
6,47	BlinkEnd	129466751
6	Feed	129466831
47	Feed	129466912
8,52	BlinkStart	129467000
8,52	BlinkEnd	129474036
8	Feed	129474116
52	Feed	129474197
2,38	BlinkStart	129474299
2,38	BlinkEnd	129480654
2	Feed	129480734
38	Feed	129480815
6,47	BlinkStart	129480904
6,47	BlinkEnd	129488742
6	Feed	129488822
47	Feed	129488903
2	BlinkStart	129489001
2	BlinkEnd	129497297
2	0DropFeed	129497377
6,48	BlinkStart	129497477
6,48	BlinkEnd	129501708
6	Feed	129501789
48	Feed	129501870
8,53	BlinkStart	129501970
8,53	BlinkEnd	129508860
8	Feed	129508940
53	Feed	129509020
2	BlinkStart	129509107
2	BlinkEnd	129517282
2	0DropFeed	129517362
6	BlinkStart	129517455
6	BlinkEnd	129521226
6	0DropFeed	129521306
4	BlinkStart	129521406
4	BlinkEnd	129526975
4	0DropFeed	129527055
2	BlinkStart	129527227
2	BlinkEnd	129530250
2	0DropFeed	129530330
8	BlinkStart	129530491
8	BlinkEnd	129534326
8	0DropFeed	129534406
6,48	BlinkStart	129534558
6,48	BlinkEnd	129537602
6	Feed	129537682
48	Feed	129537762
2,37	BlinkStart	129537923
2,37	BlinkEnd	129546292
2	Feed	129546372
37	Feed	129546452
4,42	BlinkStart	129546599
4,42	BlinkEnd	129550970
4	Feed	129551050
42	Feed	129551131
8	BlinkStart	129551282
8	BlinkEnd	129557520
8	0DropFeed	129557600
2	BlinkStart	129557772
2	BlinkEnd	129561599
2	0DropFeed	129561679
6	BlinkStart	129561867
6	BlinkEnd	129565677
6	0DropFeed	129565757
2,37	BlinkStart	129565926
2,37	BlinkEnd	129570154
2	Feed	129570234
37	Feed	129570315
4	BlinkStart	129570472
4	BlinkEnd	129574899
4	0DropFeed	129574979
2	BlinkStart	129575155
2	BlinkEnd	129579912
2	0DropFeed	129579992
8,52	BlinkStart	129580151
8,52	BlinkEnd	129584324
8	Feed	129584404
52	Feed	129584485
4	BlinkStart	129584696
4	BlinkEnd	129590138
4	0DropFeed	129590218
2,38	BlinkStart	129590379
2,38	BlinkEnd	129593414
2	Feed	129593494
38	Feed	129593574
8	BlinkStart	129593722
8	BlinkEnd	129599763
8	0DropFeed	129599843
2,38	BlinkStart	129600014
2,38	BlinkEnd	129603508
2	Feed	129603589
38	Feed	129603669
6,48	BlinkStart	129603838
6,48	BlinkEnd	129611195
6	Feed	129611275
48	Feed	129611355
4,43	BlinkStart	129611517
4,43	BlinkEnd	129620886
4	Feed	129620966
43	Feed	129621046
2,37	BlinkStart	129621184
2,37	BlinkEnd	129627638
2	Feed	129627718
37	Feed	129627798
4,43	BlinkStart	129627939
4,43	BlinkEnd	129632115
4	Feed	129632195
43	Feed	129632275
6,48	BlinkStart	129632446
6,48	BlinkEnd	129639668
6	Feed	129639748
48	Feed	129639828
2,37	BlinkStart	129639969
2,37	BlinkEnd	129647355
2	Feed	129647436
37	Feed	129647516
6,47	BlinkStart	129647684
6,47	BlinkEnd	129653170
6	Feed	129653251
47	Feed	129653331
4,42	BlinkStart	129653512
4,42	BlinkEnd	129659787
4	Feed	129659867
42	Feed	129659947
8	BlinkStart	129660093
8	BlinkEnd	129666872
8	0DropFeed	129666952
6,48	BlinkStart	129667134
6,48	BlinkEnd	129669947
6	Feed	129670027
48	Feed	129670107
2	BlinkStart	129670286
2	BlinkEnd	129678041
2	0DropFeed	129678121
6,47	BlinkStart	129678281
6,47	BlinkEnd	129682245
6	Feed	129682325
47	Feed	129682405
2	BlinkStart	129682546
2	BlinkEnd	129689131
2	0DropFeed	129689211
8	BlinkStart	129689350
8	BlinkEnd	129692874
8	0DropFeed	129692954
2,38	BlinkStart	129693128
2,38	BlinkEnd	129696817
2	Feed	129696898
38	Feed	129696979
4	BlinkStart	129697145
4	BlinkEnd	129703501
4	0DropFeed	129703581
8	BlinkStart	129703745
8	BlinkEnd	129708112
8	0DropFeed	129708192
4	BlinkStart	129708349
4	BlinkEnd	129712926
4	0DropFeed	129713007
8	BlinkStart	129713154
8	BlinkEnd	129717405
8	0DropFeed	129717485
4,42	BlinkStart	129717673
4,42	BlinkEnd	129722284
4	Feed	129722365
42	Feed	129722445
2,37	BlinkStart	129722594
2,37	BlinkEnd	129726829
2	Feed	129726909
37	Feed	129726989
8,53	BlinkStart	129727147
8,53	BlinkEnd	129732510
8	Feed	129732590
53	Feed	129732670
6,47	BlinkStart	129732811
6,47	BlinkEnd	129739126
6	Feed	129739207
47	Feed	129739287
8,52	BlinkStart	129739453
8,52	BlinkEnd	129744742
8	Feed	129744822
52	Feed	129744902
4	BlinkStart	129745058
4	BlinkEnd	129751091
4	0DropFeed	129751171
6	BlinkStart	129751324
6	BlinkEnd	129754969
6	0DropFeed	129755049
8,52	BlinkStart	129755200
8,52	BlinkEnd	129758043
8	Feed	129758124
52	Feed	129758204
2,38	BlinkStart	129758362
2,38	BlinkEnd	129763457
2	Feed	129763537
38	Feed	129763617
6,48	BlinkStart	129763765
6,48	BlinkEnd	129771210
6	Feed	129771290
48	Feed	129771370
4	BlinkStart	129771556
4	BlinkEnd	129779171
4	0DropFeed	129779252
6,48	BlinkStart	129779403
6,48	BlinkEnd	129782515
6	Feed	129782596
48	Feed	129782676
2,38	BlinkStart	129782870
2,38	BlinkEnd	129789797
2	Feed	129789878
38	Feed	129789958
6,47	BlinkStart	129790145
6,47	BlinkEnd	129796947
6	Feed	129797027
47	Feed	129797107
4,43	BlinkStart	129797280
4,43	BlinkEnd	129803296
4	Feed	129803376
43	Feed	129803456
6,47	BlinkStart	129803625
6,47	BlinkEnd	129813321
6	Feed	129813401
47	Feed	129813481
8	BlinkStart	129813662
8	BlinkEnd	129820940
8	0DropFeed	129821020
4,42	BlinkStart	129821170
4,42	BlinkEnd	129825620
4	Feed	129825700
42	Feed	129825780
6,48	BlinkStart	129825928
6,48	BlinkEnd	129831110
