Tuesday, October 27, 2020	2:50:53 PM	Game1.txt	514021450
Cued	Now	514036256
9	BlinkStart	514036294
9	BlinkEnd	514261867
2	BlinkStart	514261960
2	BlinkEnd	514389013
2	0DropFeed	514389093
6,48	BlinkStart	514389183
6,48	BlinkEnd	514780811
6	Feed	514780891
48	Feed	514780972
4,42	BlinkStart	514781068
4,42	BlinkEnd	514813602
4	Feed	514813682
42	Feed	514813762
8,52	BlinkStart	514813849
8,52	BlinkEnd	514832253
8	Feed	514832333
52	Feed	514832413
4,42	BlinkStart	514832520
4,42	BlinkEnd	514853252
4	Feed	514853332
42	Feed	514853412
8	BlinkStart	514853525
8	BlinkEnd	514865344
8	0DropFeed	514865425
6,48	BlinkStart	514865523
6,48	BlinkEnd	514870639
6	Feed	514870719
48	Feed	514870799
4,43	BlinkStart	514870901
4,43	BlinkEnd	514887065
4	Feed	514887145
43	Feed	514887225
8,52	BlinkStart	514887314
8,52	BlinkEnd	514899036
8	Feed	514899116
52	Feed	514899196
6,47	BlinkStart	514899283
6,47	BlinkEnd	514906619
6	Feed	514906699
47	Feed	514906779
2	BlinkStart	514906873
2	BlinkEnd	514918111
2	0DropFeed	514918191
6,48	BlinkStart	514918298
6,48	BlinkEnd	514925450
6	Feed	514925530
48	Feed	514925610
2	BlinkStart	514925711
2	BlinkEnd	514939469
2	0DropFeed	514939549
6,48	BlinkStart	514939649
6,48	BlinkEnd	514944823
6	Feed	514944903
48	Feed	514944984
4,42	BlinkStart	514945076
4,42	BlinkEnd	514957098
4	Feed	514957178
42	Feed	514957258
2	BlinkStart	514957353
2	BlinkEnd	514963475
2	0DropFeed	514963555
6	BlinkStart	514963642
6	BlinkEnd	514968415
6	0DropFeed	514968495
8,53	BlinkStart	514968612
8,53	BlinkEnd	514972740
8	Feed	514972820
53	Feed	514972900
2	BlinkStart	514972999
2	BlinkEnd	514986706
2	0DropFeed	514986787
8,53	BlinkStart	514986899
8,53	BlinkEnd	514991995
8	Feed	514992075
53	Feed	514992155
6,48	BlinkStart	514992243
6,48	BlinkEnd	514998732
6	Feed	514998812
48	Feed	514998892
4,42	BlinkStart	514998987
4,42	BlinkEnd	515009562
4	Feed	515009642
42	Feed	515009722
2	BlinkStart	515009817
2	BlinkEnd	515015217
2	0DropFeed	515015297
8,53	BlinkStart	515015412
8,53	BlinkEnd	515019729
8	Feed	515019809
53	Feed	515019890
4,42	BlinkStart	515019977
4,42	BlinkEnd	515027623
4	Feed	515027703
42	Feed	515027783
8,52	BlinkStart	515027874
8,52	BlinkEnd	515035975
8	Feed	515036055
52	Feed	515036135
6	BlinkStart	515036223
6	BlinkEnd	515043797
6	0DropFeed	515043877
2,38	BlinkStart	515043991
2,38	BlinkEnd	515048971
2	Feed	515049051
38	Feed	515049131
6	BlinkStart	515049288
6	BlinkEnd	515058176
6	0DropFeed	515058256
4,43	BlinkStart	515058427
4,43	BlinkEnd	515066420
4	Feed	515066500
43	Feed	515066580
8	BlinkStart	515066741
8	BlinkEnd	515075864
8	0DropFeed	515075944
6,48	BlinkStart	515076120
6,48	BlinkEnd	515079233
6	Feed	515079313
48	Feed	515079393
2	BlinkStart	515079560
2	BlinkEnd	515092650
2	0DropFeed	515092730
4,42	BlinkStart	515092895
4,42	BlinkEnd	515097344
4	Feed	515097424
42	Feed	515097504
2,37	BlinkStart	515097646
2,37	BlinkEnd	515104144
2	Feed	515104224
37	Feed	515104304
4,43	BlinkStart	515104466
4,43	BlinkEnd	515111904
4	Feed	515111985
43	Feed	515112065
2	BlinkStart	515112235
2	BlinkEnd	515123998
2	0DropFeed	515124078
4,42	BlinkStart	515124277
4,42	BlinkEnd	515128750
4	Feed	515128830
42	Feed	515128910
8,52	BlinkStart	515129061
8,52	BlinkEnd	515136391
8	Feed	515136471
52	Feed	515136551
4	BlinkStart	515136703
4	BlinkEnd	515161420
4	0DropFeed	515161500
2,37	BlinkStart	515161685
2,37	BlinkEnd	515165813
2	Feed	515165893
37	Feed	515165973
4,43	BlinkStart	515166117
4,43	BlinkEnd	515172130
4	Feed	515172211
43	Feed	515172291
8	BlinkStart	515172437
8	BlinkEnd	515183445
8	0DropFeed	515183525
2,38	BlinkStart	515183676
2,38	BlinkEnd	515189157
2	Feed	515189237
38	Feed	515189318
8,52	BlinkStart	515189473
8,52	BlinkEnd	515197519
8	Feed	515197599
52	Feed	515197679
2,37	BlinkStart	515197821
2,37	BlinkEnd	515205161
2	Feed	515205241
37	Feed	515205322
8,52	BlinkStart	515205477
8,52	BlinkEnd	515212560
8	Feed	515212640
52	Feed	515212720
2,37	BlinkStart	515212865
2,37	BlinkEnd	515219131
2	Feed	515219211
37	Feed	515219291
6,47	BlinkStart	515219453
6,47	BlinkEnd	515227362
6	Feed	515227442
47	Feed	515227522
2	BlinkStart	515227680
2	BlinkEnd	515237770
2	0DropFeed	515237850
8,53	BlinkStart	515238015
8,53	BlinkEnd	515255097
8	Feed	515255177
53	Feed	515255258
6,48	BlinkStart	515255410
6,48	BlinkEnd	515261837
6	Feed	515261917
48	Feed	515261998
4	BlinkStart	515262143
4	BlinkEnd	515271524
4	0DropFeed	515271604
6,47	BlinkStart	515271766
6,47	BlinkEnd	515277000
6	Feed	515277080
47	Feed	515277161
8,53	BlinkStart	515277318
8,53	BlinkEnd	515286446
8	Feed	515286526
53	Feed	515286606
6	BlinkStart	515286759
6	BlinkEnd	515294989
6	0DropFeed	515295069
8,52	BlinkStart	515295265
8,52	BlinkEnd	515299861
8	Feed	515299941
52	Feed	515300021
4,42	BlinkStart	515300182
4,42	BlinkEnd	515309008
4	Feed	515309088
42	Feed	515309168
6,47	BlinkStart	515309323
6,47	BlinkEnd	515315323
6	Feed	515315403
47	Feed	515315483
4	BlinkStart	515315643
4	BlinkEnd	515323333
4	0DropFeed	515323414
