Thursday, October 29, 2020	1:59:17 PM	Game1.txt	683725641
Cued	Now	683736935
9	BlinkStart	683736966
9	BlinkEnd	683986759
8	BlinkStart	683986848
8	BlinkEnd	683987113
8	0DropFeed	683987193
6,47	BlinkStart	683987290
6,47	BlinkEnd	684005712
6	Feed	684005792
47	Feed	684005872
4,42	BlinkStart	684005975
4,42	BlinkEnd	684025298
4	Feed	684025378
42	Feed	684025458
2,38	BlinkStart	684025557
2,38	BlinkEnd	684056713
2	Feed	684056806
38	Feed	684056886
8	BlinkStart	684056989
8	BlinkEnd	684072487
8	0DropFeed	684072567
2,38	BlinkStart	684072678
2,38	BlinkEnd	684092339
2	Feed	684092419
38	Feed	684092499
8	BlinkStart	684092595
8	BlinkEnd	684193268
8	0DropFeed	684193348
4	BlinkStart	684193450
4	BlinkEnd	684243601
4	0DropFeed	684243682
2	BlinkStart	684243782
2	BlinkEnd	684268423
4,42	BlinkStart	684268509
4,42	BlinkEnd	684268774
4	Feed	684268854
42	Feed	684268934
8,52	BlinkStart	684269024
8,52	BlinkEnd	684287511
6	BlinkStart	684287611
6	BlinkEnd	684290758
4,42	BlinkStart	684290849
4,42	BlinkEnd	684291115
4	Feed	684291195
42	Feed	684291275
2,38	BlinkStart	684291363
2,38	BlinkEnd	684301974
4,42	BlinkStart	684302063
4,42	BlinkEnd	684302327
4	Feed	684302407
42	Feed	684302487
6,48	BlinkStart	684302577
6,48	BlinkEnd	684316359
8,52	BlinkStart	684316445
8,52	BlinkEnd	684335306
8	Feed	684335386
52	Feed	684335466
4,43	BlinkStart	684335560
4,43	BlinkEnd	684344734
4	Feed	684344814
43	Feed	684344894
8,53	BlinkStart	684344988
8,53	BlinkEnd	684357170
8	Feed	684357250
53	Feed	684357330
2	BlinkStart	684357426
2	BlinkEnd	684368592
2	0DropFeed	684368673
6	BlinkStart	684368770
6	BlinkEnd	684375813
6	0DropFeed	684375893
4	BlinkStart	684375988
4	BlinkEnd	684403156
4	0DropFeed	684403236
2,38	BlinkStart	684403344
2,38	BlinkEnd	684408832
2	Feed	684408913
38	Feed	684408994
8,53	BlinkStart	684409083
8,53	BlinkEnd	684416316
8	Feed	684416397
53	Feed	684416477
4	BlinkStart	684416574
4	BlinkEnd	684425277
4	0DropFeed	684425357
6,47	BlinkStart	684425446
6,47	BlinkEnd	684429351
