Thursday, November 5, 2020	11:34:20 AM	Game1.txt	1279828234
Cued	Now	1279838298
9	BlinkStart	1279838359
9	BlinkEnd	1280147218
9	NoFeedLowProb	1280147298
23,5	BlinkStart	1280147316
23,5	BlinkEnd	1280535027
5	0DropFeed	1280535107
23	NoFeedAbort	1280535187
1	BlinkStart	1280545203
1	BlinkEnd	1280810882
6,47	BlinkStart	1280810976
6,47	BlinkEnd	1280835495
6	Feed	1280835575
47	Feed	1280835655
1	BlinkStart	1280835762
1	BlinkEnd	1280888862
1	NoFeedLowProb	1280888942
6,47	BlinkStart	1280888955
6,47	BlinkEnd	1280895722
6	Feed	1280895802
47	Feed	1280895882
1	BlinkStart	1280895995
1	BlinkEnd	1280944574
1	NoFeedLowProb	1280944654
6,47	BlinkStart	1280944687
6,47	BlinkEnd	1280953423
6	Feed	1280953503
47	Feed	1280953583
1	BlinkStart	1280953683
1	BlinkEnd	1280980796
1	NoFeedLowProb	1280980876
4,44	BlinkStart	1280980910
4,44	BlinkEnd	1280987954
4	Feed	1280988034
44	Feed	1280988114
21,1	BlinkStart	1280988203
21,1	BlinkEnd	1281130254
1	0DropFeed	1281130334
21	Feed	1281130414
6,47,4,44	BlinkStart	1281130525
6,47,4,44	BlinkEnd	1281156719
6	Feed	1281156799
47	Feed	1281156879
20,1	BlinkStart	1281156988
20,1	BlinkEnd	1281203950
1	0DropFeed	1281204030
20	Feed	1281204110
6,47,4,44	BlinkStart	1281204223
6,47,4,44	BlinkEnd	1281225789
6	Feed	1281225869
47	Feed	1281225949
19,1	BlinkStart	1281226038
19,1	BlinkEnd	1281255636
1	0DropFeed	1281255716
19	Feed	1281255796
6,47,4,44	BlinkStart	1281255885
6,47,4,44	BlinkEnd	1281268689
6	Feed	1281268769
47	Feed	1281268850
18,1	BlinkStart	1281268950
18,1	BlinkEnd	1281285907
6,47,4,44	BlinkStart	1281286003
6,47,4,44	BlinkEnd	1281290767
6	Feed	1281290848
47	Feed	1281290929
17,1	BlinkStart	1281291039
17,1	BlinkEnd	1281302200
1	0DropFeed	1281302280
17	Feed	1281302360
6,47,4,44	BlinkStart	1281302484
6,47,4,44	BlinkEnd	1281309419
6	Feed	1281309499
47	Feed	1281309579
16,1	BlinkStart	1281309688
16,1	BlinkEnd	1281325314
6,47,4,44	BlinkStart	1281325411
6,47,4,44	BlinkEnd	1281328673
6	Feed	1281328753
47	Feed	1281328833
14,1	BlinkStart	1281328922
14,1	BlinkEnd	1281340828
1	0DropFeed	1281340908
14	NoFeedAbort	1281340988
5	BlinkStart	1281350998
5	BlinkEnd	1281354244
5	NoFeedLowProb	1281354324
2,39	BlinkStart	1281354350
2,39	BlinkEnd	1281384446
2	Feed	1281384526
39	Feed	1281384607
5	BlinkStart	1281384717
5	BlinkEnd	1281403037
5	NoFeedLowProb	1281403117
8,52	BlinkStart	1281403139
8,52	BlinkEnd	1281409956
8	Feed	1281410036
52	Feed	1281410117
5	BlinkStart	1281410224
5	BlinkEnd	1281426021
5	NoFeedLowProb	1281426101
2,39	BlinkStart	1281426126
2,39	BlinkEnd	1281470062
2	Feed	1281470143
39	Feed	1281470224
5	BlinkStart	1281470420
5	BlinkEnd	1281480652
5	NoFeedLowProb	1281480732
8,52	BlinkStart	1281480822
8,52	BlinkEnd	1281487511
8	Feed	1281487591
52	Feed	1281487672
30,5	BlinkStart	1281487844
30,5	BlinkEnd	1281497017
5	0DropFeed	1281497097
30	Feed	1281497177
2,39,8,52	BlinkStart	1281497350
2,39,8,52	BlinkEnd	1281504899
8	Feed	1281504979
52	Feed	1281505060
29,5	BlinkStart	1281505213
29,5	BlinkEnd	1281514525
5	0DropFeed	1281514605
29	Feed	1281514685
2,39,8,52	BlinkStart	1281514853
2,39,8,52	BlinkEnd	1281520482
8	Feed	1281520562
52	Feed	1281520642
28,5	BlinkStart	1281520783
28,5	BlinkEnd	1281531551
5	0DropFeed	1281531631
28	Feed	1281531711
2,39,8,52	BlinkStart	1281531877
2,39,8,52	BlinkEnd	1281537749
2	Feed	1281537829
39	Feed	1281537909
27,5	BlinkStart	1281538059
27,5	BlinkEnd	1281551466
5	0DropFeed	1281551546
27	Feed	1281551627
2,39,8,52	BlinkStart	1281551817
2,39,8,52	BlinkEnd	1281557668
8	Feed	1281557748
52	Feed	1281557828
26,5	BlinkStart	1281557993
26,5	BlinkEnd	1281566945
5	0DropFeed	1281567025
26	Feed	1281567105
2,39,8,52	BlinkStart	1281567280
2,39,8,52	BlinkEnd	1281572404
8	Feed	1281572484
52	Feed	1281572565
25,5	BlinkStart	1281572725
