Ver1.3	486570652	StartFile	11/16/2020	9:40:07 AM	E:\BehavioralExperiments\Bobo\RawData\111620\SoundData.txt	486570652
487060122	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	487060122
487060323	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	487060323
487575800	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	487575800
487592844	Triggered	4,42,43,44,45,46,	 NoSound	40	2	487592844
487593046	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	487593046
487608685	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	487608685
487617307	Triggered	6,47,48,49,50,51,	 NoSound	40	2	487617307
487617509	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	487617509
487626063	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	487626063
487631345	Triggered	6,47,48,49,50,51,	 NoSound	40	2	487631345
487631548	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	487631548
487640701	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	487640701
487645714	Triggered	6,47,48,49,50,51,	 NoSound	40	2	487645714
487645915	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	487645915
487656209	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	487656209
487656411	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	487656411
487661222	Triggered	4,42,43,44,45,46,	 NoSound	40	2	487661222
487661424	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	487661424
487672384	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	487672384
487672588	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	487672588
487677135	Triggered	6,47,48,49,50,51,	 NoSound	40	2	487677135
487677336	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	487677336
487687223	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	487687223
487687425	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	487687425
487691968	Triggered	6,47,48,49,50,51,	 NoSound	40	2	487691968
487692170	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	487692170
487700058	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	487700058
487700261	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	487700261
487705341	Triggered	4,42,43,44,45,46,	 NoSound	40	2	487705341
487705542	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	487705542
487715563	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	487715563
487715766	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	487715766
487720776	Triggered	6,47,48,49,50,51,	 NoSound	40	2	487720776
487720977	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	487720977
487729205	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	487729205
487729407	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	487729407
487734212	Triggered	6,47,48,49,50,51,	 NoSound	40	2	487734212
487734412	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	487734412
487742768	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	487742768
487742969	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	487742969
