Tuesday, November 24, 2020	12:29:22 PM	Game1.txt	1187925255
Cued	Now	1187950263
9	BlinkStart	1187950288
9	BlinkEnd	1188196592
23,5	BlinkStart	1188196686
23,5	BlinkEnd	1188201176
5	0DropFeed	1188201257
23	NoFeedAbort	1188201337
1	BlinkStart	1188211354
1	BlinkEnd	1188291677
1	NoFeedLowProb	1188291757
4,44	BlinkStart	1188291784
4,44	BlinkEnd	1188469407
4	Feed	1188469488
44	Feed	1188469568
1	BlinkStart	1188469658
1	BlinkEnd	1188494408
1	NoFeedLowProb	1188494488
4,44	BlinkStart	1188494500
4,44	BlinkEnd	1188506772
4	Feed	1188506852
44	Feed	1188506932
1	BlinkStart	1188507026
1	BlinkEnd	1188527158
1	NoFeedLowProb	1188527239
6,47	BlinkStart	1188527267
6,47	BlinkEnd	1188533108
6	Feed	1188533188
47	Feed	1188533268
1	BlinkStart	1188533366
1	BlinkEnd	1188552090
1	NoFeedLowProb	1188552170
6,47	BlinkStart	1188552206
6,47	BlinkEnd	1188557971
6	Feed	1188558051
47	Feed	1188558132
21,1	BlinkStart	1188558220
21,1	BlinkEnd	1188571339
1	0DropFeed	1188571419
21	Feed	1188571499
6,47,4,44	BlinkStart	1188571592
6,47,4,44	BlinkEnd	1188577357
6	Feed	1188577437
47	Feed	1188577518
20,1	BlinkStart	1188577615
20,1	BlinkEnd	1188587782
1	0DropFeed	1188587862
20	Feed	1188587942
6,47,4,44	BlinkStart	1188588043
6,47,4,44	BlinkEnd	1188593198
6	Feed	1188593278
47	Feed	1188593358
19,1	BlinkStart	1188593462
19,1	BlinkEnd	1188605562
1	0DropFeed	1188605642
19	Feed	1188605722
6,47,4,44	BlinkStart	1188605833
6,47,4,44	BlinkEnd	1188610976
6	Feed	1188611056
47	Feed	1188611136
18,1	BlinkStart	1188611224
18,1	BlinkEnd	1188619801
1	0DropFeed	1188619881
18	Feed	1188619961
6,47,4,44	BlinkStart	1188620063
6,47,4,44	BlinkEnd	1188625480
6	Feed	1188625561
47	Feed	1188625641
17,1	BlinkStart	1188625746
17,1	BlinkEnd	1188637111
1	0DropFeed	1188637191
17	Feed	1188637271
6,47,4,44	BlinkStart	1188637381
6,47,4,44	BlinkEnd	1188645199
6	Feed	1188645279
47	Feed	1188645360
16,1	BlinkStart	1188645469
16,1	BlinkEnd	1188657631
1	0DropFeed	1188657711
16	Feed	1188657791
6,47,4,44	BlinkStart	1188657888
6,47,4,44	BlinkEnd	1188666121
6	Feed	1188666201
47	Feed	1188666281
14,1	BlinkStart	1188666384
14,1	BlinkEnd	1188677359
1	0DropFeed	1188677439
14	NoFeedAbort	1188677519
5	BlinkStart	1188687538
5	BlinkEnd	1188714045
5	NoFeedLowProb	1188714125
8,54	BlinkStart	1188714159
8,54	BlinkEnd	1188721467
8	Feed	1188721548
54	Feed	1188721628
5	BlinkStart	1188721715
5	BlinkEnd	1188736042
5	NoFeedLowProb	1188736122
8,54	BlinkStart	1188736150
8,54	BlinkEnd	1188742453
8	Feed	1188742533
54	Feed	1188742613
5	BlinkStart	1188742718
5	BlinkEnd	1188755889
5	NoFeedLowProb	1188755969
8,54	BlinkStart	1188755997
8,54	BlinkEnd	1188762170
8	Feed	1188762250
54	Feed	1188762331
5	BlinkStart	1188762484
5	BlinkEnd	1188775271
5	NoFeedLowProb	1188775351
8,54	BlinkStart	1188775421
8,54	BlinkEnd	1188779750
8	Feed	1188779831
54	Feed	1188779911
30,5	BlinkStart	1188780101
30,5	BlinkEnd	1188792984
5	0DropFeed	1188793065
30	Feed	1188793145
8,54,2,37	BlinkStart	1188793332
8,54,2,37	BlinkEnd	1188799412
2	Feed	1188799493
37	Feed	1188799573
29,5	BlinkStart	1188799719
29,5	BlinkEnd	1188807889
5	0DropFeed	1188807969
29	Feed	1188808049
8,54,2,37	BlinkStart	1188808208
8,54,2,37	BlinkEnd	1188813840
8	Feed	1188813920
54	Feed	1188814000
28,5	BlinkStart	1188814163
28,5	BlinkEnd	1188824139
5	0DropFeed	1188824219
28	Feed	1188824300
8,54,2,37	BlinkStart	1188824457
8,54,2,37	BlinkEnd	1188829947
8	Feed	1188830027
54	Feed	1188830107
27,5	BlinkStart	1188830270
27,5	BlinkEnd	1188841581
5	0DropFeed	1188841661
27	Feed	1188841741
8,54,2,37	BlinkStart	1188841919
8,54,2,37	BlinkEnd	1188848396
8	Feed	1188848476
54	Feed	1188848556
26,5	BlinkStart	1188848717
26,5	BlinkEnd	1188861029
5	0DropFeed	1188861110
26	Feed	1188861190
8,54,2,37	BlinkStart	1188861370
8,54,2,37	BlinkEnd	1188867312
2	Feed	1188867392
37	Feed	1188867472
25,5	BlinkStart	1188867639
25,5	BlinkEnd	1188873928
5	0DropFeed	1188874008
25	Feed	1188874088
8,54,2,37	BlinkStart	1188874236
8,54,2,37	BlinkEnd	1188881015
8	Feed	1188881095
54	Feed	1188881176
23,5	BlinkStart	1188881341
23,5	BlinkEnd	1188891976
5	0DropFeed	1188892056
23	NoFeedAbort	1188892136
1	BlinkStart	1188902209
1	BlinkEnd	1188902471
1	NoFeedLowProb	1188902551
6,49	BlinkStart	1188902618
6,49	BlinkEnd	1188907350
