Ver1.3	1187956568	StartFile	11/24/2020	12:29:53 PM	E:\BehavioralExperiments\Bobo\RawData\112420\SoundData.txt	1187956568
1188201176	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1188201176
1188201378	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	1188201378
1188291678	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1188291678
1188469407	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1188469407
1188469609	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	1188469609
1188494408	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1188494408
1188506773	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1188506773
1188506974	Triggered	4,42,43,44,45,46,	 File_beep3	40	2	1188506974
1188527158	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1188527158
1188533109	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1188533109
1188533311	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1188533311
1188552091	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1188552091
1188557972	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1188557972
1188558173	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1188558173
1188571339	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1188571339
1188571543	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	1188571543
1188577357	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1188577357
1188577569	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1188577569
1188587783	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1188587783
1188587987	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	1188587987
1188593198	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1188593198
1188593400	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1188593400
1188605562	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1188605562
1188605766	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	1188605766
1188610976	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1188610976
1188611177	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1188611177
1188619801	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1188619801
1188620003	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	1188620003
1188625481	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1188625481
1188625681	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1188625681
1188637111	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1188637111
1188637314	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	1188637314
1188645199	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1188645199
1188645401	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1188645401
1188657631	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1188657631
1188657843	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	1188657843
1188666121	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1188666121
1188666322	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1188666322
1188677359	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1188677359
1188677561	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	1188677561
1188714045	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1188714045
1188721467	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1188721467
1188721671	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	1188721671
1188736042	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1188736042
1188742453	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1188742453
1188742655	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	1188742655
1188755889	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1188755889
1188762171	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1188762171
1188762373	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	1188762373
1188775272	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1188775272
1188779751	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1188779751
1188779953	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	1188779953
1188792985	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1188792985
1188793188	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	1188793188
1188799413	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1188799413
1188799614	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1188799614
1188807890	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1188807890
1188808093	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-7kHz	40	2	1188808093
1188813840	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1188813840
1188814042	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	1188814042
1188824140	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1188824140
1188824341	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-5kHz	40	2	1188824341
1188829948	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1188829948
1188830150	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	1188830150
1188841582	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1188841582
1188841784	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-3kHz	40	2	1188841784
1188848396	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1188848396
1188848598	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	1188848598
1188861029	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1188861029
1188861231	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-2kHz	40	2	1188861231
1188867313	Triggered	2,37,38,39,40,41,	 NoSound	40	2	1188867313
1188867513	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1188867513
1188873929	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1188873929
1188874131	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-1kHz	40	2	1188874131
1188881015	Triggered	8,52,53,54,55,56,	 NoSound	40	2	1188881015
1188881227	Triggered	8,52,53,54,55,56,	 File_beep3	40	2	1188881227
1188891977	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	1188891977
1188892177	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	1188892177
1188907350	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1188907350
1188907553	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	1188907553
1188923525	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1188923525
1188928606	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1188928606
1188928807	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1188928807
1188937362	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1188937362
1188941705	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1188941705
1188941907	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	1188941907
1188956144	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1188956144
1188961023	Triggered	4,42,43,44,45,46,	 NoSound	40	2	1188961023
1188961224	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1188961224
1188970180	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	1188970180
1188970382	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	1188970382
1188974871	Triggered	6,47,48,49,50,51,	 NoSound	40	2	1188974871
1188975073	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	1188975073
