Saturday, January 2, 2021	11:34:48 AM	Game1.txt	770292424
Cued	Now	770310656
9	BlinkStart	770310686
9	BlinkEnd	770641101
2,38	BlinkStart	770641188
2,38	BlinkEnd	770772595
2	Feed	770772675
38	Feed	770772755
8,52	BlinkStart	770772844
8,52	BlinkEnd	770802338
8	Feed	770802418
52	Feed	770802498
4,42	BlinkStart	770802593
4,42	BlinkEnd	770886826
4	Feed	770886906
42	Feed	770886986
6	BlinkStart	770887080
6	BlinkEnd	770933749
6	0DropFeed	770933829
2,37	BlinkStart	770933921
2,37	BlinkEnd	770964907
2	Feed	770964987
37	Feed	770965067
8,52	BlinkStart	770965168
8,52	BlinkEnd	771046174
8	Feed	771046255
52	Feed	771046335
6,47	BlinkStart	771046424
6,47	BlinkEnd	771141155
6	Feed	771141235
47	Feed	771141315
2	BlinkStart	771141408
2	BlinkEnd	771379578
2	0DropFeed	771379658
4,43	BlinkStart	771379768
4,43	BlinkEnd	771388332
4	Feed	771388413
43	Feed	771388493
2	BlinkStart	771388581
2	BlinkEnd	771402770
2	0DropFeed	771402850
4	BlinkStart	771402936
4	BlinkEnd	771469211
4	0DropFeed	771469291
2	BlinkStart	771469394
2	BlinkEnd	771474090
2	0DropFeed	771474171
6,47	BlinkStart	771474281
6,47	BlinkEnd	771495612
6	Feed	771495692
47	Feed	771495772
2,38	BlinkStart	771495868
2,38	BlinkEnd	772205462
2	Feed	772205542
38	Feed	772205622
6,47	BlinkStart	772205721
6,47	BlinkEnd	772260605
6	Feed	772260685
47	Feed	772260765
2	BlinkStart	772260861
2	BlinkEnd	772290750
2	0DropFeed	772290830
4,43	BlinkStart	772290917
4,43	BlinkEnd	772724080
4	Feed	772724160
43	Feed	772724240
6,47	BlinkStart	772724327
6,47	BlinkEnd	772760509
6	Feed	772760590
47	Feed	772760670
2,37	BlinkStart	772760763
2,37	BlinkEnd	772789919
2	Feed	772789999
37	Feed	772790079
4,43	BlinkStart	772790179
4,43	BlinkEnd	773043846
4	Feed	773043926
43	Feed	773044006
2,37	BlinkStart	773044095
2,37	BlinkEnd	773074728
2	Feed	773074808
37	Feed	773074888
8,53	BlinkStart	773074980
8,53	BlinkEnd	773088631
8	Feed	773088711
53	Feed	773088791
6,48	BlinkStart	773088891
6,48	BlinkEnd	773418971
0	StopTraining	773419051
0	StopTraining	773419051
0	StopTraining	773419052
0	StopTraining	773419053
0	StopTraining	773419053
0	StopTraining	773419054
