Monday, January 4, 2021	1:06:03 PM	Game1.txt	948567246
Cued	Now	948585242
9	BlinkStart	948585331
9	BlinkEnd	948863474
4	BlinkStart	948863563
4	BlinkEnd	948959355
4	Feed	948959436
8	BlinkStart	948959523
8	BlinkEnd	949185076
8	Feed	949185156
2	BlinkStart	949185244
2	BlinkEnd	949321499
2	Feed	949321579
6	BlinkStart	949321669
6	BlinkEnd	950203399
6	Feed	950203479
8	BlinkStart	950203574
8	BlinkEnd	950224051
8	Feed	950224131
2	BlinkStart	950224219
2	BlinkEnd	950631714
2	Feed	950631794
6	BlinkStart	950631888
6	BlinkEnd	950656177
6	Feed	950656257
4	BlinkStart	950656345
4	BlinkEnd	950686656
4	Feed	950686736
2	BlinkStart	950686823
2	BlinkEnd	950709450
2	Feed	950709530
6	BlinkStart	950709617
6	BlinkEnd	950721614
6	Feed	950721694
8	BlinkStart	950721780
8	BlinkEnd	950802565
8	Feed	950802645
6	BlinkStart	950802736
6	BlinkEnd	950821418
6	Feed	950821498
4	BlinkStart	950821584
4	BlinkEnd	950846473
4	Feed	950846553
2	BlinkStart	950846639
2	BlinkEnd	950859508
2	Feed	950859588
8	BlinkStart	950859681
8	BlinkEnd	950867929
8	Feed	950868009
4	BlinkStart	950868095
4	BlinkEnd	950880428
4	Feed	950880509
6	BlinkStart	950880596
6	BlinkEnd	950897271
6	Feed	950897351
2	BlinkStart	950897438
2	BlinkEnd	951042784
2	Feed	951042864
8	BlinkStart	951042951
8	BlinkEnd	951055149
8	Feed	951055229
2	BlinkStart	951055316
2	BlinkEnd	951067920
2	Feed	951068000
8	BlinkStart	951068095
8	BlinkEnd	951078210
8	Feed	951078290
6	BlinkStart	951078379
6	BlinkEnd	951087579
6	Feed	951087659
2	BlinkStart	951087746
2	BlinkEnd	951102206
2	Feed	951102286
6	BlinkStart	951102374
6	BlinkEnd	951113101
6	Feed	951113181
4	BlinkStart	951113279
4	BlinkEnd	951131081
4	Feed	951131161
6	BlinkStart	951131253
6	BlinkEnd	951159156
6	Feed	951159236
2	BlinkStart	951159322
2	BlinkEnd	951174662
2	Feed	951174743
8	BlinkStart	951174829
8	BlinkEnd	951182816
8	Feed	951182896
4	BlinkStart	951183046
4	BlinkEnd	951203872
4	Feed	951203952
6	BlinkStart	951204091
6	BlinkEnd	951217106
6	Feed	951217186
8	BlinkStart	951217343
8	BlinkEnd	951242706
8	Feed	951242786
4	BlinkStart	951242948
4	BlinkEnd	951851195
0	StopTraining	951851275
0	StopTraining	951851276
0	StopTraining	951851277
0	StopTraining	951851277
0	StopTraining	951851278
0	StopTraining	951851279
