Tuesday, January 5, 2021	9:40:23 AM	Game1.txt	1022627994
Cued	Now	1022635343
9	BlinkStart	1022635351
9	BlinkEnd	1022637307
6	BlinkStart	1022637403
6	BlinkEnd	1023440679
6	Feed	1023440759
4	BlinkStart	1023440856
4	BlinkEnd	1023471298
4	Feed	1023471378
6	BlinkStart	1023471480
6	BlinkEnd	1023647017
6	Feed	1023647098
4	BlinkStart	1023647186
4	BlinkEnd	1023805297
4	Feed	1023805377
2	BlinkStart	1023805464
2	BlinkEnd	1024396504
2	Feed	1024396584
6	BlinkStart	1024396677
6	BlinkEnd	1024423039
6	Feed	1024423120
2	BlinkStart	1024423222
2	BlinkEnd	1024645419
2	Feed	1024645499
6	BlinkStart	1024645598
6	BlinkEnd	1024676166
6	Feed	1024676246
2	BlinkStart	1024676339
2	BlinkEnd	1024693345
2	Feed	1024693425
4	BlinkStart	1024693512
4	BlinkEnd	1024731310
4	Feed	1024731390
2	BlinkStart	1024731494
2	BlinkEnd	1024770411
2	Feed	1024770492
4	BlinkStart	1024770593
4	BlinkEnd	1024799889
4	Feed	1024799970
8	BlinkStart	1024800070
8	BlinkEnd	1025773693
8	Feed	1025773773
4	BlinkStart	1025773870
4	BlinkEnd	1025802567
4	Feed	1025802647
2	BlinkStart	1025802748
2	BlinkEnd	1025816872
2	Feed	1025816952
6	BlinkStart	1025817053
6	BlinkEnd	1025829841
6	Feed	1025829921
8	BlinkStart	1025830021
8	BlinkEnd	1025857780
8	Feed	1025857861
6	BlinkStart	1025857963
6	BlinkEnd	1025869408
6	Feed	1025869489
8	BlinkStart	1025869585
8	BlinkEnd	1025891065
8	Feed	1025891146
6	BlinkStart	1025891247
6	BlinkEnd	1025903704
6	Feed	1025903784
4	BlinkStart	1025903879
4	BlinkEnd	1025917735
4	Feed	1025917816
6	BlinkStart	1025917910
6	BlinkEnd	1025939925
6	Feed	1025940006
8	BlinkStart	1025940106
8	BlinkEnd	1025960780
8	Feed	1025960861
6	BlinkStart	1025960962
6	BlinkEnd	1025973480
6	Feed	1025973561
8	BlinkStart	1025973655
8	BlinkEnd	1026003558
8	Feed	1026003639
4	BlinkStart	1026003725
4	BlinkEnd	1026021204
4	Feed	1026021284
2	BlinkStart	1026021384
2	BlinkEnd	1026032166
2	Feed	1026032246
6	BlinkStart	1026032344
6	BlinkEnd	1026043397
6	Feed	1026043477
8	BlinkStart	1026043655
8	BlinkEnd	1026060641
8	Feed	1026060722
4	BlinkStart	1026060872
4	BlinkEnd	1026079623
4	Feed	1026079703
2	BlinkStart	1026079868
2	BlinkEnd	1026090057
2	Feed	1026090137
4	BlinkStart	1026090293
4	BlinkEnd	1026113043
4	Feed	1026113124
6	BlinkStart	1026113267
6	BlinkEnd	1026128149
6	Feed	1026128230
2	BlinkStart	1026128411
2	BlinkEnd	1026144193
2	Feed	1026144274
6	BlinkStart	1026144467
6	BlinkEnd	1026154352
6	Feed	1026154432
8	BlinkStart	1026154570
8	BlinkEnd	1026220670
8	Feed	1026220750
6	BlinkStart	1026220919
6	BlinkEnd	1026231419
6	Feed	1026231499
4	BlinkStart	1026231651
4	BlinkEnd	1026242720
4	Feed	1026242800
2	BlinkStart	1026242954
2	BlinkEnd	1026256819
2	Feed	1026256899
4	BlinkStart	1026257076
4	BlinkEnd	1026283091
4	Feed	1026283171
6	BlinkStart	1026283347
6	BlinkEnd	1026328071
6	Feed	1026328151
4	BlinkStart	1026328299
4	BlinkEnd	1026373188
4	Feed	1026373268
8	BlinkStart	1026373434
8	BlinkEnd	1026391904
8	Feed	1026391985
4	BlinkStart	1026392169
4	BlinkEnd	1026408148
4	Feed	1026408228
6	BlinkStart	1026408411
6	BlinkEnd	1026457407
6	Feed	1026457489
2	BlinkStart	1026457634
2	BlinkEnd	1027369319
2	Feed	1027369399
6	BlinkStart	1027369574
6	BlinkEnd	1027373479
0	StopTraining	1027373560
0	StopTraining	1027373560
0	StopTraining	1027373561
0	StopTraining	1027373562
0	StopTraining	1027373562
0	StopTraining	1027373563
