Friday, January 8, 2021	2:53:03 PM	Game1.txt	1300587798
Cued	Now	1300605514
9	BlinkStart	1300605515
9	BlinkEnd	1300664116
4	BlinkStart	1300664206
4	BlinkEnd	1300761454
4	Feed	1300761534
2	BlinkStart	1300761622
2	BlinkEnd	1300783834
2	Feed	1300783914
6	BlinkStart	1300784013
6	BlinkEnd	1300799742
6	Feed	1300799822
4	BlinkStart	1300799918
4	BlinkEnd	1301016174
4	Feed	1301016254
6	BlinkStart	1301016347
6	BlinkEnd	1301029809
6	Feed	1301029889
4	BlinkStart	1301029988
4	BlinkEnd	1301047056
4	Feed	1301047137
6	BlinkStart	1301047234
6	BlinkEnd	1301058150
6	Feed	1301058230
2	BlinkStart	1301058333
2	BlinkEnd	1301074993
2	Feed	1301075073
4	BlinkStart	1301075173
4	BlinkEnd	1301088026
4	Feed	1301088106
8	BlinkStart	1301088207
8	BlinkEnd	1301100128
8	Feed	1301100208
4	BlinkStart	1301100308
4	BlinkEnd	1301112691
4	Feed	1301112771
6	BlinkStart	1301112867
6	BlinkEnd	1301123653
6	Feed	1301123734
4	BlinkStart	1301123835
4	BlinkEnd	1301138426
4	Feed	1301138507
6	BlinkStart	1301138604
6	BlinkEnd	1301147053
6	Feed	1301147133
4	BlinkStart	1301147226
4	BlinkEnd	1301159481
4	Feed	1301159561
6	BlinkStart	1301159657
6	BlinkEnd	1301168308
6	Feed	1301168388
8	BlinkStart	1301168476
8	BlinkEnd	1301184278
8	Feed	1301184358
6	BlinkStart	1301184457
6	BlinkEnd	1301194237
6	Feed	1301194317
8	BlinkStart	1301194419
8	BlinkEnd	1301207139
8	Feed	1301207220
2	BlinkStart	1301207322
2	BlinkEnd	1301221040
2	Feed	1301221120
6	BlinkStart	1301221220
6	BlinkEnd	1301232538
6	Feed	1301232618
4	BlinkStart	1301232719
4	BlinkEnd	1301243242
4	Feed	1301243323
8	BlinkStart	1301243427
8	BlinkEnd	1301255262
8	Feed	1301255342
6	BlinkStart	1301255439
6	BlinkEnd	1301263885
6	Feed	1301263965
2	BlinkStart	1301264062
2	BlinkEnd	1301274112
2	Feed	1301274193
8	BlinkStart	1301274284
8	BlinkEnd	1301284741
8	Feed	1301284821
4	BlinkStart	1301284907
4	BlinkEnd	1301293630
4	Feed	1301293710
8	BlinkStart	1301293804
8	BlinkEnd	1301305393
8	Feed	1301305473
2	BlinkStart	1301305630
2	BlinkEnd	1301315955
2	Feed	1301316036
8	BlinkStart	1301316177
8	BlinkEnd	1301324316
8	Feed	1301324396
6	BlinkStart	1301324541
6	BlinkEnd	1301330796
6	Feed	1301330876
2	BlinkStart	1301331044
2	BlinkEnd	1301343627
2	Feed	1301343707
6	BlinkStart	1301343882
6	BlinkEnd	1301351848
6	Feed	1301351928
2	BlinkStart	1301352115
2	BlinkEnd	1301426375
2	Feed	1301426456
8	BlinkStart	1301426620
8	BlinkEnd	1301437605
8	Feed	1301437685
6	BlinkStart	1301437838
6	BlinkEnd	1301451507
6	Feed	1301451587
8	BlinkStart	1301451740
8	BlinkEnd	1301463204
8	Feed	1301463284
2	BlinkStart	1301463477
2	BlinkEnd	1301473097
2	Feed	1301473177
4	BlinkStart	1301473334
4	BlinkEnd	1301480250
4	Feed	1301480331
2	BlinkStart	1301480483
2	BlinkEnd	1301504645
2	Feed	1301504725
8	BlinkStart	1301504899
8	BlinkEnd	1301512466
8	Feed	1301512547
6	BlinkStart	1301512718
6	BlinkEnd	1301540278
6	Feed	1301540359
2	BlinkStart	1301540522
2	BlinkEnd	1301572629
2	Feed	1301572709
4	BlinkStart	1301572895
4	BlinkEnd	1301587396
4	Feed	1301587476
2	BlinkStart	1301587617
2	BlinkEnd	1301598357
2	Feed	1301598437
6	BlinkStart	1301598587
6	BlinkEnd	1301606645
6	Feed	1301606725
8	BlinkStart	1301606875
8	BlinkEnd	1301635721
8	Feed	1301635801
4	BlinkStart	1301635979
4	BlinkEnd	1301668004
4	Feed	1301668085
8	BlinkStart	1301668254
8	BlinkEnd	1301679769
8	Feed	1301679849
6	BlinkStart	1301680029
6	BlinkEnd	1301686720
6	Feed	1301686801
2	BlinkStart	1301686965
2	BlinkEnd	1301697824
2	Feed	1301697905
8	BlinkStart	1301698086
8	BlinkEnd	1301705036
8	Feed	1301705116
6	BlinkStart	1301705255
6	BlinkEnd	1301713190
6	Feed	1301713270
4	BlinkStart	1301713443
4	BlinkEnd	1301722680
4	Feed	1301722761
2	BlinkStart	1301722940
2	BlinkEnd	1301730568
2	Feed	1301730648
6	BlinkStart	1301730792
6	BlinkEnd	1301738521
6	Feed	1301738601
2	BlinkStart	1301738762
2	BlinkEnd	1301753761
2	Feed	1301753842
8	BlinkStart	1301753992
8	BlinkEnd	1301761583
8	Feed	1301761663
4	BlinkStart	1301761813
4	BlinkEnd	1301770078
4	Feed	1301770158
8	BlinkStart	1301770302
8	BlinkEnd	1301782103
8	Feed	1301782183
2	BlinkStart	1301782333
