Ver1.3	1300389321	StartFile	1/8/2021	2:49:45 PM	E:\BehavioralExperiments\Coco\RawData\010821\SoundData.txt	1300389321
1300761442	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1300761442
1300783834	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1300783834
1300799742	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1300799742
1301016174	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1301016174
1301029809	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1301029809
1301047056	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1301047056
1301058150	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1301058150
1301074992	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1301074992
1301088026	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1301088026
1301100128	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1301100128
1301112691	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1301112691
1301123653	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1301123653
1301138426	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1301138426
1301147054	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1301147054
1301159481	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1301159481
1301168308	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1301168308
1301184278	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1301184278
1301194238	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1301194238
1301207139	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1301207139
1301221040	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1301221040
1301232538	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1301232538
1301243242	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1301243242
1301255262	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1301255262
1301263885	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1301263885
1301274112	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1301274112
