Ver1.3	1372004246	StartFile	1/9/2021	10:43:20 AM	E:\BehavioralExperiments\Coco\RawData\010921\SoundData.txt	1372004246
1372532849	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1372532849
1373146790	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1373146790
1373161621	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1373161621
1373178866	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1373178866
1373194975	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1373194975
1373209880	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1373209880
1373225989	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1373225989
1373239089	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1373239089
1373260479	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1373260479
1373277991	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1373277991
1373288485	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1373288485
1373297241	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1373297241
1373311478	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1373311478
1373322173	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1373322173
1373336747	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1373336747
1373351382	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1373351382
1373380393	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1373380393
1373406057	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1373406057
1373421700	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1373421700
1373435408	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1373435408
1373455993	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1373455993
1373478246	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1373478246
1373493152	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1373493152
1373531586	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1373531586
1375123200	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1375123200
1375134841	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1375134841
1375146126	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1375146126
1375159829	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1375159829
1375170590	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1375170590
1375181820	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1375181820
1375191311	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1375191311
1375200537	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1375200537
1375238767	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1375238767
1375260159	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1375260159
1375273124	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1375273124
1375285157	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1375285157
1375354536	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1375354536
1375366166	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1375366166
1375378332	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1375378332
1375385818	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1375385818
1375395509	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1375395509
1375410355	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1375410355
1375417366	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1375417366
1375425788	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1375425788
1375440427	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1375440427
