Thursday, January 14, 2021	12:10:32 PM	Game1.txt	131999769
Cued	Now	132009086
9	BlinkStart	132009088
9	BlinkEnd	132365115
6,48	BlinkStart	132365214
6,48	BlinkEnd	132554840
6	Feed	132554920
48	Feed	132555000
8,53	BlinkStart	132555098
8,53	BlinkEnd	132567674
8	Feed	132567754
53	Feed	132567834
2,37	BlinkStart	132567925
2,37	BlinkEnd	132583048
2	Feed	132583128
37	Feed	132583208
4,43	BlinkStart	132583310
4,43	BlinkEnd	132590065
4	Feed	132590145
43	Feed	132590225
8	BlinkStart	132590325
8	BlinkEnd	132606173
8	0DropFeed	132606253
6,48	BlinkStart	132606360
6,48	BlinkEnd	132612524
6	Feed	132612604
48	Feed	132612684
4,43	BlinkStart	132612778
4,43	BlinkEnd	132627963
4	Feed	132628043
43	Feed	132628123
2,38	BlinkStart	132628214
2,38	BlinkEnd	132643738
2	Feed	132643818
38	Feed	132643898
4,42	BlinkStart	132643986
4,42	BlinkEnd	132654902
4	Feed	132654982
42	Feed	132655062
8,53	BlinkStart	132655150
8,53	BlinkEnd	132667265
8	Feed	132667345
53	Feed	132667426
4	BlinkStart	132667528
4	BlinkEnd	132678896
4	0DropFeed	132678976
2,38	BlinkStart	132679076
2,38	BlinkEnd	132685112
2	Feed	132685192
38	Feed	132685272
4,42	BlinkStart	132685374
4,42	BlinkEnd	132696074
4	Feed	132696154
42	Feed	132696234
6,48	BlinkStart	132696328
6,48	BlinkEnd	132708372
6	Feed	132708452
48	Feed	132708532
4,42	BlinkStart	132708622
4,42	BlinkEnd	132722611
4	Feed	132722692
42	Feed	132722772
2,38	BlinkStart	132722860
2,38	BlinkEnd	132730363
2	Feed	132730443
38	Feed	132730523
8	BlinkStart	132730611
8	BlinkEnd	132740927
8	0DropFeed	132741007
2	BlinkStart	132741100
2	BlinkEnd	132757567
2	0DropFeed	132757648
6,48	BlinkStart	132757756
6,48	BlinkEnd	132765055
6	Feed	132765135
48	Feed	132765215
2	BlinkStart	132765307
2	BlinkEnd	132778156
2	0DropFeed	132778236
4	BlinkStart	132778332
4	BlinkEnd	132785976
4	0DropFeed	132786057
8,52	BlinkStart	132786150
8,52	BlinkEnd	132798142
8	Feed	132798222
52	Feed	132798302
4	BlinkStart	132798395
4	BlinkEnd	132818593
4	0DropFeed	132818673
8,52	BlinkStart	132818765
8,52	BlinkEnd	132826615
8	Feed	132826695
52	Feed	132826775
6	BlinkStart	132826873
6	BlinkEnd	132833633
6	0DropFeed	132833713
2,37	BlinkStart	132833807
2,37	BlinkEnd	132845264
2	Feed	132845345
37	Feed	132845425
4,43	BlinkStart	132845518
4,43	BlinkEnd	132875208
4	Feed	132875288
43	Feed	132875368
8,52	BlinkStart	132875458
8,52	BlinkEnd	132884766
8	Feed	132884846
52	Feed	132884926
2,37	BlinkStart	132885091
2,37	BlinkEnd	132900274
2	Feed	132900354
37	Feed	132900434
6,47	BlinkStart	132900601
6,47	BlinkEnd	132908028
6	Feed	132908108
47	Feed	132908188
4,42	BlinkStart	132908359
4,42	BlinkEnd	132916718
4	Feed	132916798
42	Feed	132916878
8	BlinkStart	132917042
8	BlinkEnd	132926475
8	0DropFeed	132926555
2	BlinkStart	132926712
2	BlinkEnd	132935304
2	0DropFeed	132935384
4,43	BlinkStart	132935579
4,43	BlinkEnd	132940247
4	Feed	132940327
43	Feed	132940407
2,38	BlinkStart	132940585
2,38	BlinkEnd	132959360
2	Feed	132959440
38	Feed	132959520
8	BlinkStart	132959705
8	BlinkEnd	132967916
8	0DropFeed	132967996
2,38	BlinkStart	132968184
2,38	BlinkEnd	132976071
2	Feed	132976152
38	Feed	132976232
6	BlinkStart	132976373
6	BlinkEnd	132990915
6	0DropFeed	132990995
8,52	BlinkStart	132991176
8,52	BlinkEnd	132997727
8	Feed	132997807
52	Feed	132997888
6,47	BlinkStart	132998029
6,47	BlinkEnd	133009024
6	Feed	133009104
47	Feed	133009184
8	BlinkStart	133009343
8	BlinkEnd	133017645
8	0DropFeed	133017726
2,37	BlinkStart	133017904
2,37	BlinkEnd	133025399
2	Feed	133025479
37	Feed	133025560
8,53	BlinkStart	133025713
8,53	BlinkEnd	133033755
8	Feed	133033835
53	Feed	133033915
2	BlinkStart	133034076
2	BlinkEnd	133043519
2	0DropFeed	133043599
8	BlinkStart	133043772
8	BlinkEnd	133051467
8	0DropFeed	133051547
4	BlinkStart	133051717
4	BlinkEnd	133069179
4	0DropFeed	133069259
2,37	BlinkStart	133069437
2,37	BlinkEnd	133077004
2	Feed	133077084
37	Feed	133077164
8	BlinkStart	133077323
8	BlinkEnd	133084820
8	0DropFeed	133084900
6,48	BlinkStart	133085073
6,48	BlinkEnd	133089232
6	Feed	133089313
48	Feed	133089393
4,42	BlinkStart	133089564
4,42	BlinkEnd	133102266
4	Feed	133102346
42	Feed	133102427
6,48	BlinkStart	133102587
6,48	BlinkEnd	133112160
6	Feed	133112240
48	Feed	133112320
8,52	BlinkStart	133112473
8,52	BlinkEnd	133122652
8	Feed	133122732
52	Feed	133122812
2,37	BlinkStart	133122984
2,37	BlinkEnd	133132745
2	Feed	133132825
37	Feed	133132905
6,47	BlinkStart	133133047
6,47	BlinkEnd	133140365
6	Feed	133140445
47	Feed	133140525
4	BlinkStart	133140666
4	BlinkEnd	133160216
4	0DropFeed	133160296
2	BlinkStart	133160452
2	BlinkEnd	133164630
2	0DropFeed	133164710
6,48	BlinkStart	133164885
6,48	BlinkEnd	133170577
6	Feed	133170657
48	Feed	133170737
8,53	BlinkStart	133170874
8,53	BlinkEnd	133181071
8	Feed	133181151
53	Feed	133181232
4,43	BlinkStart	133181381
4,43	BlinkEnd	133192033
4	Feed	133192113
43	Feed	133192193
8,52	BlinkStart	133192393
8,52	BlinkEnd	133202794
8	Feed	133202874
52	Feed	133202955
2	BlinkStart	133203111
2	BlinkEnd	133211684
2	0DropFeed	133211765
6,47	BlinkStart	133211930
6,47	BlinkEnd	133217568
6	Feed	133217648
47	Feed	133217728
4,42	BlinkStart	133217886
4,42	BlinkEnd	133229265
4	Feed	133229345
42	Feed	133229425
8,53	BlinkStart	133229577
8,53	BlinkEnd	133239557
8	Feed	133239637
53	Feed	133239718
2,37	BlinkStart	133239871
2,37	BlinkEnd	133251925
2	Feed	133252005
37	Feed	133252086
4,42	BlinkStart	133252235
4,42	BlinkEnd	133258206
4	Feed	133258286
42	Feed	133258366
6,48	BlinkStart	133258524
6,48	BlinkEnd	133269570
6	Feed	133269651
48	Feed	133269731
2,38	BlinkStart	133269871
2,38	BlinkEnd	133282415
2	Feed	133282495
38	Feed	133282575
6	BlinkStart	133282757
6	BlinkEnd	133292428
6	0DropFeed	133292509
4,43	BlinkStart	133292702
4,43	BlinkEnd	133304399
4	Feed	133304479
43	Feed	133304560
6	BlinkStart	133304712
6	BlinkEnd	133315422
6	0DropFeed	133315502
2,37	BlinkStart	133315655
2,37	BlinkEnd	133323242
2	Feed	133323323
37	Feed	133323403
6	BlinkStart	133323549
6	BlinkEnd	133331733
6	0DropFeed	133331813
8	BlinkStart	133331995
8	BlinkEnd	133338827
8	0DropFeed	133338907
2,37	BlinkStart	133339094
2,37	BlinkEnd	133347440
2	Feed	133347520
37	Feed	133347600
4	BlinkStart	133347759
4	BlinkEnd	133354189
4	0DropFeed	133354269
2	BlinkStart	133354434
2	BlinkEnd	133359603
2	0DropFeed	133359683
4,43	BlinkStart	133359854
4,43	BlinkEnd	133364550
4	Feed	133364630
43	Feed	133364711
2	BlinkStart	133364871
2	BlinkEnd	133374575
2	0DropFeed	133374655
8	BlinkStart	133374840
8	BlinkEnd	133379990
8	0DropFeed	133380071
2,38	BlinkStart	133380252
2,38	BlinkEnd	133386876
2	Feed	133386956
38	Feed	133387036
8	BlinkStart	133387178
8	BlinkEnd	133395564
8	0DropFeed	133395644
6	BlinkStart	133395806
6	BlinkEnd	133399976
6	0DropFeed	133400056
2,37	BlinkStart	133400218
2,37	BlinkEnd	133407001
2	Feed	133407081
37	Feed	133407161
4,42	BlinkStart	133407307
4,42	BlinkEnd	133412875
4	Feed	133412955
42	Feed	133413035
6	BlinkStart	133413217
6	BlinkEnd	133422901
6	0DropFeed	133422981
4,42	BlinkStart	133423149
