Thursday, February 11, 2021	1:38:53 PM	Game1.txt	155076109
Cued	Now	155085975
9	BlinkStart	155085996
9	BlinkEnd	155242044
23,5	BlinkStart	155242144
23,5	BlinkEnd	155262487
5	0DropFeed	155262567
23	NoFeedAbort	155262647
1	BlinkStart	155272663
1	BlinkEnd	155274985
1	NoFeedLowProb	155275065
4,44	BlinkStart	155275073
4,44	BlinkEnd	155280334
4	Feed	155280414
44	Feed	155280494
1	BlinkStart	155280584
1	BlinkEnd	155292298
1	NoFeedLowProb	155292378
4,44	BlinkStart	155292404
4,44	BlinkEnd	155296108
4	Feed	155296188
44	Feed	155296268
1	BlinkStart	155296361
1	BlinkEnd	155309879
1	NoFeedLowProb	155309959
4,44	BlinkStart	155309985
4,44	BlinkEnd	155313619
4	Feed	155313699
44	Feed	155313779
22,1	BlinkStart	155313878
22,1	BlinkEnd	155325583
1	0DropFeed	155325664
22	Feed	155325745
4,44,6,50	BlinkStart	155325865
4,44,6,50	BlinkEnd	155328659
4	Feed	155328739
44	Feed	155328819
22,1	BlinkStart	155328914
22,1	BlinkEnd	155339887
1	0DropFeed	155339967
22	Feed	155340047
4,44,6,50	BlinkStart	155340158
4,44,6,50	BlinkEnd	155342696
4	Feed	155342776
44	Feed	155342857
22,1	BlinkStart	155342958
22,1	BlinkEnd	155353657
1	0DropFeed	155353737
22	Feed	155353817
4,44,6,50	BlinkStart	155353947
4,44,6,50	BlinkEnd	155356464
4	Feed	155356544
44	Feed	155356624
22,1	BlinkStart	155356714
22,1	BlinkEnd	155366103
1	0DropFeed	155366183
22	Feed	155366263
4,44,6,50	BlinkStart	155366349
4,44,6,50	BlinkEnd	155368769
4	Feed	155368849
44	Feed	155368929
22,1	BlinkStart	155369025
22,1	BlinkEnd	155377793
1	0DropFeed	155377873
22	Feed	155377953
4,44,6,50	BlinkStart	155378059
4,44,6,50	BlinkEnd	155380662
4	Feed	155380742
44	Feed	155380822
22,1	BlinkStart	155380916
22,1	BlinkEnd	155390420
1	0DropFeed	155390500
22	Feed	155390581
4,44,6,50	BlinkStart	155390668
4,44,6,50	BlinkEnd	155393026
4	Feed	155393107
44	Feed	155393187
22,1	BlinkStart	155393293
22,1	BlinkEnd	155402852
1	0DropFeed	155402932
22	Feed	155403012
4,44,6,50	BlinkStart	155403099
4,44,6,50	BlinkEnd	155405460
4	Feed	155405541
44	Feed	155405621
22,1	BlinkStart	155405719
22,1	BlinkEnd	155414816
1	0DropFeed	155414896
22	Feed	155414976
