Ver1.3	226725420	StartFile	2/12/2021	9:33:03 AM	E:\BehavioralExperiments\Gerald\Horizon\RawData\021221\SoundData.txt	226725420
226938522	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	226938522
226938724	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	226938724
226953144	Triggered	6,47,48,49,50,51,	 NoSound	40	2	226953144
226953350	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	226953350
226970049	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	226970049
226973780	Triggered	6,47,48,49,50,51,	 NoSound	40	2	226973780
226973983	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	226973983
226989303	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	226989303
226992611	Triggered	6,47,48,49,50,51,	 NoSound	40	2	226992611
226992814	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	226992814
227007171	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	227007171
227007376	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	227007376
227010360	Triggered	6,47,48,49,50,51,	 NoSound	40	2	227010360
227010563	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	227010563
227022333	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	227022333
227022536	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	227022536
227025703	Triggered	6,47,48,49,50,51,	 NoSound	40	2	227025703
227025907	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	227025907
227039421	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	227039421
227039634	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	227039634
227042669	Triggered	6,47,48,49,50,51,	 NoSound	40	2	227042669
227042872	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	227042872
227054281	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	227054281
227054486	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	227054486
227057350	Triggered	6,47,48,49,50,51,	 NoSound	40	2	227057350
227057553	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	227057553
227070406	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	227070406
227070611	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	227070611
227073895	Triggered	6,47,48,49,50,51,	 NoSound	40	2	227073895
227074098	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	227074098
227086350	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	227086350
227086553	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	227086553
227089539	Triggered	6,47,48,49,50,51,	 NoSound	40	2	227089539
227089742	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	227089742
227102173	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	227102173
227102376	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	227102376
227105182	Triggered	6,47,48,49,50,51,	 NoSound	40	2	227105182
227105384	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	227105384
227118429	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	227118429
227118634	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	227118634
227121547	Triggered	6,47,48,49,50,51,	 NoSound	40	2	227121547
227121750	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	227121750
227135143	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	227135143
227135348	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-11kHz	40	2	227135348
227139056	Triggered	6,47,48,49,50,51,	 NoSound	40	2	227139056
227139259	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	227139259
227153916	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	227153916
227154120	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	227154120
227156624	Triggered	6,47,48,49,50,51,	 NoSound	40	2	227156624
227156826	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	227156826
227171244	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	227171244
227171447	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	227171447
227173952	Triggered	6,47,48,49,50,51,	 NoSound	40	2	227173952
227174164	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	227174164
227186887	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	227186887
227187092	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	227187092
227189413	Triggered	6,47,48,49,50,51,	 NoSound	40	2	227189413
227189616	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	227189616
227200608	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	227200608
227200810	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-3kHz	40	2	227200810
227203312	Triggered	6,47,48,49,50,51,	 NoSound	40	2	227203312
227203514	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	227203514
227215044	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	227215044
227215247	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-2kHz	40	2	227215247
227217692	Triggered	6,47,48,49,50,51,	 NoSound	40	2	227217692
227217894	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	227217894
227233045	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	227233045
227233247	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-1kHz	40	2	227233247
227237124	Triggered	6,47,48,49,50,51,	 NoSound	40	2	227237124
227237327	Triggered	6,47,48,49,50,51,	 File_beep4	40	2	227237327
227249099	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	227249099
227249299	Triggered	1,14,15,16,17,18,19,20,21,22,	 StopSoundShort	40	2	227249299
227263478	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	227263478
227266791	Triggered	8,52,53,54,55,56,	 NoSound	40	2	227266791
227266992	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	227266992
227272923	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	227272923
227276113	Triggered	8,52,53,54,55,56,	 NoSound	40	2	227276113
227276314	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	227276314
227282489	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	227282489
227286280	Triggered	8,52,53,54,55,56,	 NoSound	40	2	227286280
227286481	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	227286481
227293742	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	227293742
227293947	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	227293947
227297231	Triggered	2,37,38,39,40,41,	 NoSound	40	2	227297231
227297434	Triggered	2,37,38,39,40,41,	 File_beep4	40	2	227297434
227312392	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	227312392
227312596	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	227312596
227315703	Triggered	2,37,38,39,40,41,	 NoSound	40	2	227315703
227315915	Triggered	2,37,38,39,40,41,	 File_beep4	40	2	227315915
227324906	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	227324906
227325111	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	227325111
227328457	Triggered	2,37,38,39,40,41,	 NoSound	40	2	227328457
227328660	Triggered	2,37,38,39,40,41,	 File_beep4	40	2	227328660
227336940	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	227336940
227337142	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	227337142
227340730	Triggered	2,37,38,39,40,41,	 NoSound	40	2	227340730
227340933	Triggered	2,37,38,39,40,41,	 File_beep4	40	2	227340933
227349695	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	227349695
227349908	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	227349908
227353488	Triggered	8,52,53,54,55,56,	 NoSound	40	2	227353488
227353688	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	227353688
227358780	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	227358780
227358984	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	227358984
227362089	Triggered	2,37,38,39,40,41,	 NoSound	40	2	227362089
227362291	Triggered	2,37,38,39,40,41,	 File_beep4	40	2	227362291
227370874	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	227370874
227371077	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	227371077
227374307	Triggered	2,37,38,39,40,41,	 NoSound	40	2	227374307
227374509	Triggered	2,37,38,39,40,41,	 File_beep4	40	2	227374509
227382606	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	227382606
227382821	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	227382821
227385914	Triggered	8,52,53,54,55,56,	 NoSound	40	2	227385914
227386115	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	227386115
227390848	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	227390848
227391062	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	227391062
227394218	Triggered	2,37,38,39,40,41,	 NoSound	40	2	227394218
227394420	Triggered	2,37,38,39,40,41,	 File_beep4	40	2	227394420
227403904	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	227403904
227404108	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-9kHz	40	2	227404108
227407275	Triggered	2,37,38,39,40,41,	 NoSound	40	2	227407275
227407478	Triggered	2,37,38,39,40,41,	 File_beep4	40	2	227407478
