Friday, February 19, 2021	9:48:27 AM	Game1.txt	832449363
Cued	Now	832457766
9	BlinkStart	832457790
9	BlinkEnd	832755409
23,5	BlinkStart	832755502
23,5	BlinkEnd	832782918
5	0DropFeed	832782998
23	NoFeedAbort	832783078
1	BlinkStart	832793094
1	BlinkEnd	832793362
1	NoFeedLowProb	832793442
6,47	BlinkStart	832793472
6,47	BlinkEnd	832798961
6	Feed	832799041
47	Feed	832799121
1	BlinkStart	832799227
1	BlinkEnd	832808194
1	NoFeedLowProb	832808274
6,47	BlinkStart	832808290
6,47	BlinkEnd	832812128
6	Feed	832812208
47	Feed	832812288
1	BlinkStart	832812393
1	BlinkEnd	832819480
1	NoFeedLowProb	832819561
6,47	BlinkStart	832819585
6,47	BlinkEnd	832823892
6	Feed	832823973
47	Feed	832824053
22,1	BlinkStart	832824145
22,1	BlinkEnd	832831645
1	0DropFeed	832831725
22	Feed	832831805
6,47,4	BlinkStart	832831906
6,47,4	BlinkEnd	832836257
4	0DropFeed	832836337
22,1	BlinkStart	832836434
22,1	BlinkEnd	832842205
1	0DropFeed	832842286
22	Feed	832842366
6,47,4	BlinkStart	832842460
6,47,4	BlinkEnd	832864068
4	0DropFeed	832864148
22,1	BlinkStart	832864245
22,1	BlinkEnd	832869343
1	0DropFeed	832869423
22	Feed	832869503
6,47,4	BlinkStart	832869604
6,47,4	BlinkEnd	832874824
6	Feed	832874904
47	Feed	832874985
22,1	BlinkStart	832875081
22,1	BlinkEnd	832883981
1	0DropFeed	832884061
22	Feed	832884141
6,47,4	BlinkStart	832884230
6,47,4	BlinkEnd	832888193
6	Feed	832888273
47	Feed	832888353
22,1	BlinkStart	832888443
22,1	BlinkEnd	832897349
1	0DropFeed	832897429
22	Feed	832897510
6,47,4	BlinkStart	832897602
6,47,4	BlinkEnd	832901361
6	Feed	832901441
47	Feed	832901521
22,1	BlinkStart	832901623
22,1	BlinkEnd	832907643
1	0DropFeed	832907723
22	Feed	832907804
6,47,4	BlinkStart	832907903
6,47,4	BlinkEnd	832911386
6	Feed	832911466
47	Feed	832911546
22,1	BlinkStart	832911647
22,1	BlinkEnd	832918538
1	0DropFeed	832918618
22	Feed	832918699
6,47,4	BlinkStart	832918805
6,47,4	BlinkEnd	832921950
6	Feed	832922030
47	Feed	832922110
22,1	BlinkStart	832922213
22,1	BlinkEnd	832928698
1	0DropFeed	832928778
22	Feed	832928858
6,47,4	BlinkStart	832928950
6,47,4	BlinkEnd	832932040
6	Feed	832932120
47	Feed	832932201
22,1	BlinkStart	832932304
22,1	BlinkEnd	832939659
1	0DropFeed	832939739
22	Feed	832939819
6,47,4	BlinkStart	832939917
6,47,4	BlinkEnd	832943136
6	Feed	832943216
47	Feed	832943296
21,1	BlinkStart	832943384
21,1	BlinkEnd	832949351
1	0DropFeed	832949431
21	Feed	832949512
6,47,4	BlinkStart	832949598
6,47,4	BlinkEnd	832952627
6	Feed	832952707
47	Feed	832952787
20,1	BlinkStart	832952888
20,1	BlinkEnd	832959049
1	0DropFeed	832959129
20	Feed	832959209
6,47,4	BlinkStart	832959352
6,47,4	BlinkEnd	832962391
6	Feed	832962471
47	Feed	832962551
19,1	BlinkStart	832962726
19,1	BlinkEnd	832976556
1	0DropFeed	832976636
19	Feed	832976716
6,47,4	BlinkStart	832976894
6,47,4	BlinkEnd	832980176
6	Feed	832980256
47	Feed	832980336
18,1	BlinkStart	832980525
18,1	BlinkEnd	832986582
1	0DropFeed	832986662
18	Feed	832986742
6,47,4	BlinkStart	832986896
6,47,4	BlinkEnd	832989923
6	Feed	832990003
47	Feed	832990083
17,1	BlinkStart	832990252
17,1	BlinkEnd	832997083
1	0DropFeed	832997163
17	Feed	832997244
6,47,4	BlinkStart	832997395
6,47,4	BlinkEnd	833000284
6	Feed	833000364
47	Feed	833000444
16,1	BlinkStart	833000589
16,1	BlinkEnd	833006768
1	0DropFeed	833006849
16	Feed	833006929
6,47,4	BlinkStart	833007077
6,47,4	BlinkEnd	833010379
6	Feed	833010459
47	Feed	833010539
14,1	BlinkStart	833010677
14,1	BlinkEnd	833016325
1	0DropFeed	833016405
14	NoFeedAbort	833016485
5	BlinkStart	833026547
5	BlinkEnd	833028358
5	NoFeedLowProb	833028438
2,39	BlinkStart	833028531
2,39	BlinkEnd	833031777
2	Feed	833031857
39	Feed	833031938
5	BlinkStart	833032093
5	BlinkEnd	833041125
5	NoFeedLowProb	833041205
2,39	BlinkStart	833041317
2,39	BlinkEnd	833044198
2	Feed	833044279
39	Feed	833044359
5	BlinkStart	833044540
5	BlinkEnd	833053556
5	NoFeedLowProb	833053636
2,39	BlinkStart	833053743
2,39	BlinkEnd	833063316
2	Feed	833063396
39	Feed	833063476
31,5	BlinkStart	833063631
31,5	BlinkEnd	833072479
5	0DropFeed	833072559
31	Feed	833072639
2,39,8,54	BlinkStart	833072794
2,39,8,54	BlinkEnd	833075482
2	Feed	833075562
39	Feed	833075643
31,5	BlinkStart	833075798
31,5	BlinkEnd	833084036
5	0DropFeed	833084116
31	Feed	833084196
2,39,8,54	BlinkStart	833084346
2,39,8,54	BlinkEnd	833086778
2	Feed	833086858
39	Feed	833086938
31,5	BlinkStart	833087100
31,5	BlinkEnd	833096335
5	0DropFeed	833096415
31	Feed	833096495
2,39,8,54	BlinkStart	833096654
2,39,8,54	BlinkEnd	833099208
2	Feed	833099288
39	Feed	833099368
31,5	BlinkStart	833099548
31,5	BlinkEnd	833106974
5	0DropFeed	833107054
31	Feed	833107134
2,39,8,54	BlinkStart	833107284
2,39,8,54	BlinkEnd	833109702
2	Feed	833109783
39	Feed	833109864
31,5	BlinkStart	833110016
31,5	BlinkEnd	833117723
5	0DropFeed	833117803
31	Feed	833117883
2,39,8,54	BlinkStart	833118051
2,39,8,54	BlinkEnd	833120599
2	Feed	833120679
39	Feed	833120759
31,5	BlinkStart	833120899
31,5	BlinkEnd	833129554
5	0DropFeed	833129634
31	Feed	833129714
2,39,8,54	BlinkStart	833129868
2,39,8,54	BlinkEnd	833132697
2	Feed	833132777
39	Feed	833132857
31,5	BlinkStart	833132997
31,5	BlinkEnd	833142589
5	0DropFeed	833142669
31	Feed	833142749
2,39,8,54	BlinkStart	833142930
2,39,8,54	BlinkEnd	833145328
2	Feed	833145408
39	Feed	833145488
31,5	BlinkStart	833145633
31,5	BlinkEnd	833153957
5	0DropFeed	833154037
31	Feed	833154117
2,39,8,54	BlinkStart	833154267
2,39,8,54	BlinkEnd	833156892
2	Feed	833156972
39	Feed	833157052
31,5	BlinkStart	833157191
31,5	BlinkEnd	833166584
5	0DropFeed	833166664
31	Feed	833166745
2,39,8,54	BlinkStart	833166907
2,39,8,54	BlinkEnd	833169391
2	Feed	833169471
39	Feed	833169552
30,5	BlinkStart	833169715
30,5	BlinkEnd	833178416
5	0DropFeed	833178496
30	Feed	833178576
2,39,8,54	BlinkStart	833178731
2,39,8,54	BlinkEnd	833181223
2	Feed	833181303
39	Feed	833181383
29,5	BlinkStart	833181527
29,5	BlinkEnd	833190246
5	0DropFeed	833190327
29	Feed	833190407
2,39,8,54	BlinkStart	833190580
2,39,8,54	BlinkEnd	833193119
2	Feed	833193200
39	Feed	833193280
28,5	BlinkStart	833193451
28,5	BlinkEnd	833201274
5	0DropFeed	833201354
28	Feed	833201434
2,39,8,54	BlinkStart	833201613
2,39,8,54	BlinkEnd	833204016
2	Feed	833204096
39	Feed	833204176
27,5	BlinkStart	833204330
27,5	BlinkEnd	833212437
5	0DropFeed	833212517
27	Feed	833212597
2,39,8,54	BlinkStart	833212758
2,39,8,54	BlinkEnd	833215513
2	Feed	833215594
39	Feed	833215674
26,5	BlinkStart	833215849
26,5	BlinkEnd	833224869
5	0DropFeed	833224949
26	Feed	833225029
2,39,8,54	BlinkStart	833225191
2,39,8,54	BlinkEnd	833227944
2	Feed	833228024
39	Feed	833228104
25,5	BlinkStart	833228280
25,5	BlinkEnd	833236900
5	0DropFeed	833236980
25	Feed	833237061
2,39,8,54	BlinkStart	833237226
2,39,8,54	BlinkEnd	833239976
2	Feed	833240056
39	Feed	833240137
23,5	BlinkStart	833240278
23,5	BlinkEnd	833248732
5	0DropFeed	833248812
23	NoFeedAbort	833248893
1	BlinkStart	833258971
1	BlinkEnd	833264438
1	NoFeedLowProb	833264518
4,43	BlinkStart	833264601
4,43	BlinkEnd	833267848
4	Feed	833267928
43	Feed	833268008
1	BlinkStart	833268168
1	BlinkEnd	833275869
1	NoFeedLowProb	833275949
4,43	BlinkStart	833276049
4,43	BlinkEnd	833278943
4	Feed	833279024
43	Feed	833279104
1	BlinkStart	833279263
1	BlinkEnd	833286697
1	NoFeedLowProb	833286777
4,43	BlinkStart	833286881
4,43	BlinkEnd	833289772
4	Feed	833289852
43	Feed	833289932
22,1	BlinkStart	833290098
22,1	BlinkEnd	833297325
1	0DropFeed	833297405
22	Feed	833297485
4,43,6,49	BlinkStart	833297637
4,43,6,49	BlinkEnd	833300201
4	Feed	833300281
43	Feed	833300361
22,1	BlinkStart	833300510
22,1	BlinkEnd	833308621
1	0DropFeed	833308702
22	Feed	833308782
4,43,6,49	BlinkStart	833308942
4,43,6,49	BlinkEnd	833311899
6	Feed	833311980
49	Feed	833312060
22,1	BlinkStart	833312226
22,1	BlinkEnd	833320653
1	0DropFeed	833320733
22	Feed	833320813
4,43,6,49	BlinkStart	833320984
4,43,6,49	BlinkEnd	833323727
6	Feed	833323808
49	Feed	833323889
22,1	BlinkStart	833324049
22,1	BlinkEnd	833331694
1	0DropFeed	833331774
22	Feed	833331854
4,43,6,49	BlinkStart	833332051
4,43,6,49	BlinkEnd	833334890
6	Feed	833334970
49	Feed	833335050
22,1	BlinkStart	833335210
22,1	BlinkEnd	833342777
1	0DropFeed	833342857
