Monday, February 22, 2021	1:34:43 PM	Game1.txt	1105226129
Cued	Now	1105276908
9	BlinkStart	1105276929
9	BlinkEnd	1105497853
23,5	BlinkStart	1105497946
23,5	BlinkEnd	1105519299
5	0DropFeed	1105519379
23	NoFeedAbort	1105519459
1	BlinkStart	1105529480
1	BlinkEnd	1105529745
1	NoFeedLowProb	1105529825
4,44	BlinkStart	1105529840
4,44	BlinkEnd	1105534664
4	Feed	1105534744
44	Feed	1105534824
1	BlinkStart	1105534925
1	BlinkEnd	1105545359
1	NoFeedLowProb	1105545439
4,44	BlinkStart	1105545468
4,44	BlinkEnd	1105548634
4	Feed	1105548714
44	Feed	1105548794
1	BlinkStart	1105548886
1	BlinkEnd	1105558058
1	NoFeedLowProb	1105558138
4,44	BlinkStart	1105558167
4,44	BlinkEnd	1105561200
4	Feed	1105561280
44	Feed	1105561360
22,1	BlinkStart	1105561461
22,1	BlinkEnd	1105570230
1	0DropFeed	1105570310
22	Feed	1105570390
4,44,6	BlinkStart	1105570493
4,44,6	BlinkEnd	1105573632
4	Feed	1105573712
44	Feed	1105573792
22,1	BlinkStart	1105573879
22,1	BlinkEnd	1105583062
1	0DropFeed	1105583142
22	Feed	1105583222
4,44,6	BlinkStart	1105583322
4,44,6	BlinkEnd	1105586008
4	Feed	1105586088
44	Feed	1105586168
22,1	BlinkStart	1105586271
22,1	BlinkEnd	1105594486
1	0DropFeed	1105594566
22	Feed	1105594646
4,44,6	BlinkStart	1105594741
4,44,6	BlinkEnd	1105597495
4	Feed	1105597575
44	Feed	1105597655
22,1	BlinkStart	1105597751
22,1	BlinkEnd	1105606451
1	0DropFeed	1105606531
22	Feed	1105606611
4,44,6	BlinkStart	1105606712
4,44,6	BlinkEnd	1105609326
4	Feed	1105609406
44	Feed	1105609486
22,1	BlinkStart	1105609586
22,1	BlinkEnd	1105617679
1	0DropFeed	1105617759
22	Feed	1105617840
4,44,6	BlinkStart	1105617944
4,44,6	BlinkEnd	1105620487
4	Feed	1105620567
44	Feed	1105620647
22,1	BlinkStart	1105620741
22,1	BlinkEnd	1105629589
1	0DropFeed	1105629669
22	Feed	1105629749
4,44,6	BlinkStart	1105629836
4,44,6	BlinkEnd	1105632385
4	Feed	1105632465
44	Feed	1105632545
22,1	BlinkStart	1105632632
22,1	BlinkEnd	1105641409
1	0DropFeed	1105641489
22	Feed	1105641570
4,44,6	BlinkStart	1105641678
4,44,6	BlinkEnd	1105644418
4	Feed	1105644498
44	Feed	1105644578
22,1	BlinkStart	1105644672
22,1	BlinkEnd	1105653307
1	0DropFeed	1105653387
22	Feed	1105653467
4,44,6	BlinkStart	1105653553
4,44,6	BlinkEnd	1105656047
4	Feed	1105656127
44	Feed	1105656207
22,1	BlinkStart	1105656310
22,1	BlinkEnd	1105664870
1	0DropFeed	1105664950
22	Feed	1105665030
4,44,6	BlinkStart	1105665128
4,44,6	BlinkEnd	1105668278
4	Feed	1105668358
44	Feed	1105668438
21,1	BlinkStart	1105668525
21,1	BlinkEnd	1105677637
1	0DropFeed	1105677717
21	Feed	1105677797
4,44,6	BlinkStart	1105677892
4,44,6	BlinkEnd	1105680647
4	Feed	1105680728
44	Feed	1105680808
20,1	BlinkStart	1105680896
20,1	BlinkEnd	1105689400
1	0DropFeed	1105689480
20	Feed	1105689560
4,44,6	BlinkStart	1105689711
4,44,6	BlinkEnd	1105692141
4	Feed	1105692221
44	Feed	1105692301
19,1	BlinkStart	1105692449
19,1	BlinkEnd	1105701231
1	0DropFeed	1105701311
19	Feed	1105701392
4,44,6	BlinkStart	1105701550
4,44,6	BlinkEnd	1105703779
4	Feed	1105703859
44	Feed	1105703939
18,1	BlinkStart	1105704120
18,1	BlinkEnd	1105713730
1	0DropFeed	1105713810
18	Feed	1105713891
4,44,6	BlinkStart	1105714073
4,44,6	BlinkEnd	1105716404
4	Feed	1105716484
44	Feed	1105716564
17,1	BlinkStart	1105716736
17,1	BlinkEnd	1105724826
1	0DropFeed	1105724906
17	Feed	1105724986
4,44,6	BlinkStart	1105725154
4,44,6	BlinkEnd	1105729037
6	0DropFeed	1105729117
16,1	BlinkStart	1105729275
16,1	BlinkEnd	1105743808
1	0DropFeed	1105743888
16	Feed	1105743968
4,44,6	BlinkStart	1105744155
4,44,6	BlinkEnd	1105747692
4	Feed	1105747772
44	Feed	1105747852
14,1	BlinkStart	1105747994
14,1	BlinkEnd	1105757245
1	0DropFeed	1105757325
14	NoFeedAbort	1105757405
5	BlinkStart	1105767490
5	BlinkEnd	1105772618
5	NoFeedLowProb	1105772699
2,37	BlinkStart	1105772785
2,37	BlinkEnd	1105775958
2	Feed	1105776038
37	Feed	1105776118
5	BlinkStart	1105776270
5	BlinkEnd	1105785585
5	NoFeedLowProb	1105785665
2,37	BlinkStart	1105785772
2,37	BlinkEnd	1105788931
2	Feed	1105789011
37	Feed	1105789091
5	BlinkStart	1105789260
5	BlinkEnd	1105796479
5	NoFeedLowProb	1105796559
2,37	BlinkStart	1105796655
2,37	BlinkEnd	1105799889
2	Feed	1105799969
37	Feed	1105800049
31,5	BlinkStart	1105800189
31,5	BlinkEnd	1105805970
5	0DropFeed	1105806050
31	Feed	1105806130
2,37,8,52	BlinkStart	1105806301
2,37,8,52	BlinkEnd	1105809315
8	Feed	1105809395
52	Feed	1105809475
31,5	BlinkStart	1105809636
