Tuesday, March 23, 2021	10:33:05 AM	Game1.txt	1083812169
Cued	Now	1083826746
9	BlinkStart	1083826767
9	BlinkEnd	1084107777
24,5	BlinkStart	1084107864
24,5	BlinkEnd	1084161517
5	0DropFeed	1084161597
24	NoFeedAbort	1084161678
23,1	BlinkStart	1084171693
23,1	BlinkEnd	1084174216
1	0DropFeed	1084174297
4,46,6,48	BlinkStart	1084174410
4,46,6,48	BlinkEnd	1084178560
6	Feed	1084178641
48	Feed	1084178721
22,1	BlinkStart	1084178815
22,1	BlinkEnd	1084188520
1	0DropFeed	1084188600
22	Feed	1084188680
4,46,6,48	BlinkStart	1084188779
4,46,6,48	BlinkEnd	1084192797
6	Feed	1084192877
48	Feed	1084192957
21,1	BlinkStart	1084193045
21,1	BlinkEnd	1084201360
1	0DropFeed	1084201440
21	Feed	1084201520
4,46,6,48	BlinkStart	1084201623
4,46,6,48	BlinkEnd	1084204767
6	Feed	1084204847
48	Feed	1084204927
20,1	BlinkStart	1084205018
20,1	BlinkEnd	1084212850
1	0DropFeed	1084212930
20	Feed	1084213010
4,46,6,48	BlinkStart	1084213106
4,46,6,48	BlinkEnd	1084215992
6	Feed	1084216072
48	Feed	1084216152
19,1	BlinkStart	1084216256
19,1	BlinkEnd	1084224145
1	0DropFeed	1084224225
19	Feed	1084224306
4,46,6,48	BlinkStart	1084224422
4,46,6,48	BlinkEnd	1084227355
6	Feed	1084227435
48	Feed	1084227516
18,1	BlinkStart	1084227606
18,1	BlinkEnd	1084234840
1	0DropFeed	1084234920
18	Feed	1084235000
4,46,6,48	BlinkStart	1084235102
4,46,6,48	BlinkEnd	1084238784
6	Feed	1084238864
48	Feed	1084238944
17,1	BlinkStart	1084239035
17,1	BlinkEnd	1084246806
1	0DropFeed	1084246886
17	Feed	1084246966
4,46,6,48	BlinkStart	1084247087
4,46,6,48	BlinkEnd	1084249947
6	Feed	1084250027
48	Feed	1084250108
16,1	BlinkStart	1084250212
16,1	BlinkEnd	1084257300
1	0DropFeed	1084257380
16	Feed	1084257460
4,46,6,48	BlinkStart	1084257562
4,46,6,48	BlinkEnd	1084260841
6	Feed	1084260921
48	Feed	1084261001
14,1	BlinkStart	1084261108
14,1	BlinkEnd	1084269265
1	0DropFeed	1084269345
14	NoFeedAbort	1084269425
27,5	BlinkStart	1084279439
27,5	BlinkEnd	1084287578
5	0DropFeed	1084287658
27	Feed	1084287738
8,54,2,38	BlinkStart	1084287825
8,54,2,38	BlinkEnd	1084291659
8	Feed	1084291739
54	Feed	1084291820
26,5	BlinkStart	1084291914
26,5	BlinkEnd	1084304690
5	0DropFeed	1084304770
26	Feed	1084304850
8,54,2,38	BlinkStart	1084304961
8,54,2,38	BlinkEnd	1084307229
8	Feed	1084307309
54	Feed	1084307389
25,5	BlinkStart	1084307485
25,5	BlinkEnd	1084337977
5	0DropFeed	1084338057
25	Feed	1084338137
8,54,2,38	BlinkStart	1084338263
8,54,2,38	BlinkEnd	1084341854
2	Feed	1084341934
38	Feed	1084342014
24,5	BlinkStart	1084342103
24,5	BlinkEnd	1084359572
5	0DropFeed	1084359653
24	NoFeedAbort	1084359733
23,1	BlinkStart	1084369747
23,1	BlinkEnd	1084372399
23	Feed	1084372479
6,47,4,43	BlinkStart	1084372590
6,47,4,43	BlinkEnd	1084376814
4	Feed	1084376894
43	Feed	1084376974
22,1	BlinkStart	1084377079
22,1	BlinkEnd	1084384699
1	0DropFeed	1084384779
22	Feed	1084384859
6,47,4,43	BlinkStart	1084385050
6,47,4,43	BlinkEnd	1084387841
6	Feed	1084387921
47	Feed	1084388001
21,1	BlinkStart	1084388155
21,1	BlinkEnd	1084399804
1	0DropFeed	1084399884
21	Feed	1084399964
6,47,4,43	BlinkStart	1084400117
6,47,4,43	BlinkEnd	1084403815
4	Feed	1084403895
43	Feed	1084403975
20,1	BlinkStart	1084404160
20,1	BlinkEnd	1084411837
