Thursday, April 8, 2021	11:04:59 AM	Game1.txt	942402658
Cued	Now	942412102
9	BlinkStart	942412123
9	BlinkEnd	942633819
24,5	BlinkStart	942633906
24,5	BlinkEnd	942747615
5	0DropFeed	942747695
24	NoFeedAbort	942747775
22,1	BlinkStart	942757792
22,1	BlinkEnd	942761060
1	0DropFeed	942761140
22	Feed	942761220
4,42,6,48	BlinkStart	942761324
4,42,6,48	BlinkEnd	942767675
4	Feed	942767755
42	Feed	942767835
21,1	BlinkStart	942767927
21,1	BlinkEnd	942781572
1	0DropFeed	942781652
21	Feed	942781732
4,42,6,48	BlinkStart	942781829
4,42,6,48	BlinkEnd	942786717
6	Feed	942786798
48	Feed	942786878
20,1	BlinkStart	942786969
20,1	BlinkEnd	942804496
1	0DropFeed	942804576
20	Feed	942804656
4,42,6,48	BlinkStart	942804743
4,42,6,48	BlinkEnd	942810179
6	Feed	942810259
48	Feed	942810339
19,1	BlinkStart	942810427
19,1	BlinkEnd	942821339
1	0DropFeed	942821419
19	Feed	942821499
4,42,6,48	BlinkStart	942821597
4,42,6,48	BlinkEnd	942825618
4	Feed	942825698
42	Feed	942825778
18,1	BlinkStart	942825881
18,1	BlinkEnd	942833505
1	0DropFeed	942833585
18	Feed	942833665
4,42,6,48	BlinkStart	942833752
4,42,6,48	BlinkEnd	942837782
4	Feed	942837862
42	Feed	942837943
17,1	BlinkStart	942838048
17,1	BlinkEnd	942845469
1	0DropFeed	942845549
17	Feed	942845629
4,42,6,48	BlinkStart	942845727
4,42,6,48	BlinkEnd	942849212
6	Feed	942849292
48	Feed	942849372
16,1	BlinkStart	942849459
16,1	BlinkEnd	942863449
1	0DropFeed	942863529
16	Feed	942863609
4,42,6,48	BlinkStart	942863696
4,42,6,48	BlinkEnd	942868130
6	Feed	942868210
48	Feed	942868291
14,1	BlinkStart	942868389
14,1	BlinkEnd	942877352
1	0DropFeed	942877432
14	NoFeedAbort	942877512
26,5	BlinkStart	942887528
26,5	BlinkEnd	942888989
5	0DropFeed	942889069
26	Feed	942889149
8,54,2	BlinkStart	942889241
8,54,2	BlinkEnd	942893260
2	0DropFeed	942893340
25,5	BlinkStart	942893434
25,5	BlinkEnd	942898006
5	0DropFeed	942898086
25	Feed	942898166
8,54,2	BlinkStart	942898270
8,54,2	BlinkEnd	942902618
8	Feed	942902698
54	Feed	942902778
24,5	BlinkStart	942902866
24,5	BlinkEnd	942916922
5	0DropFeed	942917002
24	NoFeedAbort	942917082
22,1	BlinkStart	942927096
22,1	BlinkEnd	942927360
1	0DropFeed	942927440
22	Feed	942927520
6,51,4,44	BlinkStart	942927618
6,51,4,44	BlinkEnd	942952616
4	Feed	942952696
44	Feed	942952776
21,1	BlinkStart	942952869
21,1	BlinkEnd	942963577
1	0DropFeed	942963658
21	Feed	942963738
6,51,4,44	BlinkStart	942963834
6,51,4,44	BlinkEnd	942967196
6	Feed	942967276
51	Feed	942967356
20,1	BlinkStart	942967442
20,1	BlinkEnd	942979286
1	0DropFeed	942979366
20	Feed	942979446
6,51,4,44	BlinkStart	942979534
6,51,4,44	BlinkEnd	942982294
6	Feed	942982375
51	Feed	942982455
19,1	BlinkStart	942982544
19,1	BlinkEnd	942993454
1	0DropFeed	942993534
19	Feed	942993614
6,51,4,44	BlinkStart	942993805
6,51,4,44	BlinkEnd	942996602
6	Feed	942996683
51	Feed	942996763
18,1	BlinkStart	942996931
18,1	BlinkEnd	943009765
1	0DropFeed	943009845
18	Feed	943009926
6,51,4,44	BlinkStart	943010076
6,51,4,44	BlinkEnd	943012904
6	Feed	943012984
51	Feed	943013064
17,1	BlinkStart	943013255
17,1	BlinkEnd	943026874
1	0DropFeed	943026954
17	Feed	943027035
6,51,4,44	BlinkStart	943027237
6,51,4,44	BlinkEnd	943029951
6	Feed	943030031
51	Feed	943030112
16,1	BlinkStart	943030257
16,1	BlinkEnd	943042381
1	0DropFeed	943042461
16	Feed	943042541
6,51,4,44	BlinkStart	943042695
6,51,4,44	BlinkEnd	943045792
6	Feed	943045872
51	Feed	943045952
14,1	BlinkStart	943046093
14,1	BlinkEnd	943059627
1	0DropFeed	943059707
14	NoFeedAbort	943059788
26,5	BlinkStart	943069852
26,5	BlinkEnd	943070322
5	0DropFeed	943070402
26	Feed	943070482
8,56,2	BlinkStart	943070635
8,56,2	BlinkEnd	943082753
2	0DropFeed	943082833
25,5	BlinkStart	943082991
25,5	BlinkEnd	943087165
5	0DropFeed	943087245
25	Feed	943087325
8,56,2	BlinkStart	943087482
8,56,2	BlinkEnd	943091782
8	Feed	943091862
56	Feed	943091943
24,5	BlinkStart	943092104
24,5	BlinkEnd	943108086
5	0DropFeed	943108166
24	NoFeedAbort	943108246
22,1	BlinkStart	943118316
22,1	BlinkEnd	943119784
1	0DropFeed	943119864
22	Feed	943119944
4,44,6	BlinkStart	943120117
4,44,6	BlinkEnd	943123526
6	0DropFeed	943123606
21,1	BlinkStart	943123761
21,1	BlinkEnd	943139168
1	0DropFeed	943139249
21	Feed	943139329
4,44,6	BlinkStart	943139483
4,44,6	BlinkEnd	943143178
4	Feed	943143258
44	Feed	943143338
20,1	BlinkStart	943143498
20,1	BlinkEnd	943152937
1	0DropFeed	943153017
20	Feed	943153097
4,44,6	BlinkStart	943153247
4,44,6	BlinkEnd	943156145
4	Feed	943156225
44	Feed	943156305
19,1	BlinkStart	943156447
19,1	BlinkEnd	943165637
1	0DropFeed	943165717
19	Feed	943165797
4,44,6	BlinkStart	943165974
4,44,6	BlinkEnd	943168377
4	Feed	943168457
44	Feed	943168537
18,1	BlinkStart	943168702
18,1	BlinkEnd	943177868
1	0DropFeed	943177948
18	Feed	943178028
4,44,6	BlinkStart	943178213
4,44,6	BlinkEnd	943180743
6	0DropFeed	943180823
17,1	BlinkStart	943180988
17,1	BlinkEnd	943184753
1	0DropFeed	943184833
17	Feed	943184913
4,44,6	BlinkStart	943185062
4,44,6	BlinkEnd	943189031
4	Feed	943189111
44	Feed	943189191
16,1	BlinkStart	943189349
16,1	BlinkEnd	943198522
1	0DropFeed	943198602
16	Feed	943198683
4,44,6	BlinkStart	943198843
4,44,6	BlinkEnd	943202272
