Monday, April 12, 2021	12:16:06 PM	Game1.txt	1292269444
Cued	Now	1292287209
9	BlinkStart	1292287273
9	BlinkEnd	1292577224
24,5	BlinkStart	1292577310
24,5	BlinkEnd	1292606094
5	0DropFeed	1292606174
24	NoFeedAbort	1292606254
22,1	BlinkStart	1292616272
22,1	BlinkEnd	1292626880
1	0DropFeed	1292626960
22	Feed	1292627040
6,48,4,44	BlinkStart	1292627139
6,48,4,44	BlinkEnd	1292631828
6	Feed	1292631908
48	Feed	1292631988
21,1	BlinkStart	1292632080
21,1	BlinkEnd	1292641786
1	0DropFeed	1292641866
21	Feed	1292641946
6,48,4,44	BlinkStart	1292642044
6,48,4,44	BlinkEnd	1292645530
4	Feed	1292645610
44	Feed	1292645690
20,1	BlinkStart	1292645782
20,1	BlinkEnd	1292659299
1	0DropFeed	1292659379
20	Feed	1292659459
6,48,4,44	BlinkStart	1292659557
6,48,4,44	BlinkEnd	1292663109
6	Feed	1292663190
48	Feed	1292663270
19,1	BlinkStart	1292663362
19,1	BlinkEnd	1292672137
1	0DropFeed	1292672217
19	Feed	1292672297
6,48,4,44	BlinkStart	1292672397
6,48,4,44	BlinkEnd	1292675875
4	Feed	1292675955
44	Feed	1292676035
18,1	BlinkStart	1292676125
18,1	BlinkEnd	1292686102
1	0DropFeed	1292686182
18	Feed	1292686262
6,48,4,44	BlinkStart	1292686358
6,48,4,44	BlinkEnd	1292689377
4	Feed	1292689457
44	Feed	1292689537
17,1	BlinkStart	1292689627
17,1	BlinkEnd	1292699804
1	0DropFeed	1292699884
17	Feed	1292699964
6,48,4,44	BlinkStart	1292700061
6,48,4,44	BlinkEnd	1292703147
4	Feed	1292703228
44	Feed	1292703308
16,1	BlinkStart	1292703399
16,1	BlinkEnd	1292712972
1	0DropFeed	1292713052
16	Feed	1292713132
6,48,4,44	BlinkStart	1292713228
6,48,4,44	BlinkEnd	1292716448
4	Feed	1292716528
44	Feed	1292716609
14,1	BlinkStart	1292716698
