Wednesday, April 14, 2021	3:59:34 PM	Game1.txt	65514959
Cued	Now	65528978
9	BlinkStart	65529080
9	BlinkEnd	65859292
23,5	BlinkStart	65859381
23,5	BlinkEnd	65932894
5	0DropFeed	65932974
23	NoFeedAbort	65933054
1	BlinkStart	65943070
1	BlinkEnd	65969323
1	NoFeedLowProb	65969403
4,46	BlinkStart	65969432
4,46	BlinkEnd	65974069
4	Feed	65974150
46	Feed	65974230
1	BlinkStart	65974334
1	BlinkEnd	65991915
1	NoFeedLowProb	65991995
4,44	BlinkStart	65992028
4,44	BlinkEnd	65994990
4	Feed	65995070
44	Feed	65995150
1	BlinkStart	65995249
1	BlinkEnd	66008893
1	NoFeedLowProb	66008973
4,44	BlinkStart	66008984
4,44	BlinkEnd	66012369
4	Feed	66012449
44	Feed	66012529
21,1	BlinkStart	66012618
21,1	BlinkEnd	66023998
1	0DropFeed	66024078
21	Feed	66024158
4,45,6,47	BlinkStart	66024263
4,45,6,47	BlinkEnd	66027346
4	Feed	66027426
45	Feed	66027506
20,1	BlinkStart	66027594
20,1	BlinkEnd	66039037
1	0DropFeed	66039117
20	Feed	66039197
4,42,6,51	BlinkStart	66039313
4,42,6,51	BlinkEnd	66041845
4	Feed	66041925
42	Feed	66042005
19,1	BlinkStart	66042093
19,1	BlinkEnd	66050669
1	0DropFeed	66050749
19	Feed	66050829
4,46,6,48	BlinkStart	66050946
4,46,6,48	BlinkEnd	66054083
4	Feed	66054163
46	Feed	66054243
18,1	BlinkStart	66054360
18,1	BlinkEnd	66065239
1	0DropFeed	66065319
18	Feed	66065399
4,46,6,48	BlinkStart	66065523
4,46,6,48	BlinkEnd	66067979
4	Feed	66068059
46	Feed	66068139
17,1	BlinkStart	66068232
17,1	BlinkEnd	66079211
1	0DropFeed	66079292
17	Feed	66079372
4,45,6,47	BlinkStart	66079470
4,45,6,47	BlinkEnd	66081885
4	Feed	66081965
45	Feed	66082045
16,1	BlinkStart	66082136
16,1	BlinkEnd	66092511
1	0DropFeed	66092591
16	Feed	66092672
4,43,6,50	BlinkStart	66092787
4,43,6,50	BlinkEnd	66095585
4	Feed	66095665
43	Feed	66095745
14,1	BlinkStart	66095834
14,1	BlinkEnd	66104008
1	0DropFeed	66104088
14	NoFeedAbort	66104168
5	BlinkStart	66114184
5	BlinkEnd	66123391
5	NoFeedLowProb	66123471
8,54	BlinkStart	66123502
8,54	BlinkEnd	66127133
8	Feed	66127213
54	Feed	66127293
5	BlinkStart	66127397
5	BlinkEnd	66139766
5	NoFeedLowProb	66139846
8,54	BlinkStart	66139872
8,54	BlinkEnd	66143443
8	Feed	66143523
54	Feed	66143604
5	BlinkStart	66143697
5	BlinkEnd	66154873
5	NoFeedLowProb	66154953
8,55	BlinkStart	66154985
8,55	BlinkEnd	66158415
8	Feed	66158495
55	Feed	66158575
30,5	BlinkStart	66158665
30,5	BlinkEnd	66172786
5	0DropFeed	66172866
30	Feed	66172946
8,53,2,41	BlinkStart	66173062
8,53,2,41	BlinkEnd	66176131
8	Feed	66176211
53	Feed	66176291
29,5	BlinkStart	66176469
29,5	BlinkEnd	66185352
5	0DropFeed	66185432
29	Feed	66185512
8,56,2,41	BlinkStart	66185671
8,56,2,41	BlinkEnd	66188561
8	Feed	66188641
56	Feed	66188722
28,5	BlinkStart	66188873
28,5	BlinkEnd	66202797
5	0DropFeed	66202877
28	Feed	66202957
8,55,2,40	BlinkStart	66203147
8,55,2,40	BlinkEnd	66205471
8	Feed	66205551
55	Feed	66205631
27,5	BlinkStart	66205795
27,5	BlinkEnd	66218172
5	0DropFeed	66218253
27	Feed	66218333
8,56,2,40	BlinkStart	66218496
8,56,2,40	BlinkEnd	66221178
8	Feed	66221258
56	Feed	66221338
26,5	BlinkStart	66221497
26,5	BlinkEnd	66235817
5	0DropFeed	66235897
26	Feed	66235977
8,53,2,37	BlinkStart	66236128
8,53,2,37	BlinkEnd	66239092
8	Feed	66239172
53	Feed	66239253
25,5	BlinkStart	66239398
25,5	BlinkEnd	66249386
5	0DropFeed	66249466
25	Feed	66249547
8,52,2,37	BlinkStart	66249726
8,52,2,37	BlinkEnd	66252661
8	Feed	66252741
52	Feed	66252821
23,5	BlinkStart	66252960
23,5	BlinkEnd	66259411
5	0DropFeed	66259491
23	NoFeedAbort	66259571
1	BlinkStart	66269675
1	BlinkEnd	66279130
1	NoFeedLowProb	66279210
4,42	BlinkStart	66279312
4,42	BlinkEnd	66282204
4	Feed	66282284
42	Feed	66282364
1	BlinkStart	66282516
1	BlinkEnd	66289557
1	NoFeedLowProb	66289637
4,45	BlinkStart	66289739
4,45	BlinkEnd	66292631
4	Feed	66292711
45	Feed	66292791
1	BlinkStart	66292932
1	BlinkEnd	66303861
1	NoFeedLowProb	66303941
4,46	BlinkStart	66304023
4,46	BlinkEnd	66306400
4	Feed	66306481
46	Feed	66306561
21,1	BlinkStart	66306712
21,1	BlinkEnd	66317429
1	0DropFeed	66317509
21	Feed	66317590
6,4	BlinkStart	66317733
6,4	BlinkEnd	66320371
4	0DropFeed	66320451
20,1	BlinkStart	66320606
20,1	BlinkEnd	66325589
1	0DropFeed	66325669
20	Feed	66325749
4,44,6,47	BlinkStart	66325906
4,44,6,47	BlinkEnd	66328925
6	Feed	66329005
47	Feed	66329085
19,1	BlinkStart	66329251
19,1	BlinkEnd	66334540
1	0DropFeed	66334620
19	Feed	66334700
4,43,6	BlinkStart	66334859
4,43,6	BlinkEnd	66337682
4	Feed	66337762
43	Feed	66337842
18,1	BlinkStart	66337992
18,1	BlinkEnd	66345168
1	0DropFeed	66345248
18	Feed	66345328
4,44,6,50	BlinkStart	66345484
4,44,6,50	BlinkEnd	66348913
6	Feed	66348993
50	Feed	66349074
17,1	BlinkStart	66349228
17,1	BlinkEnd	66364886
1	0DropFeed	66364966
17	Feed	66365046
4,46,6,48	BlinkStart	66365221
4,46,6,48	BlinkEnd	66368098
4	Feed	66368179
46	Feed	66368259
16,1	BlinkStart	66368432
16,1	BlinkEnd	66378990
1	0DropFeed	66379070
16	Feed	66379150
6,4	BlinkStart	66379310
6,4	BlinkEnd	66381462
4	0DropFeed	66381542
14,1	BlinkStart	66381682
14,1	BlinkEnd	66385608
1	0DropFeed	66385688
14	NoFeedAbort	66385769
5	BlinkStart	66395841
5	BlinkEnd	66397571
5	NoFeedLowProb	66397651
2,38	BlinkStart	66397724
2,38	BlinkEnd	66400646
2	Feed	66400726
38	Feed	66400806
5	BlinkStart	66401008
5	BlinkEnd	66409074
5	NoFeedLowProb	66409154
2,40	BlinkStart	66409246
2,40	BlinkEnd	66412009
2	Feed	66412089
40	Feed	66412170
5	BlinkStart	66412325
5	BlinkEnd	66421500
5	NoFeedLowProb	66421581
2,41	BlinkStart	66421689
2,41	BlinkEnd	66424843
2	Feed	66424923
41	Feed	66425004
30,5	BlinkStart	66425159
30,5	BlinkEnd	66435537
5	0DropFeed	66435617
30	Feed	66435698
2,38,8,56	BlinkStart	66435871
2,38,8,56	BlinkEnd	66438546
8	Feed	66438626
56	Feed	66438706
29,5	BlinkStart	66438884
29,5	BlinkEnd	66454052
5	0DropFeed	66454132
29	Feed	66454213
2,40,8,52	BlinkStart	66454385
2,40,8,52	BlinkEnd	66457460
8	Feed	66457540
52	Feed	66457621
28,5	BlinkStart	66457774
28,5	BlinkEnd	66465414
5	0DropFeed	66465494
28	Feed	66465575
2,38,8,56	BlinkStart	66465730
2,38,8,56	BlinkEnd	66468556
8	Feed	66468636
56	Feed	66468716
27,5	BlinkStart	66468883
27,5	BlinkEnd	66486204
5	0DropFeed	66486284
27	Feed	66486364
8,54,2	BlinkStart	66486526
8,54,2	BlinkEnd	66489410
8	Feed	66489490
54	Feed	66489570
26,5	BlinkStart	66489758
26,5	BlinkEnd	66499838
5	0DropFeed	66499918
26	Feed	66499998
2,40,8,54	BlinkStart	66500146
2,40,8,54	BlinkEnd	66502912
8	Feed	66502992
54	Feed	66503072
25,5	BlinkStart	66503225
25,5	BlinkEnd	66513807
5	0DropFeed	66513887
25	Feed	66513968
8,2	BlinkStart	66514117
8,2	BlinkEnd	66516814
8	0DropFeed	66516894
23,5	BlinkStart	66517060
23,5	BlinkEnd	66521428
5	0DropFeed	66521509
23	NoFeedAbort	66521589
1	BlinkStart	66531653
1	BlinkEnd	66542147
1	NoFeedLowProb	66542229
6	BlinkStart	66542311
6	BlinkEnd	66545557
6	0DropFeed	66545637
1	BlinkStart	66545803
1	BlinkEnd	66557856
1	NoFeedLowProb	66557936
6	BlinkStart	66558022
6	BlinkEnd	66562669
6	0DropFeed	66562749
1	BlinkStart	66562909
1	BlinkEnd	66566945
1	NoFeedLowProb	66567025
6,49	BlinkStart	66567129
6,49	BlinkEnd	66572226
6	Feed	66572306
49	Feed	66572386
21,1	BlinkStart	66572560
21,1	BlinkEnd	66584058
1	0DropFeed	66584138
21	Feed	66584218
6,48,4,44	BlinkStart	66584393
6,48,4,44	BlinkEnd	66587604
4	Feed	66587685
44	Feed	66587765
20,1	BlinkStart	66587923
20,1	BlinkEnd	66595754
1	0DropFeed	66595834
20	Feed	66595914
6,49,4	BlinkStart	66596061
6,49,4	BlinkEnd	66598962
6	Feed	66599042
49	Feed	66599122
19,1	BlinkStart	66599263
19,1	BlinkEnd	66605780
1	0DropFeed	66605860
19	Feed	66605941
6,48,4	BlinkStart	66606096
6,48,4	BlinkEnd	66608588
4	0DropFeed	66608668
18,1	BlinkStart	66608877
18,1	BlinkEnd	66612932
1	0DropFeed	66613012
18	Feed	66613092
6,49,4,45	BlinkStart	66613249
6,49,4,45	BlinkEnd	66617946
6	Feed	66618026
49	Feed	66618106
17,1	BlinkStart	66618265
17,1	BlinkEnd	66625299
1	0DropFeed	66625379
17	Feed	66625459
6,47,4,44	BlinkStart	66625609
6,47,4,44	BlinkEnd	66628842
4	Feed	66628923
44	Feed	66629003
16,1	BlinkStart	66629163
16,1	BlinkEnd	66637195
1	0DropFeed	66637275
16	Feed	66637355
6,47,4,42	BlinkStart	66637537
6,47,4,42	BlinkEnd	66641205
6	Feed	66641285
47	Feed	66641365
14,1	BlinkStart	66641505
14,1	BlinkEnd	66646353
1	0DropFeed	66646433
14	NoFeedAbort	66646513
5	BlinkStart	66656592
5	BlinkEnd	66658451
5	NoFeedLowProb	66658532
8,53	BlinkStart	66658635
8,53	BlinkEnd	66661594
8	Feed	66661674
53	Feed	66661754
5	BlinkStart	66661900
5	BlinkEnd	66671485
5	NoFeedLowProb	66671565
8,54	BlinkStart	66671666
8,54	BlinkEnd	66674693
8	Feed	66674773
54	Feed	66674853
5	BlinkStart	66675013
5	BlinkEnd	66686524
5	NoFeedLowProb	66686604
8,56	BlinkStart	66686691
8,56	BlinkEnd	66690202
8	Feed	66690282
56	Feed	66690362
30,5	BlinkStart	66690519
30,5	BlinkEnd	66704839
5	0DropFeed	66704919
30	Feed	66704999
2,39,8	BlinkStart	66705160
2,39,8	BlinkEnd	66708382
8	0DropFeed	66708462
29,5	BlinkStart	66708618
29,5	BlinkEnd	66740531
5	0DropFeed	66740612
29	Feed	66740692
8,54,2,39	BlinkStart	66740864
8,54,2,39	BlinkEnd	66744073
2	Feed	66744153
39	Feed	66744234
28,5	BlinkStart	66744397
28,5	BlinkEnd	66756508
5	0DropFeed	66756588
28	Feed	66756668
2,37,8	BlinkStart	66756843
2,37,8	BlinkEnd	66760853
8	0DropFeed	66760933
27,5	BlinkStart	66761113
27,5	BlinkEnd	66765330
5	0DropFeed	66765410
27	Feed	66765490
8,53,2,41	BlinkStart	66765645
8,53,2,41	BlinkEnd	66769073
2	Feed	66769153
41	Feed	66769233
26,5	BlinkStart	66769402
26,5	BlinkEnd	66783309
5	0DropFeed	66783389
26	Feed	66783469
8,53,2,37	BlinkStart	66783631
8,53,2,37	BlinkEnd	66786584
8	Feed	66786664
53	Feed	66786744
25,5	BlinkStart	66786903
25,5	BlinkEnd	66796010
5	0DropFeed	66796090
25	Feed	66796170
8,53,2	BlinkStart	66796332
8,53,2	BlinkEnd	66798749
8	Feed	66798829
53	Feed	66798909
23,5	BlinkStart	66799049
23,5	BlinkEnd	66808174
5	0DropFeed	66808254
23	NoFeedAbort	66808334
1	BlinkStart	66818412
1	BlinkEnd	66830098
1	NoFeedLowProb	66830178
6,51	BlinkStart	66830264
6,51	BlinkEnd	66833974
6	Feed	66834055
51	Feed	66834135
1	BlinkStart	66834293
1	BlinkEnd	66844535
1	NoFeedLowProb	66844616
6	BlinkStart	66844715
6	BlinkEnd	66848147
6	0DropFeed	66848227
1	BlinkStart	66848379
1	BlinkEnd	66852021
1	NoFeedLowProb	66852102
6,50	BlinkStart	66852200
6,50	BlinkEnd	66856233
6	Feed	66856313
50	Feed	66856393
21,1	BlinkStart	66856543
21,1	BlinkEnd	66865457
1	0DropFeed	66865537
21	Feed	66865618
6,51,4,43	BlinkStart	66865788
6,51,4,43	BlinkEnd	66868598
4	Feed	66868678
43	Feed	66868758
20,1	BlinkStart	66868927
20,1	BlinkEnd	66877755
1	0DropFeed	66877836
20	Feed	66877916
6,48,4,45	BlinkStart	66878091
6,48,4,45	BlinkEnd	66882033
4	Feed	66882113
45	Feed	66882194
19,1	BlinkStart	66882355
19,1	BlinkEnd	66892260
1	0DropFeed	66892340
19	Feed	66892420
6,47,4,42	BlinkStart	66892595
6,47,4,42	BlinkEnd	66894534
4	Feed	66894615
42	Feed	66894695
18,1	BlinkStart	66894873
18,1	BlinkEnd	66902420
1	0DropFeed	66902500
18	Feed	66902580
6,51,4	BlinkStart	66902749
6,51,4	BlinkEnd	66906831
6	Feed	66906911
51	Feed	66906991
17,1	BlinkStart	66907137
17,1	BlinkEnd	66916391
1	0DropFeed	66916472
17	Feed	66916553
4,6	BlinkStart	66916701
4,6	BlinkEnd	66919598
4	0DropFeed	66919678
16,1	BlinkStart	66919831
16,1	BlinkEnd	66925018
1	0DropFeed	66925098
16	Feed	66925178
4,6	BlinkStart	66925319
4,6	BlinkEnd	66929424
6	0DropFeed	66929504
14,1	BlinkStart	66929669
14,1	BlinkEnd	66936643
1	0DropFeed	66936724
14	NoFeedAbort	66936804
5	BlinkStart	66946873
5	BlinkEnd	66950879
5	NoFeedLowProb	66950959
8,55	BlinkStart	66951056
