Friday, July 3, 2020	11:48:19 AM	Game1.txt	390555851
Cued	Now	390624215
9	BlinkStart	390624231
2	KBWrong2	390775847
6	KBWrong6	390776384
7	KBWrong7	390776608
2	KBWrong2	390787120
6	KBWrong6	390787344
7	KBWrong7	390787584
3	KBWrong3	390790144
3	KBWrong3	390790345
6	KBWrong6	390790545
9	BlinkEnd	391051761
6	BlinkStart	391051849
6	BlinkEnd	391623755
6	Feed	391623835
4	BlinkStart	391623921
4	BlinkEnd	391653897
4	Feed	391653977
8	BlinkStart	391654076
8	BlinkEnd	391824769
8	Feed	391824849
4	BlinkStart	391824951
4	BlinkEnd	391877956
4	Feed	391878036
2	BlinkStart	391878135
2	BlinkEnd	391914777
2	Feed	391914857
6	BlinkStart	391914956
6	BlinkEnd	391944800
6	Feed	391944880
4	BlinkStart	391944968
4	BlinkEnd	391997084
4	Feed	391997164
6	BlinkStart	391997254
6	BlinkEnd	392016577
6	Feed	392016658
8	BlinkStart	392016758
8	BlinkEnd	392039441
8	Feed	392039522
2	BlinkStart	392039622
2	BlinkEnd	392067418
2	Feed	392067498
8	BlinkStart	392067597
8	BlinkEnd	392102085
8	Feed	392102165
2	BlinkStart	392102273
2	BlinkEnd	392113204
2	Feed	392113285
6	BlinkStart	392113386
6	BlinkEnd	392388284
6	Feed	392388364
2	BlinkStart	392388465
2	BlinkEnd	392421313
2	Feed	392421393
4	BlinkStart	392421488
4	BlinkEnd	392442854
4	Feed	392442934
2	BlinkStart	392443021
2	BlinkEnd	392458074
2	Feed	392458154
4	BlinkStart	392458254
4	BlinkEnd	392507412
4	Feed	392507492
8	BlinkStart	392507591
8	BlinkEnd	392551271
8	Feed	392551351
6	BlinkStart	392551451
6	BlinkEnd	392644831
6	Feed	392644911
8	BlinkStart	392645006
8	BlinkEnd	392656207
8	Feed	392656287
2	BlinkStart	392656391
2	BlinkEnd	392674612
2	Feed	392674692
4	BlinkStart	392674791
4	BlinkEnd	392761432
4	Feed	392761512
8	BlinkStart	392761599
8	BlinkEnd	392791814
8	Feed	392791894
4	BlinkStart	392791983
4	BlinkEnd	392869129
4	Feed	392869209
8	BlinkStart	392869320
8	BlinkEnd	393053596
8	Feed	393053676
4	BlinkStart	393053763
4	BlinkEnd	393070143
4	Feed	393070223
8	BlinkStart	393070318
8	BlinkEnd	393106784
8	Feed	393106864
6	BlinkStart	393106963
6	BlinkEnd	393133029
6	Feed	393133109
2	BlinkStart	393133269
2	BlinkEnd	393157261
2	Feed	393157342
8	BlinkStart	393157517
8	BlinkEnd	393214179
8	Feed	393214259
2	BlinkStart	393214424
2	BlinkEnd	393231218
2	Feed	393231298
8	BlinkStart	393231480
8	BlinkEnd	393321154
8	Feed	393321234
6	BlinkStart	393321412
6	BlinkEnd	393414832
6	Feed	393414912
4	BlinkStart	393415087
4	BlinkEnd	393479511
4	Feed	393479591
2	BlinkStart	393479770
2	BlinkEnd	393512362
2	Feed	393512442
6	BlinkStart	393512609
6	BlinkEnd	393590879
6	Feed	393590960
8	BlinkStart	393591130
8	BlinkEnd	393608158
8	Feed	393608239
2	BlinkStart	393608405
2	BlinkEnd	393623788
2	Feed	393623868
4	BlinkStart	393624022
4	BlinkEnd	393673486
4	Feed	393673566
2	BlinkStart	393673721
2	BlinkEnd	393732395
2	Feed	393732475
6	BlinkStart	393732663
6	BlinkEnd	393793396
6	Feed	393793476
2	BlinkStart	393793655
2	BlinkEnd	393853742
2	Feed	393853822
6	BlinkStart	393853973
6	BlinkEnd	393933644
6	Feed	393933724
2	BlinkStart	393933907
2	BlinkEnd	394074430
0	StopTraining	394074511
0	StopTraining	394074511
0	StopTraining	394074512
0	StopTraining	394074513
0	StopTraining	394074513
0	StopTraining	394074514
