Ver1.3	1015085584	StartFile	7/10/2020	5:17:09 PM	E:\BehavioralExperiments\Gerald\RawData\071020\SoundData.txt	1015085584
1015498092	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1015498092
1015637922	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1015637922
1015669873	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1015669873
1015700351	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1015700351
1015711782	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1015711782
1016122586	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1016122586
1016137634	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1016137634
1016152330	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1016152330
1016574632	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1016574632
1016594885	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1016594885
1016615805	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1016615805
1016649961	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1016649961
1016676972	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1016676972
