Ver1.3	1596982131	StartFile	7/17/2020	10:55:25 AM	E:\BehavioralExperiments\Gerald\RawData\071720\SoundData.txt	1596982131
1597320208	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1597320208
1597384710	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1597384710
1597432634	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1597432634
1597813028	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1597813028
1597981077	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1597981077
1597992027	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1597992027
1598022911	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1598022911
1598048173	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1598048173
1598056529	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1598056529
1598099373	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1598099373
1598115549	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1598115549
1598143021	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1598143021
1598164409	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1598164409
1598177242	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1598177242
1598209869	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1598209869
1598220355	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1598220355
1598247693	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1598247693
1598259657	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1598259657
1598278040	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1598278040
1598325431	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1598325431
1598335723	Triggered	6,47,48,49,50,51,	 File_beep1	40	2	1598335723
1598399825	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1598399825
1598420210	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	1598420210
1598431912	Triggered	2,37,38,39,40,41,	 File_beep1	40	2	1598431912
1598442402	Triggered	8,52,53,54,55,56,	 File_beep1	40	2	1598442402
