Tuesday, July 21, 2020	9:57:13 AM	Game1.txt	1939090034
Cued	Now	1939110483
9	BlinkStart	1939110510
9	BlinkEnd	1939374822
2	BlinkStart	1939374909
2	BlinkEnd	1940144990
2	Feed	1940145071
6	BlinkStart	1940145170
6	BlinkEnd	1940173149
6	Feed	1940173230
4	BlinkStart	1940173331
4	BlinkEnd	1940185001
4	Feed	1940185081
6	BlinkStart	1940185179
6	BlinkEnd	1940207683
6	Feed	1940207763
8	BlinkStart	1940207859
8	BlinkEnd	1940222123
8	Feed	1940222203
2	BlinkStart	1940222303
2	BlinkEnd	1940239871
2	Feed	1940239951
8	BlinkStart	1940240051
8	BlinkEnd	1940259607
8	Feed	1940259687
6	BlinkStart	1940259786
6	BlinkEnd	1940285541
6	Feed	1940285621
2	BlinkStart	1940285713
2	BlinkEnd	1940302686
2	Feed	1940302766
4	BlinkStart	1940302867
4	BlinkEnd	1940313395
4	Feed	1940313475
2	BlinkStart	1940313570
2	BlinkEnd	1940327114
2	Feed	1940327194
8	BlinkStart	1940327281
8	BlinkEnd	1940335115
8	Feed	1940335196
6	BlinkStart	1940335296
6	BlinkEnd	1940344320
6	Feed	1940344401
2	BlinkStart	1940344494
2	BlinkEnd	1940361650
2	Feed	1940361730
8	BlinkStart	1940361826
8	BlinkEnd	1940368574
8	Feed	1940368654
6	BlinkStart	1940368754
6	BlinkEnd	1940379411
6	Feed	1940379491
4	BlinkStart	1940379596
4	BlinkEnd	1940387038
4	Feed	1940387118
2	BlinkStart	1940387217
2	BlinkEnd	1940400040
2	Feed	1940400120
8	BlinkStart	1940400220
8	BlinkEnd	1940406893
8	Feed	1940406974
4	BlinkStart	1940407070
4	BlinkEnd	1940457372
4	Feed	1940457453
8	BlinkStart	1940457547
8	BlinkEnd	1940467179
8	Feed	1940467260
6	BlinkStart	1940467360
6	BlinkEnd	1940475963
6	Feed	1940476043
4	BlinkStart	1940476142
4	BlinkEnd	1940485298
4	Feed	1940485378
2	BlinkStart	1940485482
2	BlinkEnd	1940519283
2	Feed	1940519364
6	BlinkStart	1940519453
6	BlinkEnd	1940529933
6	Feed	1940530013
4	BlinkStart	1940530112
4	BlinkEnd	1940548403
4	Feed	1940548483
2	BlinkStart	1940548569
2	BlinkEnd	1940555022
2	Feed	1940555102
4	BlinkStart	1940555199
4	BlinkEnd	1940574997
4	Feed	1940575078
2	BlinkStart	1940575270
2	BlinkEnd	1940581569
2	Feed	1940581649
8	BlinkStart	1940581802
8	BlinkEnd	1940592265
8	Feed	1940592346
2	BlinkStart	1940592507
2	BlinkEnd	1940646052
2	Feed	1940646132
6	BlinkStart	1940646293
6	BlinkEnd	1940656942
6	Feed	1940657022
8	BlinkStart	1940657189
8	BlinkEnd	1940666330
8	Feed	1940666410
6	BlinkStart	1940666595
6	BlinkEnd	1940787443
6	Feed	1940787523
8	BlinkStart	1940787678
8	BlinkEnd	1940800678
