Wednesday, July 22, 2020	2:00:49 PM	Game1.txt	18268033
Cued	Now	18281305
9	BlinkStart	18281333
9	BlinkEnd	18456375
2	BlinkStart	18456469
2	BlinkEnd	18506280
2	Feed	18506360
6	BlinkStart	18506448
6	BlinkEnd	18534013
6	Feed	18534094
2	BlinkStart	18534196
2	BlinkEnd	18606886
2	Feed	18606966
6	BlinkStart	18607070
6	BlinkEnd	18635584
6	Feed	18635665
4	BlinkStart	18635761
4	BlinkEnd	18729013
4	Feed	18729093
8	BlinkStart	18729202
8	BlinkEnd	18772216
8	Feed	18772296
4	BlinkStart	18772386
4	BlinkEnd	18826781
4	Feed	18826862
8	BlinkStart	18826948
8	BlinkEnd	18846755
8	Feed	18846835
4	BlinkStart	18846937
4	BlinkEnd	18890555
4	Feed	18890635
6	BlinkStart	18890732
6	BlinkEnd	18907101
6	Feed	18907181
8	BlinkStart	18907267
8	BlinkEnd	18998915
8	Feed	18998995
4	BlinkStart	18999089
4	BlinkEnd	19033871
4	Feed	19033952
6	BlinkStart	19034052
6	BlinkEnd	19050055
6	Feed	19050136
2	BlinkStart	19050237
2	BlinkEnd	19075990
2	Feed	19076070
6	BlinkStart	19076169
6	BlinkEnd	19093975
6	Feed	19094056
2	BlinkStart	19094156
2	BlinkEnd	19111183
2	Feed	19111263
8	BlinkStart	19111359
8	BlinkEnd	19130378
8	Feed	19130459
2	BlinkStart	19130568
2	BlinkEnd	19157933
2	Feed	19158013
4	BlinkStart	19158099
4	BlinkEnd	19172866
4	Feed	19172946
8	BlinkStart	19173032
8	BlinkEnd	19188083
8	Feed	19188163
2	BlinkStart	19188249
2	BlinkEnd	19202581
2	Feed	19202661
6	BlinkStart	19202764
6	BlinkEnd	19223332
6	Feed	19223412
2	BlinkStart	19223500
2	BlinkEnd	19315325
2	Feed	19315405
8	BlinkStart	19315491
8	BlinkEnd	19329584
8	Feed	19329665
4	BlinkStart	19329765
4	BlinkEnd	19349922
4	Feed	19350003
2	BlinkStart	19350089
2	BlinkEnd	19366466
2	Feed	19366546
4	BlinkStart	19366643
4	BlinkEnd	19379823
4	Feed	19379903
6	BlinkStart	19380000
6	BlinkEnd	19396971
6	Feed	19397052
4	BlinkStart	19397192
4	BlinkEnd	19409906
4	Feed	19409986
2	BlinkStart	19410131
2	BlinkEnd	19420435
2	Feed	19420516
6	BlinkStart	19420678
6	BlinkEnd	19436318
6	Feed	19436398
8	BlinkStart	19436565
8	BlinkEnd	19448593
8	Feed	19448673
2	BlinkStart	19448835
2	BlinkEnd	19461408
2	Feed	19461489
4	BlinkStart	19461649
4	BlinkEnd	19473621
4	Feed	19473701
2	BlinkStart	19473846
2	BlinkEnd	19486137
2	Feed	19486217
4	BlinkStart	19486390
4	BlinkEnd	19497387
4	Feed	19497467
2	BlinkStart	19497628
2	BlinkEnd	19515737
2	Feed	19515818
8	BlinkStart	19515961
8	BlinkEnd	19527892
8	Feed	19527972
2	BlinkStart	19528131
2	BlinkEnd	19539334
2	Feed	19539414
4	BlinkStart	19539578
4	BlinkEnd	19551897
4	Feed	19551977
6	BlinkStart	19552117
6	BlinkEnd	19565976
6	Feed	19566056
2	BlinkStart	19566223
2	BlinkEnd	19676742
2	Feed	19676823
8	BlinkStart	19676989
8	BlinkEnd	19687210
8	Feed	19687290
4	BlinkStart	19687472
4	BlinkEnd	19704176
4	Feed	19704256
2	BlinkStart	19704452
2	BlinkEnd	19716068
2	Feed	19716148
6	BlinkStart	19716335
6	BlinkEnd	19735223
6	Feed	19735303
8	BlinkStart	19735463
8	BlinkEnd	19984066
8	Feed	19984146
4	BlinkStart	19984284
4	BlinkEnd	20012646
4	Feed	20012726
2	BlinkStart	20012890
2	BlinkEnd	20026906
2	Feed	20026986
4	BlinkStart	20027146
4	BlinkEnd	20036473
4	Feed	20036553
6	BlinkStart	20036710
6	BlinkEnd	20048505
6	Feed	20048585
8	BlinkStart	20048747
8	BlinkEnd	20168535
8	Feed	20168615
2	BlinkStart	20168789
2	BlinkEnd	20181290
2	Feed	20181370
6	BlinkStart	20181535
6	BlinkEnd	20199400
6	Feed	20199480
2	BlinkStart	20199646
2	BlinkEnd	20223783
2	Feed	20223863
6	BlinkStart	20224019
6	BlinkEnd	20239893
6	Feed	20239973
8	BlinkStart	20240120
8	BlinkEnd	20255955
8	Feed	20256035
2	BlinkStart	20256196
2	BlinkEnd	20277075
2	Feed	20277155
4	BlinkStart	20277312
4	BlinkEnd	20290069
4	Feed	20290149
2	BlinkStart	20290315
2	BlinkEnd	20308152
2	Feed	20308232
4	BlinkStart	20308404
4	BlinkEnd	20328818
4	Feed	20328899
6	BlinkStart	20329060
6	BlinkEnd	20346146
6	Feed	20346226
8	BlinkStart	20346399
8	BlinkEnd	20672197
