Thursday, July 23, 2020	12:40:22 PM	Game1.txt	99840953
Cued	Now	99869452
9	BlinkStart	99869481
9	BlinkEnd	100051813
8	BlinkStart	100051920
8	BlinkEnd	100055372
8	Feed	100055452
6	BlinkStart	100055549
6	BlinkEnd	100071676
6	Feed	100071756
8	BlinkStart	100071858
8	BlinkEnd	100087440
8	Feed	100087520
4	BlinkStart	100087620
4	BlinkEnd	100165414
4	Feed	100165495
8	BlinkStart	100165595
8	BlinkEnd	100183526
8	Feed	100183606
4	BlinkStart	100183705
4	BlinkEnd	100218000
4	Feed	100218080
8	BlinkStart	100218180
8	BlinkEnd	100233342
8	Feed	100233422
2	BlinkStart	100233521
2	BlinkEnd	100242487
2	Feed	100242567
8	BlinkStart	100242655
8	BlinkEnd	100251393
8	Feed	100251473
2	BlinkStart	100251572
2	BlinkEnd	100265530
2	Feed	100265611
8	BlinkStart	100265710
8	BlinkEnd	100277383
8	Feed	100277463
6	BlinkStart	100277561
6	BlinkEnd	100291461
6	Feed	100291542
4	BlinkStart	100291640
4	BlinkEnd	100299644
4	Feed	100299725
2	BlinkStart	100299825
2	BlinkEnd	100310789
2	Feed	100310869
4	BlinkStart	100310967
4	BlinkEnd	100321364
4	Feed	100321444
6	BlinkStart	100321544
6	BlinkEnd	100331231
6	Feed	100331311
4	BlinkStart	100331409
4	BlinkEnd	100340738
4	Feed	100340818
2	BlinkStart	100340910
2	BlinkEnd	100350906
2	Feed	100350986
4	BlinkStart	100351084
4	BlinkEnd	100360833
4	Feed	100360913
8	BlinkStart	100361008
8	BlinkEnd	100372939
8	Feed	100373019
4	BlinkStart	100373125
4	BlinkEnd	100413117
4	Feed	100413199
2	BlinkStart	100413298
2	BlinkEnd	100428767
2	Feed	100428847
6	BlinkStart	100428946
6	BlinkEnd	100441635
6	Feed	100441715
8	BlinkStart	100441813
8	BlinkEnd	100451331
8	Feed	100451411
4	BlinkStart	100451514
4	BlinkEnd	100462214
4	Feed	100462295
2	BlinkStart	100462390
2	BlinkEnd	100470035
2	Feed	100470115
8	BlinkStart	100470213
8	BlinkEnd	100477857
8	Feed	100477937
4	BlinkStart	100478033
4	BlinkEnd	100492836
4	Feed	100492916
8	BlinkStart	100493070
8	BlinkEnd	100505834
8	Feed	100505914
6	BlinkStart	100506085
6	BlinkEnd	100521850
6	Feed	100521931
8	BlinkStart	100522100
8	BlinkEnd	100530561
8	Feed	100530642
4	BlinkStart	100530807
4	BlinkEnd	100545963
4	Feed	100546043
2	BlinkStart	100546199
2	BlinkEnd	100554386
2	Feed	100554466
4	BlinkStart	100554621
4	BlinkEnd	100563052
4	Feed	100563132
6	BlinkStart	100563290
6	BlinkEnd	100571654
6	Feed	100571735
4	BlinkStart	100571911
4	BlinkEnd	100582076
4	Feed	100582156
2	BlinkStart	100582339
2	BlinkEnd	100590424
2	Feed	100590504
6	BlinkStart	100590685
6	BlinkEnd	100600773
6	Feed	100600853
4	BlinkStart	100601008
4	BlinkEnd	100643190
4	Feed	100643270
6	BlinkStart	100643422
6	BlinkEnd	100657450
6	Feed	100657530
2	BlinkStart	100657705
2	BlinkEnd	100673576
2	Feed	100673656
8	BlinkStart	100673813
8	BlinkEnd	100687955
8	Feed	100688035
2	BlinkStart	100688185
2	BlinkEnd	100712322
2	Feed	100712402
4	BlinkStart	100712555
4	BlinkEnd	100724968
4	Feed	100725048
8	BlinkStart	100725185
8	BlinkEnd	100747519
8	Feed	100747599
4	BlinkStart	100747738
4	BlinkEnd	101091605
4	Feed	101091685
2	BlinkStart	101091840
2	BlinkEnd	101105024
2	Feed	101105104
6	BlinkStart	101105276
6	BlinkEnd	101135045
6	Feed	101135125
8	BlinkStart	101135293
8	BlinkEnd	101148703
8	Feed	101148783
4	BlinkStart	101148956
4	BlinkEnd	101789528
4	Feed	101789608
8	BlinkStart	101789765
8	BlinkEnd	101804509
8	Feed	101804589
6	BlinkStart	101804747
6	BlinkEnd	101822499
6	Feed	101822579
2	BlinkStart	101822751
2	BlinkEnd	101835916
2	Feed	101835996
8	BlinkStart	101836171
8	BlinkEnd	101849220
8	Feed	101849300
6	BlinkStart	101849458
6	BlinkEnd	101866962
6	Feed	101867042
2	BlinkStart	101867206
2	BlinkEnd	101880560
2	Feed	101880640
4	BlinkStart	101880800
4	BlinkEnd	101892727
4	Feed	101892808
6	BlinkStart	101892972
6	BlinkEnd	101924841
6	Feed	101924921
4	BlinkStart	101925081
4	BlinkEnd	101943372
4	Feed	101943452
8	BlinkStart	101943624
8	BlinkEnd	101957510
8	Feed	101957592
6	BlinkStart	101957749
6	BlinkEnd	102028026
6	Feed	102028106
2	BlinkStart	102028244
2	BlinkEnd	102042105
2	Feed	102042185
6	BlinkStart	102042348
6	BlinkEnd	102055943
6	Feed	102056024
4	BlinkStart	102056194
4	BlinkEnd	102078867
4	Feed	102078947
2	BlinkStart	102079112
2	BlinkEnd	102097349
2	Feed	102097429
6	BlinkStart	102097604
6	BlinkEnd	102114303
6	Feed	102114383
4	BlinkStart	102114536
4	BlinkEnd	102194805
4	Feed	102194885
8	BlinkStart	102195030
8	BlinkEnd	102221578
8	Feed	102221658
6	BlinkStart	102221812
6	BlinkEnd	102264717
6	Feed	102264798
4	BlinkStart	102264935
4	BlinkEnd	102316643
4	Feed	102316723
8	BlinkStart	102316885
8	BlinkEnd	102331441
8	Feed	102331522
2	BlinkStart	102331694
2	BlinkEnd	102456087
0	StopTraining	102456167
0	StopTraining	102456167
0	StopTraining	102456168
0	StopTraining	102456169
0	StopTraining	102456169
0	StopTraining	102456170
