Thursday, August 13, 2020	12:17:54 PM	Game1.txt	1642415969
Cued	Now	1642432356
9	BlinkStart	1642432374
9	BlinkEnd	1642745181
23,5	BlinkStart	1642745276
23,5	BlinkEnd	1642760288
5	0DropFeed	1642760368
23	NoFeedAbort	1642760448
1	BlinkStart	1642770477
1	BlinkEnd	1642804103
1	NoFeedLowProb	1642804183
6,47	BlinkStart	1642804193
6,47	BlinkEnd	1642814978
6	Feed	1642815059
47	Feed	1642815139
1	BlinkStart	1642815225
1	BlinkEnd	1642838803
1	NoFeedLowProb	1642838883
6,47	BlinkStart	1642838898
6,47	BlinkEnd	1642843015
6	Feed	1642843096
47	Feed	1642843176
1	BlinkStart	1642843270
1	BlinkEnd	1642878332
1	NoFeedLowProb	1642878412
6,47	BlinkStart	1642878444
6,47	BlinkEnd	1642882785
6	Feed	1642882865
47	Feed	1642882945
1	BlinkStart	1642883043
1	BlinkEnd	1642896804
1	NoFeedLowProb	1642896884
4,44	BlinkStart	1642896897
4,44	BlinkEnd	1642900053
4	Feed	1642900133
44	Feed	1642900213
16,1	BlinkStart	1642900306
16,1	BlinkEnd	1642922019
1	0DropFeed	1642922099
16	Feed	1642922179
6,47,4,44	BlinkStart	1642922286
6,47,4,44	BlinkEnd	1642925263
4	Feed	1642925343
44	Feed	1642925423
15,1	BlinkStart	1642925517
15,1	BlinkEnd	1642946921
1	0DropFeed	1642947001
15	NoFeedAbort	1642947081
5	BlinkStart	1642957099
5	BlinkEnd	1642963468
5	NoFeedLowProb	1642963548
2,39	BlinkStart	1642963564
2,39	BlinkEnd	1642967198
2	Feed	1642967278
39	Feed	1642967358
5	BlinkStart	1642967451
5	BlinkEnd	1642992587
5	NoFeedLowProb	1642992667
8,52	BlinkStart	1642992702
8,52	BlinkEnd	1642995716
8	Feed	1642995796
52	Feed	1642995876
5	BlinkStart	1642995971
5	BlinkEnd	1643023873
5	NoFeedLowProb	1643023953
2,39	BlinkStart	1643023984
2,39	BlinkEnd	1643026950
2	Feed	1643027030
39	Feed	1643027110
5	BlinkStart	1643027203
5	BlinkEnd	1643054016
5	NoFeedLowProb	1643054096
2,39	BlinkStart	1643054124
2,39	BlinkEnd	1643057326
2	Feed	1643057406
39	Feed	1643057486
30,5	BlinkStart	1643057574
30,5	BlinkEnd	1643087048
5	0DropFeed	1643087128
30	Feed	1643087208
2,39,8,52	BlinkStart	1643087319
2,39,8,52	BlinkEnd	1643090542
8	Feed	1643090622
52	Feed	1643090702
29,5	BlinkStart	1643090794
29,5	BlinkEnd	1643099743
5	0DropFeed	1643099823
29	Feed	1643099903
2,39,8,52	BlinkStart	1643100004
2,39,8,52	BlinkEnd	1643102811
8	Feed	1643102891
52	Feed	1643102971
28,5	BlinkStart	1643103057
28,5	BlinkEnd	1643112439
5	0DropFeed	1643112519
28	Feed	1643112599
2,39,8,52	BlinkStart	1643112704
2,39,8,52	BlinkEnd	1643115694
8	Feed	1643115774
52	Feed	1643115854
27,5	BlinkStart	1643115939
