Tuesday, September 29, 2020	9:40:46 AM	Game1.txt	52185486
Cued	Now	52202831
9	BlinkStart	52202833
9	BlinkEnd	52499998
23,5	BlinkStart	52500085
23,5	BlinkEnd	52504338
5	0DropFeed	52504418
23	NoFeedAbort	52504499
1	BlinkStart	52514509
1	BlinkEnd	52547357
1	NoFeedLowProb	52547437
6,49	BlinkStart	52547468
6,49	BlinkEnd	52552651
6	Feed	52552732
49	Feed	52552812
1	BlinkStart	52552922
1	BlinkEnd	52569439
1	NoFeedLowProb	52569520
4,43	BlinkStart	52569534
4,43	BlinkEnd	52572987
4	Feed	52573067
43	Feed	52573147
1	BlinkStart	52573255
1	BlinkEnd	52593864
1	NoFeedLowProb	52593944
6,49	BlinkStart	52593963
6,49	BlinkEnd	52597474
6	Feed	52597554
49	Feed	52597634
1	BlinkStart	52597734
1	BlinkEnd	52612937
1	NoFeedLowProb	52613017
6,49	BlinkStart	52613043
6,49	BlinkEnd	52616313
6	Feed	52616393
49	Feed	52616473
16,1	BlinkStart	52616571
16,1	BlinkEnd	52630986
1	0DropFeed	52631066
16	Feed	52631146
4,43,6,49	BlinkStart	52631248
4,43,6,49	BlinkEnd	52635499
4	Feed	52635579
43	Feed	52635660
15,1	BlinkStart	52635755
15,1	BlinkEnd	52642056
1	0DropFeed	52642136
15	NoFeedAbort	52642216
5	BlinkStart	52652227
5	BlinkEnd	52670698
5	NoFeedLowProb	52670778
2,38	BlinkStart	52670805
2,38	BlinkEnd	52673945
2	Feed	52674025
38	Feed	52674106
5	BlinkStart	52674210
5	BlinkEnd	52682128
5	NoFeedLowProb	52682208
2,38	BlinkStart	52682238
2,38	BlinkEnd	52685437
2	Feed	52685518
38	Feed	52685599
5	BlinkStart	52685710
5	BlinkEnd	52693198
5	NoFeedLowProb	52693278
8,52	BlinkStart	52693291
8,52	BlinkEnd	52696567
8	Feed	52696648
52	Feed	52696729
5	BlinkStart	52696843
5	BlinkEnd	52704870
5	NoFeedLowProb	52704950
2,38	BlinkStart	52704983
2,38	BlinkEnd	52707759
2	Feed	52707839
38	Feed	52707920
30,5	BlinkStart	52708018
30,5	BlinkEnd	52716242
5	0DropFeed	52716322
30	Feed	52716402
8,52,2,38	BlinkStart	52716506
8,52,2,38	BlinkEnd	52720093
8	Feed	52720173
52	Feed	52720253
29,5	BlinkStart	52720366
29,5	BlinkEnd	52727553
5	0DropFeed	52727633
29	Feed	52727713
8,52,2,38	BlinkStart	52727800
8,52,2,38	BlinkEnd	52731885
8	Feed	52731965
52	Feed	52732045
28,5	BlinkStart	52732134
28,5	BlinkEnd	52737660
5	0DropFeed	52737740
28	Feed	52737820
8,52,2,38	BlinkStart	52737933
8,52,2,38	BlinkEnd	52741151
8	Feed	52741231
52	Feed	52741311
27,5	BlinkStart	52741429
27,5	BlinkEnd	52748911
5	0DropFeed	52748991
27	Feed	52749071
8,52,2,38	BlinkStart	52749157
8,52,2,38	BlinkEnd	52752465
8	Feed	52752546
52	Feed	52752626
26,5	BlinkStart	52752781
26,5	BlinkEnd	52759380
5	0DropFeed	52759460
26	Feed	52759540
8,52,2,38	BlinkStart	52759710
8,52,2,38	BlinkEnd	52761847
8	Feed	52761927
52	Feed	52762007
25,5	BlinkStart	52762178
25,5	BlinkEnd	52769850
5	0DropFeed	52769930
25	Feed	52770010
8,52,2,38	BlinkStart	52770174
8,52,2,38	BlinkEnd	52773099
8	Feed	52773180
52	Feed	52773260
23,5	BlinkStart	52773435
23,5	BlinkEnd	52780378
5	0DropFeed	52780458
23	NoFeedAbort	52780538
1	BlinkStart	52790603
1	BlinkEnd	52793133
1	NoFeedLowProb	52793213
6,48	BlinkStart	52793307
6,48	BlinkEnd	52796201
6	Feed	52796281
48	Feed	52796361
1	BlinkStart	52796537
1	BlinkEnd	52809454
1	NoFeedLowProb	52809534
6,48	BlinkStart	52809629
6,48	BlinkEnd	52812507
6	Feed	52812587
48	Feed	52812667
1	BlinkStart	52812850
1	BlinkEnd	52824300
1	NoFeedLowProb	52824380
6,48	BlinkStart	52824493
6,48	BlinkEnd	52827309
6	Feed	52827389
48	Feed	52827470
1	BlinkStart	52827642
1	BlinkEnd	52836031
1	NoFeedLowProb	52836111
6,48	BlinkStart	52836190
6,48	BlinkEnd	52838800
6	Feed	52838880
48	Feed	52838960
16,1	BlinkStart	52839116
16,1	BlinkEnd	52845736
1	0DropFeed	52845816
16	Feed	52845896
6,48,4,44	BlinkStart	52846058
6,48,4,44	BlinkEnd	52849148
4	Feed	52849229
44	Feed	52849309
15,1	BlinkStart	52849454
15,1	BlinkEnd	52858295
1	0DropFeed	52858375
15	NoFeedAbort	52858455
5	BlinkStart	52868517
5	BlinkEnd	52874357
