Tuesday, October 13, 2020	12:35:03 PM	Game1.txt	62476215
Cued	Now	62492621
9	BlinkStart	62492857
9	BlinkEnd	62777691
23,5	BlinkStart	62777790
23,5	BlinkEnd	62783719
5	0DropFeed	62783799
23	NoFeedAbort	62783879
1	BlinkStart	62793902
1	BlinkEnd	62850024
1	NoFeedLowProb	62850104
4,46	BlinkStart	62850131
4,46	BlinkEnd	62854102
4	Feed	62854182
46	Feed	62854263
1	BlinkStart	62854367
1	BlinkEnd	62869742
1	NoFeedLowProb	62869822
4,46	BlinkStart	62869866
4,46	BlinkEnd	62872818
4	Feed	62872899
46	Feed	62872979
1	BlinkStart	62873071
1	BlinkEnd	62888257
1	NoFeedLowProb	62888337
4,46	BlinkStart	62888368
4,46	BlinkEnd	62891131
4	Feed	62891212
46	Feed	62891292
22,1	BlinkStart	62891391
22,1	BlinkEnd	62906840
1	0DropFeed	62906920
22	Feed	62907000
4,46,6,51	BlinkStart	62907112
4,46,6,51	BlinkEnd	62909512
4	Feed	62909592
46	Feed	62909672
22,1	BlinkStart	62909772
22,1	BlinkEnd	62922212
1	0DropFeed	62922292
22	Feed	62922372
4,46,6,51	BlinkStart	62922482
4,46,6,51	BlinkEnd	62924886
4	Feed	62924966
46	Feed	62925046
22,1	BlinkStart	62925159
22,1	BlinkEnd	62938322
1	0DropFeed	62938402
22	Feed	62938482
4,46,6,51	BlinkStart	62938601
4,46,6,51	BlinkEnd	62940929
4	Feed	62941009
46	Feed	62941089
22,1	BlinkStart	62941191
22,1	BlinkEnd	62953828
1	0DropFeed	62953908
22	Feed	62953988
4,46,6,51	BlinkStart	62954085
4,46,6,51	BlinkEnd	62956436
4	Feed	62956516
46	Feed	62956596
22,1	BlinkStart	62956702
22,1	BlinkEnd	62970472
1	0DropFeed	62970552
22	Feed	62970633
4,46,6,51	BlinkStart	62970738
4,46,6,51	BlinkEnd	62972878
4	Feed	62972958
46	Feed	62973038
22,1	BlinkStart	62973128
22,1	BlinkEnd	62987784
1	0DropFeed	62987864
22	Feed	62987944
4,46,6,51	BlinkStart	62988031
4,46,6,51	BlinkEnd	62990657
4	Feed	62990737
46	Feed	62990817
22,1	BlinkStart	62990906
22,1	BlinkEnd	63013249
1	0DropFeed	63013329
22	Feed	63013409
4,46,6,51	BlinkStart	63013520
4,46,6,51	BlinkEnd	63016256
4	Feed	63016336
46	Feed	63016416
22,1	BlinkStart	63016505
22,1	BlinkEnd	63031499
1	0DropFeed	63031579
22	Feed	63031660
4,46,6,51	BlinkStart	63031780
4,46,6,51	BlinkEnd	63034306
4	Feed	63034386
46	Feed	63034466
22,1	BlinkStart	63034562
22,1	BlinkEnd	63049344
1	0DropFeed	63049424
22	Feed	63049504
4,46,6,51	BlinkStart	63049609
4,46,6,51	BlinkEnd	63052017
4	Feed	63052097
46	Feed	63052177
21,1	BlinkStart	63052270
21,1	BlinkEnd	63065921
1	0DropFeed	63066001
21	Feed	63066081
4,46,6,51	BlinkStart	63066167
4,46,6,51	BlinkEnd	63069596
6	Feed	63069677
51	Feed	63069757
20,1	BlinkStart	63069850
20,1	BlinkEnd	63084841
1	0DropFeed	63084921
20	Feed	63085001
4,46,6,51	BlinkStart	63085178
4,46,6,51	BlinkEnd	63087780
4	Feed	63087860
46	Feed	63087940
19,1	BlinkStart	63088090
19,1	BlinkEnd	63100677
1	0DropFeed	63100757
19	Feed	63100838
4,46,6,51	BlinkStart	63101005
4,46,6,51	BlinkEnd	63103418
4	Feed	63103498
46	Feed	63103578
18,1	BlinkStart	63103752
18,1	BlinkEnd	63134565
1	0DropFeed	63134645
18	Feed	63134725
4,46,6,51	BlinkStart	63134890
4,46,6,51	BlinkEnd	63137907
4	Feed	63137987
46	Feed	63138067
17,1	BlinkStart	63138249
17,1	BlinkEnd	63151551
1	0DropFeed	63151631
17	Feed	63151711
4,46,6,51	BlinkStart	63151900
4,46,6,51	BlinkEnd	63154417
4	Feed	63154497
46	Feed	63154577
16,1	BlinkStart	63154732
16,1	BlinkEnd	63167451
1	0DropFeed	63167531
16	Feed	63167612
4,46,6,51	BlinkStart	63167788
4,46,6,51	BlinkEnd	63170057
4	Feed	63170138
46	Feed	63170219
14,1	BlinkStart	63170375
14,1	BlinkEnd	63184027
1	0DropFeed	63184107
14	NoFeedAbort	63184187
5	BlinkStart	63194251
5	BlinkEnd	63194989
5	NoFeedLowProb	63195069
8,52	BlinkStart	63195168
8,52	BlinkEnd	63198799
8	Feed	63198879
52	Feed	63198960
5	BlinkStart	63199132
5	BlinkEnd	63205484
5	NoFeedLowProb	63205564
8,52	BlinkStart	63205674
8,52	BlinkEnd	63208692
8	Feed	63208772
52	Feed	63208852
5	BlinkStart	63209014
5	BlinkEnd	63218987
5	NoFeedLowProb	63219067
8,52	BlinkStart	63219141
8,52	BlinkEnd	63222260
8	Feed	63222340
52	Feed	63222420
31,5	BlinkStart	63222581
31,5	BlinkEnd	63230482
5	0DropFeed	63230562
31	Feed	63230642
8,52,2,41	BlinkStart	63230821
8,52,2,41	BlinkEnd	63234693
2	Feed	63234773
41	Feed	63234853
31,5	BlinkStart	63234997
31,5	BlinkEnd	63248530
5	0DropFeed	63248611
31	Feed	63248691
8,52,2,41	BlinkStart	63248854
8,52,2,41	BlinkEnd	63251537
2	Feed	63251617
41	Feed	63251697
31,5	BlinkStart	63251856
31,5	BlinkEnd	63263435
5	0DropFeed	63263515
31	Feed	63263595
8,52,2,41	BlinkStart	63263752
8,52,2,41	BlinkEnd	63266376
2	Feed	63266456
41	Feed	63266536
31,5	BlinkStart	63266692
31,5	BlinkEnd	63278943
5	0DropFeed	63279023
31	Feed	63279103
8,52,2,41	BlinkStart	63279275
8,52,2,41	BlinkEnd	63281683
2	Feed	63281763
41	Feed	63281843
31,5	BlinkStart	63281994
31,5	BlinkEnd	63294582
5	0DropFeed	63294662
31	Feed	63294742
8,52,2,41	BlinkStart	63294921
8,52,2,41	BlinkEnd	63297457
2	Feed	63297537
41	Feed	63297617
31,5	BlinkStart	63297779
31,5	BlinkEnd	63310425
5	0DropFeed	63310505
31	Feed	63310586
8,52,2,41	BlinkStart	63310737
8,52,2,41	BlinkEnd	63313231
2	Feed	63313311
41	Feed	63313391
31,5	BlinkStart	63313550
31,5	BlinkEnd	63327468
5	0DropFeed	63327548
31	Feed	63327628
8,52,2,41	BlinkStart	63327797
8,52,2,41	BlinkEnd	63330209
2	Feed	63330289
41	Feed	63330369
31,5	BlinkStart	63330542
31,5	BlinkEnd	63343444
5	0DropFeed	63343524
31	Feed	63343604
8,52,2,41	BlinkStart	63343761
8,52,2,41	BlinkEnd	63346317
