Thursday, October 15, 2020	10:46:38 AM	Game1.txt	228771447
Cued	Now	228780863
9	BlinkStart	228780895
9	BlinkEnd	229077914
23,5	BlinkStart	229078008
23,5	BlinkEnd	229110905
5	0DropFeed	229110985
23	NoFeedAbort	229111066
1	BlinkStart	229121081
1	BlinkEnd	229123931
1	NoFeedLowProb	229124011
4,44	BlinkStart	229124024
4,44	BlinkEnd	229131885
4	Feed	229131966
44	Feed	229132046
1	BlinkStart	229132137
1	BlinkEnd	229150199
1	NoFeedLowProb	229150279
4,44	BlinkStart	229150317
4,44	BlinkEnd	229154212
4	Feed	229154292
44	Feed	229154372
1	BlinkStart	229154461
1	BlinkEnd	229166508
1	NoFeedLowProb	229166588
4,44	BlinkStart	229166626
4,44	BlinkEnd	229169598
4	Feed	229169678
44	Feed	229169758
22,1	BlinkStart	229169869
22,1	BlinkEnd	229181417
1	0DropFeed	229181497
22	Feed	229181577
4,44,6,47	BlinkStart	229181675
4,44,6,47	BlinkEnd	229184221
4	Feed	229184301
44	Feed	229184381
22,1	BlinkStart	229184485
22,1	BlinkEnd	229195919
1	0DropFeed	229195999
22	Feed	229196079
4,44,6,47	BlinkStart	229196178
4,44,6,47	BlinkEnd	229198660
4	Feed	229198740
44	Feed	229198820
22,1	BlinkStart	229198907
22,1	BlinkEnd	229209086
1	0DropFeed	229209166
22	Feed	229209247
4,44,6,47	BlinkStart	229209349
4,44,6,47	BlinkEnd	229212028
4	Feed	229212108
44	Feed	229212188
22,1	BlinkStart	229212288
22,1	BlinkEnd	229222054
1	0DropFeed	229222134
22	Feed	229222215
4,44,6,47	BlinkStart	229222332
4,44,6,47	BlinkEnd	229224727
4	Feed	229224807
44	Feed	229224887
22,1	BlinkStart	229224981
22,1	BlinkEnd	229234888
1	0DropFeed	229234968
22	Feed	229235048
4,44,6,47	BlinkStart	229235149
4,44,6,47	BlinkEnd	229237494
4	Feed	229237574
44	Feed	229237654
22,1	BlinkStart	229237752
22,1	BlinkEnd	229247120
1	0DropFeed	229247200
22	Feed	229247280
4,44,6,47	BlinkStart	229247396
4,44,6,47	BlinkEnd	229249860
4	Feed	229249940
44	Feed	229250020
22,1	BlinkStart	229250124
