Thursday, October 29, 2020	4:10:30 PM	Game2.txt	691598822
Cued	Now	691610335
31,5	BlinkStart	691610407
31,5	BlinkEnd	691648684
5	0DropFeed	691648764
31	Feed	691648844
8,55,2,38	BlinkStart	691648946
8,55,2,38	BlinkEnd	691654700
8	Feed	691654780
55	Feed	691654860
31,5	BlinkStart	691654970
31,5	BlinkEnd	691666604
5	0DropFeed	691666684
31	Feed	691666764
8,55,2,38	BlinkStart	691666998
8,55,2,38	BlinkEnd	691670455
8	Feed	691670535
55	Feed	691670615
31,5	BlinkStart	691670702
31,5	BlinkEnd	691681103
5	0DropFeed	691681183
31	Feed	691681263
8,55,2,38	BlinkStart	691681381
8,55,2,38	BlinkEnd	691684187
8	Feed	691684268
55	Feed	691684348
31,5	BlinkStart	691684436
31,5	BlinkEnd	691694401
5	0DropFeed	691694481
31	Feed	691694561
8,55,2,38	BlinkStart	691694674
8,55,2,38	BlinkEnd	691697289
8	Feed	691697369
55	Feed	691697449
31,5	BlinkStart	691697539
31,5	BlinkEnd	691707936
5	0DropFeed	691708016
31	Feed	691708097
8,55,2,38	BlinkStart	691708209
8,55,2,38	BlinkEnd	691711246
8	Feed	691711326
55	Feed	691711406
31,5	BlinkStart	691711518
31,5	BlinkEnd	691726167
5	0DropFeed	691726247
31	Feed	691726327
8,55,2,38	BlinkStart	691726416
8,55,2,38	BlinkEnd	691728635
8	Feed	691728715
55	Feed	691728795
31,5	BlinkStart	691728903
31,5	BlinkEnd	691739404
5	0DropFeed	691739484
31	Feed	691739564
8,55,2,38	BlinkStart	691739651
8,55,2,38	BlinkEnd	691741872
8	Feed	691741952
55	Feed	691742032
31,5	BlinkStart	691742138
31,5	BlinkEnd	691751316
5	0DropFeed	691751396
31	Feed	691751476
8,55,2,38	BlinkStart	691751589
8,55,2,38	BlinkEnd	691753904
8	Feed	691753984
55	Feed	691754064
30,5	BlinkStart	691754159
30,5	BlinkEnd	691762928
5	0DropFeed	691763008
30	Feed	691763088
8,55,2,38	BlinkStart	691763178
8,55,2,38	BlinkEnd	691765638
8	Feed	691765718
55	Feed	691765798
29,5	BlinkStart	691765907
29,5	BlinkEnd	691775925
5	0DropFeed	691776005
29	Feed	691776086
8,55,2,38	BlinkStart	691776211
8,55,2,38	BlinkEnd	691778331
8	Feed	691778411
55	Feed	691778491
28,5	BlinkStart	691778599
28,5	BlinkEnd	691788077
5	0DropFeed	691788157
28	Feed	691788237
8,55,2,38	BlinkStart	691788363
8,55,2,38	BlinkEnd	691790665
8	Feed	691790745
55	Feed	691790825
27,5	BlinkStart	691790934
27,5	BlinkEnd	691800534
5	0DropFeed	691800614
27	Feed	691800694
8,55,2,38	BlinkStart	691800805
8,55,2,38	BlinkEnd	691802999
8	Feed	691803079
55	Feed	691803159
26,5	BlinkStart	691803271
26,5	BlinkEnd	691812986
5	0DropFeed	691813066
26	Feed	691813146
8,55,2,38	BlinkStart	691813265
8,55,2,38	BlinkEnd	691815401
8	Feed	691815481
55	Feed	691815561
25,5	BlinkStart	691815648
25,5	BlinkEnd	691825081
5	0DropFeed	691825161
25	Feed	691825241
8,55,2,38	BlinkStart	691825356
8,55,2,38	BlinkEnd	691827907
8	Feed	691827987
55	Feed	691828067
23,5	BlinkStart	691828154
23,5	BlinkEnd	691841866
5	0DropFeed	691841946
23	NoFeedAbort	691842026
1	BlinkStart	691852089
1	BlinkEnd	691937350
1	NoFeedLowProb	691937430
4	BlinkStart	691937529
4	BlinkEnd	691943065
4	0DropFeed	691943145
1	BlinkStart	691943307
1	BlinkEnd	691958203
4	BlinkStart	691958354
4	BlinkEnd	691962686
1	BlinkStart	691962829
1	BlinkEnd	691967691
4	BlinkStart	691967832
4	BlinkEnd	691970206
22,1	BlinkStart	691970352
22,1	BlinkEnd	691972267
6,48,4	BlinkStart	691972420
6,48,4	BlinkEnd	691974592
6	Feed	691974672
48	Feed	691974752
22,1	BlinkStart	691974928
22,1	BlinkEnd	691995228
1	0DropFeed	691995308
22	Feed	691995388
6,48,4	BlinkStart	691995566
6,48,4	BlinkEnd	691998237
6	Feed	691998317
48	Feed	691998397
22,1	BlinkStart	691998553
22,1	BlinkEnd	692034336
1	0DropFeed	692034416
22	Feed	692034496
6,48,4	BlinkStart	692034684
6,48,4	BlinkEnd	692037284
6	Feed	692037364
48	Feed	692037444
22,1	BlinkStart	692037603
22,1	BlinkEnd	692053047
1	0DropFeed	692053127
22	Feed	692053207
6,48,4	BlinkStart	692053379
6,48,4	BlinkEnd	692056116
6	Feed	692056196
48	Feed	692056276
22,1	BlinkStart	692056435
22,1	BlinkEnd	692068571
1	0DropFeed	692068651
22	Feed	692068731
6,48,4	BlinkStart	692068883
6,48,4	BlinkEnd	692071578
6	Feed	692071658
48	Feed	692071738
22,1	BlinkStart	692071907
22,1	BlinkEnd	692081085
1	0DropFeed	692081165
22	Feed	692081246
6,48,4	BlinkStart	692081434
6,48,4	BlinkEnd	692083972
6	Feed	692084053
48	Feed	692084133
22,1	BlinkStart	692084296
22,1	BlinkEnd	692094200
1	0DropFeed	692094280
22	Feed	692094361
6,48,4	BlinkStart	692094529
6,48,4	BlinkEnd	692097450
6	Feed	692097530
48	Feed	692097610
22,1	BlinkStart	692097768
22,1	BlinkEnd	692105467
1	0DropFeed	692105547
22	Feed	692105627
6,48,4	BlinkStart	692105789
6,48,4	BlinkEnd	692108220
6	Feed	692108300
48	Feed	692108380
22,1	BlinkStart	692108535
22,1	BlinkEnd	692118207
1	0DropFeed	692118287
22	Feed	692118367
6,48,4	BlinkStart	692118527
6,48,4	BlinkEnd	692121397
6	Feed	692121477
48	Feed	692121557
21,1	BlinkStart	692121719
21,1	BlinkEnd	692129880
1	0DropFeed	692129960
21	Feed	692130040
6,48,4	BlinkStart	692130219
6,48,4	BlinkEnd	692133128
6	Feed	692133208
