Ver1.3	691663256	StartFile	10/29/2020	4:11:35 PM	E:\BehavioralExperiments\Gerald\Horizon\RawData\102920\B\SoundData.txt	691663256
691666605	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	691666605
691666810	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	691666810
691670456	Triggered	8,52,53,54,55,56,	 NoSound	40	2	691670456
691670658	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	691670658
691681103	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	691681103
691681309	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	691681309
691684188	Triggered	8,52,53,54,55,56,	 NoSound	40	2	691684188
691684392	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	691684392
691694401	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	691694401
691694606	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	691694606
691697290	Triggered	8,52,53,54,55,56,	 NoSound	40	2	691697290
691697492	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	691697492
691707937	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	691707937
691708139	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	691708139
691711247	Triggered	8,52,53,54,55,56,	 NoSound	40	2	691711247
691711448	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	691711448
691726168	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	691726168
691726372	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	691726372
691728636	Triggered	8,52,53,54,55,56,	 NoSound	40	2	691728636
691728839	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	691728839
691739405	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	691739405
691739609	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	691739609
691741873	Triggered	8,52,53,54,55,56,	 NoSound	40	2	691741873
691742075	Triggered	8,52,53,54,55,56,	 File_beep4	40	2	691742075
691751316	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	691751316
691751521	Triggered	5,23,24,25,26,27,28,29,30,31,	 PureTone-11kHz	40	2	691751521
691753905	Triggered	8,52,53,54,55,56,	 NoSound	40	2	691753905
