Thursday, October 29, 2020	3:35:27 PM	Game1.txt	689495331
Cued	Now	689507359
9	BlinkStart	689507416
9	BlinkEnd	689852230
23,5	BlinkStart	689852316
23,5	BlinkEnd	689853357
5	0DropFeed	689853438
23	NoFeedAbort	689853518
1	BlinkStart	689863532
1	BlinkEnd	689874682
1	NoFeedLowProb	689874762
6,49	BlinkStart	689874791
6,49	BlinkEnd	689879488
6	Feed	689879568
49	Feed	689879648
1	BlinkStart	689879744
1	BlinkEnd	689892722
1	NoFeedLowProb	689892802
6,49	BlinkStart	689892836
6,49	BlinkEnd	689895998
6	Feed	689896078
49	Feed	689896158
1	BlinkStart	689896255
1	BlinkEnd	689907894
1	NoFeedLowProb	689907974
6,49	BlinkStart	689907999
6,49	BlinkEnd	689911505
6	Feed	689911585
49	Feed	689911665
22,1	BlinkStart	689911756
22,1	BlinkEnd	689922548
1	0DropFeed	689922628
22	Feed	689922708
6,49,4,44	BlinkStart	689922810
6,49,4,44	BlinkEnd	689925408
6	Feed	689925488
49	Feed	689925568
22,1	BlinkStart	689925656
22,1	BlinkEnd	689935969
1	0DropFeed	689936049
22	Feed	689936129
6,49,4,44	BlinkStart	689936230
6,49,4,44	BlinkEnd	689940780
4	Feed	689940860
44	Feed	689940940
22,1	BlinkStart	689941040
22,1	BlinkEnd	689950606
1	0DropFeed	689950686
22	Feed	689950766
6,49,4,44	BlinkStart	689950868
6,49,4,44	BlinkEnd	689954372
4	Feed	689954452
44	Feed	689954532
22,1	BlinkStart	689954665
22,1	BlinkEnd	689963507
1	0DropFeed	689963587
22	Feed	689963667
6,49,4,44	BlinkStart	689963771
6,49,4,44	BlinkEnd	689966248
6	Feed	689966328
49	Feed	689966408
22,1	BlinkStart	689966514
22,1	BlinkEnd	689974401
1	0DropFeed	689974481
22	Feed	689974561
6,49,4,44	BlinkStart	689974668
6,49,4,44	BlinkEnd	689977409
6	Feed	689977489
49	Feed	689977569
22,1	BlinkStart	689977674
22,1	BlinkEnd	689984494
1	0DropFeed	689984574
22	Feed	689984654
6,49,4,44	BlinkStart	689984770
6,49,4,44	BlinkEnd	689988171
4	Feed	689988251
44	Feed	689988331
22,1	BlinkStart	689988435
22,1	BlinkEnd	689997127
1	0DropFeed	689997207
22	Feed	689997287
6,49,4,44	BlinkStart	689997376
6,49,4,44	BlinkEnd	690000204
4	Feed	690000284
44	Feed	690000364
22,1	BlinkStart	690000472
22,1	BlinkEnd	690009494
1	0DropFeed	690009574
22	Feed	690009654
6,49,4,44	BlinkStart	690009766
6,49,4,44	BlinkEnd	690013037
4	Feed	690013117
44	Feed	690013197
22,1	BlinkStart	690013286
22,1	BlinkEnd	690022460
1	0DropFeed	690022540
22	Feed	690022621
6,49,4,44	BlinkStart	690022707
6,49,4,44	BlinkEnd	690025467
4	Feed	690025547
44	Feed	690025627
21,1	BlinkStart	690025731
21,1	BlinkEnd	690034291
1	0DropFeed	690034371
21	Feed	690034451
