Monday, November 2, 2020	1:38:44 PM	Game1.txt	1028092902
Cued	Now	1028109643
9	BlinkStart	1028109691
9	BlinkEnd	1028421382
23,5	BlinkStart	1028421478
23,5	BlinkEnd	1028477678
5	0DropFeed	1028477758
23	NoFeedAbort	1028477838
1	BlinkStart	1028487854
1	BlinkEnd	1028493021
1	NoFeedLowProb	1028493101
6,50	BlinkStart	1028493115
6,50	BlinkEnd	1028496630
6	Feed	1028496710
50	Feed	1028496790
1	BlinkStart	1028496896
1	BlinkEnd	1028513356
1	NoFeedLowProb	1028513436
6,50	BlinkStart	1028513453
6,50	BlinkEnd	1028516184
6	Feed	1028516264
50	Feed	1028516344
1	BlinkStart	1028516462
1	BlinkEnd	1028530081
1	NoFeedLowProb	1028530161
6,50	BlinkStart	1028530190
6,50	BlinkEnd	1028532790
6	Feed	1028532870
50	Feed	1028532950
16,1	BlinkStart	1028533057
16,1	BlinkEnd	1028549697
1	0DropFeed	1028549777
16	Feed	1028549858
6,50,4,44	BlinkStart	1028549978
6,50,4,44	BlinkEnd	1028553547
6	Feed	1028553627
50	Feed	1028553708
15,1	BlinkStart	1028553796
15,1	BlinkEnd	1028569492
1	0DropFeed	1028569572
15	NoFeedAbort	1028569652
5	BlinkStart	1028579669
5	BlinkEnd	1028592174
5	NoFeedLowProb	1028592254
2,41	BlinkStart	1028592279
2,41	BlinkEnd	1028595662
2	Feed	1028595742
41	Feed	1028595822
5	BlinkStart	1028595932
5	BlinkEnd	1028609381
5	NoFeedLowProb	1028609461
2,41	BlinkStart	1028609489
2,41	BlinkEnd	1028612809
2	Feed	1028612889
41	Feed	1028612969
5	BlinkStart	1028613076
5	BlinkEnd	1028629596
5	NoFeedLowProb	1028629676
2,41	BlinkStart	1028629705
2,41	BlinkEnd	1028633447
2	Feed	1028633527
41	Feed	1028633607
30,5	BlinkStart	1028633714
30,5	BlinkEnd	1028647044
5	0DropFeed	1028647125
30	Feed	1028647205
2,41,8,55	BlinkStart	1028647311
2,41,8,55	BlinkEnd	1028650594
2	Feed	1028650674
41	Feed	1028650754
29,5	BlinkStart	1028650843
29,5	BlinkEnd	1028704141
5	0DropFeed	1028704221
29	Feed	1028704301
2,41,8,55	BlinkStart	1028704410
2,41,8,55	BlinkEnd	1028707931
2	Feed	1028708011
41	Feed	1028708091
28,5	BlinkStart	1028708204
28,5	BlinkEnd	1028720566
5	0DropFeed	1028720646
28	Feed	1028720726
2,41,8,55	BlinkStart	1028720848
2,41,8,55	BlinkEnd	1028723694
2	Feed	1028723774
41	Feed	1028723854
27,5	BlinkStart	1028723975
27,5	BlinkEnd	1028734765
5	0DropFeed	1028734845
27	Feed	1028734925
2,41,8,55	BlinkStart	1028735012
2,41,8,55	BlinkEnd	1028737902
2	Feed	1028737983
41	Feed	1028738063
26,5	BlinkStart	1028738165
26,5	BlinkEnd	1028749325
5	0DropFeed	1028749405
26	Feed	1028749485
2,41,8,55	BlinkStart	1028749612
2,41,8,55	BlinkEnd	1028752273
2	Feed	1028752353
41	Feed	1028752433
25,5	BlinkStart	1028752519
25,5	BlinkEnd	1028763765
5	0DropFeed	1028763845
25	Feed	1028763925
2,41,8,55	BlinkStart	1028764011
2,41,8,55	BlinkEnd	1028766233
2	Feed	1028766313
41	Feed	1028766393
23,5	BlinkStart	1028766536
23,5	BlinkEnd	1028777784
5	0DropFeed	1028777864
23	NoFeedAbort	1028777945
1	BlinkStart	1028788010
1	BlinkEnd	1028790239
1	NoFeedLowProb	1028790319
4,43	BlinkStart	1028790410
4,43	BlinkEnd	1028793127
4	Feed	1028793207
43	Feed	1028793287
1	BlinkStart	1028793443
1	BlinkEnd	1028802693
1	NoFeedLowProb	1028802773
4,43	BlinkStart	1028802902
4,43	BlinkEnd	1028807746
4	Feed	1028807826
43	Feed	1028807906
1	BlinkStart	1028808088
1	BlinkEnd	1028815929
1	NoFeedLowProb	1028816009
4,43	BlinkStart	1028816099
4,43	BlinkEnd	1028819066
4	Feed	1028819147
43	Feed	1028819227
16,1	BlinkStart	1028819378
16,1	BlinkEnd	1028827422
1	0DropFeed	1028827503
16	Feed	1028827583
4,43,6,49	BlinkStart	1028827759
4,43,6,49	BlinkEnd	1028830609
6	Feed	1028830689
49	Feed	1028830769
15,1	BlinkStart	1028830946
15,1	BlinkEnd	1028841500
1	0DropFeed	1028841580
15	NoFeedAbort	1028841660
5	BlinkStart	1028851726
5	BlinkEnd	1028854796
5	NoFeedLowProb	1028854876
2,37	BlinkStart	1028854950
2,37	BlinkEnd	1028857504
2	Feed	1028857584
37	Feed	1028857664
5	BlinkStart	1028857818
5	BlinkEnd	1028864543
5	NoFeedLowProb	1028864623
2,37	BlinkStart	1028864714
2,37	BlinkEnd	1028867793
2	Feed	1028867873
37	Feed	1028867954
5	BlinkStart	1028868110
5	BlinkEnd	1028874832
5	NoFeedLowProb	1028874912
2,37	BlinkStart	1028874988
2,37	BlinkEnd	1028878321
2	Feed	1028878401
37	Feed	1028878481
30,5	BlinkStart	1028878638
30,5	BlinkEnd	1028892402
5	0DropFeed	1028892482
30	Feed	1028892562
2,37,8,52	BlinkStart	1028892723
2,37,8,52	BlinkEnd	1028896431
8	Feed	1028896511
52	Feed	1028896592
29,5	BlinkStart	1028896774
29,5	BlinkEnd	1028907080
5	0DropFeed	1028907160
29	Feed	1028907240
2,37,8,52	BlinkStart	1028907415
2,37,8,52	BlinkEnd	1028910570
2	Feed	1028910650
37	Feed	1028910730
28,5	BlinkStart	1028910889
28,5	BlinkEnd	1028918873
5	0DropFeed	1028918953
28	Feed	1028919033
2,37,8,52	BlinkStart	1028919197
2,37,8,52	BlinkEnd	1028923204
2	Feed	1028923284
37	Feed	1028923364
27,5	BlinkStart	1028923530
27,5	BlinkEnd	1028986559
5	0DropFeed	1028986639
27	Feed	1028986719
2,37,8,52	BlinkStart	1028986901
2,37,8,52	BlinkEnd	1028990049
8	Feed	1028990129
52	Feed	1028990209
26,5	BlinkStart	1028990367
26,5	BlinkEnd	1028998593
5	0DropFeed	1028998674
26	Feed	1028998754
2,37,8,52	BlinkStart	1028998926
2,37,8,52	BlinkEnd	1029002203
2	Feed	1029002283
37	Feed	1029002363
25,5	BlinkStart	1029002519
25,5	BlinkEnd	1029010265
5	0DropFeed	1029010345
25	Feed	1029010425
2,37,8,52	BlinkStart	1029010617
2,37,8,52	BlinkEnd	1029016221
8	Feed	1029016301
52	Feed	1029016382
23,5	BlinkStart	1029016542
23,5	BlinkEnd	1029024044
5	0DropFeed	1029024124
23	NoFeedAbort	1029024204
1	BlinkStart	1029034274
1	BlinkEnd	1029034537
1	NoFeedLowProb	1029034617
6,49	BlinkStart	1029034703
6,49	BlinkEnd	1029068985
6	Feed	1029069066
49	Feed	1029069146
1	BlinkStart	1029069288
1	BlinkEnd	1029084389
1	NoFeedLowProb	1029084469
6,49	BlinkStart	1029084573
6,49	BlinkEnd	1029087278
6	Feed	1029087358
49	Feed	1029087438
1	BlinkStart	1029087601
1	BlinkEnd	1029101597
1	NoFeedLowProb	1029101677
6,49	BlinkStart	1029101753
6,49	BlinkEnd	1029104544
6	Feed	1029104624
49	Feed	1029104704
16,1	BlinkStart	1029104873
16,1	BlinkEnd	1029117660
1	0DropFeed	1029117740
16	Feed	1029117820
6,49,4,43	BlinkStart	1029117993
6,49,4,43	BlinkEnd	1029120669
6	Feed	1029120749
49	Feed	1029120830
15,1	BlinkStart	1029120996
15,1	BlinkEnd	1029133844
1	0DropFeed	1029133924
15	NoFeedAbort	1029134004
5	BlinkStart	1029144098
5	BlinkEnd	1029149669
5	NoFeedLowProb	1029149749
2,38	BlinkStart	1029149856
2,38	BlinkEnd	1029152857
2	Feed	1029152937
38	Feed	1029153017
5	BlinkStart	1029153180
5	BlinkEnd	1029163025
5	NoFeedLowProb	1029163105
2,38	BlinkStart	1029163196
2,38	BlinkEnd	1029165973
2	Feed	1029166053
38	Feed	1029166133
5	BlinkStart	1029166303
5	BlinkEnd	1029178909
5	NoFeedLowProb	1029178989
2,38	BlinkStart	1029179107
2,38	BlinkEnd	1029181617
2	Feed	1029181697
38	Feed	1029181778
30,5	BlinkStart	1029181952
30,5	BlinkEnd	1029190401
5	0DropFeed	1029190481
30	Feed	1029190561
2,38,8,56	BlinkStart	1029190742
2,38,8,56	BlinkEnd	1029193591
2	Feed	1029193671
38	Feed	1029193751
29,5	BlinkStart	1029193950
29,5	BlinkEnd	1029201772
5	0DropFeed	1029201852
29	Feed	1029201932
2,38,8,56	BlinkStart	1029202115
2,38,8,56	BlinkEnd	1029205021
2	Feed	1029205101
38	Feed	1029205181
28,5	BlinkStart	1029205371
28,5	BlinkEnd	1029214287
5	0DropFeed	1029214367
28	Feed	1029214447
2,38,8,56	BlinkStart	1029214621
2,38,8,56	BlinkEnd	1029217415
2	Feed	1029217495
38	Feed	1029217575
27,5	BlinkStart	1029217729
27,5	BlinkEnd	1029224937
5	0DropFeed	1029225017
27	Feed	1029225097
2,38,8,56	BlinkStart	1029225290
2,38,8,56	BlinkEnd	1029228184
2	Feed	1029228264
38	Feed	1029228344
26,5	BlinkStart	1029228499
26,5	BlinkEnd	1029236368
5	0DropFeed	1029236448
26	Feed	1029236528
2,38,8,56	BlinkStart	1029236688
2,38,8,56	BlinkEnd	1029239495
2	Feed	1029239575
38	Feed	1029239655
25,5	BlinkStart	1029239816
25,5	BlinkEnd	1029246415
5	0DropFeed	1029246496
25	Feed	1029246576
2,38,8,56	BlinkStart	1029246775
2,38,8,56	BlinkEnd	1029249665
2	Feed	1029249745
38	Feed	1029249825
23,5	BlinkStart	1029249971
23,5	BlinkEnd	1029256643
5	0DropFeed	1029256723
23	NoFeedAbort	1029256803
1	BlinkStart	1029266878
1	BlinkEnd	1029269158
1	NoFeedLowProb	1029269238
4,42	BlinkStart	1029269321
4,42	BlinkEnd	1029272286
4	Feed	1029272366
42	Feed	1029272446
1	BlinkStart	1029272607
1	BlinkEnd	1029280047
1	NoFeedLowProb	1029280127
4,42	BlinkStart	1029280224
4,42	BlinkEnd	1029283598
4	Feed	1029283678
42	Feed	1029283759
1	BlinkStart	1029283902
1	BlinkEnd	1029290095
1	NoFeedLowProb	1029290175
4,42	BlinkStart	1029290284
4,42	BlinkEnd	1029293645
4	Feed	1029293725
42	Feed	1029293806
16,1	BlinkStart	1029293980
16,1	BlinkEnd	1029327458
1	0DropFeed	1029327538
16	Feed	1029327619
4,42,6,47	BlinkStart	1029327789
4,42,6,47	BlinkEnd	1029331008
6	Feed	1029331088
47	Feed	1029331168
15,1	BlinkStart	1029331337
15,1	BlinkEnd	1029342259
1	0DropFeed	1029342339
15	NoFeedAbort	1029342419
5	BlinkStart	1029352489
5	BlinkEnd	1029354352
5	NoFeedLowProb	1029354432
2	BlinkStart	1029354533
2	BlinkEnd	1029356939
2	0DropFeed	1029357019
5	BlinkStart	1029357191
5	BlinkEnd	1029363198
5	NoFeedLowProb	1029363278
2	BlinkStart	1029363380
2	BlinkEnd	1029416924
2	0DropFeed	1029417004
5	BlinkStart	1029417166
5	BlinkEnd	1029430281
5	NoFeedLowProb	1029430361
2	BlinkStart	1029430452
2	BlinkEnd	1029455911
2	0DropFeed	1029455991
30,5	BlinkStart	1029456209
30,5	BlinkEnd	1029661979
5	0DropFeed	1029662059
30	Feed	1029662140
8,56,2	BlinkStart	1029662296
8,56,2	BlinkEnd	1029665831
8	Feed	1029665911
56	Feed	1029665991
29,5	BlinkStart	1029666171
29,5	BlinkEnd	1029684422
5	0DropFeed	1029684502
29	Feed	1029684583
8,56,2	BlinkStart	1029684755
8,56,2	BlinkEnd	1029687911
2	0DropFeed	1029687992
28,5	BlinkStart	1029688156
28,5	BlinkEnd	1029693929
5	0DropFeed	1029694009
28	Feed	1029694090
8,56,2	BlinkStart	1029694253
8,56,2	BlinkEnd	1029698259
8	Feed	1029698339
56	Feed	1029698419
27,5	BlinkStart	1029698612
27,5	BlinkEnd	1029725333
5	0DropFeed	1029725414
27	Feed	1029725494
8,56,2	BlinkStart	1029725680
8,56,2	BlinkEnd	1029728343
8	Feed	1029728423
56	Feed	1029728503
26,5	BlinkStart	1029728662
26,5	BlinkEnd	1029747414
5	0DropFeed	1029747494
26	Feed	1029747575
8,56,2	BlinkStart	1029747757
8,56,2	BlinkEnd	1029750182
2	0DropFeed	1029750262
25,5	BlinkStart	1029750408
25,5	BlinkEnd	1029754942
5	0DropFeed	1029755022
25	Feed	1029755102
8,56,2	BlinkStart	1029755277
8,56,2	BlinkEnd	1029758726
2	0DropFeed	1029758806
23,5	BlinkStart	1029758991
23,5	BlinkEnd	1029769436
5	0DropFeed	1029769516
23	NoFeedAbort	1029769596
1	BlinkStart	1029779662
1	BlinkEnd	1029800000
1	NoFeedLowProb	1029800080
4,44	BlinkStart	1029800150
4,44	BlinkEnd	1029804091
4	Feed	1029804171
44	Feed	1029804251
1	BlinkStart	1029804403
1	BlinkEnd	1029825510
1	NoFeedLowProb	1029825590
4,44	BlinkStart	1029825657
4,44	BlinkEnd	1029828580
4	Feed	1029828660
44	Feed	1029828740
1	BlinkStart	1029828915
1	BlinkEnd	1029844162
1	NoFeedLowProb	1029844242
4,44	BlinkStart	1029844342
4,44	BlinkEnd	1029848205
4	Feed	1029848285
44	Feed	1029848365
16,1	BlinkStart	1029848532
16,1	BlinkEnd	1029876531
1	0DropFeed	1029876611
16	Feed	1029876691
4,44,6,50	BlinkStart	1029876875
4,44,6,50	BlinkEnd	1029879485
6	Feed	1029879565
50	Feed	1029879645
15,1	BlinkStart	1029879842
15,1	BlinkEnd	1029897167
1	0DropFeed	1029897247
15	NoFeedAbort	1029897327
5	BlinkStart	1029907394
5	BlinkEnd	1029916842
5	NoFeedLowProb	1029916922
2,39	BlinkStart	1029917011
2,39	BlinkEnd	1029919850
2	Feed	1029919930
39	Feed	1029920010
5	BlinkStart	1029920170
5	BlinkEnd	1029932546
5	NoFeedLowProb	1029932626
2,39	BlinkStart	1029932710
2,39	BlinkEnd	1029936215
2	Feed	1029936295
39	Feed	1029936375
5	BlinkStart	1029936533
5	BlinkEnd	1029948730
5	NoFeedLowProb	1029948810
2,39	BlinkStart	1029948905
2,39	BlinkEnd	1029951739
2	Feed	1029951819
39	Feed	1029951901
30,5	BlinkStart	1029952068
30,5	BlinkEnd	1029962868
5	0DropFeed	1029962948
30	Feed	1029963028
2,39,8	BlinkStart	1029963208
2,39,8	BlinkEnd	1029966968
8	0DropFeed	1029967048
29,5	BlinkStart	1029967216
29,5	BlinkEnd	1029981279
5	0DropFeed	1029981359
29	Feed	1029981439
2,39,8	BlinkStart	1029981608
2,39,8	BlinkEnd	1029984889
8	0DropFeed	1029984970
28,5	BlinkStart	1029985156
28,5	BlinkEnd	1030091863
5	0DropFeed	1030091944
28	Feed	1030092024
2,39,8	BlinkStart	1030092203
2,39,8	BlinkEnd	1030095834
8	0DropFeed	1030095914
27,5	BlinkStart	1030096097
27,5	BlinkEnd	1030109372
5	0DropFeed	1030109452
27	Feed	1030109532
2,39,8	BlinkStart	1030109706
2,39,8	BlinkEnd	1030132837
2	Feed	1030132917
39	Feed	1030132997
26,5	BlinkStart	1030133143
26,5	BlinkEnd	1031107100
5	0DropFeed	1031107180
26	Feed	1031107260
2,39,8	BlinkStart	1031107460
2,39,8	BlinkEnd	1031122382
2	Feed	1031122462
39	Feed	1031122542
25,5	BlinkStart	1031122687
25,5	BlinkEnd	1031228876
5	0DropFeed	1031228956
25	Feed	1031229036
2,39,8	BlinkStart	1031229220
2,39,8	BlinkEnd	1031232973
8	0DropFeed	1031233054
23,5	BlinkStart	1031233212
23,5	BlinkEnd	1031281340
5	0DropFeed	1031281420
23	NoFeedAbort	1031281500
1	BlinkStart	1031291588
1	BlinkEnd	1031378388
1	NoFeedLowProb	1031378468
4,42	BlinkStart	1031378565
4,42	BlinkEnd	1031552401
4	Feed	1031552481
42	Feed	1031552561
1	BlinkStart	1031552722
1	BlinkEnd	1032482850
1	NoFeedLowProb	1032482930
4,42	BlinkStart	1032483050
4,42	BlinkEnd	1032644635
4	Feed	1032644715
42	Feed	1032644796
1	BlinkStart	1032644945
1	BlinkEnd	1032717797
1	NoFeedLowProb	1032717877
4,42	BlinkStart	1032717960
4,42	BlinkEnd	1032722549
4	Feed	1032722629
42	Feed	1032722710
16,1	BlinkStart	1032722885
16,1	BlinkEnd	1032766351
1	0DropFeed	1032766431
16	Feed	1032766511
4,42,6,47	BlinkStart	1032766693
4,42,6,47	BlinkEnd	1032839331
6	Feed	1032839411
47	Feed	1032839491
15,1	BlinkStart	1032839676
15,1	BlinkEnd	1032988364
1	0DropFeed	1032988444
15	NoFeedAbort	1032988524
5	BlinkStart	1032998600
5	BlinkEnd	1033381125
5	NoFeedLowProb	1033381205
2,38	BlinkStart	1033381323
2,38	BlinkEnd	1033952506
0	StopTraining	1033952586
0	StopTraining	1033952586
0	StopTraining	1033952587
0	StopTraining	1033952587
0	StopTraining	1033952588
0	StopTraining	1033952588
0	StopTraining	1033952589
0	StopTraining	1033952589
0	StopTraining	1033952590
0	StopTraining	1033952590
