Wednesday, November 4, 2020	1:56:56 PM	Game1.txt	1201984738
Cued	Now	1202009450
9	BlinkStart	1202009540
9	BlinkEnd	1202324589
23,5	BlinkStart	1202324676
23,5	BlinkEnd	1202329017
5	0DropFeed	1202329097
23	NoFeedAbort	1202329177
1	BlinkStart	1202339192
1	BlinkEnd	1202394718
1	NoFeedLowProb	1202394798
4,42	BlinkStart	1202394835
4,42	BlinkEnd	1202403623
4	Feed	1202403703
42	Feed	1202403783
1	BlinkStart	1202403879
1	BlinkEnd	1202412647
1	NoFeedLowProb	1202412727
4,42	BlinkStart	1202412748
4,42	BlinkEnd	1202416317
4	Feed	1202416397
42	Feed	1202416478
1	BlinkStart	1202416579
1	BlinkEnd	1202424319
1	NoFeedLowProb	1202424399
4,42	BlinkStart	1202424427
4,42	BlinkEnd	1202428170
4	Feed	1202428250
42	Feed	1202428330
16,1	BlinkStart	1202428437
16,1	BlinkEnd	1202451092
1	0DropFeed	1202451172
16	Feed	1202451252
4,42,6,49	BlinkStart	1202451367
4,42,6,49	BlinkEnd	1202455725
6	Feed	1202455805
49	Feed	1202455885
15,1	BlinkStart	1202455995
15,1	BlinkEnd	1202474017
1	0DropFeed	1202474097
15	NoFeedAbort	1202474177
5	BlinkStart	1202484192
5	BlinkEnd	1202486470
5	NoFeedLowProb	1202486550
8,55	BlinkStart	1202486576
8,55	BlinkEnd	1202489598
8	Feed	1202489678
55	Feed	1202489758
5	BlinkStart	1202489856
5	BlinkEnd	1202505543
5	NoFeedLowProb	1202505623
8,55	BlinkStart	1202505654
8,55	BlinkEnd	1202508612
8	Feed	1202508692
55	Feed	1202508772
5	BlinkStart	1202508869
5	BlinkEnd	1202527864
5	NoFeedLowProb	1202527944
8,55	BlinkStart	1202527969
8,55	BlinkEnd	1202530512
8	Feed	1202530593
55	Feed	1202530673
30,5	BlinkStart	1202530765
30,5	BlinkEnd	1202546455
5	0DropFeed	1202546535
30	Feed	1202546615
8,55,2,41	BlinkStart	1202546740
8,55,2,41	BlinkEnd	1202550486
2	Feed	1202550566
41	Feed	1202550646
29,5	BlinkStart	1202550734
29,5	BlinkEnd	1202563782
5	0DropFeed	1202563863
