Thursday, November 12, 2020	9:23:56 AM	Game1.txt	139999908
Cued	Now	140010745
9	BlinkStart	140010769
9	BlinkEnd	140285775
23,5	BlinkStart	140285869
23,5	BlinkEnd	140295205
5	0DropFeed	140295285
23	NoFeedAbort	140295365
1	BlinkStart	140305408
1	BlinkEnd	140320003
1	NoFeedLowProb	140320083
6,49	BlinkStart	140320112
6,49	BlinkEnd	140324025
6	Feed	140324105
49	Feed	140324185
1	BlinkStart	140324285
1	BlinkEnd	140337623
1	NoFeedLowProb	140337703
6,49	BlinkStart	140337741
6,49	BlinkEnd	140340572
6	Feed	140340652
49	Feed	140340732
1	BlinkStart	140340844
1	BlinkEnd	140352664
1	NoFeedLowProb	140352744
6,49	BlinkStart	140352778
6,49	BlinkEnd	140355554
6	Feed	140355634
49	Feed	140355714
16,1	BlinkStart	140355807
16,1	BlinkEnd	140368188
1	0DropFeed	140368269
16	Feed	140368349
6,49,4	BlinkStart	140368454
6,49,4	BlinkEnd	140372157
4	0DropFeed	140372237
14,1	BlinkStart	140372341
14,1	BlinkEnd	140382590
1	0DropFeed	140382671
14	NoFeedAbort	140382751
5	BlinkStart	140392766
5	BlinkEnd	140395622
5	NoFeedLowProb	140395702
8,52	BlinkStart	140395732
8,52	BlinkEnd	140399292
8	Feed	140399372
52	Feed	140399452
5	BlinkStart	140399571
5	BlinkEnd	140406935
5	NoFeedLowProb	140407015
8,52	BlinkStart	140407036
8,52	BlinkEnd	140410844
8	Feed	140410924
52	Feed	140411004
5	BlinkStart	140411123
5	BlinkEnd	140418003
5	NoFeedLowProb	140418083
8,52	BlinkStart	140418111
8,52	BlinkEnd	140422456
8	Feed	140422536
52	Feed	140422616
25,5	BlinkStart	140422723
25,5	BlinkEnd	140437196
5	0DropFeed	140437276
25	Feed	140437356
8,52,2,41	BlinkStart	140437479
8,52,2,41	BlinkEnd	140440566
8	Feed	140440646
52	Feed	140440726
23,5	BlinkStart	140440816
23,5	BlinkEnd	140447845
5	0DropFeed	140447925
23	NoFeedAbort	140448005
1	BlinkStart	140458016
1	BlinkEnd	140459639
1	NoFeedLowProb	140459719
4	BlinkStart	140459739
4	BlinkEnd	140463068
4	0DropFeed	140463148
1	BlinkStart	140463248
1	BlinkEnd	140467881
1	NoFeedLowProb	140467961
4	BlinkStart	140467981
4	BlinkEnd	140482622
4	0DropFeed	140482702
1	BlinkStart	140482808
1	BlinkEnd	140508132
1	NoFeedLowProb	140508212
4	BlinkStart	140508226
4	BlinkEnd	140541343
4	0DropFeed	140541424
16,1	BlinkStart	140541530
16,1	BlinkEnd	140549406
1	0DropFeed	140549487
16	Feed	140549567
6,51,4	BlinkStart	140549682
6,51,4	BlinkEnd	140553379
6	Feed	140553459
51	Feed	140553539
14,1	BlinkStart	140553644
14,1	BlinkEnd	140572630
1	0DropFeed	140572710
14	NoFeedAbort	140572790
5	BlinkStart	140582858
5	BlinkEnd	140589296
5	NoFeedLowProb	140589376
2,40	BlinkStart	140589464
2,40	BlinkEnd	140592064
2	Feed	140592144
40	Feed	140592224
5	BlinkStart	140592414
5	BlinkEnd	140604637
5	NoFeedLowProb	140604717
2,40	BlinkStart	140604800
2,40	BlinkEnd	140607347
2	Feed	140607427
40	Feed	140607507
5	BlinkStart	140607685
5	BlinkEnd	140618415
5	NoFeedLowProb	140618495
2,40	BlinkStart	140618604
2,40	BlinkEnd	140621303
2	Feed	140621383
40	Feed	140621463
25,5	BlinkStart	140621639
25,5	BlinkEnd	140637609
5	0DropFeed	140637689
25	Feed	140637769
2,40,8,54	BlinkStart	140637951
2,40,8,54	BlinkEnd	140640859
8	Feed	140640939
54	Feed	140641019
23,5	BlinkStart	140641191
23,5	BlinkEnd	140651206
5	0DropFeed	140651286
23	NoFeedAbort	140651366
1	BlinkStart	140661432
1	BlinkEnd	140662217
1	NoFeedLowProb	140662297
4,44	BlinkStart	140662398
4,44	BlinkEnd	140664744
4	Feed	140664824
44	Feed	140664905
1	BlinkStart	140665106
1	BlinkEnd	140674612
1	NoFeedLowProb	140674692
4,44	BlinkStart	140674787
4,44	BlinkEnd	140677139
4	Feed	140677219
44	Feed	140677300
1	BlinkStart	140677451
1	BlinkEnd	140688689
1	NoFeedLowProb	140688769
4,44	BlinkStart	140688881
4,44	BlinkEnd	140690977
4	Feed	140691057
44	Feed	140691137
16,1	BlinkStart	140691301
16,1	BlinkEnd	140702107
1	0DropFeed	140702187
16	Feed	140702267
4,44,6,49	BlinkStart	140702429
4,44,6,49	BlinkEnd	140704573
4	Feed	140704653
44	Feed	140704734
14,1	BlinkStart	140704904
14,1	BlinkEnd	140715765
1	0DropFeed	140715846
14	NoFeedAbort	140715926
5	BlinkStart	140726015
5	BlinkEnd	140726304
5	NoFeedLowProb	140726384
2,41	BlinkStart	140726464
2,41	BlinkEnd	140729663
2	Feed	140729743
41	Feed	140729823
5	BlinkStart	140729991
5	BlinkEnd	140748254
5	NoFeedLowProb	140748334
2,41	BlinkStart	140748477
2,41	BlinkEnd	140750841
2	Feed	140750921
41	Feed	140751001
5	BlinkStart	140751209
5	BlinkEnd	140764258
5	NoFeedLowProb	140764338
2,41	BlinkStart	140764460
2,41	BlinkEnd	140767205
2	Feed	140767285
41	Feed	140767365
25,5	BlinkStart	140767507
25,5	BlinkEnd	140780503
5	0DropFeed	140780583
25	Feed	140780663
2,41,8,55	BlinkStart	140780836
2,41,8,55	BlinkEnd	140783090
8	Feed	140783170
55	Feed	140783251
23,5	BlinkStart	140783412
23,5	BlinkEnd	140793680
5	0DropFeed	140793761
23	NoFeedAbort	140793841
1	BlinkStart	140803914
1	BlinkEnd	140806435
1	NoFeedLowProb	140806515
4,45	BlinkStart	140806592
4,45	BlinkEnd	140809322
4	Feed	140809403
45	Feed	140809483
1	BlinkStart	140809637
1	BlinkEnd	140821898
1	NoFeedLowProb	140821978
4,45	BlinkStart	140822080
4,45	BlinkEnd	140824004
4	Feed	140824084
45	Feed	140824164
1	BlinkStart	140824326
1	BlinkEnd	140839346
1	NoFeedLowProb	140839426
4,45	BlinkStart	140839521
4,45	BlinkEnd	140842053
4	Feed	140842133
45	Feed	140842213
16,1	BlinkStart	140842366
16,1	BlinkEnd	140854989
1	0DropFeed	140855069
16	Feed	140855149
4,45,6,49	BlinkStart	140855330
4,45,6,49	BlinkEnd	140857756
4	Feed	140857836
45	Feed	140857916
14,1	BlinkStart	140858092
14,1	BlinkEnd	140870210
1	0DropFeed	140870290
14	NoFeedAbort	140870370
5	BlinkStart	140880442
5	BlinkEnd	140889042
5	NoFeedLowProb	140889122
8,55	BlinkStart	140889232
8,55	BlinkEnd	140892050
8	Feed	140892132
55	Feed	140892212
5	BlinkStart	140892357
5	BlinkEnd	140905287
5	NoFeedLowProb	140905367
8,55	BlinkStart	140905508
8,55	BlinkEnd	140908236
8	Feed	140908316
55	Feed	140908396
5	BlinkStart	140908564
5	BlinkEnd	140920092
5	NoFeedLowProb	140920172
8,55	BlinkStart	140920248
8,55	BlinkEnd	140922735
8	Feed	140922815
55	Feed	140922896
25,5	BlinkStart	140923067
25,5	BlinkEnd	140934649
5	0DropFeed	140934730
25	Feed	140934810
8,55,2,40	BlinkStart	140934974
8,55,2,40	BlinkEnd	140937296
8	Feed	140937376
55	Feed	140937456
23,5	BlinkStart	140937648
23,5	BlinkEnd	140947945
5	0DropFeed	140948025
23	NoFeedAbort	140948105
1	BlinkStart	140958177
1	BlinkEnd	140959075
1	NoFeedLowProb	140959155
6,48	BlinkStart	140959258
6,48	BlinkEnd	140962205
6	Feed	140962285
48	Feed	140962365
1	BlinkStart	140962548
1	BlinkEnd	140971469
1	NoFeedLowProb	140971549
6,48	BlinkStart	140971633
6,48	BlinkEnd	140974056
6	Feed	140974136
48	Feed	140974216
1	BlinkStart	140974397
1	BlinkEnd	140984404
1	NoFeedLowProb	140984484
6,48	BlinkStart	140984578
6,48	BlinkEnd	140986878
6	Feed	140986958
48	Feed	140987038
16,1	BlinkStart	140987213
16,1	BlinkEnd	140995356
1	0DropFeed	140995436
16	Feed	140995517
6,48,4,43	BlinkStart	140995673
6,48,4,43	BlinkEnd	140997943
4	Feed	140998023
43	Feed	140998103
14,1	BlinkStart	140998265
14,1	BlinkEnd	141006908
1	0DropFeed	141006988
14	NoFeedAbort	141007068
5	BlinkStart	141017142
5	BlinkEnd	141033440
5	NoFeedLowProb	141033520
8,56	BlinkStart	141033616
8,56	BlinkEnd	141036389
8	Feed	141036469
56	Feed	141036549
5	BlinkStart	141036706
5	BlinkEnd	141051311
5	NoFeedLowProb	141051391
8,56	BlinkStart	141051482
8,56	BlinkEnd	141054084
8	Feed	141054165
56	Feed	141054245
5	BlinkStart	141054463
5	BlinkEnd	141067976
5	NoFeedLowProb	141068056
8,56	BlinkStart	141068159
8,56	BlinkEnd	141070622
8	Feed	141070702
56	Feed	141070782
25,5	BlinkStart	141070941
25,5	BlinkEnd	141083197
5	0DropFeed	141083277
25	Feed	141083357
8,56,2,37	BlinkStart	141083518
8,56,2,37	BlinkEnd	141085732
8	Feed	141085813
56	Feed	141085893
23,5	BlinkStart	141086066
23,5	BlinkEnd	141098599
5	0DropFeed	141098679
23	NoFeedAbort	141098760
1	BlinkStart	141108837
1	BlinkEnd	141110512
1	NoFeedLowProb	141110592
4,43	BlinkStart	141110663
4,43	BlinkEnd	141113166
4	Feed	141113246
43	Feed	141113326
1	BlinkStart	141113487
1	BlinkEnd	141121582
1	NoFeedLowProb	141121662
4,43	BlinkStart	141121743
4,43	BlinkEnd	141123870
4	Feed	141123950
43	Feed	141124031
1	BlinkStart	141124204
1	BlinkEnd	141132052
1	NoFeedLowProb	141132132
4,43	BlinkStart	141132224
4,43	BlinkEnd	141134760
4	Feed	141134841
43	Feed	141134921
16,1	BlinkStart	141135088
16,1	BlinkEnd	141143964
1	0DropFeed	141144044
16	Feed	141144124
4,43,6	BlinkStart	141144274
4,43,6	BlinkEnd	141146371
4	Feed	141146451
43	Feed	141146531
14,1	BlinkStart	141146676
14,1	BlinkEnd	141154312
1	0DropFeed	141154392
14	NoFeedAbort	141154472
5	BlinkStart	141164538
5	BlinkEnd	141166828
5	NoFeedLowProb	141166908
2,38	BlinkStart	141166999
2,38	BlinkEnd	141169717
2	Feed	141169797
38	Feed	141169877
5	BlinkStart	141170073
5	BlinkEnd	141178082
5	NoFeedLowProb	141178162
2,38	BlinkStart	141178241
2,38	BlinkEnd	141180666
2	Feed	141180747
38	Feed	141180827
5	BlinkStart	141180987
5	BlinkEnd	141187165
5	NoFeedLowProb	141187245
2,38	BlinkStart	141187324
2,38	BlinkEnd	141189690
2	Feed	141189772
38	Feed	141189852
25,5	BlinkStart	141190034
25,5	BlinkEnd	141198536
5	0DropFeed	141198616
25	Feed	141198696
2,38,8,55	BlinkStart	141198864
2,38,8,55	BlinkEnd	141201064
2	Feed	141201144
38	Feed	141201224
23,5	BlinkStart	141201367
23,5	BlinkEnd	141208343
5	0DropFeed	141208423
23	NoFeedAbort	141208503
1	BlinkStart	141218600
1	BlinkEnd	141222481
1	NoFeedLowProb	141222561
6,49	BlinkStart	141222657
6,49	BlinkEnd	141225129
6	Feed	141225209
49	Feed	141225290
1	BlinkStart	141225458
1	BlinkEnd	141235959
1	NoFeedLowProb	141236039
6,49	BlinkStart	141236126
6,49	BlinkEnd	141238546
6	Feed	141238626
49	Feed	141238707
1	BlinkStart	141238873
1	BlinkEnd	141252143
1	NoFeedLowProb	141252223
6,49	BlinkStart	141252327
6,49	BlinkEnd	141254611
6	Feed	141254691
49	Feed	141254771
16,1	BlinkStart	141254947
16,1	BlinkEnd	141265560
1	0DropFeed	141265640
16	Feed	141265720
6,49,4,43	BlinkStart	141265899
6,49,4,43	BlinkEnd	141268208
4	Feed	141268288
43	Feed	141268368
14,1	BlinkStart	141268550
14,1	BlinkEnd	141276167
1	0DropFeed	141276248
14	NoFeedAbort	141276328
5	BlinkStart	141286407
5	BlinkEnd	141289265
5	NoFeedLowProb	141289345
2	BlinkStart	141289416
2	BlinkEnd	141291794
2	0DropFeed	141291874
5	BlinkStart	141292059
5	BlinkEnd	141296184
5	NoFeedLowProb	141296264
2	BlinkStart	141296343
2	BlinkEnd	141301418
2	0DropFeed	141301499
5	BlinkStart	141301703
5	BlinkEnd	141315558
5	NoFeedLowProb	141315638
2	BlinkStart	141315726
2	BlinkEnd	141325966
2	0DropFeed	141326046
25,5	BlinkStart	141326242
25,5	BlinkEnd	141351838
5	0DropFeed	141351918
25	Feed	141351998
8,52,2	BlinkStart	141352175
8,52,2	BlinkEnd	141366338
8	Feed	141366418
52	Feed	141366498
23,5	BlinkStart	141366655
23,5	BlinkEnd	141376205
5	0DropFeed	141376285
23	NoFeedAbort	141376365
1	BlinkStart	141386435
1	BlinkEnd	141388298
1	NoFeedLowProb	141388378
6,50	BlinkStart	141388476
6,50	BlinkEnd	141391012
