Friday, December 4, 2020	2:28:05 PM	Game1.txt	301488999
Cued	Now	301582707
9	BlinkStart	301582742
9	BlinkEnd	301830428
24,5	BlinkStart	301830525
24,5	BlinkEnd	301839732
5	0DropFeed	301839812
24	NoFeedAbort	301839892
1	BlinkStart	301849925
1	BlinkEnd	301856443
1	NoFeedLowProb	301856523
6,50	BlinkStart	301856574
6,50	BlinkEnd	301859919
6	Feed	301859999
50	Feed	301860080
1	BlinkStart	301860190
1	BlinkEnd	301875360
1	NoFeedLowProb	301875440
6,50	BlinkStart	301875465
6,50	BlinkEnd	301879236
6	Feed	301879317
50	Feed	301879397
1	BlinkStart	301879492
1	BlinkEnd	301893807
1	NoFeedLowProb	301893887
6,50	BlinkStart	301893922
6,50	BlinkEnd	301896950
6	Feed	301897031
50	Feed	301897111
21,1	BlinkStart	301897210
21,1	BlinkEnd	301909983
1	0DropFeed	301910063
21	Feed	301910143
6,50,4,46	BlinkStart	301910247
6,50,4,46	BlinkEnd	301912590
6	Feed	301912671
50	Feed	301912751
20,1	BlinkStart	301912860
20,1	BlinkEnd	301926360
1	0DropFeed	301926440
20	Feed	301926520
6,50,4,46	BlinkStart	301926621
6,50,4,46	BlinkEnd	301928967
6	Feed	301929047
50	Feed	301929127
19,1	BlinkStart	301929219
19,1	BlinkEnd	301942534
1	0DropFeed	301942614
19	Feed	301942694
6,50,4,46	BlinkStart	301942795
6,50,4,46	BlinkEnd	301946144
6	Feed	301946224
50	Feed	301946304
18,1	BlinkStart	301946409
18,1	BlinkEnd	301970607
1	0DropFeed	301970687
18	Feed	301970767
6,50,4,46	BlinkStart	301970895
6,50,4,46	BlinkEnd	301973950
6	Feed	301974030
50	Feed	301974110
17,1	BlinkStart	301974204
17,1	BlinkEnd	301987050
1	0DropFeed	301987130
17	Feed	301987210
6,50,4,46	BlinkStart	301987309
6,50,4,46	BlinkEnd	301990659
4	Feed	301990739
46	Feed	301990819
16,1	BlinkStart	301990922
16,1	BlinkEnd	302000760
1	0DropFeed	302000840
16	Feed	302000920
6,50,4,46	BlinkStart	302001040
6,50,4,46	BlinkEnd	302003091
6	Feed	302003171
50	Feed	302003252
14,1	BlinkStart	302003358
14,1	BlinkEnd	302014456
1	0DropFeed	302014536
14	NoFeedAbort	302014617
5	BlinkStart	302024638
5	BlinkEnd	302027690
5	NoFeedLowProb	302027770
2,41	BlinkStart	302027808
2,41	BlinkEnd	302030831
2	Feed	302030912
41	Feed	302030992
5	BlinkStart	302031095
5	BlinkEnd	302047208
5	NoFeedLowProb	302047288
2,41	BlinkStart	302047310
2,41	BlinkEnd	302050218
2	Feed	302050298
41	Feed	302050378
5	BlinkStart	302050472
5	BlinkEnd	302061510
5	NoFeedLowProb	302061590
2,41	BlinkStart	302061622
2,41	BlinkEnd	302064586
2	Feed	302064666
41	Feed	302064746
25,5	BlinkStart	302064848
25,5	BlinkEnd	302074346
5	0DropFeed	302074426
25	Feed	302074507
2,41,8,54	BlinkStart	302074621
2,41,8,54	BlinkEnd	302077619
2	Feed	302077699
41	Feed	302077780
24,5	BlinkStart	302077956
24,5	BlinkEnd	302087984
5	0DropFeed	302088065
24	NoFeedAbort	302088145
1	BlinkStart	302098206
1	BlinkEnd	302106098
1	NoFeedLowProb	302106179
6,48	BlinkStart	302106274
6,48	BlinkEnd	302109569
6	Feed	302109649
48	Feed	302109729
1	BlinkStart	302109906
1	BlinkEnd	302118192
1	NoFeedLowProb	302118272
6,48	BlinkStart	302118352
6,48	BlinkEnd	302120666
6	Feed	302120747
48	Feed	302120827
1	BlinkStart	302120987
1	BlinkEnd	302130891
1	NoFeedLowProb	302130971
6,48	BlinkStart	302131077
6,48	BlinkEnd	302133566
6	Feed	302133646
48	Feed	302133726
21,1	BlinkStart	302133870
21,1	BlinkEnd	302142059
1	0DropFeed	302142139
21	Feed	302142219
6,48,4,44	BlinkStart	302142425
6,48,4,44	BlinkEnd	302145998
4	Feed	302146078
44	Feed	302146158
20,1	BlinkStart	302146302
20,1	BlinkEnd	302178350
1	0DropFeed	302178430
20	Feed	302178510
6,48,4,44	BlinkStart	302178666
6,48,4,44	BlinkEnd	302180689
6	Feed	302180769
48	Feed	302180850
19,1	BlinkStart	302181016
19,1	BlinkEnd	302189444
1	0DropFeed	302189524
19	Feed	302189604
6,48,4,44	BlinkStart	302189779
6,48,4,44	BlinkEnd	302193188
6	Feed	302193268
48	Feed	302193348
18,1	BlinkStart	302193508
18,1	BlinkEnd	302200273
1	0DropFeed	302200353
18	Feed	302200433
6,48,4,44	BlinkStart	302200611
6,48,4,44	BlinkEnd	302203281
6	Feed	302203361
48	Feed	302203441
17,1	BlinkStart	302203623
17,1	BlinkEnd	302210708
1	0DropFeed	302210788
17	Feed	302210868
6,48,4,44	BlinkStart	302211052
6,48,4,44	BlinkEnd	302213307
6	Feed	302213387
48	Feed	302213467
16,1	BlinkStart	302213616
16,1	BlinkEnd	302221127
1	0DropFeed	302221208
16	Feed	302221288
6,48,4,44	BlinkStart	302221457
6,48,4,44	BlinkEnd	302225540
4	Feed	302225620
44	Feed	302225700
14,1	BlinkStart	302225847
14,1	BlinkEnd	302233426
1	0DropFeed	302233506
14	NoFeedAbort	302233586
5	BlinkStart	302243655
5	BlinkEnd	302243919
5	NoFeedLowProb	302243999
2	BlinkStart	302244082
2	BlinkEnd	302256151
2	0DropFeed	302256231
5	BlinkStart	302256392
5	BlinkEnd	302265644
5	NoFeedLowProb	302265724
2	BlinkStart	302265831
2	BlinkEnd	302270056
2	0DropFeed	302270137
5	BlinkStart	302270290
5	BlinkEnd	302309490
5	NoFeedLowProb	302309570
2	BlinkStart	302309641
2	BlinkEnd	302318647
2	0DropFeed	302318727
25,5	BlinkStart	302318903
25,5	BlinkEnd	302323728
5	0DropFeed	302323808
25	Feed	302323888
8,56,2	BlinkStart	302324076
8,56,2	BlinkEnd	302327338
8	Feed	302327418
56	Feed	302327498
24,5	BlinkStart	302327643
24,5	BlinkEnd	302339771
5	0DropFeed	302339851
24	NoFeedAbort	302339931
1	BlinkStart	302349999
1	BlinkEnd	302351540
1	NoFeedLowProb	302351620
4,46	BlinkStart	302351707
4,46	BlinkEnd	302354541
4	Feed	302354621
46	Feed	302354701
1	BlinkStart	302354857
1	BlinkEnd	302366640
1	NoFeedLowProb	302366720
4,46	BlinkStart	302366835
4,46	BlinkEnd	302370851
4	Feed	302370931
46	Feed	302371011
1	BlinkStart	302371195
1	BlinkEnd	302382949
1	NoFeedLowProb	302383029
4,46	BlinkStart	302383120
4,46	BlinkEnd	302385622
4	Feed	302385703
46	Feed	302385783
21,1	BlinkStart	302385962
21,1	BlinkEnd	302399997
1	0DropFeed	302400078
21	Feed	302400159
4,46,6,47	BlinkStart	302400311
4,46,6,47	BlinkEnd	302402602
6	Feed	302402682
47	Feed	302402762
20,1	BlinkStart	302402931
20,1	BlinkEnd	302408884
1	0DropFeed	302408964
20	Feed	302409044
4,46,6,47	BlinkStart	302409209
4,46,6,47	BlinkEnd	302412827
6	Feed	302412907
47	Feed	302412987
19,1	BlinkStart	302413148
19,1	BlinkEnd	302419377
1	0DropFeed	302419458
19	Feed	302419538
4,46,6,47	BlinkStart	302419701
4,46,6,47	BlinkEnd	302421985
6	Feed	302422065
47	Feed	302422145
18,1	BlinkStart	302422330
18,1	BlinkEnd	302428405
1	0DropFeed	302428485
18	Feed	302428565
4,46,6,47	BlinkStart	302428721
4,46,6,47	BlinkEnd	302431956
6	Feed	302432036
47	Feed	302432116
17,1	BlinkStart	302432256
17,1	BlinkEnd	302437825
1	0DropFeed	302437905
17	Feed	302437986
4,46,6,47	BlinkStart	302438172
4,46,6,47	BlinkEnd	302441442
6	Feed	302441522
47	Feed	302441602
16,1	BlinkStart	302441763
16,1	BlinkEnd	302447985
1	0DropFeed	302448065
16	Feed	302448145
4,46,6,47	BlinkStart	302448295
4,46,6,47	BlinkEnd	302451795
6	Feed	302451875
47	Feed	302451955
14,1	BlinkStart	302452113
14,1	BlinkEnd	302458882
1	0DropFeed	302458962
14	NoFeedAbort	302459042
5	BlinkStart	302469127
5	BlinkEnd	302470042
5	NoFeedLowProb	302470122
8,55	BlinkStart	302470219
8,55	BlinkEnd	302472984
8	Feed	302473065
55	Feed	302473145
5	BlinkStart	302473288
5	BlinkEnd	302486151
5	NoFeedLowProb	302486231
8,55	BlinkStart	302486321
8,55	BlinkEnd	302489360
8	Feed	302489440
55	Feed	302489520
5	BlinkStart	302489690
5	BlinkEnd	302500389
5	NoFeedLowProb	302500469
8,55	BlinkStart	302500549
8,55	BlinkEnd	302503262
8	Feed	302503342
55	Feed	302503423
25,5	BlinkStart	302503570
25,5	BlinkEnd	302514225
5	0DropFeed	302514305
25	Feed	302514385
8,55,2,40	BlinkStart	302514540
8,55,2,40	BlinkEnd	302516831
8	Feed	302516911
55	Feed	302516992
24,5	BlinkStart	302517140
24,5	BlinkEnd	302527526
5	0DropFeed	302527606
24	NoFeedAbort	302527686
1	BlinkStart	302537760
1	BlinkEnd	302538024
1	NoFeedLowProb	302538104
6,50	BlinkStart	302538198
6,50	BlinkEnd	302556347
6	Feed	302556427
50	Feed	302556508
1	BlinkStart	302556690
1	BlinkEnd	302568367
1	NoFeedLowProb	302568447
6,50	BlinkStart	302568547
6,50	BlinkEnd	302571039
6	Feed	302571119
50	Feed	302571200
1	BlinkStart	302571362
1	BlinkEnd	302584207
1	NoFeedLowProb	302584288
6,50	BlinkStart	302584371
6,50	BlinkEnd	302586887
6	Feed	302586967
50	Feed	302587047
21,1	BlinkStart	302587248
21,1	BlinkEnd	302598644
1	0DropFeed	302598724
21	Feed	302598804
6,50,4,44	BlinkStart	302598961
6,50,4,44	BlinkEnd	302601251
6	Feed	302601331
50	Feed	302601411
20,1	BlinkStart	302601573
20,1	BlinkEnd	302613150
1	0DropFeed	302613230
20	Feed	302613310
6,50,4,44	BlinkStart	302613470
6,50,4,44	BlinkEnd	302615823
6	Feed	302615903
50	Feed	302615983
19,1	BlinkStart	302616144
19,1	BlinkEnd	302627056
1	0DropFeed	302627136
19	Feed	302627217
