Thursday, December 10, 2020	10:23:38 AM	Game1.txt	57539378
Cued	Now	57550645
9	BlinkStart	57550646
9	BlinkEnd	57633393
24,5	BlinkStart	57633486
24,5	BlinkEnd	57662104
5	0DropFeed	57662185
24	NoFeedAbort	57662265
1	BlinkStart	57672294
1	BlinkEnd	57681479
1	NoFeedLowProb	57681559
4,44	BlinkStart	57681587
4,44	BlinkEnd	57684605
4	Feed	57684686
44	Feed	57684767
1	BlinkStart	57684876
1	BlinkEnd	57697847
1	NoFeedLowProb	57697927
4,44	BlinkStart	57697960
4,44	BlinkEnd	57700553
4	Feed	57700633
44	Feed	57700714
1	BlinkStart	57700824
1	BlinkEnd	57711379
1	NoFeedLowProb	57711460
4,44	BlinkStart	57711477
4,44	BlinkEnd	57714088
4	Feed	57714168
44	Feed	57714248
21,1	BlinkStart	57714356
21,1	BlinkEnd	57726962
1	0DropFeed	57727042
21	Feed	57727122
4,44,6,51	BlinkStart	57727233
4,44,6,51	BlinkEnd	57729911
4	Feed	57729991
44	Feed	57730071
20,1	BlinkStart	57730180
20,1	BlinkEnd	57742003
1	0DropFeed	57742083
20	Feed	57742164
4,44,6,51	BlinkStart	57742254
4,44,6,51	BlinkEnd	57744832
4	Feed	57744912
44	Feed	57744992
19,1	BlinkStart	57745103
19,1	BlinkEnd	57756325
1	0DropFeed	57756405
19	Feed	57756486
4,44,6,51	BlinkStart	57756576
4,44,6,51	BlinkEnd	57759152
4	Feed	57759232
44	Feed	57759312
18,1	BlinkStart	57759423
18,1	BlinkEnd	57769981
1	0DropFeed	57770061
18	Feed	57770141
4,44,6,51	BlinkStart	57770255
4,44,6,51	BlinkEnd	57772989
4	Feed	57773069
44	Feed	57773149
17,1	BlinkStart	57773242
17,1	BlinkEnd	57785204
1	0DropFeed	57785284
17	Feed	57785364
4,44,6,51	BlinkStart	57785467
4,44,6,51	BlinkEnd	57788091
4	Feed	57788171
44	Feed	57788252
16,1	BlinkStart	57788351
16,1	BlinkEnd	57798861
1	0DropFeed	57798941
16	Feed	57799021
4,44,6,51	BlinkStart	57799140
4,44,6,51	BlinkEnd	57801868
4	Feed	57801948
44	Feed	57802028
14,1	BlinkStart	57802136
14,1	BlinkEnd	57811856
1	0DropFeed	57811936
14	NoFeedAbort	57812016
5	BlinkStart	57822028
5	BlinkEnd	57828762
5	NoFeedLowProb	57828842
2,39	BlinkStart	57828867
2,39	BlinkEnd	57831891
2	Feed	57831972
39	Feed	57832052
5	BlinkStart	57832148
5	BlinkEnd	57842307
5	NoFeedLowProb	57842388
2,39	BlinkStart	57842409
2,39	BlinkEnd	57845549
2	Feed	57845629
39	Feed	57845709
5	BlinkStart	57845817
5	BlinkEnd	57854815
5	NoFeedLowProb	57854895
2,39	BlinkStart	57854917
2,39	BlinkEnd	57857582
2	Feed	57857663
39	Feed	57857743
25,5	BlinkStart	57857847
25,5	BlinkEnd	57866306
5	0DropFeed	57866386
25	Feed	57866466
2,39,8,54	BlinkStart	57866584
2,39,8,54	BlinkEnd	57869194
8	Feed	57869274
54	Feed	57869354
24,5	BlinkStart	57869534
24,5	BlinkEnd	57890133
5	0DropFeed	57890213
24	NoFeedAbort	57890293
1	BlinkStart	57900354
1	BlinkEnd	57902586
1	NoFeedLowProb	57902666
4,42	BlinkStart	57902787
4,42	BlinkEnd	57905295
4	Feed	57905376
42	Feed	57905456
1	BlinkStart	57905624
1	BlinkEnd	57912755
1	NoFeedLowProb	57912835
4,42	BlinkStart	57912941
4,42	BlinkEnd	57915281
4	Feed	57915361
42	Feed	57915441
1	BlinkStart	57915597
1	BlinkEnd	57921839
1	NoFeedLowProb	57921919
4,42	BlinkStart	57921997
4,42	BlinkEnd	57924968
4	Feed	57925049
42	Feed	57925129
21,1	BlinkStart	57925326
21,1	BlinkEnd	57931106
1	0DropFeed	57931186
21	Feed	57931266
4,42,6,48	BlinkStart	57931420
4,42,6,48	BlinkEnd	57933512
4	Feed	57933592
42	Feed	57933672
20,1	BlinkStart	57933834
20,1	BlinkEnd	57940310
1	0DropFeed	57940390
20	Feed	57940471
4,42,6,48	BlinkStart	57940627
4,42,6,48	BlinkEnd	57942716
4	Feed	57942796
42	Feed	57942876
19,1	BlinkStart	57943016
19,1	BlinkEnd	57949286
1	0DropFeed	57949366
19	Feed	57949446
4,42,6,48	BlinkStart	57949603
4,42,6,48	BlinkEnd	57951681
4	Feed	57951761
42	Feed	57951841
18,1	BlinkStart	57952019
18,1	BlinkEnd	57963715
1	0DropFeed	57963795
18	Feed	57963875
4,42,6,48	BlinkStart	57964034
4,42,6,48	BlinkEnd	57966964
4	Feed	57967044
42	Feed	57967125
17,1	BlinkStart	57967289
17,1	BlinkEnd	57973041
1	0DropFeed	57973121
17	Feed	57973202
4,42,6,48	BlinkStart	57973361
4,42,6,48	BlinkEnd	57976049
4	Feed	57976129
42	Feed	57976209
16,1	BlinkStart	57976353
16,1	BlinkEnd	57982426
1	0DropFeed	57982506
16	Feed	57982586
4,42,6,48	BlinkStart	57982767
4,42,6,48	BlinkEnd	57985013
4	Feed	57985093
42	Feed	57985173
14,1	BlinkStart	57985331
14,1	BlinkEnd	57991330
1	0DropFeed	57991410
14	NoFeedAbort	57991490
5	BlinkStart	58001583
5	BlinkEnd	58001846
5	NoFeedLowProb	58001926
8,54	BlinkStart	58002002
8,54	BlinkEnd	58005290
8	Feed	58005370
54	Feed	58005450
5	BlinkStart	58005632
5	BlinkEnd	58016600
5	NoFeedLowProb	58016681
8,54	BlinkStart	58016773
8,54	BlinkEnd	58020092
8	Feed	58020172
54	Feed	58020252
5	BlinkStart	58020419
5	BlinkEnd	58051557
5	NoFeedLowProb	58051637
8,54	BlinkStart	58051734
8,54	BlinkEnd	58055046
8	Feed	58055126
54	Feed	58055206
25,5	BlinkStart	58055347
25,5	BlinkEnd	58066849
5	0DropFeed	58066929
25	Feed	58067010
8,54,2	BlinkStart	58067158
8,54,2	BlinkEnd	58072253
8	Feed	58072333
54	Feed	58072413
24,5	BlinkStart	58072552
24,5	BlinkEnd	58082003
5	0DropFeed	58082083
24	NoFeedAbort	58082163
1	BlinkStart	58092224
1	BlinkEnd	58096982
1	NoFeedLowProb	58097062
6	BlinkStart	58097162
6	BlinkEnd	58100052
6	0DropFeed	58100132
1	BlinkStart	58100290
1	BlinkEnd	58112926
1	NoFeedLowProb	58113006
6	BlinkStart	58113080
6	BlinkEnd	58115632
6	0DropFeed	58115712
1	BlinkStart	58115866
1	BlinkEnd	58120929
1	NoFeedLowProb	58121009
6	BlinkStart	58121112
6	BlinkEnd	58146565
6	0DropFeed	58146645
21,1	BlinkStart	58146808
21,1	BlinkEnd	58151191
1	0DropFeed	58151271
21	Feed	58151351
4,45,6	BlinkStart	58151507
4,45,6	BlinkEnd	58155102
4	Feed	58155182
45	Feed	58155262
20,1	BlinkStart	58155408
20,1	BlinkEnd	58164908
1	0DropFeed	58164988
20	Feed	58165069
4,45,6	BlinkStart	58165229
4,45,6	BlinkEnd	58167677
4	Feed	58167757
45	Feed	58167837
19,1	BlinkStart	58168004
19,1	BlinkEnd	58177792
1	0DropFeed	58177872
19	Feed	58177952
4,45,6	BlinkStart	58178105
4,45,6	BlinkEnd	58180251
4	Feed	58180331
45	Feed	58180411
18,1	BlinkStart	58180585
18,1	BlinkEnd	58189757
1	0DropFeed	58189837
18	Feed	58189917
4,45,6	BlinkStart	58190076
4,45,6	BlinkEnd	58191923
4	Feed	58192004
45	Feed	58192085
17,1	BlinkStart	58192223
17,1	BlinkEnd	58201489
1	0DropFeed	58201569
17	Feed	58201649
4,45,6	BlinkStart	58201801
4,45,6	BlinkEnd	58204136
4	Feed	58204216
45	Feed	58204296
16,1	BlinkStart	58204452
16,1	BlinkEnd	58215028
1	0DropFeed	58215108
16	Feed	58215188
4,45,6	BlinkStart	58215337
4,45,6	BlinkEnd	58218278
4	Feed	58218358
45	Feed	58218438
14,1	BlinkStart	58218600
14,1	BlinkEnd	58228925
1	0DropFeed	58229005
14	NoFeedAbort	58229086
5	BlinkStart	58239153
5	BlinkEnd	58242402
5	NoFeedLowProb	58242482
8	BlinkStart	58242553
8	BlinkEnd	58245591
8	0DropFeed	58245671
5	BlinkStart	58245816
5	BlinkEnd	58250585
5	NoFeedLowProb	58250665
8	BlinkStart	58250732
8	BlinkEnd	58260331
8	0DropFeed	58260411
5	BlinkStart	58260616
5	BlinkEnd	58277540
5	NoFeedLowProb	58277620
8	BlinkStart	58277691
8	BlinkEnd	58280969
8	0DropFeed	58281050
25,5	BlinkStart	58281271
25,5	BlinkEnd	58289873
5	0DropFeed	58289953
25	Feed	58290033
2,39,8	BlinkStart	58290203
2,39,8	BlinkEnd	58293783
2	Feed	58293863
39	Feed	58293943
24,5	BlinkStart	58294104
24,5	BlinkEnd	58307442
5	0DropFeed	58307522
24	NoFeedAbort	58307603
1	BlinkStart	58317664
1	BlinkEnd	58322242
1	NoFeedLowProb	58322322
6,48	BlinkStart	58322410
6,48	BlinkEnd	58325071
6	Feed	58325152
48	Feed	58325232
1	BlinkStart	58325384
1	BlinkEnd	58374047
1	NoFeedLowProb	58374127
6,48	BlinkStart	58374236
6,48	BlinkEnd	58377353
6	Feed	58377433
48	Feed	58377514
1	BlinkStart	58377656
1	BlinkEnd	58386800
1	NoFeedLowProb	58386880
6,48	BlinkStart	58386973
6,48	BlinkEnd	58390710
6	Feed	58390791
48	Feed	58390871
21,1	BlinkStart	58391023
21,1	BlinkEnd	58399976
1	0DropFeed	58400056
21	Feed	58400136
6,48,4,45	BlinkStart	58400305
6,48,4,45	BlinkEnd	58402382
4	Feed	58402462
45	Feed	58402542
20,1	BlinkStart	58402720
20,1	BlinkEnd	58411529
1	0DropFeed	58411609
20	Feed	58411689
6,48,4,45	BlinkStart	58411848
6,48,4,45	BlinkEnd	58413882
4	Feed	58413962
45	Feed	58414042
19,1	BlinkStart	58414190
19,1	BlinkEnd	58424163
1	0DropFeed	58424243
19	Feed	58424323
6,48,4,45	BlinkStart	58424487
6,48,4,45	BlinkEnd	58426690
4	Feed	58426770
45	Feed	58426850
18,1	BlinkStart	58427000
18,1	BlinkEnd	58438061
1	0DropFeed	58438142
18	Feed	58438223
6,48,4,45	BlinkStart	58438388
6,48,4,45	BlinkEnd	58441129
4	Feed	58441209
45	Feed	58441290
17,1	BlinkStart	58441447
17,1	BlinkEnd	58455088
1	0DropFeed	58455168
17	Feed	58455248
6,48,4,45	BlinkStart	58455427
6,48,4,45	BlinkEnd	58458156
4	Feed	58458236
45	Feed	58458317
16,1	BlinkStart	58458474
16,1	BlinkEnd	58469949
1	0DropFeed	58470029
16	Feed	58470109
6,48,4,45	BlinkStart	58470270
6,48,4,45	BlinkEnd	58473626
4	Feed	58473706
45	Feed	58473786
14,1	BlinkStart	58473932
14,1	BlinkEnd	58485653
1	0DropFeed	58485733
14	NoFeedAbort	58485813
5	BlinkStart	58495873
5	BlinkEnd	58497927
5	NoFeedLowProb	58498007
8,56	BlinkStart	58498078
8,56	BlinkEnd	58501235
8	Feed	58501316
56	Feed	58501397
5	BlinkStart	58501586
5	BlinkEnd	58514532
5	NoFeedLowProb	58514612
8,56	BlinkStart	58514681
8,56	BlinkEnd	58517366
8	Feed	58517447
56	Feed	58517527
5	BlinkStart	58517682
5	BlinkEnd	58530656
5	NoFeedLowProb	58530736
8,56	BlinkStart	58530828
8,56	BlinkEnd	58533364
8	Feed	58533444
56	Feed	58533525
25,5	BlinkStart	58533663
25,5	BlinkEnd	58546299
5	0DropFeed	58546380
25	Feed	58546461
8,56,2,40	BlinkStart	58546648
8,56,2,40	BlinkEnd	58549969
8	Feed	58550049
56	Feed	58550129
24,5	BlinkStart	58550286
24,5	BlinkEnd	58561882
5	0DropFeed	58561962
24	NoFeedAbort	58562042
1	BlinkStart	58572102
1	BlinkEnd	58573133
1	NoFeedLowProb	58573214
4,42	BlinkStart	58573308
4,42	BlinkEnd	58575599
4	Feed	58575679
42	Feed	58575759
1	BlinkStart	58575921
1	BlinkEnd	58582281
1	NoFeedLowProb	58582361
4,42	BlinkStart	58582442
4,42	BlinkEnd	58585166
4	Feed	58585247
42	Feed	58585327
1	BlinkStart	58585496
1	BlinkEnd	58591785
1	NoFeedLowProb	58591865
4,42	BlinkStart	58591959
4,42	BlinkEnd	58594491
4	Feed	58594572
42	Feed	58594652
21,1	BlinkStart	58594817
21,1	BlinkEnd	58601713
1	0DropFeed	58601793
21	Feed	58601874
4,42,6	BlinkStart	58602017
4,42,6	BlinkEnd	58604841
4	Feed	58604921
42	Feed	58605001
20,1	BlinkStart	58605156
20,1	BlinkEnd	58610977
1	0DropFeed	58611057
20	Feed	58611137
4,42,6	BlinkStart	58611269
4,42,6	BlinkEnd	58613684
4	Feed	58613764
42	Feed	58613844
19,1	BlinkStart	58613992
19,1	BlinkEnd	58619409
1	0DropFeed	58619489
19	Feed	58619569
4,42,6	BlinkStart	58619717
4,42,6	BlinkEnd	58622170
4	Feed	58622250
42	Feed	58622330
18,1	BlinkStart	58622480
18,1	BlinkEnd	58628605
1	0DropFeed	58628685
18	Feed	58628765
4,42,6	BlinkStart	58628939
4,42,6	BlinkEnd	58631494
4	Feed	58631574
42	Feed	58631655
17,1	BlinkStart	58631810
17,1	BlinkEnd	58638060
1	0DropFeed	58638140
17	Feed	58638220
4,42,6	BlinkStart	58638380
4,42,6	BlinkEnd	58640880
4	Feed	58640960
42	Feed	58641040
16,1	BlinkStart	58641180
16,1	BlinkEnd	58648821
1	0DropFeed	58648901
16	Feed	58648982
4,42,6	BlinkStart	58649154
4,42,6	BlinkEnd	58652611
6	0DropFeed	58652691
14,1	BlinkStart	58652871
14,1	BlinkEnd	58664705
1	0DropFeed	58664785
14	NoFeedAbort	58664865
5	BlinkStart	58674925
5	BlinkEnd	58675534
5	NoFeedLowProb	58675614
8,55	BlinkStart	58675728
8,55	BlinkEnd	58678725
8	Feed	58678806
55	Feed	58678886
5	BlinkStart	58679034
5	BlinkEnd	58692261
5	NoFeedLowProb	58692341
8,55	BlinkStart	58692421
8,55	BlinkEnd	58695210
8	Feed	58695291
55	Feed	58695372
5	BlinkStart	58695514
5	BlinkEnd	58706707
5	NoFeedLowProb	58706787
8,55	BlinkStart	58706900
8,55	BlinkEnd	58710371
8	Feed	58710451
55	Feed	58710531
25,5	BlinkStart	58710689
25,5	BlinkEnd	58723126
5	0DropFeed	58723206
25	Feed	58723286
8,55,2,38	BlinkStart	58723452
8,55,2,38	BlinkEnd	58726014
8	Feed	58726095
55	Feed	58726175
24,5	BlinkStart	58726335
24,5	BlinkEnd	58737750
5	0DropFeed	58737830
24	NoFeedAbort	58737910
1	BlinkStart	58747972
1	BlinkEnd	58751103
1	NoFeedLowProb	58751183
4,45	BlinkStart	58751283
4,45	BlinkEnd	58754231
4	Feed	58754312
45	Feed	58754392
1	BlinkStart	58754548
1	BlinkEnd	58765181
1	NoFeedLowProb	58765261
4,45	BlinkStart	58765325
4,45	BlinkEnd	58767708
4	Feed	58767789
45	Feed	58767870
1	BlinkStart	58768016
1	BlinkEnd	58800558
1	NoFeedLowProb	58800638
4,45	BlinkStart	58800714
4,45	BlinkEnd	58803327
4	Feed	58803407
45	Feed	58803488
21,1	BlinkStart	58803648
21,1	BlinkEnd	58818019
1	0DropFeed	58818099
21	Feed	58818179
4,45,6,47	BlinkStart	58818343
4,45,6,47	BlinkEnd	58820898
4	Feed	58820978
45	Feed	58821058
20,1	BlinkStart	58821212
20,1	BlinkEnd	58833000
1	0DropFeed	58833081
20	Feed	58833162
4,45,6,47	BlinkStart	58833325
4,45,6,47	BlinkEnd	58835877
4	Feed	58835957
45	Feed	58836037
19,1	BlinkStart	58836176
19,1	BlinkEnd	58848150
1	0DropFeed	58848230
19	Feed	58848311
4,45,6,47	BlinkStart	58848471
4,45,6,47	BlinkEnd	58850677
4	Feed	58850757
45	Feed	58850838
18,1	BlinkStart	58850981
18,1	BlinkEnd	58863252
1	0DropFeed	58863332
18	Feed	58863412
4,45,6,47	BlinkStart	58863559
4,45,6,47	BlinkEnd	58866749
4	Feed	58866830
45	Feed	58866910
17,1	BlinkStart	58867056
17,1	BlinkEnd	58880219
1	0DropFeed	58880299
17	Feed	58880379
4,45,6,47	BlinkStart	58880548
4,45,6,47	BlinkEnd	58883408
4	Feed	58883488
45	Feed	58883568
16,1	BlinkStart	58883732
16,1	BlinkEnd	58896223
1	0DropFeed	58896303
16	Feed	58896383
4,45,6,47	BlinkStart	58896542
4,45,6,47	BlinkEnd	58899412
4	Feed	58899492
45	Feed	58899572
14,1	BlinkStart	58899745
