Monday, December 14, 2020	9:49:08 AM	Game1.txt	401069871
Cued	Now	401078050
9	BlinkStart	401078073
9	BlinkEnd	401137909
24,5	BlinkStart	401138021
24,5	BlinkEnd	401148279
5	0DropFeed	401148359
24	NoFeedAbort	401148439
1	BlinkStart	401158478
1	BlinkEnd	401160312
1	NoFeedLowProb	401160392
4,44	BlinkStart	401160422
4,44	BlinkEnd	401165185
4	Feed	401165265
44	Feed	401165345
1	BlinkStart	401165458
1	BlinkEnd	401177760
1	NoFeedLowProb	401177840
4,44	BlinkStart	401177854
4,44	BlinkEnd	401181008
4	Feed	401181089
44	Feed	401181169
1	BlinkStart	401181280
1	BlinkEnd	401192320
1	NoFeedLowProb	401192400
4,44	BlinkStart	401192419
4,44	BlinkEnd	401194846
4	Feed	401194928
44	Feed	401195008
21,1	BlinkStart	401195115
21,1	BlinkEnd	401206579
1	0DropFeed	401206659
21	Feed	401206739
4,44,6,47	BlinkStart	401206847
4,44,6,47	BlinkEnd	401209707
4	Feed	401209787
44	Feed	401209867
20,1	BlinkStart	401209977
20,1	BlinkEnd	401222285
1	0DropFeed	401222365
20	Feed	401222445
4,44,6,47	BlinkStart	401222545
4,44,6,47	BlinkEnd	401225229
4	Feed	401225309
44	Feed	401225389
19,1	BlinkStart	401225494
19,1	BlinkEnd	401235099
1	0DropFeed	401235179
19	Feed	401235259
4,44,6,47	BlinkStart	401235360
4,44,6,47	BlinkEnd	401239369
6	Feed	401239449
47	Feed	401239529
18,1	BlinkStart	401239639
18,1	BlinkEnd	401246589
1	0DropFeed	401246669
18	Feed	401246749
4,44,6,47	BlinkStart	401246837
4,44,6,47	BlinkEnd	401250501
4	Feed	401250581
44	Feed	401250661
17,1	BlinkStart	401250764
17,1	BlinkEnd	401260366
1	0DropFeed	401260446
17	Feed	401260527
4,44,6,47	BlinkStart	401260615
4,44,6,47	BlinkEnd	401263858
4	Feed	401263938
44	Feed	401264018
16,1	BlinkStart	401264128
16,1	BlinkEnd	401289607
1	0DropFeed	401289688
16	Feed	401289768
4,44,6,47	BlinkStart	401289867
4,44,6,47	BlinkEnd	401293096
4	Feed	401293176
44	Feed	401293256
14,1	BlinkStart	401293373
14,1	BlinkEnd	401305310
1	0DropFeed	401305390
14	NoFeedAbort	401305470
5	BlinkStart	401315488
5	BlinkEnd	401330580
5	NoFeedLowProb	401330660
2,40	BlinkStart	401330680
2,40	BlinkEnd	401333830
2	Feed	401333910
40	Feed	401333990
5	BlinkStart	401334101
5	BlinkEnd	401346704
5	NoFeedLowProb	401346784
2,40	BlinkStart	401346819
2,40	BlinkEnd	401350601
2	Feed	401350681
40	Feed	401350761
5	BlinkStart	401350877
5	BlinkEnd	401362288
5	NoFeedLowProb	401362368
2,40	BlinkStart	401362389
2,40	BlinkEnd	401365717
2	Feed	401365797
40	Feed	401365877
25,5	BlinkStart	401365965
25,5	BlinkEnd	401378353
5	0DropFeed	401378433
25	Feed	401378513
2,40,8,55	BlinkStart	401378637
2,40,8,55	BlinkEnd	401381661
2	Feed	401381741
40	Feed	401381822
24,5	BlinkStart	401381973
24,5	BlinkEnd	401393513
5	0DropFeed	401393593
24	NoFeedAbort	401393673
1	BlinkStart	401403747
1	BlinkEnd	401404010
1	NoFeedLowProb	401404090
6,51	BlinkStart	401404168
6,51	BlinkEnd	401410301
6	Feed	401410381
51	Feed	401410461
1	BlinkStart	401410635
1	BlinkEnd	401436533
1	NoFeedLowProb	401436613
6,51	BlinkStart	401436691
6,51	BlinkEnd	401439420
6	Feed	401439500
51	Feed	401439581
1	BlinkStart	401439757
1	BlinkEnd	401455544
1	NoFeedLowProb	401455624
6,51	BlinkStart	401455696
6,51	BlinkEnd	401458613
6	Feed	401458693
51	Feed	401458773
21,1	BlinkStart	401458930
21,1	BlinkEnd	401474136
1	0DropFeed	401474217
21	Feed	401474297
6,51,4,46	BlinkStart	401474479
6,51,4,46	BlinkEnd	401477023
4	Feed	401477104
46	Feed	401477184
20,1	BlinkStart	401477326
20,1	BlinkEnd	401489658
1	0DropFeed	401489738
20	Feed	401489819
6,51,4,46	BlinkStart	401489998
6,51,4,46	BlinkEnd	401492425
4	Feed	401492506
46	Feed	401492586
19,1	BlinkStart	401492756
19,1	BlinkEnd	401506925
1	0DropFeed	401507005
19	Feed	401507085
6,51,4,46	BlinkStart	401507250
6,51,4,46	BlinkEnd	401509815
4	Feed	401509895
46	Feed	401509975
18,1	BlinkStart	401510121
18,1	BlinkEnd	401523531
1	0DropFeed	401523611
18	Feed	401523691
6,51,4,46	BlinkStart	401523861
6,51,4,46	BlinkEnd	401526780
4	Feed	401526861
46	Feed	401526942
17,1	BlinkStart	401527102
17,1	BlinkEnd	401594828
1	0DropFeed	401594909
17	Feed	401594989
6,51,4,46	BlinkStart	401595155
6,51,4,46	BlinkEnd	401598439
4	Feed	401598519
46	Feed	401598599
16,1	BlinkStart	401598741
16,1	BlinkEnd	401611554
1	0DropFeed	401611634
16	Feed	401611714
6,51,4,46	BlinkStart	401611893
6,51,4,46	BlinkEnd	401614262
4	Feed	401614342
46	Feed	401614423
14,1	BlinkStart	401614574
14,1	BlinkEnd	401626595
1	0DropFeed	401626675
14	NoFeedAbort	401626756
5	BlinkStart	401636828
5	BlinkEnd	401647295
5	NoFeedLowProb	401647375
2,40	BlinkStart	401647475
2,40	BlinkEnd	401650541
2	Feed	401650621
40	Feed	401650701
5	BlinkStart	401650859
5	BlinkEnd	401661672
5	NoFeedLowProb	401661752
2,40	BlinkStart	401661845
2,40	BlinkEnd	401665342
2	Feed	401665422
40	Feed	401665502
5	BlinkStart	401665678
5	BlinkEnd	401675270
5	NoFeedLowProb	401675352
2,40	BlinkStart	401675444
2,40	BlinkEnd	401678279
2	Feed	401678359
40	Feed	401678440
25,5	BlinkStart	401678611
25,5	BlinkEnd	401687904
5	0DropFeed	401687984
25	Feed	401688064
2,40,8,55	BlinkStart	401688230
2,40,8,55	BlinkEnd	401692237
8	Feed	401692317
55	Feed	401692397
24,5	BlinkStart	401692538
24,5	BlinkEnd	401704450
5	0DropFeed	401704530
24	NoFeedAbort	401704611
1	BlinkStart	401714672
1	BlinkEnd	401715460
1	NoFeedLowProb	401715541
4,45	BlinkStart	401715651
4,45	BlinkEnd	401718469
4	Feed	401718550
45	Feed	401718630
1	BlinkStart	401718807
1	BlinkEnd	401730387
1	NoFeedLowProb	401730467
