Ver1.3	502113465	StartFile	12/15/2020	1:53:12 PM	E:\BehavioralExperiments\Gerald\Horizon\RawData\121520\SoundData.txt	502113465
502406892	Triggered	5,23,24,25,26,27,28,29,30,31,	 NoSound	40	2	502406892
502407094	Triggered	5,23,24,25,26,27,28,29,30,31,	 StopSoundShort	40	2	502407094
502432042	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	502432042
502439562	Triggered	4,42,43,44,45,46,	 NoSound	40	2	502439562
502439764	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	502439764
502447867	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	502447867
502451595	Triggered	4,42,43,44,45,46,	 NoSound	40	2	502451595
502451796	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	502451796
502459056	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	502459056
502462606	Triggered	4,42,43,44,45,46,	 NoSound	40	2	502462606
502462806	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	502462806
502478135	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	502478135
502478337	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-9kHz	40	2	502478337
502484747	Triggered	6,47,48,49,50,51,	 NoSound	40	2	502484747
502484948	Triggered	6,47,48,49,50,51,	 File_beep3	40	2	502484948
502496961	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	502496961
502497163	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-7kHz	40	2	502497163
502500209	Triggered	4,42,43,44,45,46,	 NoSound	40	2	502500209
502500410	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	502500410
502505926	Triggered	1,14,15,16,17,18,19,20,21,22,	 NoSound	40	2	502505926
502506130	Triggered	1,14,15,16,17,18,19,20,21,22,	 PureTone-5kHz	40	2	502506130
502510016	Triggered	4,42,43,44,45,46,	 NoSound	40	2	502510016
502510217	Triggered	4,42,43,44,45,46,	 File_beep1	40	2	502510217
