Wednesday, December 16, 2020	12:54:12 PM	Game1.txt	584973946
Cued	Now	584986912
9	BlinkStart	584986929
9	BlinkEnd	585260418
23,5	BlinkStart	585260509
23,5	BlinkEnd	585269725
5	0DropFeed	585269805
23	NoFeedAbort	585269886
1	BlinkStart	585279902
1	BlinkEnd	585283564
1	NoFeedLowProb	585283644
4	BlinkStart	585283666
4	BlinkEnd	585287054
4	0DropFeed	585287134
1	BlinkStart	585287227
1	BlinkEnd	585295056
1	NoFeedLowProb	585295136
4	BlinkStart	585295152
4	BlinkEnd	585327425
4	0DropFeed	585327505
1	BlinkStart	585327607
1	BlinkEnd	585331455
1	NoFeedLowProb	585331535
4	BlinkStart	585331557
4	BlinkEnd	585355341
4	0DropFeed	585355422
21,1	BlinkStart	585355517
21,1	BlinkEnd	585360155
1	0DropFeed	585360235
21	Feed	585360315
6,48,4	BlinkStart	585360424
6,48,4	BlinkEnd	585363584
6	Feed	585363664
48	Feed	585363744
20,1	BlinkStart	585363844
20,1	BlinkEnd	585381754
1	0DropFeed	585381834
20	Feed	585381914
6,48,4	BlinkStart	585382003
6,48,4	BlinkEnd	585384764
6	Feed	585384845
48	Feed	585384925
19,1	BlinkStart	585385025
19,1	BlinkEnd	585437890
1	0DropFeed	585437970
19	Feed	585438050
6,48,4	BlinkStart	585438160
6,48,4	BlinkEnd	585441801
4	0DropFeed	585441881
18,1	BlinkStart	585441971
18,1	BlinkEnd	585447456
1	0DropFeed	585447536
18	Feed	585447616
6,48,4	BlinkStart	585447715
6,48,4	BlinkEnd	585451307
6	Feed	585451387
48	Feed	585451467
17,1	BlinkStart	585451570
17,1	BlinkEnd	585505537
6,48,4	BlinkStart	585505629
6,48,4	BlinkEnd	585521037
6	Feed	585521117
48	Feed	585521198
16,1	BlinkStart	585521287
16,1	BlinkEnd	585531506
1	0DropFeed	585531586
16	Feed	585531667
6,48,4	BlinkStart	585531769
6,48,4	BlinkEnd	585534396
4	0DropFeed	585534476
14,1	BlinkStart	585534582
14,1	BlinkEnd	585538366
1	0DropFeed	585538446
14	NoFeedAbort	585538526
5	BlinkStart	585548544
5	BlinkEnd	585553829
5	NoFeedLowProb	585553909
2,39	BlinkStart	585553924
2,39	BlinkEnd	585556964
2	Feed	585557044
39	Feed	585557125
5	BlinkStart	585557224
5	BlinkEnd	585565981
5	NoFeedLowProb	585566061
2,39	BlinkStart	585566090
2,39	BlinkEnd	585569050
2	Feed	585569130
39	Feed	585569210
5	BlinkStart	585569320
5	BlinkEnd	585578196
5	NoFeedLowProb	585578276
2,39	BlinkStart	585578289
2,39	BlinkEnd	585581504
2	Feed	585581584
39	Feed	585581665
30,5	BlinkStart	585581769
30,5	BlinkEnd	585590470
5	0DropFeed	585590550
30	Feed	585590630
2,39,8,54	BlinkStart	585590736
2,39,8,54	BlinkEnd	585593478
2	Feed	585593558
39	Feed	585593639
29,5	BlinkStart	585593783
29,5	BlinkEnd	585601479
5	0DropFeed	585601559
29	Feed	585601639
2,39,8,54	BlinkStart	585601825
2,39,8,54	BlinkEnd	585604790
2	Feed	585604870
39	Feed	585604950
28,5	BlinkStart	585605094
28,5	BlinkEnd	585612731
5	0DropFeed	585612811
28	Feed	585612891
2,39,8,54	BlinkStart	585613060
2,39,8,54	BlinkEnd	585615799
8	Feed	585615879
54	Feed	585615959
27,5	BlinkStart	585616105
27,5	BlinkEnd	585623560
5	0DropFeed	585623640
27	Feed	585623720
2,39,8,54	BlinkStart	585623880
2,39,8,54	BlinkEnd	585626690
8	Feed	585626771
54	Feed	585626851
26,5	BlinkStart	585627019
26,5	BlinkEnd	585634752
5	0DropFeed	585634832
26	Feed	585634912
2,39,8,54	BlinkStart	585635066
2,39,8,54	BlinkEnd	585638061
8	Feed	585638141
54	Feed	585638221
25,5	BlinkStart	585638365
25,5	BlinkEnd	585646425
5	0DropFeed	585646506
25	Feed	585646587
2,39,8,54	BlinkStart	585646755
2,39,8,54	BlinkEnd	585649853
2	Feed	585649933
39	Feed	585650013
23,5	BlinkStart	585650162
23,5	BlinkEnd	585658215
5	0DropFeed	585658296
23	NoFeedAbort	585658377
1	BlinkStart	585668439
1	BlinkEnd	585671693
1	NoFeedLowProb	585671773
4,46	BlinkStart	585671854
4,46	BlinkEnd	585674641
4	Feed	585674721
46	Feed	585674801
1	BlinkStart	585674954
1	BlinkEnd	585687096
1	NoFeedLowProb	585687176
4,46	BlinkStart	585687259
4,46	BlinkEnd	585689743
4	Feed	585689823
46	Feed	585689904
1	BlinkStart	585690043
1	BlinkEnd	585700994
1	NoFeedLowProb	585701074
4,46	BlinkStart	585701141
4,46	BlinkEnd	585703642
4	Feed	585703722
46	Feed	585703803
21,1	BlinkStart	585703955
21,1	BlinkEnd	585715012
1	0DropFeed	585715092
21	Feed	585715172
4,46,6	BlinkStart	585715344
4,46,6	BlinkEnd	585718142
6	0DropFeed	585718222
20,1	BlinkStart	585718406
20,1	BlinkEnd	585723196
1	0DropFeed	585723277
20	Feed	585723357
4,46,6	BlinkStart	585723506
4,46,6	BlinkEnd	585727045
4	Feed	585727126
46	Feed	585727206
19,1	BlinkStart	585727347
19,1	BlinkEnd	585740161
1	0DropFeed	585740242
19	Feed	585740323
4,46,6	BlinkStart	585740470
4,46,6	BlinkEnd	585743110
4	Feed	585743190
46	Feed	585743270
18,1	BlinkStart	585743413
18,1	BlinkEnd	585754180
1	0DropFeed	585754260
18	Feed	585754340
4,46,6	BlinkStart	585754489
4,46,6	BlinkEnd	585756768
4	Feed	585756848
46	Feed	585756929
17,1	BlinkStart	585757091
17,1	BlinkEnd	585767418
1	0DropFeed	585767498
17	Feed	585767578
4,46,6	BlinkStart	585767720
4,46,6	BlinkEnd	585770185
4	Feed	585770265
46	Feed	585770345
16,1	BlinkStart	585770492
16,1	BlinkEnd	585781256
1	0DropFeed	585781336
16	Feed	585781416
4,46,6	BlinkStart	585781577
4,46,6	BlinkEnd	585784383
4	Feed	585784463
46	Feed	585784543
14,1	BlinkStart	585784697
14,1	BlinkEnd	585795453
1	0DropFeed	585795533
14	NoFeedAbort	585795613
5	BlinkStart	585805702
5	BlinkEnd	585805965
5	NoFeedLowProb	585806046
2,40	BlinkStart	585806137
2,40	BlinkEnd	585815489
2	Feed	585815569
40	Feed	585815649
5	BlinkStart	585815832
5	BlinkEnd	585826320
5	NoFeedLowProb	585826400
2,40	BlinkStart	585826463
2,40	BlinkEnd	585829207
2	Feed	585829287
40	Feed	585829368
5	BlinkStart	585829509
5	BlinkEnd	585838892
5	NoFeedLowProb	585838972
2,40	BlinkStart	585839059
2,40	BlinkEnd	585841601
2	Feed	585841681
40	Feed	585841761
30,5	BlinkStart	585841919
30,5	BlinkEnd	585851708
5	0DropFeed	585851788
30	Feed	585851868
2,40,8	BlinkStart	585852016
2,40,8	BlinkEnd	585854898
2	Feed	585854978
40	Feed	585855058
29,5	BlinkStart	585855232
29,5	BlinkEnd	585863863
5	0DropFeed	585863943
29	Feed	585864023
2,40,8	BlinkStart	585864189
2,40,8	BlinkEnd	585867231
8	0DropFeed	585867311
28,5	BlinkStart	585867480
28,5	BlinkEnd	585874391
5	0DropFeed	585874471
28	Feed	585874551
2,40,8	BlinkStart	585874723
2,40,8	BlinkEnd	585878302
2	Feed	585878382
40	Feed	585878462
27,5	BlinkStart	585878620
27,5	BlinkEnd	585888109
5	0DropFeed	585888189
27	Feed	585888269
2,40,8	BlinkStart	585888419
2,40,8	BlinkEnd	585891659
2	Feed	585891739
40	Feed	585891819
26,5	BlinkStart	585891976
26,5	BlinkEnd	585901294
5	0DropFeed	585901375
26	Feed	585901455
2,40,8	BlinkStart	585901623
2,40,8	BlinkEnd	585904595
8	0DropFeed	585904675
25,5	BlinkStart	585904817
25,5	BlinkEnd	585909232
5	0DropFeed	585909313
25	Feed	585909393
2,40,8	BlinkStart	585909550
2,40,8	BlinkEnd	585912599
2	Feed	585912679
40	Feed	585912759
23,5	BlinkStart	585912908
23,5	BlinkEnd	585922945
5	0DropFeed	585923025
23	NoFeedAbort	585923106
1	BlinkStart	585933183
1	BlinkEnd	585940755
1	NoFeedLowProb	585940835
4,45	BlinkStart	585940907
4,45	BlinkEnd	585943521
4	Feed	585943602
45	Feed	585943683
1	BlinkStart	585943828
1	BlinkEnd	585972582
1	NoFeedLowProb	585972662
4,45	BlinkStart	585972751
4,45	BlinkEnd	585975109
4	Feed	585975189
45	Feed	585975269
1	BlinkStart	585975413
1	BlinkEnd	585987142
1	NoFeedLowProb	585987222
4,45	BlinkStart	585987305
4,45	BlinkEnd	585989487
4	Feed	585989567
45	Feed	585989647
21,1	BlinkStart	585989784
21,1	BlinkEnd	586000679
1	0DropFeed	586000759
21	Feed	586000839
4,45,6,50	BlinkStart	586000983
4,45,6,50	BlinkEnd	586003085
4	Feed	586003165
45	Feed	586003245
20,1	BlinkStart	586003396
20,1	BlinkEnd	586014528
1	0DropFeed	586014608
20	Feed	586014688
4,45,6,50	BlinkStart	586014877
4,45,6,50	BlinkEnd	586017947
4	Feed	586018027
45	Feed	586018107
19,1	BlinkStart	586018251
19,1	BlinkEnd	586029017
1	0DropFeed	586029097
19	Feed	586029177
4,45,6,50	BlinkStart	586029337
4,45,6,50	BlinkEnd	586031423
4	Feed	586031503
45	Feed	586031583
18,1	BlinkStart	586031737
18,1	BlinkEnd	586042194
1	0DropFeed	586042274
18	Feed	586042354
4,45,6,50	BlinkStart	586042520
4,45,6,50	BlinkEnd	586044908
4	Feed	586044988
45	Feed	586045068
17,1	BlinkStart	586045242
17,1	BlinkEnd	586055370
1	0DropFeed	586055450
17	Feed	586055530
4,45,6,50	BlinkStart	586055680
4,45,6,50	BlinkEnd	586058378
4	Feed	586058458
45	Feed	586058539
16,1	BlinkStart	586058684
16,1	BlinkEnd	586068852
1	0DropFeed	586068932
16	Feed	586069012
4,45,6,50	BlinkStart	586069176
4,45,6,50	BlinkEnd	586071434
4	Feed	586071514
45	Feed	586071595
14,1	BlinkStart	586071756
14,1	BlinkEnd	586082444
1	0DropFeed	586082524
14	NoFeedAbort	586082605
5	BlinkStart	586092667
5	BlinkEnd	586093277
5	NoFeedLowProb	586093357
2,38	BlinkStart	586093439
2,38	BlinkEnd	586096464
2	Feed	586096545
38	Feed	586096625
5	BlinkStart	586096767
5	BlinkEnd	586105007
5	NoFeedLowProb	586105087
2,38	BlinkStart	586105195
2,38	BlinkEnd	586108496
2	Feed	586108577
38	Feed	586108657
5	BlinkStart	586108801
5	BlinkEnd	586117101
5	NoFeedLowProb	586117181
2,38	BlinkStart	586117248
2,38	BlinkEnd	586120289
2	Feed	586120369
38	Feed	586120450
30,5	BlinkStart	586120607
30,5	BlinkEnd	586132983
5	0DropFeed	586133063
30	Feed	586133143
2,38,8,52	BlinkStart	586133304
2,38,8,52	BlinkEnd	586138039
8	Feed	586138119
52	Feed	586138200
29,5	BlinkStart	586138359
29,5	BlinkEnd	586144174
5	0DropFeed	586144254
29	Feed	586144335
2,38,8,52	BlinkStart	586144481
2,38,8,52	BlinkEnd	586148387
2	Feed	586148467
38	Feed	586148547
28,5	BlinkStart	586148687
28,5	BlinkEnd	586156810
5	0DropFeed	586156890
28	Feed	586156970
2,38,8,52	BlinkStart	586157124
2,38,8,52	BlinkEnd	586161080
8	Feed	586161160
52	Feed	586161240
27,5	BlinkStart	586161388
27,5	BlinkEnd	586166857
5	0DropFeed	586166937
27	Feed	586167018
2,38,8,52	BlinkStart	586167180
2,38,8,52	BlinkEnd	586170470
2	Feed	586170550
38	Feed	586170630
26,5	BlinkStart	586170786
26,5	BlinkEnd	586177627
5	0DropFeed	586177707
26	Feed	586177787
2,38,8,52	BlinkStart	586177952
2,38,8,52	BlinkEnd	586181297
2	Feed	586181377
38	Feed	586181457
25,5	BlinkStart	586181616
25,5	BlinkEnd	586188704
5	0DropFeed	586188784
25	Feed	586188864
2,38,8,52	BlinkStart	586189021
2,38,8,52	BlinkEnd	586193391
2	Feed	586193471
38	Feed	586193551
23,5	BlinkStart	586193709
23,5	BlinkEnd	586201152
5	0DropFeed	586201233
23	NoFeedAbort	586201313
1	BlinkStart	586211379
1	BlinkEnd	586266612
1	NoFeedLowProb	586266692
6,47	BlinkStart	586266759
6,47	BlinkEnd	586270221
6	Feed	586270301
47	Feed	586270381
1	BlinkStart	586270526
1	BlinkEnd	586281413
1	NoFeedLowProb	586281493
6,47	BlinkStart	586281581
6,47	BlinkEnd	586285023
6	Feed	586285104
47	Feed	586285184
1	BlinkStart	586285327
1	BlinkEnd	586292062
1	NoFeedLowProb	586292142
6,47	BlinkStart	586292236
6,47	BlinkEnd	586296334
6	Feed	586296414
47	Feed	586296495
21,1	BlinkStart	586296648
21,1	BlinkEnd	586302471
1	0DropFeed	586302551
21	Feed	586302632
6,47,4,42	BlinkStart	586302783
6,47,4,42	BlinkEnd	586306140
4	Feed	586306220
42	Feed	586306300
20,1	BlinkStart	586306466
20,1	BlinkEnd	586312818
1	0DropFeed	586312899
20	Feed	586312979
6,47,4,42	BlinkStart	586313126
6,47,4,42	BlinkEnd	586316670
4	Feed	586316750
42	Feed	586316830
19,1	BlinkStart	586316970
19,1	BlinkEnd	586322024
1	0DropFeed	586322105
19	Feed	586322185
6,47,4,42	BlinkStart	586322369
6,47,4,42	BlinkEnd	586326476
4	Feed	586326556
42	Feed	586326636
18,1	BlinkStart	586326791
18,1	BlinkEnd	586339178
1	0DropFeed	586339259
18	Feed	586339339
6,47,4,42	BlinkStart	586339496
6,47,4,42	BlinkEnd	586343684
6	Feed	586343764
47	Feed	586343844
17,1	BlinkStart	586344003
17,1	BlinkEnd	586372691
1	0DropFeed	586372772
17	Feed	586372852
6,47,4,42	BlinkStart	586373001
6,47,4,42	BlinkEnd	586376294
4	Feed	586376374
42	Feed	586376454
16,1	BlinkStart	586376618
16,1	BlinkEnd	586383278
1	0DropFeed	586383358
16	Feed	586383439
6,47,4,42	BlinkStart	586383589
6,47,4,42	BlinkEnd	586387551
6	Feed	586387631
47	Feed	586387711
14,1	BlinkStart	586387853
14,1	BlinkEnd	586521666
5	BlinkStart	586521808
5	BlinkEnd	586529299
5	NoFeedLowProb	586529379
8,54	BlinkStart	586529458
8,54	BlinkEnd	586533446
8	Feed	586533526
54	Feed	586533606
5	BlinkStart	586533762
5	BlinkEnd	586545118
5	NoFeedLowProb	586545198
8,54	BlinkStart	586545270
8,54	BlinkEnd	586549390
8	Feed	586549470
54	Feed	586549551
5	BlinkStart	586549705
5	BlinkEnd	586560943
5	NoFeedLowProb	586561023
8,54	BlinkStart	586561093
8,54	BlinkEnd	586565396
8	Feed	586565476
54	Feed	586565556
30,5	BlinkStart	586565695
30,5	BlinkEnd	586576051
5	0DropFeed	586576131
30	Feed	586576211
8,54,2	BlinkStart	586576358
8,54,2	BlinkEnd	586579533
2	0DropFeed	586579613
29,5	BlinkStart	586579757
29,5	BlinkEnd	586585190
5	0DropFeed	586585270
29	Feed	586585350
8,54,2	BlinkStart	586585502
8,54,2	BlinkEnd	586590062
2	0DropFeed	586590142
28,5	BlinkStart	586590286
28,5	BlinkEnd	586596141
5	0DropFeed	586596221
28	Feed	586596301
8,54,2	BlinkStart	586596455
8,54,2	BlinkEnd	586601856
8	Feed	586601936
54	Feed	586602016
27,5	BlinkStart	586602163
27,5	BlinkEnd	586614130
5	0DropFeed	586614210
27	Feed	586614290
8,54,2	BlinkStart	586614458
8,54,2	BlinkEnd	586617739
8	Feed	586617819
54	Feed	586617899
26,5	BlinkStart	586618039
26,5	BlinkEnd	586628508
5	0DropFeed	586628588
26	Feed	586628668
8,54,2	BlinkStart	586628832
8,54,2	BlinkEnd	586631879
8	Feed	586631959
54	Feed	586632039
25,5	BlinkStart	586632207
25,5	BlinkEnd	586643970
5	0DropFeed	586644051
25	Feed	586644131
8,54,2	BlinkStart	586644276
8,54,2	BlinkEnd	586647762
8	Feed	586647842
54	Feed	586647923
23,5	BlinkStart	586648061
23,5	BlinkEnd	586659434
5	0DropFeed	586659514
23	NoFeedAbort	586659594
1	BlinkStart	586669656
1	BlinkEnd	586683922
1	NoFeedLowProb	586684003
4,43	BlinkStart	586684076
4,43	BlinkEnd	586690057
4	Feed	586690138
43	Feed	586690218
1	BlinkStart	586690381
1	BlinkEnd	586699865
1	NoFeedLowProb	586699945
4,43	BlinkStart	586700030
4,43	BlinkEnd	586703775
4	Feed	586703855
43	Feed	586703935
1	BlinkStart	586704081
1	BlinkEnd	586714846
1	NoFeedLowProb	586714926
4,43	BlinkStart	586714996
4,43	BlinkEnd	586718396
4	Feed	586718476
43	Feed	586718556
21,1	BlinkStart	586718717
21,1	BlinkEnd	586729350
1	0DropFeed	586729431
21	Feed	586729511
4,43,6,47	BlinkStart	586729665
4,43,6,47	BlinkEnd	586733147
6	Feed	586733227
47	Feed	586733307
20,1	BlinkStart	586733447
20,1	BlinkEnd	586802567
1	0DropFeed	586802647
20	Feed	586802727
4,43,6,47	BlinkStart	586802896
4,43,6,47	BlinkEnd	586806239
6	Feed	586806319
47	Feed	586806399
19,1	BlinkStart	586806554
19,1	BlinkEnd	586894380
1	0DropFeed	586894460
19	Feed	586894540
4,43,6,47	BlinkStart	586894707
4,43,6,47	BlinkEnd	586898412
4	Feed	586898492
43	Feed	586898572
18,1	BlinkStart	586898711
18,1	BlinkEnd	586909663
1	0DropFeed	586909743
18	Feed	586909823
4,43,6,47	BlinkStart	586909977
4,43,6,47	BlinkEnd	586913875
6	Feed	586913955
47	Feed	586914035
17,1	BlinkStart	586914175
17,1	BlinkEnd	586923139
1	0DropFeed	586923220
17	Feed	586923301
4,43,6,47	BlinkStart	586923469
