Tuesday, January 21, 2020	10:37:04 AM	Game1.txt	482979696
cued	now	483001056
7	BlinkStart	483001136
7	BlinkEnd	483037627
0	NoFeedLowProb	483037707
5	BlinkStart	483037937
5	BlinkEnd	483063052
5	NoFeedLowProb	483063132
8	BlinkStart	483063363
8	BlinkEnd	483067987
8	Feed	483068067
5	BlinkStart	483068297
5	BlinkEnd	483089766
5	NoFeedLowProb	483089846
2	BlinkStart	483090076
2	BlinkEnd	483093028
2	Feed	483093108
5	BlinkStart	483093338
5	BlinkEnd	483117141
5	NoFeedLowProb	483117221
8	BlinkStart	483117451
8	BlinkEnd	483120331
8	Feed	483120411
5	BlinkStart	483120641
5	BlinkEnd	483127551
5	NoFeedLowProb	483127631
2	BlinkStart	483127861
2	BlinkEnd	483130619
2	Feed	483130699
5	BlinkStart	483130929
5	BlinkEnd	483154084
5	NoFeedLowProb	483154164
8	BlinkStart	483154394
8	BlinkEnd	483157700
8	Feed	483157780
5	BlinkStart	483158010
5	BlinkEnd	483164678
5	NoFeedLowProb	483164758
2	BlinkStart	483164988
2	BlinkEnd	483168889
2	Feed	483168969
5	BlinkStart	483169199
5	BlinkEnd	483188503
5	NoFeedLowProb	483188583
82	BlinkStart	483188813
82	BlinkEnd	483192839
8	Feed	483192919
5	BlinkStart	483193149
5	BlinkEnd	483200414
5	NoFeedLowProb	483200494
82	BlinkStart	483200724
82	BlinkEnd	483203662
2	Feed	483203742
5	BlinkStart	483203972
5	BlinkEnd	483224059
5	NoFeedLowProb	483224139
82	BlinkStart	483224369
82	BlinkEnd	483227244
2	Feed	483227324
5	BlinkStart	483227554
5	BlinkEnd	483247283
5	NoFeedLowProb	483247363
82	BlinkStart	483247593
82	BlinkEnd	483250353
2	Feed	483250433
5	BlinkStart	483250664
5	BlinkEnd	483266481
5	NoFeedLowProb	483266561
82	BlinkStart	483266792
82	BlinkEnd	483270330
2	Feed	483270410
5	BlinkStart	483270641
5	BlinkEnd	483293547
5	NoFeedLowProb	483293627
82	BlinkStart	483293857
82	BlinkEnd	483296742
2	Feed	483296822
5	BlinkStart	483297052
5	BlinkEnd	483315027
5	NoFeedLowProb	483315107
1	BlinkStart	483315338
1	BlinkEnd	483323756
1	NoFeedLowProb	483323836
4	BlinkStart	483324067
4	BlinkEnd	483329289
4	Feed	483329369
1	BlinkStart	483329599
1	BlinkEnd	483343723
1	NoFeedLowProb	483343803
6	BlinkStart	483344035
6	BlinkEnd	483347039
6	Feed	483347119
1	BlinkStart	483347349
1	BlinkEnd	483371471
1	NoFeedLowProb	483371551
4	BlinkStart	483371782
4	BlinkEnd	483374654
4	Feed	483374734
1	BlinkStart	483374964
1	BlinkEnd	483382900
1	NoFeedLowProb	483382981
6	BlinkStart	483383211
6	BlinkEnd	483386203
6	Feed	483386283
1	BlinkStart	483386514
1	BlinkEnd	483409002
1	NoFeedLowProb	483409082
4	BlinkStart	483409312
4	BlinkEnd	483412255
4	Feed	483412335
1	BlinkStart	483412565
1	BlinkEnd	483421765
1	NoFeedLowProb	483421845
6	BlinkStart	483422076
6	BlinkEnd	483424707
6	Feed	483424787
1	BlinkStart	483425017
1	BlinkEnd	483444926
1	NoFeedLowProb	483445011
46	BlinkStart	483445241
46	BlinkEnd	483448425
6	Feed	483448505
1	BlinkStart	483448736
1	BlinkEnd	483469539
1	NoFeedLowProb	483469619
46	BlinkStart	483469850
46	BlinkEnd	483472962
6	Feed	483473043
1	BlinkStart	483473273
1	BlinkEnd	483495941
1	NoFeedLowProb	483496021
46	BlinkStart	483496252
46	BlinkEnd	483500098
6	Feed	483500179
1	BlinkStart	483500410
1	BlinkEnd	483519768
1	NoFeedLowProb	483519849
46	BlinkStart	483520080
46	BlinkEnd	483523316
6	Feed	483523396
1	BlinkStart	483523626
1	BlinkEnd	483545098
1	NoFeedLowProb	483545179
46	BlinkStart	483545409
46	BlinkEnd	483548952
6	Feed	483549032
1	BlinkStart	483549263
1	BlinkEnd	483572964
1	NoFeedLowProb	483573044
46	BlinkStart	483573274
46	BlinkEnd	483576448
6	Feed	483576528
1	BlinkStart	483576758
1	BlinkEnd	483598592
1	NoFeedLowProb	483598673
5	BlinkStart	483598904
5	BlinkEnd	483603401
5	NoFeedLowProb	483603481
2	BlinkStart	483603711
2	BlinkEnd	483606351
2	Feed	483606431
5	BlinkStart	483606662
5	BlinkEnd	483618866
5	NoFeedLowProb	483618946
8	BlinkStart	483619176
8	BlinkEnd	483622651
8	Feed	483622731
5	BlinkStart	483622961
5	BlinkEnd	483650689
5	NoFeedLowProb	483650769
2	BlinkStart	483650999
2	BlinkEnd	483654062
2	Feed	483654142
5	BlinkStart	483654372
5	BlinkEnd	483664293
5	NoFeedLowProb	483664373
8	BlinkStart	483664603
8	BlinkEnd	483702380
8	Feed	483702460
