Wednesday, January 29, 2020	2:37:48 PM	Game1.txt	357253992
cued	now	357265310
7	BlinkStart	357265389
7	BlinkEnd	357456741
0	NoFeedLowProb	357456821
5	BlinkStart	357457052
5	BlinkEnd	357462443
5	NoFeedLowProb	357462523
8	BlinkStart	357462753
8	BlinkEnd	357466586
8	Feed	357466667
5	BlinkStart	357466898
5	BlinkEnd	357486436
5	NoFeedLowProb	357486516
2	BlinkStart	357486746
2	BlinkEnd	357489845
2	Feed	357489925
5	BlinkStart	357490155
5	BlinkEnd	357497527
5	NoFeedLowProb	357497607
8	BlinkStart	357497837
8	BlinkEnd	357501068
8	Feed	357501149
5	BlinkStart	357501380
5	BlinkEnd	357519855
5	NoFeedLowProb	357519935
2	BlinkStart	357520166
2	BlinkEnd	357523000
2	Feed	357523081
5	BlinkStart	357523313
5	BlinkEnd	357533156
5	NoFeedLowProb	357533236
8	BlinkStart	357533466
8	BlinkEnd	357536504
8	Feed	357536584
5	BlinkStart	357536814
5	BlinkEnd	357555141
5	NoFeedLowProb	357555221
2	BlinkStart	357555451
2	BlinkEnd	357558296
2	Feed	357558376
5	BlinkStart	357558606
5	BlinkEnd	357565179
5	NoFeedLowProb	357565259
82	BlinkStart	357565489
82	BlinkEnd	357569180
8	Feed	357569260
5	BlinkStart	357569490
5	BlinkEnd	357586159
5	NoFeedLowProb	357586239
82	BlinkStart	357586469
82	BlinkEnd	357589369
8	Feed	357589450
5	BlinkStart	357589680
5	BlinkEnd	357608620
5	NoFeedLowProb	357608700
82	BlinkStart	357608930
82	BlinkEnd	357612158
8	Feed	357612238
5	BlinkStart	357612468
5	BlinkEnd	357628074
5	NoFeedLowProb	357628154
82	BlinkStart	357628384
82	BlinkEnd	357631547
8	Feed	357631628
5	BlinkStart	357631859
5	BlinkEnd	357674452
5	NoFeedLowProb	357674532
82	BlinkStart	357674762
82	BlinkEnd	357679068
8	Feed	357679148
5	BlinkStart	357679378
5	BlinkEnd	357697115
5	NoFeedLowProb	357697196
82	BlinkStart	357697426
82	BlinkEnd	357701461
8	Feed	357701541
5	BlinkStart	357701772
5	BlinkEnd	357720977
5	NoFeedLowProb	357721057
1	BlinkStart	357721289
1	BlinkEnd	357724854
1	NoFeedLowProb	357724934
4	BlinkStart	357725164
4	BlinkEnd	357734278
4	Feed	357734358
1	BlinkStart	357734588
1	BlinkEnd	357749649
1	NoFeedLowProb	357749729
6	BlinkStart	357749959
6	BlinkEnd	357752930
6	Feed	357753010
1	BlinkStart	357753241
1	BlinkEnd	357762354
1	NoFeedLowProb	357762435
4	BlinkStart	357762665
4	BlinkEnd	357765358
4	Feed	357765438
1	BlinkStart	357765668
1	BlinkEnd	357781005
1	NoFeedLowProb	357781085
6	BlinkStart	357781316
6	BlinkEnd	357784074
6	Feed	357784155
1	BlinkStart	357784387
1	BlinkEnd	357791028
1	NoFeedLowProb	357791108
4	BlinkStart	357791339
4	BlinkEnd	357794499
4	Feed	357794579
1	BlinkStart	357794810
1	BlinkEnd	357816299
1	NoFeedLowProb	357816379
6	BlinkStart	357816609
6	BlinkEnd	357819368
6	Feed	357819448
1	BlinkStart	357819680
1	BlinkEnd	357826249
1	NoFeedLowProb	357826329
46	BlinkStart	357826559
46	BlinkEnd	357830196
6	Feed	357830276
1	BlinkStart	357830507
1	BlinkEnd	357842029
1	NoFeedLowProb	357842109
46	BlinkStart	357842340
46	BlinkEnd	357847772
6	Feed	357847852
1	BlinkStart	357848082
1	BlinkEnd	357857266
1	NoFeedLowProb	357857347
46	BlinkStart	357857577
46	BlinkEnd	357860885
4	Feed	357860966
1	BlinkStart	357861196
1	BlinkEnd	357877656
1	NoFeedLowProb	357877736
46	BlinkStart	357877966
46	BlinkEnd	357881597
4	Feed	357881677
1	BlinkStart	357881908
1	BlinkEnd	357899512
1	NoFeedLowProb	357899593
46	BlinkStart	357899823
46	BlinkEnd	357918698
4	Feed	357918778
1	BlinkStart	357919009
1	BlinkEnd	357937614
1	NoFeedLowProb	357937694
46	BlinkStart	357937924
46	BlinkEnd	357941488
4	Feed	357941568
1	BlinkStart	357941799
1	BlinkEnd	357958400
1	NoFeedLowProb	357958481
5	BlinkStart	357958711
5	BlinkEnd	357965746
5	NoFeedLowProb	357965826
2	BlinkStart	357966058
2	BlinkEnd	357969358
2	Feed	357969439
5	BlinkStart	357969670
5	BlinkEnd	357991881
5	NoFeedLowProb	357991961
8	BlinkStart	357992192
8	BlinkEnd	357995365
8	Feed	357995446
