Thursday, January 30, 2020	1:28:21 PM	Game1.txt	439487049
cued	now	439510812
7	BlinkStart	439510892
2	KBWrong2	439529875
7	BlinkEnd	439800058
0	NoFeedLowProb	439800138
5	BlinkStart	439800368
5	BlinkEnd	439813218
5	NoFeedLowProb	439813298
2	BlinkStart	439813529
2	BlinkEnd	439816832
2	Feed	439816912
5	BlinkStart	439817142
5	BlinkEnd	439836748
5	NoFeedLowProb	439836828
8	BlinkStart	439837059
8	BlinkEnd	439839823
8	Feed	439839903
5	BlinkStart	439840133
5	BlinkEnd	439847170
5	NoFeedLowProb	439847250
2	BlinkStart	439847480
2	BlinkEnd	439853060
2	Feed	439853140
5	BlinkStart	439853371
5	BlinkEnd	439871974
5	NoFeedLowProb	439872054
8	BlinkStart	439872284
8	BlinkEnd	439874974
8	Feed	439875054
5	BlinkStart	439875284
5	BlinkEnd	439881059
5	NoFeedLowProb	439881139
2	BlinkStart	439881369
2	BlinkEnd	439884473
2	Feed	439884554
5	BlinkStart	439884784
5	BlinkEnd	439901651
5	NoFeedLowProb	439901731
8	BlinkStart	439901961
8	BlinkEnd	439904787
8	Feed	439904867
5	BlinkStart	439905098
5	BlinkEnd	439910280
5	NoFeedLowProb	439910360
28	BlinkStart	439910591
28	BlinkEnd	439914145
2	Feed	439914225
5	BlinkStart	439914455
5	BlinkEnd	439927247
5	NoFeedLowProb	439927327
28	BlinkStart	439927558
28	BlinkEnd	439930724
8	Feed	439930804
5	BlinkStart	439931034
5	BlinkEnd	439936802
5	NoFeedLowProb	439936882
28	BlinkStart	439937112
28	BlinkEnd	439940343
8	Feed	439940423
5	BlinkStart	439940654
5	BlinkEnd	439946766
5	NoFeedLowProb	439946847
28	BlinkStart	439947078
28	BlinkEnd	439950780
2	Feed	439950860
5	BlinkStart	439951090
5	BlinkEnd	439964411
5	NoFeedLowProb	439964491
28	BlinkStart	439964721
28	BlinkEnd	439968217
2	Feed	439968297
5	BlinkStart	439968527
5	BlinkEnd	439984595
5	NoFeedLowProb	439984675
28	BlinkStart	439984906
28	BlinkEnd	439988539
2	Feed	439988619
5	BlinkStart	439988849
5	BlinkEnd	440017421
5	NoFeedLowProb	440017501
1	BlinkStart	440017731
1	BlinkEnd	440021824
1	NoFeedLowProb	440021904
6	BlinkStart	440022134
6	BlinkEnd	440024565
6	Feed	440024645
1	BlinkStart	440024876
1	BlinkEnd	440040685
1	NoFeedLowProb	440040765
4	BlinkStart	440040995
4	BlinkEnd	440044149
4	Feed	440044229
1	BlinkStart	440044460
1	BlinkEnd	440050710
1	NoFeedLowProb	440050790
6	BlinkStart	440051020
6	BlinkEnd	440053582
6	Feed	440053662
1	BlinkStart	440053892
1	BlinkEnd	440069819
1	NoFeedLowProb	440069900
4	BlinkStart	440070130
4	BlinkEnd	440073229
4	Feed	440073309
1	BlinkStart	440073540
1	BlinkEnd	440080918
1	NoFeedLowProb	440080998
6	BlinkStart	440081228
6	BlinkEnd	440083791
6	Feed	440083871
1	BlinkStart	440084101
1	BlinkEnd	440100036
1	NoFeedLowProb	440100117
4	BlinkStart	440100347
4	BlinkEnd	440103178
4	Feed	440103259
1	BlinkStart	440103490
1	BlinkEnd	440108663
1	NoFeedLowProb	440108743
64	BlinkStart	440108973
64	BlinkEnd	440111927
6	Feed	440112007
1	BlinkStart	440112237
1	BlinkEnd	440128375
1	NoFeedLowProb	440128455
64	BlinkStart	440128685
64	BlinkEnd	440131848
6	Feed	440131928
1	BlinkStart	440132158
1	BlinkEnd	440147486
1	NoFeedLowProb	440147566
64	BlinkStart	440147797
64	BlinkEnd	440151171
6	Feed	440151251
1	BlinkStart	440151481
1	BlinkEnd	440167341
1	NoFeedLowProb	440167421
64	BlinkStart	440167651
64	BlinkEnd	440182113
6	Feed	440182193
1	BlinkStart	440182424
1	BlinkEnd	440198019
1	NoFeedLowProb	440198099
64	BlinkStart	440198329
64	BlinkEnd	440201298
6	Feed	440201378
1	BlinkStart	440201608
1	BlinkEnd	440221287
1	NoFeedLowProb	440221368
64	BlinkStart	440221598
64	BlinkEnd	440224685
6	Feed	440224766
1	BlinkStart	440224997
1	BlinkEnd	440242200
1	NoFeedLowProb	440242280
5	BlinkStart	440242511
5	BlinkEnd	440250486
5	NoFeedLowProb	440250566
8	BlinkStart	440250796
8	BlinkEnd	440253696
8	Feed	440253776
5	BlinkStart	440254007
5	BlinkEnd	440278893
5	NoFeedLowProb	440278973
2	BlinkStart	440279203
2	BlinkEnd	440281909
2	Feed	440281989
5	BlinkStart	440282219
5	BlinkEnd	440304501
5	NoFeedLowProb	440304581
8	BlinkStart	440304811
8	BlinkEnd	440307701
8	Feed	440307781
5	BlinkStart	440308012
5	BlinkEnd	440327431
5	NoFeedLowProb	440327511
2	BlinkStart	440327741
2	BlinkEnd	440331163
2	Feed	440331243
5	BlinkStart	440331473
5	BlinkEnd	440347816
5	NoFeedLowProb	440347896
8	BlinkStart	440348126
8	BlinkEnd	440351359
8	Feed	440351440
5	BlinkStart	440351671
5	BlinkEnd	440370669
5	NoFeedLowProb	440370749
2	BlinkStart	440370980
2	BlinkEnd	440375815
2	Feed	440375895
5	BlinkStart	440376126
5	BlinkEnd	440384105
5	NoFeedLowProb	440384186
82	BlinkStart	440384416
82	BlinkEnd	440388452
8	Feed	440388532
5	BlinkStart	440388762
5	BlinkEnd	440408032
5	NoFeedLowProb	440408112
82	BlinkStart	440408342
82	BlinkEnd	440411512
8	Feed	440411592
5	BlinkStart	440411823
5	BlinkEnd	440432299
5	NoFeedLowProb	440432379
82	BlinkStart	440432609
82	BlinkEnd	440435910
8	Feed	440435990
5	BlinkStart	440436221
5	BlinkEnd	440453351
5	NoFeedLowProb	440453431
82	BlinkStart	440453661
82	BlinkEnd	440457633
8	Feed	440457713
5	BlinkStart	440457943
5	BlinkEnd	440477880
5	NoFeedLowProb	440477960
82	BlinkStart	440478190
82	BlinkEnd	440481958
8	Feed	440482038
5	BlinkStart	440482269
5	BlinkEnd	440512640
5	NoFeedLowProb	440512720
82	BlinkStart	440512951
82	BlinkEnd	440516185
8	Feed	440516265
5	BlinkStart	440516495
5	BlinkEnd	440537309
5	NoFeedLowProb	440537390
1	BlinkStart	440537621
1	BlinkEnd	440542251
1	NoFeedLowProb	440542331
6	BlinkStart	440542561
6	BlinkEnd	440545725
6	Feed	440545805
1	BlinkStart	440546035
1	BlinkEnd	440558030
1	NoFeedLowProb	440558110
4	BlinkStart	440558340
4	BlinkEnd	440561436
4	Feed	440561516
1	BlinkStart	440561747
1	BlinkEnd	440580147
1	NoFeedLowProb	440580227
6	BlinkStart	440580457
6	BlinkEnd	440583897
6	Feed	440583977
1	BlinkStart	440584208
1	BlinkEnd	440591590
1	NoFeedLowProb	440591670
4	BlinkStart	440591900
4	BlinkEnd	440597540
4	Feed	440597620
1	BlinkStart	440597851
1	BlinkEnd	440616916
1	NoFeedLowProb	440616996
6	BlinkStart	440617226
6	BlinkEnd	440620851
6	Feed	440620931
1	BlinkStart	440621161
1	BlinkEnd	440629087
1	NoFeedLowProb	440629168
4	BlinkStart	440629399
4	BlinkEnd	440659155
4	Feed	440659235
1	BlinkStart	440659465
1	BlinkEnd	440719916
1	NoFeedLowProb	440719996
64	BlinkStart	440720227
64	BlinkEnd	440723853
6	Feed	440723933
1	BlinkStart	440724163
1	BlinkEnd	440748390
1	NoFeedLowProb	440748470
64	BlinkStart	440748700
64	BlinkEnd	440752139
6	Feed	440752219
1	BlinkStart	440752450
1	BlinkEnd	440761420
1	NoFeedLowProb	440761500
64	BlinkStart	440761730
64	BlinkEnd	440768641
4	Feed	440768721
1	BlinkStart	440768952
1	BlinkEnd	440787554
1	NoFeedLowProb	440787634
64	BlinkStart	440787865
64	BlinkEnd	440792436
4	Feed	440792516
1	BlinkStart	440792746
1	BlinkEnd	440813763
1	NoFeedLowProb	440813843
64	BlinkStart	440814073
64	BlinkEnd	440819368
4	Feed	440819448
1	BlinkStart	440819678
1	BlinkEnd	440842498
1	NoFeedLowProb	440842578
64	BlinkStart	440842808
64	BlinkEnd	440847179
4	Feed	440847259
1	BlinkStart	440847490
1	BlinkEnd	440870772
1	NoFeedLowProb	440870852
5	BlinkStart	440871083
5	BlinkEnd	440876986
5	NoFeedLowProb	440877067
8	BlinkStart	440877298
8	BlinkEnd	440882006
8	Feed	440882086
5	BlinkStart	440882316
5	BlinkEnd	440893166
5	NoFeedLowProb	440893246
2	BlinkStart	440893476
2	BlinkEnd	440897237
2	Feed	440897317
5	BlinkStart	440897548
5	BlinkEnd	440920767
5	NoFeedLowProb	440920847
8	BlinkStart	440921077
8	BlinkEnd	440925787
8	Feed	440925868
5	BlinkStart	440926098
5	BlinkEnd	440974042
5	NoFeedLowProb	440974122
2	BlinkStart	440974352
2	BlinkEnd	440978115
2	Feed	440978195
5	BlinkStart	440978425
5	BlinkEnd	441013477
5	NoFeedLowProb	441013557
8	BlinkStart	441013788
8	BlinkEnd	441018558
8	Feed	441018639
5	BlinkStart	441018869
5	BlinkEnd	441088943
5	NoFeedLowProb	441089023
2	BlinkStart	441089253
2	BlinkEnd	441093486
2	Feed	441093567
5	BlinkStart	441093798
5	BlinkEnd	441118157
5	NoFeedLowProb	441118237
82	BlinkStart	441118468
82	BlinkEnd	441124304
2	Feed	441124384
5	BlinkStart	441124615
5	BlinkEnd	441147224
5	NoFeedLowProb	441147304
82	BlinkStart	441147535
82	BlinkEnd	441153114
2	Feed	441153195
5	BlinkStart	441153425
5	BlinkEnd	441177639
5	NoFeedLowProb	441177719
82	BlinkStart	441177949
82	BlinkEnd	441183324
2	Feed	441183404
5	BlinkStart	441183634
5	BlinkEnd	442025048
5	NoFeedLowProb	442025128
82	BlinkStart	442025358
82	BlinkEnd	442028797
8	Feed	442028878
5	BlinkStart	442029108
5	BlinkEnd	442042088
5	NoFeedLowProb	442042168
82	BlinkStart	442042398
82	BlinkEnd	442046700
8	Feed	442046780
5	BlinkStart	442047010
5	BlinkEnd	442056532
5	NoFeedLowProb	442056612
82	BlinkStart	442056842
82	BlinkEnd	442061273
2	Feed	442061353
5	BlinkStart	442061583
5	BlinkEnd	442086742
5	NoFeedLowProb	442086823
1	BlinkStart	442087053
1	BlinkEnd	442093888
1	NoFeedLowProb	442093968
6	BlinkStart	442094199
6	BlinkEnd	442098436
6	Feed	442098516
1	BlinkStart	442098746
1	BlinkEnd	442128516
1	NoFeedLowProb	442128596
4	BlinkStart	442128826
4	BlinkEnd	442133660
4	Feed	442133740
1	BlinkStart	442133970
1	BlinkEnd	442143553
1	NoFeedLowProb	442143633
6	BlinkStart	442143863
6	BlinkEnd	442481422
0	StopTraining	442481503
