Saturday, March 7, 2020	2:19:10 PM	Game1.txt	1856297752
cued	now	1856323727
7	BlinkStart	1856323808
7	BlinkEnd	1856624166
0	NoFeedLowProb	1856624246
5	BlinkStart	1856624477
5	BlinkEnd	1856652190
5	NoFeedLowProb	1856652270
8	BlinkStart	1856652500
8	BlinkEnd	1856665769
8	Feed	1856665850
5	BlinkStart	1856666080
5	BlinkEnd	1856687210
5	NoFeedLowProb	1856687290
8	BlinkStart	1856687520
8	BlinkEnd	1856691888
8	Feed	1856691968
5	BlinkStart	1856692198
5	BlinkEnd	1856708132
5	NoFeedLowProb	1856708212
8	BlinkStart	1856708443
8	BlinkEnd	1856712745
8	Feed	1856712825
5	BlinkStart	1856713055
5	BlinkEnd	1856746167
5	NoFeedLowProb	1856746247
28	BlinkStart	1856746477
28	BlinkEnd	1856749643
2	Feed	1856749723
5	BlinkStart	1856749953
5	BlinkEnd	1856760332
5	NoFeedLowProb	1856760412
28	BlinkStart	1856760643
28	BlinkEnd	1856763415
2	Feed	1856763495
5	BlinkStart	1856763725
5	BlinkEnd	1856770561
5	NoFeedLowProb	1856770641
28	BlinkStart	1856770871
28	BlinkEnd	1856773703
2	Feed	1856773783
5	BlinkStart	1856774013
5	BlinkEnd	1856780518
5	NoFeedLowProb	1856780598
2	BlinkStart	1856780828
2	BlinkEnd	1856783458
2	Feed	1856783538
5	BlinkStart	1856783768
5	BlinkEnd	1856789340
5	NoFeedLowProb	1856789420
2	BlinkStart	1856789650
2	BlinkEnd	1856792352
2	Feed	1856792432
5	BlinkStart	1856792664
5	BlinkEnd	1856798036
5	NoFeedLowProb	1856798117
2	BlinkStart	1856798347
2	BlinkEnd	1856802121
2	Feed	1856802201
5	BlinkStart	1856802432
5	BlinkEnd	1856808128
5	NoFeedLowProb	1856808208
28	BlinkStart	1856808438
28	BlinkEnd	1856811000
2	Feed	1856811081
5	BlinkStart	1856811313
5	BlinkEnd	1856819020
5	NoFeedLowProb	1856819101
28	BlinkStart	1856819332
28	BlinkEnd	1856821759
2	Feed	1856821839
5	BlinkStart	1856822069
5	BlinkEnd	1856827310
5	NoFeedLowProb	1856827391
28	BlinkStart	1856827621
28	BlinkEnd	1856830519
8	Feed	1856830600
5	BlinkStart	1856830830
5	BlinkEnd	1856846289
5	NoFeedLowProb	1856846369
1	BlinkStart	1856846599
1	BlinkEnd	1856849906
1	NoFeedLowProb	1856849986
6	BlinkStart	1856850216
6	BlinkEnd	1856852840
6	Feed	1856852920
1	BlinkStart	1856853150
1	BlinkEnd	1856863272
1	NoFeedLowProb	1856863352
6	BlinkStart	1856863583
6	BlinkEnd	1856866078
6	Feed	1856866158
1	BlinkStart	1856866388
1	BlinkEnd	1856872097
1	NoFeedLowProb	1856872177
6	BlinkStart	1856872408
6	BlinkEnd	1856875033
6	Feed	1856875113
1	BlinkStart	1856875343
1	BlinkEnd	1856881115
1	NoFeedLowProb	1856881195
64	BlinkStart	1856881425
64	BlinkEnd	1856883721
6	Feed	1856883801
1	BlinkStart	1856884031
1	BlinkEnd	1856889407
1	NoFeedLowProb	1856889488
64	BlinkStart	1856889718
64	BlinkEnd	1856892478
6	Feed	1856892558
1	BlinkStart	1856892788
1	BlinkEnd	1856898767
1	NoFeedLowProb	1856898848
64	BlinkStart	1856899078
64	BlinkEnd	1856901365
6	Feed	1856901445
1	BlinkStart	1856901675
1	BlinkEnd	1856906517
1	NoFeedLowProb	1856906597
4	BlinkStart	1856906828
4	BlinkEnd	1856909387
4	Feed	1856909467
1	BlinkStart	1856909697
1	BlinkEnd	1856921685
1	NoFeedLowProb	1856921765
4	BlinkStart	1856921995
4	BlinkEnd	1856924493
4	Feed	1856924573
1	BlinkStart	1856924803
1	BlinkEnd	1856935925
1	NoFeedLowProb	1856936006
4	BlinkStart	1856936237
4	BlinkEnd	1856938401
4	Feed	1856938481
1	BlinkStart	1856938711
1	BlinkEnd	1856957579
1	NoFeedLowProb	1856957659
64	BlinkStart	1856957889
64	BlinkEnd	1856960194
4	Feed	1856960274
1	BlinkStart	1856960504
1	BlinkEnd	1856978500
1	NoFeedLowProb	1856978580
64	BlinkStart	1856978811
64	BlinkEnd	1856981790
4	Feed	1856981870
1	BlinkStart	1856982102
1	BlinkEnd	1856994482
1	NoFeedLowProb	1856994562
64	BlinkStart	1856994793
64	BlinkEnd	1856996954
4	Feed	1856997034
1	BlinkStart	1856997264
1	BlinkEnd	1857009379
1	NoFeedLowProb	1857009459
5	BlinkStart	1857009689
5	BlinkEnd	1857016608
5	NoFeedLowProb	1857016688
8	BlinkStart	1857016918
8	BlinkEnd	1857019205
8	Feed	1857019285
5	BlinkStart	1857019515
5	BlinkEnd	1857030770
5	NoFeedLowProb	1857030851
8	BlinkStart	1857031082
8	BlinkEnd	1857033377
8	Feed	1857033457
5	BlinkStart	1857033687
5	BlinkEnd	1857045542
5	NoFeedLowProb	1857045622
8	BlinkStart	1857045853
8	BlinkEnd	1857048225
8	Feed	1857048306
5	BlinkStart	1857048536
5	BlinkEnd	1857068335
5	NoFeedLowProb	1857068415
82	BlinkStart	1857068645
82	BlinkEnd	1857071008
2	Feed	1857071088
5	BlinkStart	1857071318
5	BlinkEnd	1857077628
5	NoFeedLowProb	1857077708
82	BlinkStart	1857077939
82	BlinkEnd	1857080171
2	Feed	1857080251
5	BlinkStart	1857080483
5	BlinkEnd	1857085515
5	NoFeedLowProb	1857085596
82	BlinkStart	1857085826
82	BlinkEnd	1857088322
8	Feed	1857088402
5	BlinkStart	1857088633
5	BlinkEnd	1857101494
5	NoFeedLowProb	1857101574
2	BlinkStart	1857101805
2	BlinkEnd	1857104031
2	Feed	1857104111
5	BlinkStart	1857104341
5	BlinkEnd	1857109581
5	NoFeedLowProb	1857109661
2	BlinkStart	1857109892
2	BlinkEnd	1857112319
2	Feed	1857112399
5	BlinkStart	1857112629
5	BlinkEnd	1857117395
5	NoFeedLowProb	1857117475
2	BlinkStart	1857117706
2	BlinkEnd	1857127964
2	Feed	1857128045
5	BlinkStart	1857128276
5	BlinkEnd	1857133911
5	NoFeedLowProb	1857133991
82	BlinkStart	1857134222
82	BlinkEnd	1857136647
8	Feed	1857136727
5	BlinkStart	1857136957
5	BlinkEnd	1857160511
5	NoFeedLowProb	1857160591
82	BlinkStart	1857160821
82	BlinkEnd	1857163119
8	Feed	1857163199
5	BlinkStart	1857163429
5	BlinkEnd	1857175348
5	NoFeedLowProb	1857175428
82	BlinkStart	1857175659
82	BlinkEnd	1857177758
8	Feed	1857177838
5	BlinkStart	1857178068
5	BlinkEnd	1857190052
5	NoFeedLowProb	1857190132
1	BlinkStart	1857190362
1	BlinkEnd	1857198006
1	NoFeedLowProb	1857198086
6	BlinkStart	1857198316
6	BlinkEnd	1857200886
6	Feed	1857200967
1	BlinkStart	1857201197
1	BlinkEnd	1857223007
1	NoFeedLowProb	1857223087
6	BlinkStart	1857223318
6	BlinkEnd	1857225679
6	Feed	1857225759
1	BlinkStart	1857225989
1	BlinkEnd	1857232631
1	NoFeedLowProb	1857232711
6	BlinkStart	1857232941
6	BlinkEnd	1857235303
6	Feed	1857235383
1	BlinkStart	1857235614
1	BlinkEnd	1857242464
1	NoFeedLowProb	1857242544
46	BlinkStart	1857242774
46	BlinkEnd	1857245134
4	Feed	1857245215
1	BlinkStart	1857245445
1	BlinkEnd	1857256698
1	NoFeedLowProb	1857256778
46	BlinkStart	1857257008
46	BlinkEnd	1857259307
4	Feed	1857259387
1	BlinkStart	1857259618
1	BlinkEnd	1857270468
1	NoFeedLowProb	1857270549
46	BlinkStart	1857270779
46	BlinkEnd	1857273081
4	Feed	1857273161
1	BlinkStart	1857273391
1	BlinkEnd	1857296870
1	NoFeedLowProb	1857296950
4	BlinkStart	1857297180
4	BlinkEnd	1857299210
4	Feed	1857299290
1	BlinkStart	1857299520
1	BlinkEnd	1857310233
1	NoFeedLowProb	1857310313
4	BlinkStart	1857310543
4	BlinkEnd	1857312778
4	Feed	1857312859
1	BlinkStart	1857313091
1	BlinkEnd	1857324739
1	NoFeedLowProb	1857324819
4	BlinkStart	1857325050
4	BlinkEnd	1857327552
4	Feed	1857327632
1	BlinkStart	1857327862
1	BlinkEnd	1857347933
1	NoFeedLowProb	1857348013
46	BlinkStart	1857348244
46	BlinkEnd	1857350678
4	Feed	1857350758
1	BlinkStart	1857350988
1	BlinkEnd	1857361573
1	NoFeedLowProb	1857361653
46	BlinkStart	1857361883
46	BlinkEnd	1857364509
4	Feed	1857364589
1	BlinkStart	1857364819
1	BlinkEnd	1857376272
1	NoFeedLowProb	1857376352
46	BlinkStart	1857376582
46	BlinkEnd	1857378745
4	Feed	1857378825
1	BlinkStart	1857379055
1	BlinkEnd	1857390047
1	NoFeedLowProb	1857390127
5	BlinkStart	1857390357
5	BlinkEnd	1857398197
5	NoFeedLowProb	1857398277
8	BlinkStart	1857398507
8	BlinkEnd	1857401134
8	Feed	1857401214
5	BlinkStart	1857401444
5	BlinkEnd	1857417048
5	NoFeedLowProb	1857417128
8	BlinkStart	1857417358
8	BlinkEnd	1857419788
8	Feed	1857419868
5	BlinkStart	1857420098
5	BlinkEnd	1857432489
5	NoFeedLowProb	1857432569
8	BlinkStart	1857432799
8	BlinkEnd	1857435225
8	Feed	1857435305
5	BlinkStart	1857435536
5	BlinkEnd	1857447123
5	NoFeedLowProb	1857447203
82	BlinkStart	1857447434
82	BlinkEnd	1857450196
8	Feed	1857450277
5	BlinkStart	1857450508
5	BlinkEnd	1857463310
5	NoFeedLowProb	1857463390
82	BlinkStart	1857463620
82	BlinkEnd	1857466107
8	Feed	1857466187
5	BlinkStart	1857466417
5	BlinkEnd	1857480278
5	NoFeedLowProb	1857480359
82	BlinkStart	1857480589
82	BlinkEnd	1857482883
8	Feed	1857482963
5	BlinkStart	1857483193
5	BlinkEnd	1857496928
5	NoFeedLowProb	1857497008
2	BlinkStart	1857497238
2	BlinkEnd	1857507144
2	Feed	1857507224
5	BlinkStart	1857507455
