Friday, March 27, 2020	3:44:12 PM	Game1.txt	1199396490
cued	now	1199404939
7	BlinkStart	1199405019
7	BlinkEnd	1199730222
0	NoFeedLowProb	1199730302
1	BlinkStart	1199730533
1	BlinkEnd	1199754215
1	NoFeedLowProb	1199754295
6	BlinkStart	1199754525
6	BlinkEnd	1199761559
6	Feed	1199761639
1	BlinkStart	1199761869
1	BlinkEnd	1199785756
1	NoFeedLowProb	1199785836
6	BlinkStart	1199786068
6	BlinkEnd	1199789570
6	Feed	1199789650
1	BlinkStart	1199789880
1	BlinkEnd	1199804681
1	NoFeedLowProb	1199804761
6	BlinkStart	1199804992
6	BlinkEnd	1199807946
6	Feed	1199808026
1	BlinkStart	1199808256
1	BlinkEnd	1199825600
1	NoFeedLowProb	1199825680
46	BlinkStart	1199825910
46	BlinkEnd	1199828938
6	Feed	1199829018
1	BlinkStart	1199829248
1	BlinkEnd	1199841974
1	NoFeedLowProb	1199842055
46	BlinkStart	1199842286
46	BlinkEnd	1199844978
6	Feed	1199845058
1	BlinkStart	1199845288
1	BlinkEnd	1199855345
1	NoFeedLowProb	1199855425
46	BlinkStart	1199855656
46	BlinkEnd	1199858286
6	Feed	1199858366
1	BlinkStart	1199858597
1	BlinkEnd	1199867442
1	NoFeedLowProb	1199867522
46	BlinkStart	1199867752
46	BlinkEnd	1199870847
6	Feed	1199870927
1	BlinkStart	1199871159
1	BlinkEnd	1199890169
1	NoFeedLowProb	1199890249
46	BlinkStart	1199890481
46	BlinkEnd	1199893110
6	Feed	1199893190
1	BlinkStart	1199893420
1	BlinkEnd	1199905066
1	NoFeedLowProb	1199905146
46	BlinkStart	1199905377
46	BlinkEnd	1199908212
6	Feed	1199908292
1	BlinkStart	1199908523
1	BlinkEnd	1199916770
1	NoFeedLowProb	1199916850
5	BlinkStart	1199917081
5	BlinkEnd	1199920580
5	NoFeedLowProb	1199920661
8	BlinkStart	1199920891
8	BlinkEnd	1199923518
8	Feed	1199923598
5	BlinkStart	1199923829
5	BlinkEnd	1199930348
5	NoFeedLowProb	1199930429
8	BlinkStart	1199930659
8	BlinkEnd	1199932878
8	Feed	1199932958
5	BlinkStart	1199933188
5	BlinkEnd	1199939622
5	NoFeedLowProb	1199939702
8	BlinkStart	1199939932
8	BlinkEnd	1199942434
8	Feed	1199942514
5	BlinkStart	1199942744
5	BlinkEnd	1199948179
5	NoFeedLowProb	1199948259
82	BlinkStart	1199948490
82	BlinkEnd	1199951128
2	Feed	1199951208
5	BlinkStart	1199951438
5	BlinkEnd	1199963490
5	NoFeedLowProb	1199963570
82	BlinkStart	1199963801
82	BlinkEnd	1199966764
8	Feed	1199966844
5	BlinkStart	1199967074
5	BlinkEnd	1199974394
5	NoFeedLowProb	1199974474
82	BlinkStart	1199974704
82	BlinkEnd	1199978329
2	Feed	1199978410
5	BlinkStart	1199978640
5	BlinkEnd	1199984611
5	NoFeedLowProb	1199984691
82	BlinkStart	1199984921
82	BlinkEnd	1199990493
8	Feed	1199990573
5	BlinkStart	1199990803
5	BlinkEnd	1199997249
5	NoFeedLowProb	1199997329
82	BlinkStart	1199997559
82	BlinkEnd	1200000048
8	Feed	1200000128
5	BlinkStart	1200000359
5	BlinkEnd	1200006005
5	NoFeedLowProb	1200006085
82	BlinkStart	1200006315
82	BlinkEnd	1200008676
8	Feed	1200008756
5	BlinkStart	1200008987
5	BlinkEnd	1200014890
5	NoFeedLowProb	1200014970
1	BlinkStart	1200015201
1	BlinkEnd	1200018094
1	NoFeedLowProb	1200018174
4	BlinkStart	1200018404
4	BlinkEnd	1200020636
4	Feed	1200020716
1	BlinkStart	1200020946
1	BlinkEnd	1200033609
1	NoFeedLowProb	1200033689
4	BlinkStart	1200033919
4	BlinkEnd	1200036345
4	Feed	1200036425
1	BlinkStart	1200036655
1	BlinkEnd	1200048114
1	NoFeedLowProb	1200048194
4	BlinkStart	1200048426
4	BlinkEnd	1200050652
4	Feed	1200050732
1	BlinkStart	1200050962
1	BlinkEnd	1200061688
1	NoFeedLowProb	1200061768
46	BlinkStart	1200061999
46	BlinkEnd	1200064086
4	Feed	1200064167
1	BlinkStart	1200064398
1	BlinkEnd	1200076859
1	NoFeedLowProb	1200076939
46	BlinkStart	1200077169
46	BlinkEnd	1200079127
4	Feed	1200079207
1	BlinkStart	1200079437
1	BlinkEnd	1200090689
1	NoFeedLowProb	1200090769
46	BlinkStart	1200090999
46	BlinkEnd	1200093170
4	Feed	1200093250
1	BlinkStart	1200093481
1	BlinkEnd	1200105256
1	NoFeedLowProb	1200105337
46	BlinkStart	1200105567
46	BlinkEnd	1200107539
4	Feed	1200107619
1	BlinkStart	1200107849
1	BlinkEnd	1200119226
1	NoFeedLowProb	1200119306
46	BlinkStart	1200119536
46	BlinkEnd	1200121574
4	Feed	1200121654
1	BlinkStart	1200121884
1	BlinkEnd	1200133336
1	NoFeedLowProb	1200133416
46	BlinkStart	1200133647
46	BlinkEnd	1200135939
4	Feed	1200136019
1	BlinkStart	1200136249
1	BlinkEnd	1200156322
1	NoFeedLowProb	1200156402
5	BlinkStart	1200156632
5	BlinkEnd	1200167094
5	NoFeedLowProb	1200167175
8	BlinkStart	1200167406
8	BlinkEnd	1200169962
8	Feed	1200170042
5	BlinkStart	1200170273
5	BlinkEnd	1200178994
5	NoFeedLowProb	1200179074
8	BlinkStart	1200179305
8	BlinkEnd	1200181602
8	Feed	1200181683
5	BlinkStart	1200181914
5	BlinkEnd	1200187271
5	NoFeedLowProb	1200187351
8	BlinkStart	1200187582
8	BlinkEnd	1200190679
8	Feed	1200190759
5	BlinkStart	1200190989
5	BlinkEnd	1200205392
5	NoFeedLowProb	1200205472
82	BlinkStart	1200205702
82	BlinkEnd	1200208468
2	Feed	1200208548
5	BlinkStart	1200208780
5	BlinkEnd	1200213875
5	NoFeedLowProb	1200213956
82	BlinkStart	1200214187
82	BlinkEnd	1200221759
8	Feed	1200221840
5	BlinkStart	1200222071
5	BlinkEnd	1200228511
5	NoFeedLowProb	1200228591
82	BlinkStart	1200228821
82	BlinkEnd	1200232194
2	Feed	1200232274
5	BlinkStart	1200232504
5	BlinkEnd	1200246772
5	NoFeedLowProb	1200246852
82	BlinkStart	1200247082
82	BlinkEnd	1200250104
8	Feed	1200250184
5	BlinkStart	1200250415
5	BlinkEnd	1200256058
5	NoFeedLowProb	1200256138
82	BlinkStart	1200256369
82	BlinkEnd	1200259722
2	Feed	1200259802
5	BlinkStart	1200260032
5	BlinkEnd	1200264473
5	NoFeedLowProb	1200264553
82	BlinkStart	1200264783
82	BlinkEnd	1200271488
8	Feed	1200271568
5	BlinkStart	1200271798
5	BlinkEnd	1200278438
5	NoFeedLowProb	1200278518
1	BlinkStart	1200278748
1	BlinkEnd	1200281914
1	NoFeedLowProb	1200281994
4	BlinkStart	1200282224
4	BlinkEnd	1200284732
4	Feed	1200284813
1	BlinkStart	1200285045
1	BlinkEnd	1200292481
1	NoFeedLowProb	1200292561
4	BlinkStart	1200292793
4	BlinkEnd	1200295157
4	Feed	1200295237
1	BlinkStart	1200295467
1	BlinkEnd	1200301636
1	NoFeedLowProb	1200301716
4	BlinkStart	1200301947
4	BlinkEnd	1200304443
4	Feed	1200304523
1	BlinkStart	1200304753
1	BlinkEnd	1200309658
1	NoFeedLowProb	1200309738
46	BlinkStart	1200309968
46	BlinkEnd	1200312929
6	Feed	1200313009
1	BlinkStart	1200313239
1	BlinkEnd	1200328172
1	NoFeedLowProb	1200328252
46	BlinkStart	1200328483
46	BlinkEnd	1200331108
6	Feed	1200331188
1	BlinkStart	1200331419
1	BlinkEnd	1200335988
1	NoFeedLowProb	1200336068
46	BlinkStart	1200336298
46	BlinkEnd	1200340270
6	Feed	1200340351
1	BlinkStart	1200340581
1	BlinkEnd	1200356986
1	NoFeedLowProb	1200357066
46	BlinkStart	1200357296
46	BlinkEnd	1200359983
4	Feed	1200360064
1	BlinkStart	1200360294
1	BlinkEnd	1200365936
1	NoFeedLowProb	1200366016
46	BlinkStart	1200366247
46	BlinkEnd	1200370094
4	Feed	1200370174
1	BlinkStart	1200370405
1	BlinkEnd	1200375626
1	NoFeedLowProb	1200375706
46	BlinkStart	1200375936
46	BlinkEnd	1200380172
4	Feed	1200380252
1	BlinkStart	1200380482
1	BlinkEnd	1200386595
1	NoFeedLowProb	1200386675
5	BlinkStart	1200386905
5	BlinkEnd	1200390142
5	NoFeedLowProb	1200390222
2	BlinkStart	1200390452
2	BlinkEnd	1200394486
2	Feed	1200394566
5	BlinkStart	1200394796
5	BlinkEnd	1200402168
5	NoFeedLowProb	1200402249
2	BlinkStart	1200402480
2	BlinkEnd	1200405437
2	Feed	1200405517
5	BlinkStart	1200405748
5	BlinkEnd	1200411653
5	NoFeedLowProb	1200411733
2	BlinkStart	1200411965
2	BlinkEnd	1200414876
2	Feed	1200414956
5	BlinkStart	1200415186
5	BlinkEnd	1200420420
5	NoFeedLowProb	1200420500
82	BlinkStart	1200420731
82	BlinkEnd	1200423550
8	Feed	1200423630
5	BlinkStart	1200423860
5	BlinkEnd	1200435111
5	NoFeedLowProb	1200435191
82	BlinkStart	1200435422
82	BlinkEnd	1200437591
8	Feed	1200437671
5	BlinkStart	1200437901
5	BlinkEnd	1200450021
5	NoFeedLowProb	1200450101
82	BlinkStart	1200450333
82	BlinkEnd	1200452293
8	Feed	1200452373
5	BlinkStart	1200452604
5	BlinkEnd	1200463862
5	NoFeedLowProb	1200463943
82	BlinkStart	1200464173
82	BlinkEnd	1200466271
8	Feed	1200466351
5	BlinkStart	1200466581
5	BlinkEnd	1200480102
5	NoFeedLowProb	1200480182
82	BlinkStart	1200480412
82	BlinkEnd	1200483184
8	Feed	1200483264
5	BlinkStart	1200483494
5	BlinkEnd	1200495873
5	NoFeedLowProb	1200495953
82	BlinkStart	1200496185
82	BlinkEnd	1200498554
8	Feed	1200498634
5	BlinkStart	1200498864
5	BlinkEnd	1200509646
5	NoFeedLowProb	1200509726
1	BlinkStart	1200509956
1	BlinkEnd	1200515864
1	NoFeedLowProb	1200515944
4	BlinkStart	1200516175
4	BlinkEnd	1200518005
4	Feed	1200518085
1	BlinkStart	1200518315
1	BlinkEnd	1200527088
1	NoFeedLowProb	1200527168
4	BlinkStart	1200527398
4	BlinkEnd	1200529831
4	Feed	1200529911
1	BlinkStart	1200530142
1	BlinkEnd	1200536581
1	NoFeedLowProb	1200536661
4	BlinkStart	1200536891
4	BlinkEnd	1200540130
4	Feed	1200540211
1	BlinkStart	1200540441
1	BlinkEnd	1200562384
1	NoFeedLowProb	1200562465
64	BlinkStart	1200562695
64	BlinkEnd	1200565058
6	Feed	1200565138
1	BlinkStart	1200565368
1	BlinkEnd	1200573355
1	NoFeedLowProb	1200573435
64	BlinkStart	1200573665
64	BlinkEnd	1200576148
6	Feed	1200576228
1	BlinkStart	1200576459
1	BlinkEnd	1200586847
1	NoFeedLowProb	1200586927
64	BlinkStart	1200587157
64	BlinkEnd	1200589590
6	Feed	1200589670
1	BlinkStart	1200589900
1	BlinkEnd	1200596012
1	NoFeedLowProb	1200596092
64	BlinkStart	1200596322
64	BlinkEnd	1200598610
6	Feed	1200598690
1	BlinkStart	1200598920
1	BlinkEnd	1200604021
1	NoFeedLowProb	1200604101
64	BlinkStart	1200604332
64	BlinkEnd	1200606838
4	Feed	1200606919
1	BlinkStart	1200607149
1	BlinkEnd	1200611178
1	NoFeedLowProb	1200611258
64	BlinkStart	1200611489
64	BlinkEnd	1200614381
6	Feed	1200614461
1	BlinkStart	1200614692
1	BlinkEnd	1200624481
1	NoFeedLowProb	1200624561
5	BlinkStart	1200624791
5	BlinkEnd	1200628158
5	NoFeedLowProb	1200628238
2	BlinkStart	1200628469
2	BlinkEnd	1200630893
2	Feed	1200630973
5	BlinkStart	1200631204
5	BlinkEnd	1200636849
5	NoFeedLowProb	1200636929
2	BlinkStart	1200637159
2	BlinkEnd	1200640395
2	Feed	1200640475
5	BlinkStart	1200640706
5	BlinkEnd	1200651677
5	NoFeedLowProb	1200651757
2	BlinkStart	1200651988
2	BlinkEnd	1200654686
