Monday, March 30, 2020	2:19:04 PM	Game1.txt	1453488709
cued	now	1453514866
7	BlinkStart	1453514946
7	BlinkEnd	1453734755
0	NoFeedLowProb	1453734835
1	BlinkStart	1453735065
1	BlinkEnd	1453783565
1	NoFeedLowProb	1453783645
4	BlinkStart	1453783876
4	BlinkEnd	1453820595
4	Feed	1453820675
1	BlinkStart	1453820906
1	BlinkEnd	1453840990
1	NoFeedLowProb	1453841070
4	BlinkStart	1453841300
4	BlinkEnd	1453845322
4	Feed	1453845402
1	BlinkStart	1453845632
1	BlinkEnd	1453862769
1	NoFeedLowProb	1453862849
4	BlinkStart	1453863079
4	BlinkEnd	1453866514
4	Feed	1453866595
1	BlinkStart	1453866826
1	BlinkEnd	1453883561
1	NoFeedLowProb	1453883641
64	BlinkStart	1453883872
64	BlinkEnd	1453888311
4	Feed	1453888392
1	BlinkStart	1453888622
1	BlinkEnd	1453902608
1	NoFeedLowProb	1453902688
5	BlinkStart	1453902918
5	BlinkEnd	1453907558
5	NoFeedLowProb	1453907639
2	BlinkStart	1453907869
2	BlinkEnd	1453913105
2	Feed	1453913185
5	BlinkStart	1453913415
5	BlinkEnd	1453921124
5	NoFeedLowProb	1453921204
2	BlinkStart	1453921434
2	BlinkEnd	1453926401
2	Feed	1453926481
5	BlinkStart	1453926712
5	BlinkEnd	1453933289
5	NoFeedLowProb	1453933369
2	BlinkStart	1453933600
2	BlinkEnd	1453937707
2	Feed	1453937788
5	BlinkStart	1453938018
5	BlinkEnd	1453961294
5	NoFeedLowProb	1453961374
28	BlinkStart	1453961605
28	BlinkEnd	1453966104
2	Feed	1453966184
5	BlinkStart	1453966414
5	BlinkEnd	1453973522
5	NoFeedLowProb	1453973602
1	BlinkStart	1453973832
1	BlinkEnd	1453978269
1	NoFeedLowProb	1453978349
4	BlinkStart	1453978579
4	BlinkEnd	1453981947
4	Feed	1453982027
1	BlinkStart	1453982257
1	BlinkEnd	1453992775
1	NoFeedLowProb	1453992855
4	BlinkStart	1453993086
4	BlinkEnd	1453996729
4	Feed	1453996810
1	BlinkStart	1453997040
1	BlinkEnd	1454007817
1	NoFeedLowProb	1454007897
4	BlinkStart	1454008128
4	BlinkEnd	1454036163
4	Feed	1454036243
1	BlinkStart	1454036475
1	BlinkEnd	1454047717
1	NoFeedLowProb	1454047797
64	BlinkStart	1454048027
64	BlinkEnd	1454052002
6	Feed	1454052082
1	BlinkStart	1454052312
1	BlinkEnd	1454062096
1	NoFeedLowProb	1454062176
5	BlinkStart	1454062407
5	BlinkEnd	1454067034
5	NoFeedLowProb	1454067114
2	BlinkStart	1454067344
2	BlinkEnd	1454071044
2	Feed	1454071124
5	BlinkStart	1454071354
5	BlinkEnd	1454082607
5	NoFeedLowProb	1454082687
2	BlinkStart	1454082918
2	BlinkEnd	1454086355
2	Feed	1454086436
5	BlinkStart	1454086668
5	BlinkEnd	1454097390
5	NoFeedLowProb	1454097470
2	BlinkStart	1454097701
2	BlinkEnd	1454101400
2	Feed	1454101480
5	BlinkStart	1454101710
5	BlinkEnd	1454114896
5	NoFeedLowProb	1454114976
82	BlinkStart	1454115206
82	BlinkEnd	1454118834
2	Feed	1454118914
5	BlinkStart	1454119144
5	BlinkEnd	1454143368
5	NoFeedLowProb	1454143448
1	BlinkStart	1454143678
1	BlinkEnd	1454148246
1	NoFeedLowProb	1454148326
6	BlinkStart	1454148557
6	BlinkEnd	1454151997
6	Feed	1454152077
1	BlinkStart	1454152307
1	BlinkEnd	1454164564
1	NoFeedLowProb	1454164644
6	BlinkStart	1454164874
6	BlinkEnd	1454168098
6	Feed	1454168178
1	BlinkStart	1454168408
1	BlinkEnd	1454181132
1	NoFeedLowProb	1454181212
6	BlinkStart	1454181442
6	BlinkEnd	1454184874
6	Feed	1454184954
1	BlinkStart	1454185185
1	BlinkEnd	1454196851
1	NoFeedLowProb	1454196931
64	BlinkStart	1454197161
64	BlinkEnd	1454201258
6	Feed	1454201338
1	BlinkStart	1454201568
1	BlinkEnd	1454214217
1	NoFeedLowProb	1454214297
5	BlinkStart	1454214527
5	BlinkEnd	1454219498
5	NoFeedLowProb	1454219578
8	BlinkStart	1454219808
8	BlinkEnd	1454222907
8	Feed	1454222987
5	BlinkStart	1454223218
5	BlinkEnd	1454232868
5	NoFeedLowProb	1454232948
8	BlinkStart	1454233179
8	BlinkEnd	1454238279
8	Feed	1454238359
5	BlinkStart	1454238589
5	BlinkEnd	1454247638
5	NoFeedLowProb	1454247718
8	BlinkStart	1454247948
8	BlinkEnd	1454286819
8	Feed	1454286899
5	BlinkStart	1454287129
5	BlinkEnd	1454326110
5	NoFeedLowProb	1454326190
28	BlinkStart	1454326420
28	BlinkEnd	1454330922
8	Feed	1454331002
5	BlinkStart	1454331233
5	BlinkEnd	1454336884
5	NoFeedLowProb	1454336964
1	BlinkStart	1454337194
1	BlinkEnd	1454341547
1	NoFeedLowProb	1454341627
4	BlinkStart	1454341858
4	BlinkEnd	1454344301
4	Feed	1454344381
1	BlinkStart	1454344611
1	BlinkEnd	1454377111
1	NoFeedLowProb	1454377191
4	BlinkStart	1454377421
4	BlinkEnd	1454381128
4	Feed	1454381208
1	BlinkStart	1454381438
1	BlinkEnd	1454392552
1	NoFeedLowProb	1454392632
4	BlinkStart	1454392862
4	BlinkEnd	1454395899
4	Feed	1454395979
1	BlinkStart	1454396209
1	BlinkEnd	1454404848
1	NoFeedLowProb	1454404928
46	BlinkStart	1454405159
46	BlinkEnd	1454410595
6	Feed	1454410675
1	BlinkStart	1454410905
1	BlinkEnd	1454422562
1	NoFeedLowProb	1454422642
5	BlinkStart	1454422872
5	BlinkEnd	1454447364
5	NoFeedLowProb	1454447444
8	BlinkStart	1454447675
8	BlinkEnd	1454512861
8	Feed	1454512941
5	BlinkStart	1454513171
5	BlinkEnd	1454527099
5	NoFeedLowProb	1454527179
8	BlinkStart	1454527410
8	BlinkEnd	1454531580
8	Feed	1454531660
5	BlinkStart	1454531891
5	BlinkEnd	1454545682
5	NoFeedLowProb	1454545762
8	BlinkStart	1454545992
8	BlinkEnd	1454554639
8	Feed	1454554719
5	BlinkStart	1454554949
5	BlinkEnd	1454568676
5	NoFeedLowProb	1454568756
28	BlinkStart	1454568987
28	BlinkEnd	1454573564
2	Feed	1454573644
5	BlinkStart	1454573874
5	BlinkEnd	1454592270
5	NoFeedLowProb	1454592350
1	BlinkStart	1454592582
1	BlinkEnd	1454596619
1	NoFeedLowProb	1454596699
4	BlinkStart	1454596929
4	BlinkEnd	1454600030
4	Feed	1454600110
1	BlinkStart	1454600340
1	BlinkEnd	1454616679
1	NoFeedLowProb	1454616759
4	BlinkStart	1454616989
4	BlinkEnd	1454620413
4	Feed	1454620494
1	BlinkStart	1454620724
1	BlinkEnd	1454637123
1	NoFeedLowProb	1454637203
4	BlinkStart	1454637433
4	BlinkEnd	1454640600
4	Feed	1454640680
1	BlinkStart	1454640910
1	BlinkEnd	1454650621
1	NoFeedLowProb	1454650701
46	BlinkStart	1454650932
46	BlinkEnd	1454654632
6	Feed	1454654712
1	BlinkStart	1454654942
1	BlinkEnd	1454663525
1	NoFeedLowProb	1454663605
5	BlinkStart	1454663836
5	BlinkEnd	1454693077
5	NoFeedLowProb	1454693158
8	BlinkStart	1454693388
8	BlinkEnd	1454697078
8	Feed	1454697158
5	BlinkStart	1454697388
5	BlinkEnd	1454759311
5	NoFeedLowProb	1454759391
8	BlinkStart	1454759621
8	BlinkEnd	1454763727
8	Feed	1454763807
5	BlinkStart	1454764037
5	BlinkEnd	1454896529
5	NoFeedLowProb	1454896609
8	BlinkStart	1454896839
8	BlinkEnd	1454900807
8	Feed	1454900887
5	BlinkStart	1454901118
5	BlinkEnd	1454918258
5	NoFeedLowProb	1454918338
82	BlinkStart	1454918568
82	BlinkEnd	1454922473
2	Feed	1454922553
5	BlinkStart	1454922783
5	BlinkEnd	1454937701
5	NoFeedLowProb	1454937781
1	BlinkStart	1454938011
1	BlinkEnd	1454942517
1	NoFeedLowProb	1454942597
4	BlinkStart	1454942827
4	BlinkEnd	1454946526
4	Feed	1454946606
1	BlinkStart	1454946836
1	BlinkEnd	1454960699
1	NoFeedLowProb	1454960779
4	BlinkStart	1454961010
4	BlinkEnd	1454965040
4	Feed	1454965120
1	BlinkStart	1454965350
1	BlinkEnd	1455099130
1	NoFeedLowProb	1455099210
4	BlinkStart	1455099440
4	BlinkEnd	1455141772
4	Feed	1455141852
1	BlinkStart	1455142082
1	BlinkEnd	1455679439
1	NoFeedLowProb	1455679519
64	BlinkStart	1455679750
64	BlinkEnd	1455684046
6	Feed	1455684126
1	BlinkStart	1455684356
1	BlinkEnd	1455707844
1	NoFeedLowProb	1455707924
5	BlinkStart	1455708155
5	BlinkEnd	1455753831
5	NoFeedLowProb	1455753911
8	BlinkStart	1455754141
8	BlinkEnd	1455757850
8	Feed	1455757930
5	BlinkStart	1455758160
5	BlinkEnd	1455768669
5	NoFeedLowProb	1455768749
8	BlinkStart	1455768979
8	BlinkEnd	1455779103
8	Feed	1455779183
5	BlinkStart	1455779413
5	BlinkEnd	1455799418
5	NoFeedLowProb	1455799498
8	BlinkStart	1455799728
8	BlinkEnd	1455808507
8	Feed	1455808587
5	BlinkStart	1455808818
5	BlinkEnd	1455850147
5	NoFeedLowProb	1455850227
28	BlinkStart	1455850457
28	BlinkEnd	1455855429
2	Feed	1455855509
5	BlinkStart	1455855739
5	BlinkEnd	1455869406
5	NoFeedLowProb	1455869486
1	BlinkStart	1455869716
1	BlinkEnd	1455874157
1	NoFeedLowProb	1455874237
4	BlinkStart	1455874468
4	BlinkEnd	1455877486
4	Feed	1455877566
1	BlinkStart	1455877796
1	BlinkEnd	1455920196
1	NoFeedLowProb	1455920276
4	BlinkStart	1455920506
4	BlinkEnd	1455923749
4	Feed	1455923829
1	BlinkStart	1455924060
1	BlinkEnd	1455933697
1	NoFeedLowProb	1455933777
4	BlinkStart	1455934007
4	BlinkEnd	1455939713
4	Feed	1455939793
1	BlinkStart	1455940023
1	BlinkEnd	1455950878
1	NoFeedLowProb	1455950959
46	BlinkStart	1455951189
46	BlinkEnd	1455954354
6	Feed	1455954434
1	BlinkStart	1455954664
1	BlinkEnd	1455966315
1	NoFeedLowProb	1455966395
5	BlinkStart	1455966625
5	BlinkEnd	1455974404
5	NoFeedLowProb	1455974485
2	BlinkStart	1455974715
2	BlinkEnd	1455978279
2	Feed	1455978359
5	BlinkStart	1455978589
5	BlinkEnd	1455992585
5	NoFeedLowProb	1455992665
2	BlinkStart	1455992895
2	BlinkEnd	1456000672
2	Feed	1456000752
5	BlinkStart	1456000983
5	BlinkEnd	1456013043
5	NoFeedLowProb	1456013123
2	BlinkStart	1456013354
2	BlinkEnd	1456017583
2	Feed	1456017663
5	BlinkStart	1456017893
5	BlinkEnd	1456028355
5	NoFeedLowProb	1456028435
28	BlinkStart	1456028666
28	BlinkEnd	1456033169
2	Feed	1456033249
5	BlinkStart	1456033479
5	BlinkEnd	1456043329
5	NoFeedLowProb	1456043409
1	BlinkStart	1456043639
1	BlinkEnd	1456049135
1	NoFeedLowProb	1456049215
6	BlinkStart	1456049445
6	BlinkEnd	1456052741
6	Feed	1456052821
1	BlinkStart	1456053051
1	BlinkEnd	1456065857
1	NoFeedLowProb	1456065937
6	BlinkStart	1456066167
6	BlinkEnd	1456069920
6	Feed	1456070000
1	BlinkStart	1456070231
1	BlinkEnd	1456081152
1	NoFeedLowProb	1456081233
6	BlinkStart	1456081463
6	BlinkEnd	1456095323
6	Feed	1456095403
1	BlinkStart	1456095634
1	BlinkEnd	1456139499
1	NoFeedLowProb	1456139579
64	BlinkStart	1456139810
64	BlinkEnd	1456145655
4	Feed	1456145735
1	BlinkStart	1456145965
1	BlinkEnd	1456169325
1	NoFeedLowProb	1456169405
5	BlinkStart	1456169636
5	BlinkEnd	1456184286
5	NoFeedLowProb	1456184366
2	BlinkStart	1456184596
2	BlinkEnd	1456187892
2	Feed	1456187972
5	BlinkStart	1456188202
5	BlinkEnd	1456198794
5	NoFeedLowProb	1456198874
2	BlinkStart	1456199105
2	BlinkEnd	1456243710
2	Feed	1456243790
5	BlinkStart	1456244022
5	BlinkEnd	1456258357
5	NoFeedLowProb	1456258437
2	BlinkStart	1456258667
2	BlinkEnd	1456262892
2	Feed	1456262972
5	BlinkStart	1456263202
5	BlinkEnd	1456275458
5	NoFeedLowProb	1456275538
28	BlinkStart	1456275768
28	BlinkEnd	1456280737
8	Feed	1456280817
5	BlinkStart	1456281047
5	BlinkEnd	1456299195
5	NoFeedLowProb	1456299275
1	BlinkStart	1456299506
1	BlinkEnd	1456304733
1	NoFeedLowProb	1456304814
4	BlinkStart	1456305044
4	BlinkEnd	1456307670
4	Feed	1456307750
1	BlinkStart	1456307980
1	BlinkEnd	1456322044
1	NoFeedLowProb	1456322124
4	BlinkStart	1456322354
4	BlinkEnd	1456326255
4	Feed	1456326335
1	BlinkStart	1456326565
1	BlinkEnd	1456341037
1	NoFeedLowProb	1456341117
4	BlinkStart	1456341348
4	BlinkEnd	1456345909
4	Feed	1456345989
1	BlinkStart	1456346219
1	BlinkEnd	1456362023
1	NoFeedLowProb	1456362104
64	BlinkStart	1456362334
64	BlinkEnd	1456386284
6	Feed	1456386364
1	BlinkStart	1456386594
1	BlinkEnd	1457877703
1	NoFeedLowProb	1457877783
5	BlinkStart	1457878015
5	BlinkEnd	1457886665
5	NoFeedLowProb	1457886745
8	BlinkStart	1457886975
8	BlinkEnd	1457892067
8	Feed	1457892147
5	BlinkStart	1457892378
