Wednesday, April 8, 2020	12:49:37 PM	Game2.txt	2225721585
cued	now	2225742067
7	BlinkStart	2225742147
7	BlinkEnd	2225959192
0	NoFeedLowProb	2225959272
1	BlinkStart	2225959502
1	BlinkEnd	2225963259
1	NoFeedLowProb	2225963339
4	BlinkStart	2225963569
4	BlinkEnd	2225966731
4	Feed	2225966811
1	BlinkStart	2225967041
1	BlinkEnd	2225980707
1	NoFeedLowProb	2225980787
4	BlinkStart	2225981018
4	BlinkEnd	2225983847
4	Feed	2225983927
1	BlinkStart	2225984158
1	BlinkEnd	2225994406
1	NoFeedLowProb	2225994486
4	BlinkStart	2225994716
4	BlinkEnd	2225997342
4	Feed	2225997422
1	BlinkStart	2225997652
1	BlinkEnd	2226007840
1	NoFeedLowProb	2226007920
46	BlinkStart	2226008150
46	BlinkEnd	2226010983
6	Feed	2226011064
1	BlinkStart	2226011294
1	BlinkEnd	2226032913
1	NoFeedLowProb	2226032994
5	BlinkStart	2226033224
5	BlinkEnd	2226035842
5	NoFeedLowProb	2226035922
8	BlinkStart	2226036152
8	BlinkEnd	2226038784
8	Feed	2226038864
5	BlinkStart	2226039094
5	BlinkEnd	2226055026
5	NoFeedLowProb	2226055106
8	BlinkStart	2226055336
8	BlinkEnd	2226057633
8	Feed	2226057713
5	BlinkStart	2226057944
5	BlinkEnd	2226070801
5	NoFeedLowProb	2226070882
8	BlinkStart	2226071112
8	BlinkEnd	2226073406
8	Feed	2226073486
5	BlinkStart	2226073716
5	BlinkEnd	2226085576
5	NoFeedLowProb	2226085657
28	BlinkStart	2226085887
28	BlinkEnd	2226088384
8	Feed	2226088464
5	BlinkStart	2226088695
5	BlinkEnd	2226099744
5	NoFeedLowProb	2226099824
1	BlinkStart	2226100054
1	BlinkEnd	2226103017
1	NoFeedLowProb	2226103097
4	BlinkStart	2226103327
4	BlinkEnd	2226105700
4	Feed	2226105780
1	BlinkStart	2226106010
1	BlinkEnd	2226119062
1	NoFeedLowProb	2226119142
4	BlinkStart	2226119372
4	BlinkEnd	2226121399
4	Feed	2226121479
1	BlinkStart	2226121709
1	BlinkEnd	2226133434
1	NoFeedLowProb	2226133514
4	BlinkStart	2226133745
