Ver1.2	2490595078	StartFile	4/11/2020	2:24:10 PM	E:\BehavioralExperiments\Hachi\RatData_Hachi\RawData\041120A\SoundData.txt	2490595078
2490852361	Triggered	1	 PureTone-5kHz	50	2	2490852361
2490857103	Triggered	5	 PureTone-5kHz	50	2	2490857103
2490875019	Triggered	8	 NoSound	50	2	2490875019
2490894204	Triggered	5	 PureTone-5kHz	50	2	2490894204
2490898011	Triggered	8	 NoSound	50	2	2490898011
2490907502	Triggered	5	 PureTone-5kHz	50	2	2490907502
2490911445	Triggered	8	 NoSound	50	2	2490911445
2490921940	Triggered	5	 PureTone-5kHz	50	2	2490921940
2490925486	Triggered	2	 NoSound	50	2	2490925486
2490940729	Triggered	4	 NoSound	50	2	2490940729
2490947808	Triggered	5	 PureTone-5kHz	50	2	2490947808
2490951351	Triggered	1	 PureTone-5kHz	50	2	2490951351
2490954698	Triggered	4	 NoSound	50	2	2490954698
2490969001	Triggered	1	 PureTone-5kHz	50	2	2490969001
2490972073	Triggered	4	 NoSound	50	2	2490972073
2490985306	Triggered	1	 PureTone-5kHz	50	2	2490985306
2490988179	Triggered	4	 NoSound	50	2	2490988179
2491002348	Triggered	1	 PureTone-5kHz	50	2	2491002348
2491005424	Triggered	4	 NoSound	50	2	2491005424
2491018791	Triggered	1	 PureTone-5kHz	50	2	2491018791
2491021934	Triggered	5	 PureTone-5kHz	50	2	2491021934
2491025008	Triggered	2	 NoSound	50	2	2491025008
2491039179	Triggered	5	 PureTone-5kHz	50	2	2491039179
2491042319	Triggered	2	 NoSound	50	2	2491042319
2491055555	Triggered	5	 PureTone-5kHz	50	2	2491055555
2491058563	Triggered	2	 NoSound	50	2	2491058563
2491071197	Triggered	5	 PureTone-5kHz	50	2	2491071197
2491074607	Triggered	2	 NoSound	50	2	2491074607
2491088306	Triggered	5	 PureTone-5kHz	50	2	2491088306
2491102282	Triggered	1	 PureTone-5kHz	50	2	2491102282
2491105355	Triggered	6	 NoSound	50	2	2491105355
2491113772	Triggered	1	 PureTone-5kHz	50	2	2491113772
2491118919	Triggered	5	 PureTone-5kHz	50	2	2491118919
2491122128	Triggered	6	 NoSound	50	2	2491122128
2491127609	Triggered	8	 NoSound	50	2	2491127609
2491139376	Triggered	1	 PureTone-5kHz	50	2	2491139376
2491142716	Triggered	6	 NoSound	50	2	2491142716
2491147594	Triggered	1	 PureTone-5kHz	50	2	2491147594
2491150669	Triggered	4	 NoSound	50	2	2491150669
2491159026	Triggered	1	 PureTone-5kHz	50	2	2491159026
2491162372	Triggered	5	 PureTone-5kHz	50	2	2491162372
2491164974	Triggered	2	 NoSound	50	2	2491164974
2491174737	Triggered	5	 PureTone-5kHz	50	2	2491174737
2491178007	Triggered	2	 NoSound	50	2	2491178007
2491189169	Triggered	5	 PureTone-5kHz	50	2	2491189169
2491192179	Triggered	2	 NoSound	50	2	2491192179
