Saturday, April 11, 2020	5:33:34 PM	Game1.txt	2501958816
cued	now	2501967821
7	BlinkStart	2501967901
7	BlinkEnd	2502137418
0	NoFeedLowProb	2502137498
5	BlinkStart	2502137728
5	BlinkEnd	2502156812
5	NoFeedLowProb	2502156892
2	BlinkStart	2502157122
2	BlinkEnd	2502161011
2	Feed	2502161092
5	BlinkStart	2502161322
5	BlinkEnd	2502172111
5	NoFeedLowProb	2502172191
2	BlinkStart	2502172422
2	BlinkEnd	2502176319
2	Feed	2502176399
5	BlinkStart	2502176629
5	BlinkEnd	2502188557
5	NoFeedLowProb	2502188637
2	BlinkStart	2502188868
2	BlinkEnd	2502192367
2	Feed	2502192447
5	BlinkStart	2502192677
5	BlinkEnd	2502203462
5	NoFeedLowProb	2502203542
28	BlinkStart	2502203772
28	BlinkEnd	2502207735
8	Feed	2502207815
5	BlinkStart	2502208045
5	BlinkEnd	2502226456
5	NoFeedLowProb	2502226536
1	BlinkStart	2502226767
1	BlinkEnd	2502230325
1	NoFeedLowProb	2502230405
4	BlinkStart	2502230635
4	BlinkEnd	2502234000
4	Feed	2502234080
1	BlinkStart	2502234310
1	BlinkEnd	2502247570
1	NoFeedLowProb	2502247650
4	BlinkStart	2502247880
4	BlinkEnd	2502250717
4	Feed	2502250797
1	BlinkStart	2502251028
1	BlinkEnd	2502257932
1	NoFeedLowProb	2502258012
4	BlinkStart	2502258242
4	BlinkEnd	2502261210
4	Feed	2502261290
1	BlinkStart	2502261521
1	BlinkEnd	2502270711
1	NoFeedLowProb	2502270791
64	BlinkStart	2502271021
64	BlinkEnd	2502273907
6	Feed	2502273987
1	BlinkStart	2502274218
1	BlinkEnd	2502285940
1	NoFeedLowProb	2502286020
5	BlinkStart	2502286251
5	BlinkEnd	2502289208
5	NoFeedLowProb	2502289288
2	BlinkStart	2502289518
2	BlinkEnd	2502292494
2	Feed	2502292574
5	BlinkStart	2502292805
5	BlinkEnd	2502313150
5	NoFeedLowProb	2502313230
2	BlinkStart	2502313461
2	BlinkEnd	2502316161
2	Feed	2502316241
5	BlinkStart	2502316472
5	BlinkEnd	2502324180
5	NoFeedLowProb	2502324261
2	BlinkStart	2502324491
2	BlinkEnd	2502328321
2	Feed	2502328401
5	BlinkStart	2502328631
5	BlinkEnd	2502335807
5	NoFeedLowProb	2502335888
28	BlinkStart	2502336118
28	BlinkEnd	2502338747
8	Feed	2502338827
5	BlinkStart	2502339058
5	BlinkEnd	2502345367
5	NoFeedLowProb	2502345448
1	BlinkStart	2502345678
1	BlinkEnd	2502351918
1	NoFeedLowProb	2502351998
4	BlinkStart	2502352228
4	BlinkEnd	2502354852
4	Feed	2502354932
1	BlinkStart	2502355162
1	BlinkEnd	2502361534
1	NoFeedLowProb	2502361614
4	BlinkStart	2502361844
4	BlinkEnd	2502369494
4	Feed	2502369574
1	BlinkStart	2502369804
1	BlinkEnd	2502379124
1	NoFeedLowProb	2502379204
4	BlinkStart	2502379434
4	BlinkEnd	2502382190
4	Feed	2502382271
1	BlinkStart	2502382501
1	BlinkEnd	2502388678
1	NoFeedLowProb	2502388759
64	BlinkStart	2502388989
64	BlinkEnd	2502391558
6	Feed	2502391638
1	BlinkStart	2502391869
1	BlinkEnd	2502402575
1	NoFeedLowProb	2502402656
5	BlinkStart	2502402886
5	BlinkEnd	2502411798
5	NoFeedLowProb	2502411878
2	BlinkStart	2502412109
2	BlinkEnd	2502414742
2	Feed	2502414822
5	BlinkStart	2502415053
5	BlinkEnd	2502436601
5	NoFeedLowProb	2502436681
2	BlinkStart	2502436912
2	BlinkEnd	2502439740
2	Feed	2502439821
5	BlinkStart	2502440052
5	BlinkEnd	2502454987
5	NoFeedLowProb	2502455067
2	BlinkStart	2502455297
2	BlinkEnd	2502457929
2	Feed	2502458009
5	BlinkStart	2502458240
5	BlinkEnd	2502473705
5	NoFeedLowProb	2502473786
82	BlinkStart	2502474017
82	BlinkEnd	2502476641
2	Feed	2502476721
5	BlinkStart	2502476951
5	BlinkEnd	2502490072
5	NoFeedLowProb	2502490152
1	BlinkStart	2502490382
1	BlinkEnd	2502493751
1	NoFeedLowProb	2502493832
6	BlinkStart	2502494063
6	BlinkEnd	2502496625
6	Feed	2502496705
1	BlinkStart	2502496936
1	BlinkEnd	2502522623
1	NoFeedLowProb	2502522704
6	BlinkStart	2502522934
6	BlinkEnd	2502525767
6	Feed	2502525847
1	BlinkStart	2502526077
1	BlinkEnd	2502531317
1	NoFeedLowProb	2502531397
6	BlinkStart	2502531627
6	BlinkEnd	2502540604
6	Feed	2502540685
1	BlinkStart	2502540915
1	BlinkEnd	2502545417
1	NoFeedLowProb	2502545497
46	BlinkStart	2502545727
46	BlinkEnd	2502548151
4	Feed	2502548231
1	BlinkStart	2502548461
1	BlinkEnd	2502559114
1	NoFeedLowProb	2502559194
5	BlinkStart	2502559424
5	BlinkEnd	2502562396
5	NoFeedLowProb	2502562476
8	BlinkStart	2502562706
8	BlinkEnd	2502565136
8	Feed	2502565216
5	BlinkStart	2502565446
5	BlinkEnd	2502580772
5	NoFeedLowProb	2502580852
8	BlinkStart	2502581082
8	BlinkEnd	2502583514
8	Feed	2502583595
5	BlinkStart	2502583825
5	BlinkEnd	2502593338
5	NoFeedLowProb	2502593418
8	BlinkStart	2502593649
8	BlinkEnd	2502596483
8	Feed	2502596563
5	BlinkStart	2502596794
5	BlinkEnd	2502607046
5	NoFeedLowProb	2502607127
28	BlinkStart	2502607358
28	BlinkEnd	2502610518
2	Feed	2502610598
5	BlinkStart	2502610828
5	BlinkEnd	2502625827
5	NoFeedLowProb	2502625907
1	BlinkStart	2502626137
1	BlinkEnd	2502629578
1	NoFeedLowProb	2502629658
6	BlinkStart	2502629888
6	BlinkEnd	2502632373
6	Feed	2502632453
1	BlinkStart	2502632684
1	BlinkEnd	2502656101
1	NoFeedLowProb	2502656181
6	BlinkStart	2502656411
6	BlinkEnd	2502659446
6	Feed	2502659526
1	BlinkStart	2502659756
1	BlinkEnd	2502665995
1	NoFeedLowProb	2502666075
6	BlinkStart	2502666305
6	BlinkEnd	2502670003
6	Feed	2502670083
1	BlinkStart	2502670313
1	BlinkEnd	2502674555
1	NoFeedLowProb	2502674635
46	BlinkStart	2502674866
46	BlinkEnd	2502677365
4	Feed	2502677445
1	BlinkStart	2502677676
1	BlinkEnd	2502689658
1	NoFeedLowProb	2502689738
5	BlinkStart	2502689970
5	BlinkEnd	2502693265
5	NoFeedLowProb	2502693345
2	BlinkStart	2502693575
2	BlinkEnd	2502696147
2	Feed	2502696227
5	BlinkStart	2502696458
5	BlinkEnd	2502708711
5	NoFeedLowProb	2502708791
2	BlinkStart	2502709022
2	BlinkEnd	2502711854
2	Feed	2502711934
5	BlinkStart	2502712164
5	BlinkEnd	2502723412
5	NoFeedLowProb	2502723492
2	BlinkStart	2502723722
2	BlinkEnd	2502726230
2	Feed	2502726310
5	BlinkStart	2502726541
5	BlinkEnd	2502739059
5	NoFeedLowProb	2502739139
28	BlinkStart	2502739370
28	BlinkEnd	2502742803
8	Feed	2502742883
5	BlinkStart	2502743113
5	BlinkEnd	2502748213
5	NoFeedLowProb	2502748293
1	BlinkStart	2502748524
1	BlinkEnd	2502752621
1	NoFeedLowProb	2502752702
6	BlinkStart	2502752932
6	BlinkEnd	2502755579
6	Feed	2502755659
1	BlinkStart	2502755890
1	BlinkEnd	2502764384
1	NoFeedLowProb	2502764464
6	BlinkStart	2502764695
6	BlinkEnd	2502767459
