Ver1.2	2739292400	StartFile	4/14/2020	11:29:08 AM	E:\BehavioralExperiments\Hachi\RatData_Hachi\RawData\041420A\SoundData.txt	2739292400
2739615095	Triggered	2	 NoSound	50	2	2739615095
2739622445	Triggered	4	 NoSound	50	2	2739622445
2739677124	Triggered	5	 Modulated Tone	25	2	2739677124
2739693361	Triggered	2	 NoSound	50	2	2739693361
2739703187	Triggered	3	 NoSound	50	2	2739703187
2739705127	Triggered	4	 NoSound	50	2	2739705127
2739739816	Triggered	5	 Modulated Tone	25	2	2739739816
2739744095	Triggered	2	 NoSound	50	2	2739744095
2739762275	Triggered	6	 NoSound	50	2	2739762275
2739780120	Triggered	8	 NoSound	50	2	2739780120
2739826845	Triggered	5	 Modulated Tone	25	2	2739826845
2739831324	Triggered	2	 NoSound	50	2	2739831324
2739839616	Triggered	5	 Modulated Tone	25	2	2739839616
2739848370	Triggered	8	 NoSound	50	2	2739848370
2739860799	Triggered	5	 Modulated Tone	25	2	2739860799
2739865077	Triggered	8	 NoSound	50	2	2739865077
2739876105	Triggered	5	 Modulated Tone	25	2	2739876105
2739881052	Triggered	2	 NoSound	50	2	2739881052
2739886131	Triggered	4	 NoSound	50	2	2739886131
2739893217	Triggered	5	 Modulated Tone	25	2	2739893217
2739899235	Triggered	8	 NoSound	50	2	2739899235
2739915215	Triggered	5	 Modulated Tone	25	2	2739915215
2739918887	Triggered	8	 NoSound	50	2	2739918887
2739930981	Triggered	5	 Modulated Tone	25	2	2739930981
2739934590	Triggered	8	 NoSound	50	2	2739934590
2739947290	Triggered	5	 Modulated Tone	25	2	2739947290
2739953179	Triggered	1	 Modulated Tone	25	2	2739953179
2739959058	Triggered	6	 NoSound	50	2	2739959058
2739985196	Triggered	1	 Modulated Tone	25	2	2739985196
2739988334	Triggered	6	 NoSound	50	2	2739988334
2740000299	Triggered	1	 Modulated Tone	25	2	2740000299
2740003441	Triggered	6	 NoSound	50	2	2740003441
2740035525	Triggered	8	 NoSound	50	2	2740035525
2740041610	Triggered	1	 Modulated Tone	25	2	2740041610
2740045418	Triggered	4	 NoSound	50	2	2740045418
2740053769	Triggered	1	 Modulated Tone	25	2	2740053769
2740057511	Triggered	6	 NoSound	50	2	2740057511
2740067671	Triggered	1	 Modulated Tone	25	2	2740067671
2740071014	Triggered	6	 NoSound	50	2	2740071014
2740082182	Triggered	1	 Modulated Tone	25	2	2740082182
2740085391	Triggered	6	 NoSound	50	2	2740085391
2740095211	Triggered	1	 Modulated Tone	25	2	2740095211
2740098417	Triggered	6	 NoSound	50	2	2740098417
2740117405	Triggered	1	 Modulated Tone	25	2	2740117405
2740120811	Triggered	6	 NoSound	50	2	2740120811
2740129766	Triggered	1	 Modulated Tone	25	2	2740129766
2740133710	Triggered	5	 Modulated Tone	25	2	2740133710
2740136921	Triggered	8	 NoSound	50	2	2740136921
2740155106	Triggered	5	 Modulated Tone	25	2	2740155106
2740158242	Triggered	8	 NoSound	50	2	2740158242
2740176892	Triggered	5	 Modulated Tone	25	2	2740176892
2740180097	Triggered	8	 NoSound	50	2	2740180097
2740195943	Triggered	5	 Modulated Tone	25	2	2740195943
2740199080	Triggered	8	 NoSound	50	2	2740199080
2740214992	Triggered	5	 Modulated Tone	25	2	2740214992
2740217996	Triggered	8	 NoSound	50	2	2740217996
2740233572	Triggered	5	 Modulated Tone	25	2	2740233572
2740236645	Triggered	8	 NoSound	50	2	2740236645
2740254900	Triggered	5	 Modulated Tone	25	2	2740254900
2740258167	Triggered	8	 NoSound	50	2	2740258167
2740274342	Triggered	5	 Modulated Tone	25	2	2740274342
2740277551	Triggered	8	 NoSound	50	2	2740277551
2740292730	Triggered	5	 Modulated Tone	25	2	2740292730
2740295665	Triggered	8	 NoSound	50	2	2740295665
2740309969	Triggered	5	 Modulated Tone	25	2	2740309969
2740313718	Triggered	1	 Modulated Tone	25	2	2740313718
2740316788	Triggered	6	 NoSound	50	2	2740316788
2740330956	Triggered	1	 Modulated Tone	25	2	2740330956
2740334700	Triggered	6	 NoSound	50	2	2740334700
2740346472	Triggered	1	 Modulated Tone	25	2	2740346472
2740349546	Triggered	6	 NoSound	50	2	2740349546
2740361106	Triggered	1	 Modulated Tone	25	2	2740361106
2740364450	Triggered	6	 NoSound	50	2	2740364450
2740375344	Triggered	1	 Modulated Tone	25	2	2740375344
2740378754	Triggered	6	 NoSound	50	2	2740378754
2740392122	Triggered	1	 Modulated Tone	25	2	2740392122
2740395460	Triggered	6	 NoSound	50	2	2740395460
2740406960	Triggered	1	 Modulated Tone	25	2	2740406960
2740411234	Triggered	6	 NoSound	50	2	2740411234
2740433557	Triggered	1	 Modulated Tone	25	2	2740433557
2740436899	Triggered	6	 NoSound	50	2	2740436899
2740448598	Triggered	1	 Modulated Tone	25	2	2740448598
2740451941	Triggered	6	 NoSound	50	2	2740451941
2740464042	Triggered	1	 Modulated Tone	25	2	2740464042
2740467781	Triggered	5	 Modulated Tone	25	2	2740467781
2740471140	Triggered	2	 NoSound	50	2	2740471140
2740483421	Triggered	5	 Modulated Tone	25	2	2740483421
2740487499	Triggered	2	 NoSound	50	2	2740487499
2740501467	Triggered	5	 Modulated Tone	25	2	2740501468
2740505279	Triggered	2	 NoSound	50	2	2740505279
2740515372	Triggered	5	 Modulated Tone	25	2	2740515372
2740518449	Triggered	8	 NoSound	50	2	2740518449
2740537699	Triggered	5	 Modulated Tone	25	2	2740537699
