Thursday, April 16, 2020	7:58:26 PM	Game1.txt	11147557
cued	now	11157772
7	BlinkStart	11157852
7	BlinkEnd	11394536
0	NoFeedLowProb	11394616
5	BlinkStart	11394846
5	BlinkEnd	11403255
5	NoFeedLowProb	11403335
8	BlinkStart	11403565
8	BlinkEnd	11408331
8	Feed	11408412
5	BlinkStart	11408642
5	BlinkEnd	11436069
5	NoFeedLowProb	11436150
8	BlinkStart	11436380
8	BlinkEnd	11468693
8	Feed	11468773
5	BlinkStart	11469003
5	BlinkEnd	11474573
5	NoFeedLowProb	11474653
8	BlinkStart	11474884
8	BlinkEnd	11486471
8	Feed	11486551
5	BlinkStart	11486783
5	BlinkEnd	11496696
5	NoFeedLowProb	11496776
28	BlinkStart	11497006
28	BlinkEnd	11499639
2	Feed	11499719
5	BlinkStart	11499949
5	BlinkEnd	11512212
5	NoFeedLowProb	11512292
28	BlinkStart	11512523
28	BlinkEnd	11515143
2	Feed	11515223
5	BlinkStart	11515453
5	BlinkEnd	11529053
5	NoFeedLowProb	11529133
28	BlinkStart	11529363
28	BlinkEnd	11532053
2	Feed	11532133
5	BlinkStart	11532364
5	BlinkEnd	11544025
5	NoFeedLowProb	11544105
28	BlinkStart	11544335
28	BlinkEnd	11546764
2	Feed	11546844
5	BlinkStart	11547074
5	BlinkEnd	11558599
5	NoFeedLowProb	11558679
28	BlinkStart	11558909
28	BlinkEnd	11561465
2	Feed	11561545
5	BlinkStart	11561776
5	BlinkEnd	11579579
5	NoFeedLowProb	11579659
28	BlinkStart	11579889
28	BlinkEnd	11582460
2	Feed	11582541
5	BlinkStart	11582773
5	BlinkEnd	11592419
5	NoFeedLowProb	11592499
1	BlinkStart	11592729
1	BlinkEnd	11596024
1	NoFeedLowProb	11596104
6	BlinkStart	11596335
6	BlinkEnd	11598962
6	Feed	11599042
1	BlinkStart	11599273
1	BlinkEnd	11604380
1	NoFeedLowProb	11604460
6	BlinkStart	11604691
6	BlinkEnd	11608256
6	Feed	11608336
1	BlinkStart	11608566
1	BlinkEnd	11613474
1	NoFeedLowProb	11613554
6	BlinkStart	11613784
6	BlinkEnd	11616613
6	Feed	11616695
1	BlinkStart	11616925
1	BlinkEnd	11621893
1	NoFeedLowProb	11621973
46	BlinkStart	11622203
46	BlinkEnd	11625033
4	Feed	11625113
1	BlinkStart	11625345
1	BlinkEnd	11634329
1	NoFeedLowProb	11634409
46	BlinkStart	11634639
46	BlinkEnd	11637338
4	Feed	11637418
1	BlinkStart	11637649
1	BlinkEnd	11646155
1	NoFeedLowProb	11646235
46	BlinkStart	11646465
46	BlinkEnd	11648895
4	Feed	11648975
1	BlinkStart	11649206
1	BlinkEnd	11655648
1	NoFeedLowProb	11655729
46	BlinkStart	11655959
46	BlinkEnd	11658785
6	Feed	11658865
1	BlinkStart	11659096
1	BlinkEnd	11663271
1	NoFeedLowProb	11663351
46	BlinkStart	11663581
46	BlinkEnd	11666277
4	Feed	11666357
1	BlinkStart	11666588
1	BlinkEnd	11672829
1	NoFeedLowProb	11672909
46	BlinkStart	11673139
46	BlinkEnd	11675967
4	Feed	11676047
1	BlinkStart	11676277
1	BlinkEnd	11681916
1	NoFeedLowProb	11681996
5	BlinkStart	11682228
5	BlinkEnd	11687796
5	NoFeedLowProb	11687876
2	BlinkStart	11688107
2	BlinkEnd	11690534
2	Feed	11690614
5	BlinkStart	11690845
5	BlinkEnd	11697683
5	NoFeedLowProb	11697763
2	BlinkStart	11697993
2	BlinkEnd	11700357
2	Feed	11700437
5	BlinkStart	11700667
5	BlinkEnd	11707847
5	NoFeedLowProb	11707927
2	BlinkStart	11708158
2	BlinkEnd	11710459
2	Feed	11710540
5	BlinkStart	11710770
5	BlinkEnd	11716467
5	NoFeedLowProb	11716548
28	BlinkStart	11716779
28	BlinkEnd	11719411
8	Feed	11719492
5	BlinkStart	11719722
5	BlinkEnd	11728909
5	NoFeedLowProb	11728990
28	BlinkStart	11729221
28	BlinkEnd	11731783
2	Feed	11731863
5	BlinkStart	11732093
5	BlinkEnd	11739125
5	NoFeedLowProb	11739205
28	BlinkStart	11739437
28	BlinkEnd	11741677
2	Feed	11741757
5	BlinkStart	11741987
5	BlinkEnd	11747217
5	NoFeedLowProb	11747298
28	BlinkStart	11747528
28	BlinkEnd	11749895
2	Feed	11749975
5	BlinkStart	11750206
5	BlinkEnd	11757039
5	NoFeedLowProb	11757121
28	BlinkStart	11757352
28	BlinkEnd	11759716
2	Feed	11759796
5	BlinkStart	11760027
5	BlinkEnd	11765535
5	NoFeedLowProb	11765615
28	BlinkStart	11765846
28	BlinkEnd	11768939
2	Feed	11769019
5	BlinkStart	11769250
5	BlinkEnd	11774628
5	NoFeedLowProb	11774708
1	BlinkStart	11774940
1	BlinkEnd	11777631
1	NoFeedLowProb	11777711
6	BlinkStart	11777941
6	BlinkEnd	11780440
6	Feed	11780521
1	BlinkStart	11780752
1	BlinkEnd	11786318
1	NoFeedLowProb	11786398
6	BlinkStart	11786628
6	BlinkEnd	11789254
6	Feed	11789334
1	BlinkStart	11789564
1	BlinkEnd	11794740
1	NoFeedLowProb	11794820
6	BlinkStart	11795051
6	BlinkEnd	11797757
6	Feed	11797837
1	BlinkStart	11798067
1	BlinkEnd	11803362
1	NoFeedLowProb	11803442
46	BlinkStart	11803673
46	BlinkEnd	11806041
4	Feed	11806121
1	BlinkStart	11806352
1	BlinkEnd	11822814
1	NoFeedLowProb	11822894
46	BlinkStart	11823126
46	BlinkEnd	11825358
4	Feed	11825438
1	BlinkStart	11825668
1	BlinkEnd	11838722
1	NoFeedLowProb	11838802
46	BlinkStart	11839033
46	BlinkEnd	11841200
4	Feed	11841280
1	BlinkStart	11841510
1	BlinkEnd	11855033
1	NoFeedLowProb	11855113
46	BlinkStart	11855343
46	BlinkEnd	11857432
4	Feed	11857513
1	BlinkStart	11857744
1	BlinkEnd	11870406
1	NoFeedLowProb	11870486
46	BlinkStart	11870716
46	BlinkEnd	11872807
4	Feed	11872888
1	BlinkStart	11873118
1	BlinkEnd	11887779
1	NoFeedLowProb	11887859
46	BlinkStart	11888089
46	BlinkEnd	11890320
4	Feed	11890400
1	BlinkStart	11890630
1	BlinkEnd	11905030
1	NoFeedLowProb	11905110
5	BlinkStart	11905341
5	BlinkEnd	11908236
5	NoFeedLowProb	11908316
8	BlinkStart	11908547
8	BlinkEnd	11910982
8	Feed	11911062
5	BlinkStart	11911293
5	BlinkEnd	11923145
5	NoFeedLowProb	11923225
8	BlinkStart	11923455
8	BlinkEnd	11925815
8	Feed	11925895
5	BlinkStart	11926125
5	BlinkEnd	11937914
5	NoFeedLowProb	11937994
8	BlinkStart	11938225
8	BlinkEnd	11940596
8	Feed	11940676
5	BlinkStart	11940906
5	BlinkEnd	11954765
5	NoFeedLowProb	11954845
82	BlinkStart	11955075
82	BlinkEnd	11957695
8	Feed	11957775
5	BlinkStart	11958006
5	BlinkEnd	11971997
5	NoFeedLowProb	11972077
82	BlinkStart	11972307
82	BlinkEnd	11975556
8	Feed	11975637
5	BlinkStart	11975868
5	BlinkEnd	11987988
5	NoFeedLowProb	11988068
82	BlinkStart	11988298
82	BlinkEnd	11990716
8	Feed	11990796
5	BlinkStart	11991028
5	BlinkEnd	12002417
5	NoFeedLowProb	12002498
82	BlinkStart	12002728
82	BlinkEnd	12005232
8	Feed	12005313
5	BlinkStart	12005544
5	BlinkEnd	12016190
5	NoFeedLowProb	12016270
82	BlinkStart	12016501
82	BlinkEnd	12019468
8	Feed	12019549
5	BlinkStart	12019780
5	BlinkEnd	12032368
5	NoFeedLowProb	12032448
82	BlinkStart	12032678
82	BlinkEnd	12035508
8	Feed	12035588
5	BlinkStart	12035818
5	BlinkEnd	12048877
5	NoFeedLowProb	12048957
1	BlinkStart	12049188
1	BlinkEnd	12055552
1	NoFeedLowProb	12055632
4	BlinkStart	12055863
4	BlinkEnd	12057887
4	Feed	12057967
1	BlinkStart	12058198
1	BlinkEnd	12064975
1	NoFeedLowProb	12065055
4	BlinkStart	12065285
4	BlinkEnd	12067993
4	Feed	12068074
1	BlinkStart	12068305
1	BlinkEnd	12093916
1	NoFeedLowProb	12093996
4	BlinkStart	12094226
4	BlinkEnd	12096859
4	Feed	12096939
1	BlinkStart	12097169
1	BlinkEnd	12107096
1	NoFeedLowProb	12107176
46	BlinkStart	12107407
46	BlinkEnd	12110093
6	Feed	12110173
1	BlinkStart	12110403
1	BlinkEnd	12119851
1	NoFeedLowProb	12119932
46	BlinkStart	12120163
46	BlinkEnd	12122531
6	Feed	12122611
1	BlinkStart	12122842
1	BlinkEnd	12132151
1	NoFeedLowProb	12132232
46	BlinkStart	12132463
46	BlinkEnd	12134966
6	Feed	12135046
1	BlinkStart	12135276
1	BlinkEnd	12144388
1	NoFeedLowProb	12144468
46	BlinkStart	12144699
46	BlinkEnd	12147265
6	Feed	12147345
1	BlinkStart	12147575
1	BlinkEnd	12156886
1	NoFeedLowProb	12156966
46	BlinkStart	12157198
46	BlinkEnd	12159762
6	Feed	12159842
1	BlinkStart	12160072
1	BlinkEnd	12169451
1	NoFeedLowProb	12169531
46	BlinkStart	12169761
46	BlinkEnd	12172268
6	Feed	12172348
1	BlinkStart	12172578
1	BlinkEnd	12181477
1	NoFeedLowProb	12181557
5	BlinkStart	12181787
5	BlinkEnd	12184951
5	NoFeedLowProb	12185031
8	BlinkStart	12185263
8	BlinkEnd	12187300
8	Feed	12187380
5	BlinkStart	12187610
5	BlinkEnd	12204150
5	NoFeedLowProb	12204230
8	BlinkStart	12204460
8	BlinkEnd	12206678
8	Feed	12206758
5	BlinkStart	12206989
5	BlinkEnd	12221594
5	NoFeedLowProb	12221674
8	BlinkStart	12221904
8	BlinkEnd	12224466
8	Feed	12224546
5	BlinkStart	12224777
5	BlinkEnd	12238774
5	NoFeedLowProb	12238854
28	BlinkStart	12239084
28	BlinkEnd	12241304
8	Feed	12241384
5	BlinkStart	12241615
5	BlinkEnd	12255805
5	NoFeedLowProb	12255885
28	BlinkStart	12256116
28	BlinkEnd	12258285
8	Feed	12258365
5	BlinkStart	12258595
5	BlinkEnd	12275131
5	NoFeedLowProb	12275211
28	BlinkStart	12275442
28	BlinkEnd	12277665
8	Feed	12277745
5	BlinkStart	12277975
5	BlinkEnd	12292242
5	NoFeedLowProb	12292322
28	BlinkStart	12292553
28	BlinkEnd	12294909
8	Feed	12294989
5	BlinkStart	12295219
5	BlinkEnd	12311750
5	NoFeedLowProb	12311830
28	BlinkStart	12312060
28	BlinkEnd	12314833
8	Feed	12314913
5	BlinkStart	12315143
5	BlinkEnd	12329338
5	NoFeedLowProb	12329419
28	BlinkStart	12329649
28	BlinkEnd	12331934
8	Feed	12332015
5	BlinkStart	12332246
5	BlinkEnd	12350989
5	NoFeedLowProb	12351070
1	BlinkStart	12351300
1	BlinkEnd	12354994
1	NoFeedLowProb	12355074
4	BlinkStart	12355304
4	BlinkEnd	12357536
4	Feed	12357616
1	BlinkStart	12357847
1	BlinkEnd	12367967
1	NoFeedLowProb	12368047
4	BlinkStart	12368278
4	BlinkEnd	12370715
4	Feed	12370795
1	BlinkStart	12371025
1	BlinkEnd	12381742
1	NoFeedLowProb	12381822
4	BlinkStart	12382052
4	BlinkEnd	12384541
4	Feed	12384621
1	BlinkStart	12384851
1	BlinkEnd	12395570
1	NoFeedLowProb	12395650
64	BlinkStart	12395881
64	BlinkEnd	12398248
4	Feed	12398329
1	BlinkStart	12398560
1	BlinkEnd	12410676
1	NoFeedLowProb	12410756
