Saturday, April 18, 2020	8:35:57 PM	Game1.txt	186198560
cued	now	186206726
7	BlinkStart	186206806
7	BlinkEnd	186311331
0	NoFeedLowProb	186311411
1	BlinkStart	186311641
1	BlinkEnd	186313843
1	NoFeedLowProb	186313923
4	BlinkStart	186314153
4	BlinkEnd	186317443
4	Feed	186317523
1	BlinkStart	186317753
1	BlinkEnd	186324536
1	NoFeedLowProb	186324616
4	BlinkStart	186324846
4	BlinkEnd	186327543
4	Feed	186327623
1	BlinkStart	186327853
1	BlinkEnd	186333893
1	NoFeedLowProb	186333974
4	BlinkStart	186334204
4	BlinkEnd	186337365
4	Feed	186337445
1	BlinkStart	186337675
1	BlinkEnd	186343717
1	NoFeedLowProb	186343798
46	BlinkStart	186344029
46	BlinkEnd	186346662
6	Feed	186346742
1	BlinkStart	186346972
1	BlinkEnd	186352538
1	NoFeedLowProb	186352618
46	BlinkStart	186352849
46	BlinkEnd	186371065
6	Feed	186371145
1	BlinkStart	186371375
1	BlinkEnd	186376671
1	NoFeedLowProb	186376751
46	BlinkStart	186376981
46	BlinkEnd	186381814
4	Feed	186381894
1	BlinkStart	186382124
1	BlinkEnd	186393316
1	NoFeedLowProb	186393396
46	BlinkStart	186393626
46	BlinkEnd	186396185
4	Feed	186396265
1	BlinkStart	186396495
1	BlinkEnd	186402671
1	NoFeedLowProb	186402751
46	BlinkStart	186402982
46	BlinkEnd	186405678
6	Feed	186405758
1	BlinkStart	186405990
1	BlinkEnd	186413630
1	NoFeedLowProb	186413710
46	BlinkStart	186413940
46	BlinkEnd	186417050
4	Feed	186417130
1	BlinkStart	186417360
1	BlinkEnd	186433158
1	NoFeedLowProb	186433239
5	BlinkStart	186433469
5	BlinkEnd	186436702
5	NoFeedLowProb	186436783
2	BlinkStart	186437014
2	BlinkEnd	186439502
2	Feed	186439582
5	BlinkStart	186439812
5	BlinkEnd	186444651
5	NoFeedLowProb	186444732
2	BlinkStart	186444962
2	BlinkEnd	186456740
2	Feed	186456820
5	BlinkStart	186457050
5	BlinkEnd	186465973
5	NoFeedLowProb	186466053
2	BlinkStart	186466283
2	BlinkEnd	186469180
2	Feed	186469260
5	BlinkStart	186469490
5	BlinkEnd	186473399
5	NoFeedLowProb	186473479
82	BlinkStart	186473709
82	BlinkEnd	186476665
8	Feed	186476745
5	BlinkStart	186476975
5	BlinkEnd	186494972
5	NoFeedLowProb	186495053
82	BlinkStart	186495284
82	BlinkEnd	186497923
2	Feed	186498003
5	BlinkStart	186498233
5	BlinkEnd	186502659
5	NoFeedLowProb	186502739
82	BlinkStart	186502969
82	BlinkEnd	186505611
8	Feed	186505691
5	BlinkStart	186505922
5	BlinkEnd	186513026
5	NoFeedLowProb	186513106
82	BlinkStart	186513336
82	BlinkEnd	186516106
2	Feed	186516187
5	BlinkStart	186516417
5	BlinkEnd	186523715
5	NoFeedLowProb	186523795
82	BlinkStart	186524025
82	BlinkEnd	186526535
8	Feed	186526615
5	BlinkStart	186526845
5	BlinkEnd	186535615
5	NoFeedLowProb	186535695
82	BlinkStart	186535926
82	BlinkEnd	186539834
8	Feed	186539915
5	BlinkStart	186540145
5	BlinkEnd	186547920
5	NoFeedLowProb	186548000
1	BlinkStart	186548231
1	BlinkEnd	186551322
1	NoFeedLowProb	186551402
6	BlinkStart	186551633
6	BlinkEnd	186554198
6	Feed	186554278
1	BlinkStart	186554509
1	BlinkEnd	186561414
1	NoFeedLowProb	186561494
6	BlinkStart	186561724
6	BlinkEnd	186565625
6	Feed	186565705
1	BlinkStart	186565936
1	BlinkEnd	186574451
1	NoFeedLowProb	186574531
6	BlinkStart	186574763
6	BlinkEnd	186577334
6	Feed	186577414
1	BlinkStart	186577646
1	BlinkEnd	186583544
1	NoFeedLowProb	186583625
46	BlinkStart	186583855
46	BlinkEnd	186588019
4	Feed	186588099
1	BlinkStart	186588329
1	BlinkEnd	186598985
1	NoFeedLowProb	186599066
46	BlinkStart	186599297
46	BlinkEnd	186601323
4	Feed	186601403
1	BlinkStart	186601634
1	BlinkEnd	186611696
1	NoFeedLowProb	186611776
46	BlinkStart	186612006
46	BlinkEnd	186614219
4	Feed	186614299
1	BlinkStart	186614529
1	BlinkEnd	186624443
1	NoFeedLowProb	186624524
46	BlinkStart	186624755
46	BlinkEnd	186626860
4	Feed	186626940
1	BlinkStart	186627170
1	BlinkEnd	186636879
1	NoFeedLowProb	186636959
46	BlinkStart	186637189
46	BlinkEnd	186639559
4	Feed	186639639
1	BlinkStart	186639869
1	BlinkEnd	186650645
1	NoFeedLowProb	186650725
46	BlinkStart	186650955
46	BlinkEnd	186652987
4	Feed	186653067
1	BlinkStart	186653298
1	BlinkEnd	186661209
1	NoFeedLowProb	186661289
5	BlinkStart	186661520
5	BlinkEnd	186664823
5	NoFeedLowProb	186664903
2	BlinkStart	186665134
2	BlinkEnd	186667640
2	Feed	186667720
5	BlinkStart	186667952
5	BlinkEnd	186678192
5	NoFeedLowProb	186678273
2	BlinkStart	186678503
2	BlinkEnd	186680872
2	Feed	186680952
5	BlinkStart	186681183
5	BlinkEnd	186689750
5	NoFeedLowProb	186689830
2	BlinkStart	186690060
2	BlinkEnd	186692233
2	Feed	186692313
5	BlinkStart	186692543
5	BlinkEnd	186701451
5	NoFeedLowProb	186701531
28	BlinkStart	186701761
28	BlinkEnd	186704530
8	Feed	186704610
5	BlinkStart	186704840
5	BlinkEnd	186711818
5	NoFeedLowProb	186711899
28	BlinkStart	186712129
28	BlinkEnd	186731598
2	Feed	186731678
5	BlinkStart	186731908
5	BlinkEnd	186742631
5	NoFeedLowProb	186742711
28	BlinkStart	186742941
28	BlinkEnd	186745299
2	Feed	186745380
5	BlinkStart	186745612
5	BlinkEnd	186754991
5	NoFeedLowProb	186755071
28	BlinkStart	186755302
28	BlinkEnd	186757458
2	Feed	186757538
5	BlinkStart	186757768
5	BlinkEnd	186769364
5	NoFeedLowProb	186769444
28	BlinkStart	186769674
28	BlinkEnd	186771896
2	Feed	186771976
5	BlinkStart	186772208
5	BlinkEnd	186781791
5	NoFeedLowProb	186781872
28	BlinkStart	186782103
28	BlinkEnd	186784408
2	Feed	186784489
5	BlinkStart	186784719
5	BlinkEnd	186794619
5	NoFeedLowProb	186794699
1	BlinkStart	186794929
1	BlinkEnd	186798244
1	NoFeedLowProb	186798324
4	BlinkStart	186798554
4	BlinkEnd	186801114
4	Feed	186801195
1	BlinkStart	186801425
1	BlinkEnd	186820359
1	NoFeedLowProb	186820439
4	BlinkStart	186820669
4	BlinkEnd	186823164
4	Feed	186823244
1	BlinkStart	186823474
1	BlinkEnd	186838942
1	NoFeedLowProb	186839023
4	BlinkStart	186839253
4	BlinkEnd	186841284
4	Feed	186841365
1	BlinkStart	186841595
1	BlinkEnd	186858796
1	NoFeedLowProb	186858876
46	BlinkStart	186859106
46	BlinkEnd	186861867
4	Feed	186861947
1	BlinkStart	186862177
1	BlinkEnd	186876302
1	NoFeedLowProb	186876382
46	BlinkStart	186876612
46	BlinkEnd	186878977
4	Feed	186879058
1	BlinkStart	186879289
1	BlinkEnd	186892891
1	NoFeedLowProb	186892971
46	BlinkStart	186893201
46	BlinkEnd	186895555
4	Feed	186895636
1	BlinkStart	186895868
1	BlinkEnd	186912269
1	NoFeedLowProb	186912349
46	BlinkStart	186912581
46	BlinkEnd	186915204
4	Feed	186915284
1	BlinkStart	186915514
1	BlinkEnd	186927443
1	NoFeedLowProb	186927524
46	BlinkStart	186927755
46	BlinkEnd	186930178
4	Feed	186930258
1	BlinkStart	186930488
1	BlinkEnd	186944423
1	NoFeedLowProb	186944504
46	BlinkStart	186944736
46	BlinkEnd	186947024
4	Feed	186947105
1	BlinkStart	186947335
1	BlinkEnd	186960118
1	NoFeedLowProb	186960198
5	BlinkStart	186960428
5	BlinkEnd	186963394
5	NoFeedLowProb	186963474
2	BlinkStart	186963705
2	BlinkEnd	186966399
2	Feed	186966479
5	BlinkStart	186966710
5	BlinkEnd	186976832
5	NoFeedLowProb	186976912
2	BlinkStart	186977142
2	BlinkEnd	186979447
2	Feed	186979527
5	BlinkStart	186979757
5	BlinkEnd	186990202
5	NoFeedLowProb	186990282
2	BlinkStart	186990512
2	BlinkEnd	186992947
2	Feed	186993027
5	BlinkStart	186993257
5	BlinkEnd	187005312
5	NoFeedLowProb	187005393
28	BlinkStart	187005623
28	BlinkEnd	187007910
2	Feed	187007990
5	BlinkStart	187008221
5	BlinkEnd	187019352
5	NoFeedLowProb	187019432
28	BlinkStart	187019663
28	BlinkEnd	187022146
2	Feed	187022227
5	BlinkStart	187022457
5	BlinkEnd	187033591
5	NoFeedLowProb	187033671
28	BlinkStart	187033901
28	BlinkEnd	187036385
2	Feed	187036465
5	BlinkStart	187036696
5	BlinkEnd	187048086
5	NoFeedLowProb	187048166
28	BlinkStart	187048396
28	BlinkEnd	187051690
2	Feed	187051770
5	BlinkStart	187052001
5	BlinkEnd	187061928
5	NoFeedLowProb	187062009
28	BlinkStart	187062239
28	BlinkEnd	187065064
8	Feed	187065144
5	BlinkStart	187065374
5	BlinkEnd	187077093
5	NoFeedLowProb	187077173
28	BlinkStart	187077403
28	BlinkEnd	187079898
2	Feed	187079978
5	BlinkStart	187080208
5	BlinkEnd	187091141
5	NoFeedLowProb	187091221
1	BlinkStart	187091451
1	BlinkEnd	187095141
1	NoFeedLowProb	187095221
4	BlinkStart	187095453
4	BlinkEnd	187097820
4	Feed	187097900
1	BlinkStart	187098130
1	BlinkEnd	187171069
1	NoFeedLowProb	187171149
4	BlinkStart	187171381
4	BlinkEnd	187181301
4	Feed	187181381
1	BlinkStart	187181611
1	BlinkEnd	187190726
1	NoFeedLowProb	187190806
4	BlinkStart	187191036
4	BlinkEnd	187197141
4	Feed	187197221
1	BlinkStart	187197452
1	BlinkEnd	187204426
1	NoFeedLowProb	187204506
64	BlinkStart	187204736
64	BlinkEnd	187207771
6	Feed	187207851
1	BlinkStart	187208081
1	BlinkEnd	187224209
1	NoFeedLowProb	187224289
64	BlinkStart	187224519
64	BlinkEnd	187227882
6	Feed	187227963
1	BlinkStart	187228195
1	BlinkEnd	187237647
1	NoFeedLowProb	187237727
64	BlinkStart	187237957
64	BlinkEnd	187241393
4	Feed	187241474
1	BlinkStart	187241704
1	BlinkEnd	187248670
1	NoFeedLowProb	187248750
64	BlinkStart	187248980
64	BlinkEnd	187292397
6	Feed	187292477
1	BlinkStart	187292708
1	BlinkEnd	187303752
1	NoFeedLowProb	187303832
64	BlinkStart	187304064
64	BlinkEnd	187307905
6	Feed	187307985
1	BlinkStart	187308216
1	BlinkEnd	187321203
1	NoFeedLowProb	187321283
64	BlinkStart	187321513
64	BlinkEnd	187325477
6	Feed	187325557
1	BlinkStart	187325787
1	BlinkEnd	187335766
1	NoFeedLowProb	187335846
5	BlinkStart	187336076
5	BlinkEnd	187341114
5	NoFeedLowProb	187341194
2	BlinkStart	187341425
2	BlinkEnd	187344192
2	Feed	187344272
5	BlinkStart	187344502
5	BlinkEnd	187359909
5	NoFeedLowProb	187359990
2	BlinkStart	187360220
2	BlinkEnd	187363104
2	Feed	187363184
5	BlinkStart	187363415
5	BlinkEnd	187375871
5	NoFeedLowProb	187375951
2	BlinkStart	187376182
2	BlinkEnd	187378742
2	Feed	187378822
5	BlinkStart	187379053
5	BlinkEnd	187390240
5	NoFeedLowProb	187390320
82	BlinkStart	187390550
82	BlinkEnd	187393450
2	Feed	187393530
5	BlinkStart	187393761
5	BlinkEnd	187405143
5	NoFeedLowProb	187405223
82	BlinkStart	187405453
82	BlinkEnd	187408355
2	Feed	187408435
5	BlinkStart	187408666
5	BlinkEnd	187420920
5	NoFeedLowProb	187421000
82	BlinkStart	187421231
82	BlinkEnd	187423933
2	Feed	187424013
5	BlinkStart	187424243
5	BlinkEnd	187437374
5	NoFeedLowProb	187437454
82	BlinkStart	187437684
82	BlinkEnd	187440385
2	Feed	187440465
5	BlinkStart	187440696
5	BlinkEnd	187455355
5	NoFeedLowProb	187455435
82	BlinkStart	187455665
82	BlinkEnd	187458287
2	Feed	187458367
5	BlinkStart	187458597
5	BlinkEnd	187471588
5	NoFeedLowProb	187471668
82	BlinkStart	187471898
82	BlinkEnd	187474536
2	Feed	187474617
5	BlinkStart	187474847
5	BlinkEnd	187487706
5	NoFeedLowProb	187487787
1	BlinkStart	187488017
1	BlinkEnd	187491646
1	NoFeedLowProb	187491726
4	BlinkStart	187491956
4	BlinkEnd	187494583
4	Feed	187494663
1	BlinkStart	187494894
1	BlinkEnd	187506275
1	NoFeedLowProb	187506355
4	BlinkStart	187506585
4	BlinkEnd	187509147
4	Feed	187509227
1	BlinkStart	187509457
1	BlinkEnd	187521459
1	NoFeedLowProb	187521539
4	BlinkStart	187521769
4	BlinkEnd	187524121
4	Feed	187524201
1	BlinkStart	187524431
1	BlinkEnd	187536966
1	NoFeedLowProb	187537046
46	BlinkStart	187537277
46	BlinkEnd	187539707
4	Feed	187539787
1	BlinkStart	187540018
1	BlinkEnd	187555411
1	NoFeedLowProb	187555491
46	BlinkStart	187555722
46	BlinkEnd	187560424
4	Feed	187560504
1	BlinkStart	187560735
1	BlinkEnd	187570443
1	NoFeedLowProb	187570523
46	BlinkStart	187570753
46	BlinkEnd	187573593
4	Feed	187573674
1	BlinkStart	187573905
1	BlinkEnd	187585700
1	NoFeedLowProb	187585780
46	BlinkStart	187586010
46	BlinkEnd	187589363
4	Feed	187589443
1	BlinkStart	187589674
1	BlinkEnd	187601601
1	NoFeedLowProb	187601682
46	BlinkStart	187601913
46	BlinkEnd	187604345
4	Feed	187604425
1	BlinkStart	187604657
1	BlinkEnd	187614232
1	NoFeedLowProb	187614312
46	BlinkStart	187614542
46	BlinkEnd	187618300
6	Feed	187618380
1	BlinkStart	187618610
1	BlinkEnd	187631144
1	NoFeedLowProb	187631225
5	BlinkStart	187631455
5	BlinkEnd	187792768
0	NoFeedLowProb	187792848
