Sunday, April 19, 2020	6:14:32 PM	Game1.txt	264114114
cued	now	264124334
7	BlinkStart	264124414
7	BlinkEnd	264348548
0	NoFeedLowProb	264348628
5	BlinkStart	264348858
5	BlinkEnd	264349453
5	NoFeedLowProb	264349533
2	BlinkStart	264349763
2	BlinkEnd	264355068
2	Feed	264355148
5	BlinkStart	264355378
5	BlinkEnd	264381603
5	NoFeedLowProb	264381683
2	BlinkStart	264381913
2	BlinkEnd	264385084
2	Feed	264385164
5	BlinkStart	264385394
5	BlinkEnd	264397375
5	NoFeedLowProb	264397455
2	BlinkStart	264397685
2	BlinkEnd	264400929
2	Feed	264401009
5	BlinkStart	264401239
5	BlinkEnd	264426314
5	NoFeedLowProb	264426394
28	BlinkStart	264426624
28	BlinkEnd	264429458
2	Feed	264429538
5	BlinkStart	264429768
5	BlinkEnd	264441293
5	NoFeedLowProb	264441373
28	BlinkStart	264441603
28	BlinkEnd	264444830
2	Feed	264444910
5	BlinkStart	264445140
5	BlinkEnd	264455265
5	NoFeedLowProb	264455345
28	BlinkStart	264455576
28	BlinkEnd	264458140
2	Feed	264458220
5	BlinkStart	264458451
5	BlinkEnd	264467968
5	NoFeedLowProb	264468048
28	BlinkStart	264468278
28	BlinkEnd	264470962
2	Feed	264471042
5	BlinkStart	264471273
5	BlinkEnd	264480859
5	NoFeedLowProb	264480939
28	BlinkStart	264481170
28	BlinkEnd	264483936
2	Feed	264484016
5	BlinkStart	264484246
5	BlinkEnd	264495235
5	NoFeedLowProb	264495315
28	BlinkStart	264495545
28	BlinkEnd	264498250
2	Feed	264498330
5	BlinkStart	264498560
5	BlinkEnd	264510212
5	NoFeedLowProb	264510292
1	BlinkStart	264510522
1	BlinkEnd	264515555
1	NoFeedLowProb	264515635
4	BlinkStart	264515865
4	BlinkEnd	264519901
4	Feed	264519981
1	BlinkStart	264520211
1	BlinkEnd	264526911
1	NoFeedLowProb	264526991
4	BlinkStart	264527222
4	BlinkEnd	264547500
4	Feed	264547580
1	BlinkStart	264547810
1	BlinkEnd	264553313
1	NoFeedLowProb	264553393
4	BlinkStart	264553624
4	BlinkEnd	264565080
4	Feed	264565160
1	BlinkStart	264565391
1	BlinkEnd	264572700
1	NoFeedLowProb	264572780
64	BlinkStart	264573010
64	BlinkEnd	264575845
6	Feed	264575925
1	BlinkStart	264576155
1	BlinkEnd	264592293
1	NoFeedLowProb	264592373
64	BlinkStart	264592603
64	BlinkEnd	264596022
6	Feed	264596102
1	BlinkStart	264596333
1	BlinkEnd	264603782
1	NoFeedLowProb	264603863
64	BlinkStart	264604093
64	BlinkEnd	264607463
4	Feed	264607543
1	BlinkStart	264607773
1	BlinkEnd	264612335
1	NoFeedLowProb	264612415
64	BlinkStart	264612646
64	BlinkEnd	264615678
6	Feed	264615758
1	BlinkStart	264615988
1	BlinkEnd	264636731
1	NoFeedLowProb	264636811
64	BlinkStart	264637041
64	BlinkEnd	264641223
6	Feed	264641303
1	BlinkStart	264641534
1	BlinkEnd	264648163
1	NoFeedLowProb	264648243
64	BlinkStart	264648474
64	BlinkEnd	264652580
6	Feed	264652661
1	BlinkStart	264652892
1	BlinkEnd	264660730
1	NoFeedLowProb	264660810
5	BlinkStart	264661041
5	BlinkEnd	264664010
5	NoFeedLowProb	264664090
8	BlinkStart	264664321
8	BlinkEnd	264667077
8	Feed	264667157
5	BlinkStart	264667388
5	BlinkEnd	264679374
5	NoFeedLowProb	264679454
8	BlinkStart	264679685
8	BlinkEnd	264682186
8	Feed	264682266
5	BlinkStart	264682496
5	BlinkEnd	264696300
5	NoFeedLowProb	264696380
8	BlinkStart	264696610
8	BlinkEnd	264698964
8	Feed	264699045
5	BlinkStart	264699275
5	BlinkEnd	264711999
5	NoFeedLowProb	264712079
28	BlinkStart	264712309
28	BlinkEnd	264714880
8	Feed	264714960
5	BlinkStart	264715190
5	BlinkEnd	264728175
5	NoFeedLowProb	264728255
28	BlinkStart	264728486
28	BlinkEnd	264730977
8	Feed	264731057
5	BlinkStart	264731287
5	BlinkEnd	264748559
5	NoFeedLowProb	264748640
28	BlinkStart	264748870
28	BlinkEnd	264751705
8	Feed	264751785
5	BlinkStart	264752016
5	BlinkEnd	264764733
5	NoFeedLowProb	264764813
28	BlinkStart	264765044
