Ver1.2	278501657	StartFile	4/19/2020	10:14:20 PM	E:\BehavioralExperiments\Hachi\RawData\041920D\SoundData.txt	278501657
278758235	Triggered	2	 NoSound	50	2	278758235
278761621	Triggered	5	 Modulated Tone	25	2	278761621
278764703	Triggered	8	 NoSound	50	2	278764703
278772785	Triggered	5	 Modulated Tone	25	2	278772785
278775791	Triggered	8	 NoSound	50	2	278775791
278783145	Triggered	5	 Modulated Tone	25	2	278783145
278786225	Triggered	8	 NoSound	50	2	278786225
278793310	Triggered	5	 Modulated Tone	25	2	278793310
278796518	Triggered	2	 NoSound	50	2	278796518
278808610	Triggered	5	 Modulated Tone	25	2	278808610
278812152	Triggered	8	 NoSound	50	2	278812152
278818909	Triggered	5	 Modulated Tone	25	2	278818909
278822380	Triggered	2	 NoSound	50	2	278822380
278834612	Triggered	5	 Modulated Tone	25	2	278834612
278837753	Triggered	2	 NoSound	50	2	278837753
278850050	Triggered	5	 Modulated Tone	25	2	278850050
278853132	Triggered	2	 NoSound	50	2	278853132
278864957	Triggered	5	 Modulated Tone	25	2	278864957
278867832	Triggered	2	 NoSound	50	2	278867832
278883138	Triggered	5	 Modulated Tone	25	2	278883138
278886680	Triggered	1	 Modulated Tone	25	2	278886680
278893103	Triggered	6	 NoSound	50	2	278893103
278907269	Triggered	1	 Modulated Tone	25	2	278907269
278910407	Triggered	6	 NoSound	50	2	278910407
278935216	Triggered	1	 Modulated Tone	25	2	278935216
278938283	Triggered	6	 NoSound	50	2	278938283
278949312	Triggered	1	 Modulated Tone	25	2	278949312
278952659	Triggered	4	 NoSound	50	2	278952659
278959473	Triggered	1	 Modulated Tone	25	2	278959473
278962897	Triggered	6	 NoSound	50	2	278962897
278978585	Triggered	1	 Modulated Tone	25	2	278978585
278981727	Triggered	6	 NoSound	50	2	278981727
278991422	Triggered	1	 Modulated Tone	25	2	278991422
278994897	Triggered	6	 NoSound	50	2	278994897
279004323	Triggered	1	 Modulated Tone	25	2	279004323
279007663	Triggered	6	 NoSound	50	2	279007663
279016824	Triggered	1	 Modulated Tone	25	2	279016824
279019892	Triggered	6	 NoSound	50	2	279019892
279033863	Triggered	1	 Modulated Tone	25	2	279033863
279037275	Triggered	5	 Modulated Tone	25	2	279037275
279040615	Triggered	2	 NoSound	50	2	279040615
279050506	Triggered	5	 Modulated Tone	25	2	279050506
279053455	Triggered	2	 NoSound	50	2	279053455
279063742	Triggered	5	 Modulated Tone	25	2	279063742
279066951	Triggered	2	 NoSound	50	2	279066951
279078581	Triggered	5	 Modulated Tone	25	2	279078581
279082725	Triggered	2	 NoSound	50	2	279082725
279093027	Triggered	5	 Modulated Tone	25	2	279093027
279096226	Triggered	2	 NoSound	50	2	279096226
279105583	Triggered	5	 Modulated Tone	25	2	279105583
279112002	Triggered	8	 NoSound	50	2	279112002
279127507	Triggered	5	 Modulated Tone	25	2	279127507
279132190	Triggered	2	 NoSound	50	2	279132190
279143616	Triggered	5	 Modulated Tone	25	2	279143616
279147960	Triggered	2	 NoSound	50	2	279147960
279159131	Triggered	5	 Modulated Tone	25	2	279159131
279162869	Triggered	2	 NoSound	50	2	279162869
279175302	Triggered	5	 Modulated Tone	25	2	279175302
279179381	Triggered	1	 Modulated Tone	25	2	279179381
279182451	Triggered	6	 NoSound	50	2	279182451
279211125	Triggered	1	 Modulated Tone	25	2	279211125
279218277	Triggered	6	 NoSound	50	2	279218277
279226164	Triggered	1	 Modulated Tone	25	2	279226164
279231318	Triggered	6	 NoSound	50	2	279231318
279236657	Triggered	1	 Modulated Tone	25	2	279236657
279239665	Triggered	4	 NoSound	50	2	279239665
