Monday, July 15, 2019	8:34:13 PM	taskset_random130_20190715T182142.txt	513044507
cued	now	513099485
4	BlinkStart	513099565
4	BlinkEnd	513145344
4	Feed	513145425
2	BlinkStart	513145655
2	BlinkEnd	513358992
2	Feed	513359072
5	BlinkStart	513359303
5	BlinkEnd	513545545
5	Feed	513545626
6	BlinkStart	513545856
6	BlinkEnd	513707760
6	Feed	513707840
2	BlinkStart	513708070
2	BlinkEnd	513738316
2	Feed	513738396
8	BlinkStart	513738626
8	BlinkEnd	513758765
8	Feed	513758846
1	BlinkStart	513759076
1	BlinkEnd	513876268
1	Feed	513876348
6	BlinkStart	513876579
6	BlinkEnd	513901002
6	Feed	513901082
5	BlinkStart	513901313
5	BlinkEnd	513908088
5	Feed	513908169
3	BlinkStart	513908399
3	BlinkEnd	513922393
3	Feed	513922474
6	BlinkStart	513922705
6	BlinkEnd	513933483
6	Feed	513933563
2	BlinkStart	513933793
2	BlinkEnd	513951401
2	Feed	513951481
5	BlinkStart	513951711
5	BlinkEnd	513966376
5	Feed	513966456
2	BlinkStart	513966686
2	BlinkEnd	513980679
2	Feed	513980759
4	BlinkStart	513980989
4	BlinkEnd	513990639
4	Feed	513990720
6	BlinkStart	513990951
6	BlinkEnd	514002935
6	Feed	514003015
5	BlinkStart	514003245
5	BlinkEnd	514012156
5	Feed	514012237
6	BlinkStart	514012468
6	BlinkEnd	514023654
6	Feed	514023734
1	BlinkStart	514023964
1	BlinkEnd	514042836
1	Feed	514042916
6	BlinkStart	514043146
6	BlinkEnd	514054135
6	Feed	514054216
7	BlinkStart	514054446
7	BlinkEnd	514062688
7	Feed	514062768
5	BlinkStart	514062999
5	BlinkEnd	514118505
5	Feed	514118585
6	BlinkStart	514118815
6	BlinkEnd	514126918
6	Feed	514126998
3	BlinkStart	514127228
3	BlinkEnd	514139156
3	Feed	514139236
7	BlinkStart	514139466
7	BlinkEnd	514148579
7	Feed	514148659
5	BlinkStart	514148889
5	BlinkEnd	514158479
5	Feed	514158559
3	BlinkStart	514158790
3	BlinkEnd	514167035
3	Feed	514167115
2	BlinkStart	514167346
2	BlinkEnd	514173319
2	Feed	514173399
8	BlinkStart	514173630
8	BlinkEnd	514181934
8	Feed	514182015
7	BlinkStart	514182245
7	BlinkEnd	514188154
7	Feed	514188234
6	BlinkStart	514188465
6	BlinkEnd	514194966
6	Feed	514195046
5	BlinkStart	514195278
5	BlinkEnd	514201522
5	Feed	514201602
2	BlinkStart	514201833
2	BlinkEnd	514211681
2	Feed	514211761
5	BlinkStart	514211991
5	BlinkEnd	514221837
5	Feed	514221917
7	BlinkStart	514222147
7	BlinkEnd	514234139
7	Feed	514234219
2	BlinkStart	514234449
2	BlinkEnd	514248775
2	Feed	514248855
1	BlinkStart	514249085
1	BlinkEnd	514257204
1	Feed	514257284
2	BlinkStart	514257515
2	BlinkEnd	514263751
2	Feed	514263831
8	BlinkStart	514264062
8	BlinkEnd	514273905
8	Feed	514273985
1	BlinkStart	514274216
1	BlinkEnd	514280800
1	Feed	514280880
7	BlinkStart	514281111
7	BlinkEnd	514288816
7	Feed	514288896
1	BlinkStart	514289126
1	BlinkEnd	514298503
1	Feed	514298583
6	BlinkStart	514298813
6	BlinkEnd	514306860
6	Feed	514306940
4	BlinkStart	514307170
4	BlinkEnd	514316822
4	Feed	514316902
3	BlinkStart	514317133
3	BlinkEnd	514322236
3	Feed	514322317
6	BlinkStart	514322548
6	BlinkEnd	514332064
6	Feed	514332145
1	BlinkStart	514332377
1	BlinkEnd	514345493
1	Feed	514345573
5	BlinkStart	514345803
5	BlinkEnd	514360934
5	Feed	514361014
6	BlinkStart	514361245
6	BlinkEnd	514367143
6	Feed	514367223
4	BlinkStart	514367454
4	BlinkEnd	514378052
4	Feed	514378132
1	BlinkStart	514378363
1	BlinkEnd	514386671
1	Feed	514386751
2	BlinkStart	514386982
2	BlinkEnd	514393825
2	Feed	514393905
8	BlinkStart	514394135
8	BlinkEnd	514401236
8	Feed	514401317
1	BlinkStart	514401548
1	BlinkEnd	514408725
1	Feed	514408805
3	BlinkStart	514409035
3	BlinkEnd	514415811
3	Feed	514415891
5	BlinkStart	514416121
5	BlinkEnd	514422700
5	Feed	514422780
1	BlinkStart	514423010
1	BlinkEnd	514433262
1	Feed	514433342
4	BlinkStart	514433572
4	BlinkEnd	514444950
4	Feed	514445030
5	BlinkStart	514445260
5	BlinkEnd	514452306
5	Feed	514452386
7	BlinkStart	514452616
7	BlinkEnd	514460532
7	Feed	514460612
6	BlinkStart	514460842
6	BlinkEnd	514488315
0	NoFeed	514488395
3	BlinkStart	514488625
3	BlinkEnd	514488895
0	NoFeed	514488975
