Thursday, July 18, 2019	6:22:42 PM	taskset_random90_20190718T180102.txt	764353513
cued	now	764375042
2	BlinkStart	764375122
2	BlinkEnd	764402834
2	Feed	764402914
8	BlinkStart	764403144
8	BlinkEnd	764403820
8	Feed	764403901
5	BlinkStart	764404132
5	BlinkEnd	764405090
5	Feed	764405170
3	BlinkStart	764405400
3	BlinkEnd	764406775
3	Feed	764406855
5	BlinkStart	764407085
5	BlinkEnd	764407801
5	Feed	764407881
4	BlinkStart	764408111
4	BlinkEnd	764435530
4	Feed	764435610
2	BlinkStart	764435840
2	BlinkEnd	764521624
2	Feed	764521704
5	BlinkStart	764521934
5	BlinkEnd	764538538
5	Feed	764538619
4	BlinkStart	764538850
4	BlinkEnd	764547078
4	Feed	764547159
7	BlinkStart	764547389
7	BlinkEnd	764562120
7	Feed	764562200
3	BlinkStart	764562431
3	BlinkEnd	764595155
3	Feed	764595236
4	BlinkStart	764595466
4	BlinkEnd	764602249
4	Feed	764602329
7	BlinkStart	764602560
7	BlinkEnd	764619220
7	Feed	764619300
1	BlinkStart	764619531
1	BlinkEnd	764636189
1	Feed	764636269
6	BlinkStart	764636499
6	BlinkEnd	764649354
6	Feed	764649434
5	BlinkStart	764649664
5	BlinkEnd	764654593
5	Feed	764654673
8	BlinkStart	764654903
8	BlinkEnd	764666571
8	Feed	764666651
1	BlinkStart	764666881
1	BlinkEnd	764672105
1	Feed	764672185
7	BlinkStart	764672415
7	BlinkEnd	764678835
7	Feed	764678915
2	BlinkStart	764679145
2	BlinkEnd	764755607
2	Feed	764755687
1	BlinkStart	764755918
1	BlinkEnd	764763257
1	Feed	764763337
8	BlinkStart	764763567
8	BlinkEnd	764768072
8	Feed	764768152
4	BlinkStart	764768382
4	BlinkEnd	764781910
4	Feed	764781990
3	BlinkStart	764782220
3	BlinkEnd	764787378
3	Feed	764787458
8	BlinkStart	764787689
8	BlinkEnd	764804527
8	Feed	764804608
2	BlinkStart	764804839
2	BlinkEnd	764816801
2	Feed	764816881
5	BlinkStart	764817111
5	BlinkEnd	764826304
5	Feed	764826384
8	BlinkStart	764826614
8	BlinkEnd	764836769
8	Feed	764836849
7	BlinkStart	764837079
7	BlinkEnd	764844833
7	Feed	764844913
4	BlinkStart	764845143
4	BlinkEnd	764855242
4	Feed	764855322
7	BlinkStart	764855553
7	BlinkEnd	764864873
7	Feed	764864953
8	BlinkStart	764865184
8	BlinkEnd	764870475
8	Feed	764870555
5	BlinkStart	764870787
5	BlinkEnd	764893341
5	Feed	764893421
8	BlinkStart	764893651
8	BlinkEnd	764905064
8	Feed	764905145
2	BlinkStart	764905376
2	BlinkEnd	764917099
2	Feed	764917180
6	BlinkStart	764917411
6	BlinkEnd	764934066
6	Feed	764934146
3	BlinkStart	764934377
3	BlinkEnd	764947059
3	Feed	764947139
5	BlinkStart	764947370
5	BlinkEnd	764954167
5	Feed	764954247
3	BlinkStart	764954477
3	BlinkEnd	764961256
3	Feed	764961336
5	BlinkStart	764961567
5	BlinkEnd	764967344
5	Feed	764967424
6	BlinkStart	764967655
6	BlinkEnd	764972514
6	Feed	764972595
7	BlinkStart	764972826
7	BlinkEnd	764978350
7	Feed	764978430
5	BlinkStart	764978661
5	BlinkEnd	765094171
5	Feed	765094251
6	BlinkStart	765094482
6	BlinkEnd	765101262
6	Feed	765101343
7	BlinkStart	765101574
7	BlinkEnd	765107401
7	Feed	765107481
6	BlinkStart	765107712
6	BlinkEnd	765114867
6	Feed	765114947
8	BlinkStart	765115177
8	BlinkEnd	765124740
8	Feed	765124820
3	BlinkStart	765125050
3	BlinkEnd	765146513
3	Feed	765146593
8	BlinkStart	765146823
8	BlinkEnd	765158544
8	Feed	765158624
5	BlinkStart	765158854
5	BlinkEnd	765173888
5	Feed	765173968
6	BlinkStart	765174199
6	BlinkEnd	765180563
6	Feed	765180644
4	BlinkStart	765180875
4	BlinkEnd	765188634
4	Feed	765188714
8	BlinkStart	765188944
8	BlinkEnd	765197710
8	Feed	765197790
4	BlinkStart	765198021
4	BlinkEnd	765207825
4	Feed	765207905
6	BlinkStart	765208135
6	BlinkEnd	765214619
6	Feed	765214699
7	BlinkStart	765214930
7	BlinkEnd	765219913
7	Feed	765219993
5	BlinkStart	765220224
5	BlinkEnd	765228223
5	Feed	765228303
7	BlinkStart	765228533
7	BlinkEnd	765234598
7	Feed	765234678
1	BlinkStart	765234908
1	BlinkEnd	765244157
1	Feed	765244237
4	BlinkStart	765244467
4	BlinkEnd	765251084
4	Feed	765251165
6	BlinkStart	765251396
6	BlinkEnd	765251860
0	NoFeed	765251940
7	BlinkStart	765252170
7	BlinkEnd	765252443
0	NoFeed	765252523
