Friday, July 26, 2019	6:39:39 PM	taskset_horizonv5_h10_20190726T183100.txt	1456570948
cued	now	1456584501
5	BlinkStart	1456584581
5	BlinkEnd	1456622161
5	Feed	1456622241
2	BlinkStart	1456622471
2	BlinkEnd	1456628517
2	Feed	1456628597
5	BlinkStart	1456628827
5	BlinkEnd	1456781453
5	Feed	1456781533
2	BlinkStart	1456781763
2	BlinkEnd	1456790714
2	Feed	1456790794
5	BlinkStart	1456791024
5	BlinkEnd	1456800890
5	Feed	1456800971
8	BlinkStart	1456801202
8	BlinkEnd	1456820147
8	Feed	1456820227
5	BlinkStart	1456820457
5	BlinkEnd	1456849866
5	Feed	1456849946
8	BlinkStart	1456850176
8	BlinkEnd	1456857866
8	Feed	1456857946
5	BlinkStart	1456858176
5	BlinkEnd	1456877960
5	Feed	1456878040
8	BlinkStart	1456878271
8	BlinkEnd	1456897096
8	Feed	1456897176
5	BlinkStart	1456897406
5	BlinkEnd	1457093056
5	Feed	1457093136
8	BlinkStart	1457093366
8	BlinkEnd	1457108403
8	Feed	1457108483
5	BlinkStart	1457108713
5	BlinkEnd	1457125487
5	Feed	1457125567
2	BlinkStart	1457125797
2	BlinkEnd	1457134330
2	Feed	1457134410
5	BlinkStart	1457134640
5	BlinkEnd	1457160614
5	Feed	1457160694
2	BlinkStart	1457160925
2	BlinkEnd	1457430745
0	NoFeed	1457430825
5	BlinkStart	1457431055
5	BlinkEnd	1457431326
0	NoFeed	1457431407
