Thursday, August 29, 2019	4:35:41 PM	Game1.txt	247898305
cued	now	247908052
1	BlinkStart	247908132
1	BlinkEnd	247939396
1	Feed	247939476
4	BlinkStart	247939706
4	BlinkEnd	247999862
4	Feed	247999942
1	BlinkStart	248000172
1	BlinkEnd	248021121
1	Feed	248021201
6	BlinkStart	248021431
6	BlinkEnd	248052141
6	Feed	248052222
1	BlinkStart	248052453
1	BlinkEnd	248063639
1	Feed	248063719
4	BlinkStart	248063950
4	BlinkEnd	248084087
4	Feed	248084167
1	BlinkStart	248084398
1	BlinkEnd	248110692
1	Feed	248110772
6	BlinkStart	248111002
6	BlinkEnd	248144846
6	Feed	248144926
1	BlinkStart	248145157
1	BlinkEnd	248155942
1	Feed	248156022
4	BlinkStart	248156253
4	BlinkEnd	248170515
4	Feed	248170595
1	BlinkStart	248170826
1	BlinkEnd	248182013
1	Feed	248182093
6	BlinkStart	248182324
6	BlinkEnd	248190831
6	Feed	248190911
1	BlinkStart	248191141
1	BlinkEnd	248199925
1	Feed	248200005
64	BlinkStart	248200235
64	BlinkEnd	248208616
6	Feed	248208696
1	BlinkStart	248208927
1	BlinkEnd	248227864
1	Feed	248227945
64	BlinkStart	248228175
64	BlinkEnd	248247450
6	Feed	248247530
1	BlinkStart	248247760
1	BlinkEnd	248278398
1	Feed	248278479
64	BlinkStart	248278709
64	BlinkEnd	248288362
6	Feed	248288443
1	BlinkStart	248288673
1	BlinkEnd	248297377
1	Feed	248297457
64	BlinkStart	248297687
64	BlinkEnd	248306335
6	Feed	248306415
1	BlinkStart	248306646
1	BlinkEnd	248314759
1	Feed	248314839
64	BlinkStart	248315069
64	BlinkEnd	248323850
6	Feed	248323930
1	BlinkStart	248324161
1	BlinkEnd	248332133
1	Feed	248332213
64	BlinkStart	248332443
64	BlinkEnd	248340555
6	Feed	248340636
1	BlinkStart	248340867
1	BlinkEnd	248348177
1	Feed	248348257
4	BlinkStart	248348489
4	BlinkEnd	248364551
4	Feed	248364631
1	BlinkStart	248364862
1	BlinkEnd	248372843
1	Feed	248372923
6	BlinkStart	248373154
6	BlinkEnd	248379059
6	Feed	248379140
1	BlinkStart	248379371
1	BlinkEnd	248387075
1	Feed	248387155
4	BlinkStart	248387385
4	BlinkEnd	248396098
4	Feed	248396178
1	BlinkStart	248396409
1	BlinkEnd	248422166
1	Feed	248422247
6	BlinkStart	248422478
6	BlinkEnd	248428325
6	Feed	248428406
1	BlinkStart	248428636
1	BlinkEnd	248436404
1	Feed	248436484
4	BlinkStart	248436716
4	BlinkEnd	248443823
4	Feed	248443903
1	BlinkStart	248444134
1	BlinkEnd	248451310
1	Feed	248451390
6	BlinkStart	248451621
6	BlinkEnd	248478779
6	Feed	248478859
1	BlinkStart	248479089
1	BlinkEnd	248488345
1	Feed	248488426
64	BlinkStart	248488657
64	BlinkEnd	248498366
6	Feed	248498446
1	BlinkStart	248498676
1	BlinkEnd	248506518
1	Feed	248506598
64	BlinkStart	248506828
64	BlinkEnd	248517687
6	Feed	248517767
1	BlinkStart	248517997
1	BlinkEnd	248524644
1	Feed	248524724
64	BlinkStart	248524954
64	BlinkEnd	248532059
6	Feed	248532139
1	BlinkStart	248532371
1	BlinkEnd	248543491
1	Feed	248543571
64	BlinkStart	248543801
64	BlinkEnd	248551640
6	Feed	248551721
1	BlinkStart	248551951
1	BlinkEnd	248559596
1	Feed	248559676
64	BlinkStart	248559906
64	BlinkEnd	248567814
4	Feed	248567894
1	BlinkStart	248568125
1	BlinkEnd	248574631
1	Feed	248574711
64	BlinkStart	248574941
64	BlinkEnd	248581256
6	Feed	248581336
1	BlinkStart	248581566
1	BlinkEnd	248589741
1	Feed	248589821
4	BlinkStart	248590052
4	BlinkEnd	248597560
4	Feed	248597641
1	BlinkStart	248597872
1	BlinkEnd	248605718
1	Feed	248605798
6	BlinkStart	248606028
6	BlinkEnd	248613402
6	Feed	248613482
1	BlinkStart	248613713
1	BlinkEnd	248622623
1	Feed	248622703
4	BlinkStart	248622934
4	BlinkEnd	248636927
4	Feed	248637008
1	BlinkStart	248637239
1	BlinkEnd	248647291
1	Feed	248647372
6	BlinkStart	248647603
6	BlinkEnd	248654901
6	Feed	248654981
1	BlinkStart	248655211
1	BlinkEnd	248671287
1	Feed	248671367
4	BlinkStart	248671598
4	BlinkEnd	248683715
4	Feed	248683795
1	BlinkStart	248684025
1	BlinkEnd	248694006
1	Feed	248694086
6	BlinkStart	248694317
6	BlinkEnd	248704298
6	Feed	248704378
1	BlinkStart	248704608
1	BlinkEnd	248712390
1	Feed	248712471
64	BlinkStart	248712703
64	BlinkEnd	248720616
6	Feed	248720696
1	BlinkStart	248720926
1	BlinkEnd	248728108
1	Feed	248728189
64	BlinkStart	248728420
64	BlinkEnd	248738793
6	Feed	248738873
1	BlinkStart	248739104
1	BlinkEnd	248746881
1	Feed	248746961
64	BlinkStart	248747192
64	BlinkEnd	248755238
6	Feed	248755319
1	BlinkStart	248755549
1	BlinkEnd	248763059
1	Feed	248763140
64	BlinkStart	248763371
64	BlinkEnd	248771537
6	Feed	248771617
1	BlinkStart	248771847
1	BlinkEnd	248780172
1	Feed	248780252
64	BlinkStart	248780483
64	BlinkEnd	248790198
6	Feed	248790278
1	BlinkStart	248790508
1	BlinkEnd	248828960
1	Feed	248829040
64	BlinkStart	248829271
64	BlinkEnd	248837856
6	Feed	248837936
1	BlinkStart	248838167
1	BlinkEnd	248845874
1	Feed	248845955
4	BlinkStart	248846185
4	BlinkEnd	248858237
4	Feed	248858317
1	BlinkStart	248858548
1	BlinkEnd	248866798
1	Feed	248866879
6	BlinkStart	248867110
6	BlinkEnd	248873075
6	Feed	248873155
1	BlinkStart	248873386
1	BlinkEnd	248884508
1	Feed	248884588
4	BlinkStart	248884818
4	BlinkEnd	248893395
4	Feed	248893475
1	BlinkStart	248893705
1	BlinkEnd	248901283
1	Feed	248901363
6	BlinkStart	248901594
6	BlinkEnd	248908570
6	Feed	248908650
1	BlinkStart	248908881
1	BlinkEnd	248916455
1	Feed	248916535
4	BlinkStart	248916767
4	BlinkEnd	248928891
4	Feed	248928971
1	BlinkStart	248929202
1	BlinkEnd	248939115
1	Feed	248939195
6	BlinkStart	248939425
6	BlinkEnd	248946332
6	Feed	248946412
1	BlinkStart	248946643
