Friday, August 30, 2019	4:11:35 PM	Game1.txt	332852169
cued	now	332867403
5	BlinkStart	332867483
5	BlinkEnd	332957039
5	Feed	332957119
2	BlinkStart	332957349
2	BlinkEnd	332979135
2	Feed	332979215
5	BlinkStart	332979446
5	BlinkEnd	332993029
5	Feed	332993110
8	BlinkStart	332993341
8	BlinkEnd	333005001
8	Feed	333005082
5	BlinkStart	333005313
5	BlinkEnd	333040693
5	Feed	333040774
2	BlinkStart	333041004
2	BlinkEnd	333052263
2	Feed	333052344
5	BlinkStart	333052574
5	BlinkEnd	333061545
5	Feed	333061625
8	BlinkStart	333061855
8	BlinkEnd	333070899
8	Feed	333070979
5	BlinkStart	333071210
5	BlinkEnd	333085546
5	Feed	333085626
2	BlinkStart	333085857
2	BlinkEnd	333095369
2	Feed	333095449
5	BlinkStart	333095679
5	BlinkEnd	333103788
5	Feed	333103868
8	BlinkStart	333104099
8	BlinkEnd	333112205
8	Feed	333112285
5	BlinkStart	333112515
5	BlinkEnd	333134341
5	Feed	333134421
28	BlinkStart	333134651
28	BlinkEnd	333147095
8	Feed	333147175
5	BlinkStart	333147406
5	BlinkEnd	333158393
5	Feed	333158473
28	BlinkStart	333158703
28	BlinkEnd	333166952
8	Feed	333167032
5	BlinkStart	333167263
5	BlinkEnd	333175848
5	Feed	333175928
28	BlinkStart	333176158
28	BlinkEnd	333184058
8	Feed	333184138
5	BlinkStart	333184370
5	BlinkEnd	333190674
5	Feed	333190754
28	BlinkStart	333190985
28	BlinkEnd	333200510
8	Feed	333200591
5	BlinkStart	333200822
5	BlinkEnd	333207725
5	Feed	333207806
28	BlinkStart	333208036
28	BlinkEnd	333217348
8	Feed	333217428
5	BlinkStart	333217658
5	BlinkEnd	333224306
5	Feed	333224386
28	BlinkStart	333224616
28	BlinkEnd	333233934
8	Feed	333234014
5	BlinkStart	333234244
5	BlinkEnd	333240619
5	Feed	333240700
2	BlinkStart	333240931
2	BlinkEnd	333250573
2	Feed	333250653
5	BlinkStart	333250884
5	BlinkEnd	333258187
5	Feed	333258267
8	BlinkStart	333258497
8	BlinkEnd	333267885
8	Feed	333267966
5	BlinkStart	333268197
5	BlinkEnd	333288806
5	Feed	333288886
2	BlinkStart	333289117
2	BlinkEnd	333314937
2	Feed	333315018
5	BlinkStart	333315249
5	BlinkEnd	333323362
5	Feed	333323442
8	BlinkStart	333323674
8	BlinkEnd	333336196
8	Feed	333336277
5	BlinkStart	333336507
5	BlinkEnd	333343880
5	Feed	333343960
2	BlinkStart	333344190
2	BlinkEnd	333351102
2	Feed	333351182
5	BlinkStart	333351412
5	BlinkEnd	333357720
5	Feed	333357801
8	BlinkStart	333358032
8	BlinkEnd	333370223
8	Feed	333370303
5	BlinkStart	333370534
5	BlinkEnd	333378373
5	Feed	333378453
28	BlinkStart	333378683
28	BlinkEnd	333386992
8	Feed	333387072
5	BlinkStart	333387303
5	BlinkEnd	333393482
5	Feed	333393562
28	BlinkStart	333393792
28	BlinkEnd	333401907
8	Feed	333401987
5	BlinkStart	333402218
5	BlinkEnd	333407046
5	Feed	333407126
28	BlinkStart	333407356
28	BlinkEnd	333414601
8	Feed	333414681
5	BlinkStart	333414913
5	BlinkEnd	333419412
5	Feed	333419492
28	BlinkStart	333419723
28	BlinkEnd	333428907
8	Feed	333428987
5	BlinkStart	333429218
5	BlinkEnd	333435322
5	Feed	333435402
28	BlinkStart	333435632
28	BlinkEnd	333443808
2	Feed	333443888
5	BlinkStart	333444119
5	BlinkEnd	333450566
5	Feed	333450647
28	BlinkStart	333450878
28	BlinkEnd	333458987
8	Feed	333459067
5	BlinkStart	333459297
5	BlinkEnd	333464870
5	Feed	333464950
2	BlinkStart	333465181
2	BlinkEnd	333472287
2	Feed	333472367
5	BlinkStart	333472597
5	BlinkEnd	333479304
5	Feed	333479384
8	BlinkStart	333479615
8	BlinkEnd	333489862
8	Feed	333489942
5	BlinkStart	333490172
5	BlinkEnd	333497081
5	Feed	333497161
2	BlinkStart	333497392
2	BlinkEnd	333505370
2	Feed	333505450
5	BlinkStart	333505680
5	BlinkEnd	333513998
5	Feed	333514078
8	BlinkStart	333514311
8	BlinkEnd	333528300
8	Feed	333528380
5	BlinkStart	333528611
5	BlinkEnd	333555367
5	Feed	333555447
2	BlinkStart	333555677
2	BlinkEnd	333563058
2	Feed	333563138
5	BlinkStart	333563368
5	BlinkEnd	333570872
5	Feed	333570953
8	BlinkStart	333571184
8	BlinkEnd	333579636
8	Feed	333579716
5	BlinkStart	333579947
5	BlinkEnd	333590316
5	Feed	333590397
82	BlinkStart	333590627
82	BlinkEnd	333599545
8	Feed	333599625
5	BlinkStart	333599856
5	BlinkEnd	333609307
5	Feed	333609388
82	BlinkStart	333609619
82	BlinkEnd	333618256
8	Feed	333618336
5	BlinkStart	333618566
5	BlinkEnd	333626551
5	Feed	333626632
82	BlinkStart	333626864
82	BlinkEnd	333634376
8	Feed	333634457
5	BlinkStart	333634687
5	BlinkEnd	333641724
5	Feed	333641804
82	BlinkStart	333642035
82	BlinkEnd	333650545
2	Feed	333650626
5	BlinkStart	333650857
5	BlinkEnd	333656564
5	Feed	333656644
82	BlinkStart	333656874
82	BlinkEnd	333665116
2	Feed	333665196
5	BlinkStart	333665426
5	BlinkEnd	333670533
5	Feed	333670613
82	BlinkStart	333670844
82	BlinkEnd	333679028
2	Feed	333679108
5	BlinkStart	333679338
5	BlinkEnd	333682392
0	NoFeed	333682472
2	BlinkStart	333682702
2	BlinkEnd	333682973
0	NoFeed	333683053
