Tuesday, September 3, 2019	4:17:13 PM	Game1.txt	678790149
cued	now	678815759
3	BlinkStart	678815839
3	BlinkEnd	678849975
3	Feed	678850055
6	BlinkStart	678850285
6	BlinkEnd	678898722
6	Feed	678898802
3	BlinkStart	678899033
3	BlinkEnd	678969229
3	Feed	678969309
6	BlinkStart	678969539
6	BlinkEnd	678983277
6	Feed	678983359
3	BlinkStart	678983589
3	BlinkEnd	679013016
3	Feed	679013096
8	BlinkStart	679013326
8	BlinkEnd	679029326
8	Feed	679029406
3	BlinkStart	679029637
3	BlinkEnd	679065146
3	Feed	679065226
8	BlinkStart	679065456
8	BlinkEnd	679080382
8	Feed	679080462
3	BlinkStart	679080692
3	BlinkEnd	679092155
3	Feed	679092235
6	BlinkStart	679092465
6	BlinkEnd	679102516
6	Feed	679102596
3	BlinkStart	679102828
3	BlinkEnd	679117689
3	Feed	679117769
8	BlinkStart	679117999
8	BlinkEnd	679134660
8	Feed	679134740
3	BlinkStart	679134970
3	BlinkEnd	679176977
3	Feed	679177057
86	BlinkStart	679177288
86	BlinkEnd	679187261
6	Feed	679187341
3	BlinkStart	679187572
3	BlinkEnd	679196360
3	Feed	679196440
86	BlinkStart	679196670
86	BlinkEnd	679205444
6	Feed	679205524
3	BlinkStart	679205754
3	BlinkEnd	679212275
3	Feed	679212355
86	BlinkStart	679212585
86	BlinkEnd	679223503
6	Feed	679223583
3	BlinkStart	679223813
3	BlinkEnd	679229305
3	Feed	679229385
86	BlinkStart	679229615
86	BlinkEnd	679240398
6	Feed	679240478
3	BlinkStart	679240708
3	BlinkEnd	679247760
3	Feed	679247840
86	BlinkStart	679248070
86	BlinkEnd	679260520
6	Feed	679260600
3	BlinkStart	679260831
3	BlinkEnd	679279770
3	Feed	679279850
86	BlinkStart	679280080
86	BlinkEnd	679292204
8	Feed	679292284
3	BlinkStart	679292514
3	BlinkEnd	679310058
3	Feed	679310138
86	BlinkStart	679310368
86	BlinkEnd	679320282
8	Feed	679320363
3	BlinkStart	679320594
3	BlinkEnd	679329112
3	Feed	679329192
86	BlinkStart	679329422
86	BlinkEnd	679340074
6	Feed	679340154
3	BlinkStart	679340385
3	BlinkEnd	679345689
3	Feed	679345769
86	BlinkStart	679346000
86	BlinkEnd	679354308
8	Feed	679354388
3	BlinkStart	679354619
3	BlinkEnd	679364201
3	Feed	679364281
86	BlinkStart	679364512
86	BlinkEnd	679372878
8	Feed	679372958
3	BlinkStart	679373188
3	BlinkEnd	679381237
3	Feed	679381317
86	BlinkStart	679381547
86	BlinkEnd	679388999
8	Feed	679389079
3	BlinkStart	679389309
3	BlinkEnd	679397481
3	Feed	679397561
86	BlinkStart	679397792
86	BlinkEnd	679405243
8	Feed	679405323
3	BlinkStart	679405553
3	BlinkEnd	679412523
3	Feed	679412604
86	BlinkStart	679412835
86	BlinkEnd	679420216
8	Feed	679420296
3	BlinkStart	679420526
3	BlinkEnd	679428833
3	Feed	679428913
86	BlinkStart	679429144
86	BlinkEnd	679437256
8	Feed	679437336
3	BlinkStart	679437566
3	BlinkEnd	679446016
3	Feed	679446096
86	BlinkStart	679446326
86	BlinkEnd	679455102
8	Feed	679455183
3	BlinkStart	679455414
3	BlinkEnd	679462522
3	Feed	679462603
86	BlinkStart	679462833
86	BlinkEnd	679469473
8	Feed	679469554
3	BlinkStart	679469784
3	BlinkEnd	679500420
3	Feed	679500500
86	BlinkStart	679500730
86	BlinkEnd	679509177
8	Feed	679509257
3	BlinkStart	679509487
3	BlinkEnd	679518805
3	Feed	679518885
86	BlinkStart	679519115
86	BlinkEnd	679526150
8	Feed	679526230
3	BlinkStart	679526461
3	BlinkEnd	679533978
3	Feed	679534058
8	BlinkStart	679534288
8	BlinkEnd	679541993
8	Feed	679542073
3	BlinkStart	679542304
3	BlinkEnd	679549284
3	Feed	679549364
6	BlinkStart	679549595
6	BlinkEnd	679558636
6	Feed	679558716
3	BlinkStart	679558947
3	BlinkEnd	679565593
3	Feed	679565673
6	BlinkStart	679565903
6	BlinkEnd	679574946
6	Feed	679575026
3	BlinkStart	679575256
3	BlinkEnd	679582171
3	Feed	679582252
8	BlinkStart	679582483
8	BlinkEnd	679591665
8	Feed	679591746
3	BlinkStart	679591976
3	BlinkEnd	679600015
3	Feed	679600096
6	BlinkStart	679600327
6	BlinkEnd	679608642
6	Feed	679608723
3	BlinkStart	679608954
3	BlinkEnd	679615655
3	Feed	679615735
8	BlinkStart	679615965
8	BlinkEnd	679622271
8	Feed	679622351
3	BlinkStart	679622581
3	BlinkEnd	679628222
3	Feed	679628302
68	BlinkStart	679628532
68	BlinkEnd	679635504
8	Feed	679635584
3	BlinkStart	679635814
3	BlinkEnd	679641319
3	Feed	679641399
68	BlinkStart	679641629
68	BlinkEnd	679648273
6	Feed	679648353
3	BlinkStart	679648584
3	BlinkEnd	679655895
3	Feed	679655975
68	BlinkStart	679656205
68	BlinkEnd	679663183
8	Feed	679663263
3	BlinkStart	679663493
3	BlinkEnd	679668525
3	Feed	679668605
68	BlinkStart	679668836
68	BlinkEnd	679678487
6	Feed	679678567
3	BlinkStart	679678798
3	BlinkEnd	679685902
3	Feed	679685982
68	BlinkStart	679686213
68	BlinkEnd	679693394
8	Feed	679693475
3	BlinkStart	679693705
3	BlinkEnd	679699006
3	Feed	679699087
68	BlinkStart	679699318
68	BlinkEnd	679706218
8	Feed	679706299
3	BlinkStart	679706530
3	BlinkEnd	679716841
3	Feed	679716921
68	BlinkStart	679717152
68	BlinkEnd	679725938
6	Feed	679726019
3	BlinkStart	679726249
3	BlinkEnd	679735503
3	Feed	679735583
68	BlinkStart	679735814
68	BlinkEnd	679741782
8	Feed	679741863
3	BlinkStart	679742094
3	BlinkEnd	679746265
3	Feed	679746346
68	BlinkStart	679746577
68	BlinkEnd	679796322
8	Feed	679796402
3	BlinkStart	679796633
3	BlinkEnd	679839563
3	Feed	679839643
68	BlinkStart	679839873
68	BlinkEnd	679866046
6	Feed	679866126
3	BlinkStart	679866357
3	BlinkEnd	679886486
3	Feed	679886566
68	BlinkStart	679886797
68	BlinkEnd	679898187
6	Feed	679898267
3	BlinkStart	679898497
3	BlinkEnd	679920579
3	Feed	679920659
68	BlinkStart	679920890
68	BlinkEnd	679929133
8	Feed	679929213
3	BlinkStart	679929443
3	BlinkEnd	679939100
3	Feed	679939180
68	BlinkStart	679939411
68	BlinkEnd	679946852
6	Feed	679946932
3	BlinkStart	679947163
3	BlinkEnd	679955139
3	Feed	679955219
68	BlinkStart	679955449
68	BlinkEnd	679963829
8	Feed	679963909
3	BlinkStart	679964140
3	BlinkEnd	679970244
3	Feed	679970324
68	BlinkStart	679970554
68	BlinkEnd	679978265
6	Feed	679978345
3	BlinkStart	679978576
3	BlinkEnd	679987493
3	Feed	679987573
68	BlinkStart	679987803
68	BlinkEnd	679996110
6	Feed	679996190
3	BlinkStart	679996421
3	BlinkEnd	680004263
3	Feed	680004343
68	BlinkStart	680004574
68	BlinkEnd	680012016
6	Feed	680012096
3	BlinkStart	680012326
3	BlinkEnd	680019844
3	Feed	680019925
68	BlinkStart	680020155
68	BlinkEnd	680027660
6	Feed	680027740
3	BlinkStart	680027970
3	BlinkEnd	680036348
3	Feed	680036428
6	BlinkStart	680036658
6	BlinkEnd	680043774
6	Feed	680043854
3	BlinkStart	680044085
3	BlinkEnd	680080061
3	Feed	680080141
6	BlinkStart	680080372
6	BlinkEnd	680088550
6	Feed	680088630
3	BlinkStart	680088861
3	BlinkEnd	680095496
3	Feed	680095576
8	BlinkStart	680095806
8	BlinkEnd	680101788
8	Feed	680101868
3	BlinkStart	680102098
3	BlinkEnd	680108461
3	Feed	680108541
8	BlinkStart	680108771
8	BlinkEnd	680115491
8	Feed	680115571
3	BlinkStart	680115802
3	BlinkEnd	680122906
3	Feed	680122986
8	BlinkStart	680123216
8	BlinkEnd	680129864
8	Feed	680129945
3	BlinkStart	680130176
3	BlinkEnd	680137349
3	Feed	680137429
6	BlinkStart	680137660
6	BlinkEnd	680143965
6	Feed	680144045
3	BlinkStart	680144276
3	BlinkEnd	680153181
3	Feed	680153261
86	BlinkStart	680153491
86	BlinkEnd	680159937
8	Feed	680160017
3	BlinkStart	680160247
3	BlinkEnd	680166152
3	Feed	680166232
86	BlinkStart	680166462
86	BlinkEnd	680172639
8	Feed	680172719
3	BlinkStart	680172949
3	BlinkEnd	680179118
3	Feed	680179198
86	BlinkStart	680179429
86	BlinkEnd	680188276
6	Feed	680188356
3	BlinkStart	680188586
3	BlinkEnd	680194363
3	Feed	680194443
86	BlinkStart	680194673
86	BlinkEnd	680201447
8	Feed	680201528
3	BlinkStart	680201759
3	BlinkEnd	680208399
3	Feed	680208480
86	BlinkStart	680208711
86	BlinkEnd	680215748
6	Feed	680215828
3	BlinkStart	680216059
3	BlinkEnd	680221368
3	Feed	680221449
86	BlinkStart	680221679
86	BlinkEnd	680227919
8	Feed	680227999
3	BlinkStart	680228229
3	BlinkEnd	680235537
3	Feed	680235617
86	BlinkStart	680235848
86	BlinkEnd	680242084
8	Feed	680242165
3	BlinkStart	680242396
3	BlinkEnd	680248372
3	Feed	680248452
86	BlinkStart	680248683
86	BlinkEnd	680255458
8	Feed	680255538
3	BlinkStart	680255768
3	BlinkEnd	680262268
3	Feed	680262348
86	BlinkStart	680262579
86	BlinkEnd	680270758
8	Feed	680270838
3	BlinkStart	680271069
3	BlinkEnd	680277909
3	Feed	680277989
86	BlinkStart	680278219
86	BlinkEnd	680284534
8	Feed	680284615
3	BlinkStart	680284846
3	BlinkEnd	680293755
3	Feed	680293835
86	BlinkStart	680294065
86	BlinkEnd	680300241
8	Feed	680300321
3	BlinkStart	680300552
3	BlinkEnd	680308194
3	Feed	680308274
86	BlinkStart	680308504
86	BlinkEnd	680314543
8	Feed	680314623
3	BlinkStart	680314855
3	BlinkEnd	680327380
3	Feed	680327460
86	BlinkStart	680327690
86	BlinkEnd	680335061
8	Feed	680335141
3	BlinkStart	680335372
3	BlinkEnd	680341407
3	Feed	680341487
86	BlinkStart	680341718
86	BlinkEnd	680348501
8	Feed	680348581
3	BlinkStart	680348812
3	BlinkEnd	680355182
3	Feed	680355263
86	BlinkStart	680355493
86	BlinkEnd	680362465
6	Feed	680362545
3	BlinkStart	680362775
3	BlinkEnd	680370558
3	Feed	680370638
86	BlinkStart	680370869
86	BlinkEnd	680377442
8	Feed	680377522
3	BlinkStart	680377752
3	BlinkEnd	680383654
3	Feed	680383734
86	BlinkStart	680383965
86	BlinkEnd	680390273
8	Feed	680390354
3	BlinkStart	680390585
3	BlinkEnd	680397091
3	Feed	680397172
86	BlinkStart	680397402
86	BlinkEnd	680403435
8	Feed	680403515
3	BlinkStart	680403745
3	BlinkEnd	680410657
3	Feed	680410737
6	BlinkStart	680410967
6	BlinkEnd	680419209
6	Feed	680419290
3	BlinkStart	680419520
3	BlinkEnd	680426298
3	Feed	680426378
8	BlinkStart	680426609
8	BlinkEnd	680434187
8	Feed	680434267
3	BlinkStart	680434497
3	BlinkEnd	680441537
3	Feed	680441617
6	BlinkStart	680441847
6	BlinkEnd	680451438
6	Feed	680451519
3	BlinkStart	680451749
3	BlinkEnd	680458919
3	Feed	680458999
