Wednesday, September 4, 2019	2:21:40 PM	Game1.txt	758257167
cued	now	758270782
1	BlinkStart	758270862
1	BlinkEnd	758313090
1	Feed	758313170
6	BlinkStart	758313400
6	BlinkEnd	758339344
6	Feed	758339424
1	BlinkStart	758339654
1	BlinkEnd	758371096
1	Feed	758371176
4	BlinkStart	758371406
4	BlinkEnd	758385997
4	Feed	758386077
1	BlinkStart	758386308
1	BlinkEnd	758396294
1	Feed	758396374
6	BlinkStart	758396604
6	BlinkEnd	758427106
6	Feed	758427186
1	BlinkStart	758427417
1	BlinkEnd	758471294
1	Feed	758471374
4	BlinkStart	758471605
4	BlinkEnd	758482856
4	Feed	758482936
1	BlinkStart	758483166
1	BlinkEnd	758496686
1	Feed	758496766
6	BlinkStart	758496996
6	BlinkEnd	758518950
6	Feed	758519030
1	BlinkStart	758519261
1	BlinkEnd	758529907
1	Feed	758529988
4	BlinkStart	758530219
4	BlinkEnd	758568544
4	Feed	758568624
1	BlinkStart	758568855
1	BlinkEnd	758606174
1	Feed	758606254
46	BlinkStart	758606484
46	BlinkEnd	758620952
6	Feed	758621032
1	BlinkStart	758621262
1	BlinkEnd	758660785
1	Feed	758660865
46	BlinkStart	758661095
46	BlinkEnd	758670141
4	Feed	758670221
1	BlinkStart	758670452
1	BlinkEnd	758680503
1	Feed	758680583
46	BlinkStart	758680813
46	BlinkEnd	758689057
4	Feed	758689137
1	BlinkStart	758689368
1	BlinkEnd	758698479
1	Feed	758698559
46	BlinkStart	758698790
46	BlinkEnd	758705765
4	Feed	758705845
1	BlinkStart	758706077
1	BlinkEnd	758714389
1	Feed	758714469
46	BlinkStart	758714699
46	BlinkEnd	758722214
4	Feed	758722295
1	BlinkStart	758722526
1	BlinkEnd	758731504
1	Feed	758731584
46	BlinkStart	758731815
46	BlinkEnd	758739055
4	Feed	758739135
1	BlinkStart	758739367
1	BlinkEnd	758747348
1	Feed	758747428
46	BlinkStart	758747658
46	BlinkEnd	758754424
4	Feed	758754504
1	BlinkStart	758754735
1	BlinkEnd	758762778
1	Feed	758762858
46	BlinkStart	758763088
46	BlinkEnd	758770401
6	Feed	758770482
1	BlinkStart	758770712
1	BlinkEnd	758789585
1	Feed	758789665
46	BlinkStart	758789895
46	BlinkEnd	758798012
4	Feed	758798093
1	BlinkStart	758798325
1	BlinkEnd	758806033
1	Feed	758806113
46	BlinkStart	758806344
46	BlinkEnd	758812573
4	Feed	758812653
1	BlinkStart	758812883
1	BlinkEnd	758820401
1	Feed	758820481
46	BlinkStart	758820711
46	BlinkEnd	758829891
4	Feed	758829971
1	BlinkStart	758830202
1	BlinkEnd	758838511
1	Feed	758838591
46	BlinkStart	758838822
46	BlinkEnd	758844600
4	Feed	758844680
1	BlinkStart	758844911
1	BlinkEnd	758852690
1	Feed	758852770
46	BlinkStart	758853001
46	BlinkEnd	758859104
4	Feed	758859184
1	BlinkStart	758859415
1	BlinkEnd	758867454
1	Feed	758867535
46	BlinkStart	758867766
46	BlinkEnd	758873670
4	Feed	758873750
1	BlinkStart	758873981
1	BlinkEnd	758881690
1	Feed	758881770
46	BlinkStart	758882001
46	BlinkEnd	758887707
4	Feed	758887787
1	BlinkStart	758888018
1	BlinkEnd	758895530
1	Feed	758895611
46	BlinkStart	758895842
46	BlinkEnd	758901880
4	Feed	758901960
1	BlinkStart	758902190
1	BlinkEnd	758911508
1	Feed	758911588
46	BlinkStart	758911818
46	BlinkEnd	758918589
6	Feed	758918669
1	BlinkStart	758918899
1	BlinkEnd	758948866
1	Feed	758948946
46	BlinkStart	758949178
46	BlinkEnd	758957227
4	Feed	758957307
1	BlinkStart	758957538
1	BlinkEnd	758966051
1	Feed	758966131
46	BlinkStart	758966361
46	BlinkEnd	758973193
4	Feed	758973273
1	BlinkStart	758973503
1	BlinkEnd	758981019
1	Feed	758981099
46	BlinkStart	758981329
46	BlinkEnd	758987906
4	Feed	758987986
1	BlinkStart	758988216
1	BlinkEnd	758995720
1	Feed	758995800
46	BlinkStart	758996031
46	BlinkEnd	759002614
4	Feed	759002694
1	BlinkStart	759002924
1	BlinkEnd	759012237
1	Feed	759012317
46	BlinkStart	759012548
46	BlinkEnd	759019453
6	Feed	759019534
1	BlinkStart	759019765
1	BlinkEnd	759026072
1	Feed	759026153
46	BlinkStart	759026384
46	BlinkEnd	759033082
4	Feed	759033162
1	BlinkStart	759033393
1	BlinkEnd	759041645
1	Feed	759041726
46	BlinkStart	759041957
46	BlinkEnd	759049060
4	Feed	759049141
1	BlinkStart	759049372
1	BlinkEnd	759057218
1	Feed	759057298
6	BlinkStart	759057528
6	BlinkEnd	759070386
6	Feed	759070466
1	BlinkStart	759070696
1	BlinkEnd	759078674
1	Feed	759078755
4	BlinkStart	759078985
4	BlinkEnd	759085696
4	Feed	759085776
1	BlinkStart	759086006
1	BlinkEnd	759093848
1	Feed	759093928
6	BlinkStart	759094158
6	BlinkEnd	759101462
6	Feed	759101542
1	BlinkStart	759101773
1	BlinkEnd	759115567
1	Feed	759115647
4	BlinkStart	759115877
4	BlinkEnd	759123329
4	Feed	759123409
1	BlinkStart	759123639
1	BlinkEnd	759132284
1	Feed	759132364
4	BlinkStart	759132595
4	BlinkEnd	759139364
4	Feed	759139445
1	BlinkStart	759139677
1	BlinkEnd	759147853
1	Feed	759147933
6	BlinkStart	759148164
6	BlinkEnd	759163426
6	Feed	759163506
1	BlinkStart	759163737
1	BlinkEnd	759174854
1	Feed	759174934
64	BlinkStart	759175164
64	BlinkEnd	759182675
4	Feed	759182756
1	BlinkStart	759182987
1	BlinkEnd	759190770
1	Feed	759190850
64	BlinkStart	759191080
64	BlinkEnd	759198656
6	Feed	759198736
1	BlinkStart	759198967
1	BlinkEnd	759207480
1	Feed	759207560
64	BlinkStart	759207791
64	BlinkEnd	759215755
4	Feed	759215835
1	BlinkStart	759216065
1	BlinkEnd	759225127
1	Feed	759225207
64	BlinkStart	759225438
64	BlinkEnd	759231736
4	Feed	759231817
1	BlinkStart	759232048
1	BlinkEnd	759237960
1	Feed	759238041
64	BlinkStart	759238272
64	BlinkEnd	759244907
4	Feed	759244987
1	BlinkStart	759245217
1	BlinkEnd	759251055
1	Feed	759251135
64	BlinkStart	759251366
64	BlinkEnd	759259149
6	Feed	759259229
1	BlinkStart	759259460
1	BlinkEnd	759267901
1	Feed	759267981
64	BlinkStart	759268212
64	BlinkEnd	759277860
4	Feed	759277940
1	BlinkStart	759278171
1	BlinkEnd	759284879
1	Feed	759284960
64	BlinkStart	759285191
64	BlinkEnd	759293166
4	Feed	759293246
1	BlinkStart	759293477
1	BlinkEnd	759336349
1	Feed	759336429
64	BlinkStart	759336659
64	BlinkEnd	759345566
6	Feed	759345646
1	BlinkStart	759345881
1	BlinkEnd	759357669
1	Feed	759357749
64	BlinkStart	759357979
64	BlinkEnd	759366023
6	Feed	759366103
1	BlinkStart	759366333
1	BlinkEnd	759376316
1	Feed	759376396
64	BlinkStart	759376627
64	BlinkEnd	759385944
4	Feed	759386024
1	BlinkStart	759386255
1	BlinkEnd	759391489
1	Feed	759391570
64	BlinkStart	759391801
64	BlinkEnd	759398710
6	Feed	759398791
1	BlinkStart	759399021
1	BlinkEnd	759408330
1	Feed	759408410
64	BlinkStart	759408641
64	BlinkEnd	759416757
6	Feed	759416837
1	BlinkStart	759417068
1	BlinkEnd	759429919
1	Feed	759429999
64	BlinkStart	759430229
64	BlinkEnd	759439081
6	Feed	759439161
1	BlinkStart	759439392
1	BlinkEnd	759454519
1	Feed	759454599
64	BlinkStart	759454829
64	BlinkEnd	759467486
6	Feed	759467566
1	BlinkStart	759467796
1	BlinkEnd	759497970
1	Feed	759498050
64	BlinkStart	759498280
64	BlinkEnd	759506853
4	Feed	759506933
1	BlinkStart	759507164
1	BlinkEnd	759515544
1	Feed	759515624
64	BlinkStart	759515854
64	BlinkEnd	759522962
4	Feed	759523042
1	BlinkStart	759523273
1	BlinkEnd	759529982
1	Feed	759530062
64	BlinkStart	759530293
64	BlinkEnd	759537202
6	Feed	759537282
1	BlinkStart	759537513
1	BlinkEnd	759545893
1	Feed	759545973
64	BlinkStart	759546203
